"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","602.00","594.50","604.50","592.00","205.65K","1.26%"
"03/13/2025","594.50","588.00","597.50","587.00","216.82K","1.54%"
"03/12/2025","585.50","575.00","589.00","571.50","257.55K","0.77%"
"03/11/2025","581.00","585.00","589.00","575.00","299.81K","-2.02%"
"03/10/2025","593.00","582.00","595.00","580.00","181.37K","1.89%"
"03/07/2025","582.00","581.00","585.00","573.50","120.78K","0.69%"
"03/06/2025","578.00","570.50","587.00","570.50","256.29K","1.40%"
"03/05/2025","570.00","556.50","574.00","553.50","850.75K","2.98%"
"03/04/2025","553.50","555.00","556.50","552.00","184.51K","-0.45%"
"03/03/2025","556.00","556.00","567.50","554.00","92.68K","0.72%"
"02/28/2025","552.00","572.00","572.00","550.00","1.12M","-2.30%"
"02/27/2025","565.00","580.00","582.00","565.00","389.74K","-2.59%"
"02/26/2025","580.00","566.50","580.00","560.50","207.49K","2.38%"
"02/25/2025","566.50","584.00","584.00","560.00","162.41K","-3.00%"
"02/24/2025","584.00","572.00","584.00","569.50","142.56K","2.46%"
"02/21/2025","570.00","560.50","572.50","560.50","122.71K","2.52%"
"02/20/2025","556.00","570.00","570.00","552.50","231.42K","-1.85%"
"02/19/2025","566.50","555.00","573.00","553.00","277.46K","2.72%"
"02/18/2025","551.50","555.00","556.50","547.00","305.58K","0.27%"
"02/17/2025","550.00","561.50","561.50","547.00","139.76K","-2.05%"
"02/14/2025","561.50","563.00","563.00","556.50","144.90K","0.27%"
"02/13/2025","560.00","558.00","563.50","554.00","75.71K","0.90%"
"02/12/2025","555.00","552.00","563.50","546.50","126.99K","0.63%"
"02/11/2025","551.50","565.00","565.00","550.00","238.55K","-0.63%"
"02/10/2025","555.00","572.50","573.00","550.00","318.29K","-3.06%"
"02/07/2025","572.50","573.00","575.00","565.00","275.31K","-0.09%"
"02/06/2025","573.00","575.00","575.50","565.00","165.26K","0.61%"
"02/05/2025","569.50","561.00","577.00","561.00","373.87K","2.24%"
"02/04/2025","557.00","552.00","564.00","552.00","246.49K","1.83%"
"02/03/2025","547.00","565.00","565.00","546.00","383.49K","0.55%"
"01/31/2025","544.00","550.50","558.00","544.00","767.75K","-0.91%"
"01/30/2025","549.00","559.00","560.00","548.50","289.90K","-0.63%"
"01/28/2025","552.50","560.00","570.50","552.50","187.86K","-1.34%"
"01/27/2025","560.00","573.00","574.00","560.00","272.21K","-1.41%"
"01/24/2025","568.00","575.00","578.00","568.00","194.19K","-0.70%"
"01/23/2025","572.00","570.50","573.50","567.00","151.19K","0.35%"
"01/22/2025","570.00","579.00","583.50","570.00","240.57K","-1.72%"
"01/21/2025","580.00","580.50","585.00","575.00","164.12K","0.00%"
"01/20/2025","580.00","580.00","585.50","577.00","115.19K","0.87%"
"01/17/2025","575.00","572.00","575.00","563.00","241.05K","1.77%"
"01/16/2025","565.00","580.00","587.00","565.00","452.67K","-0.88%"
"01/15/2025","570.00","585.00","586.00","569.00","570.28K","-1.64%"
"01/14/2025","579.50","583.00","588.00","577.00","374.88K","-0.60%"
"01/13/2025","583.00","608.00","608.00","583.00","385.16K","-4.89%"
"01/10/2025","613.00","606.50","613.00","589.50","132.83K","2.25%"
"01/09/2025","599.50","592.00","599.50","586.50","275.52K","2.04%"
"01/08/2025","587.50","608.00","608.00","585.50","312.37K","-2.89%"
"01/07/2025","605.00","614.50","614.50","604.00","101.09K","-1.14%"
"01/06/2025","612.00","612.00","617.00","605.00","108.95K","0.00%"
"01/03/2025","612.00","601.00","613.50","601.00","137.92K","2.09%"
"01/02/2025","599.50","603.00","605.00","595.00","126.32K","0.08%"
"12/27/2024","599.00","611.00","611.00","598.00","162.44K","-1.96%"
"12/26/2024","611.00","601.00","611.00","601.00","69.27K","1.83%"
"12/23/2024","600.00","600.00","602.00","591.50","184.30K","1.10%"
"12/20/2024","593.50","600.00","607.00","590.00","341.99K","-0.08%"
"12/19/2024","594.00","609.00","609.00","590.50","506.29K","-1.66%"
"12/18/2024","604.00","609.50","617.50","602.50","205.91K","-0.98%"
"12/17/2024","610.00","610.50","612.50","600.00","285.21K","-0.57%"
"12/16/2024","613.50","620.50","627.00","610.00","155.38K","-0.08%"
"12/13/2024","614.00","626.00","628.00","614.00","230.30K","-1.92%"
"12/12/2024","626.00","640.00","640.00","623.50","139.11K","-1.96%"
"12/11/2024","638.50","645.00","647.00","631.00","71.80K","-1.31%"
"12/10/2024","647.00","635.00","647.00","625.00","222.16K","1.09%"
"12/09/2024","640.00","645.00","651.00","635.00","193.63K","-1.23%"
"12/06/2024","648.00","653.00","654.00","640.00","88.86K","-0.77%"
"12/05/2024","653.00","655.00","658.00","647.00","297.76K","0.62%"
"12/04/2024","649.00","649.00","657.00","637.00","327.45K","-0.15%"
"12/03/2024","650.00","639.00","650.00","632.50","502.47K","1.88%"
"12/02/2024","638.00","614.00","642.50","614.00","264.46K","4.25%"
"11/29/2024","612.00","616.00","623.00","610.00","425.47K","0.00%"
"11/28/2024","612.00","625.00","629.00","612.00","275.62K","-1.21%"
"11/27/2024","619.50","642.00","649.00","619.00","478.30K","-3.50%"
"11/26/2024","642.00","661.00","669.50","641.50","272.61K","-4.11%"
"11/25/2024","669.50","640.00","669.50","631.00","350.63K","4.28%"
"11/22/2024","642.00","660.00","660.00","642.00","177.00K","-2.65%"
"11/21/2024","659.50","644.00","659.50","640.00","210.99K","1.93%"
"11/20/2024","647.00","651.00","655.00","630.00","414.68K","-0.61%"
"11/19/2024","651.00","653.00","668.50","638.00","240.22K","-0.91%"
"11/18/2024","657.00","624.00","659.00","623.00","472.20K","6.83%"
"11/15/2024","615.00","620.50","640.00","613.00","534.57K","-0.81%"
"11/14/2024","620.00","657.00","660.00","620.00","391.92K","-5.63%"
"11/13/2024","657.00","658.00","670.50","657.00","146.65K","-0.15%"
"11/12/2024","658.00","685.00","695.50","657.00","338.70K","-3.94%"
"11/11/2024","685.00","692.00","692.00","678.00","86.28K","-1.01%"
"11/08/2024","692.00","705.00","705.00","689.00","262.28K","-1.84%"
"11/07/2024","705.00","707.50","713.50","687.00","278.48K","0.00%"
"11/06/2024","705.00","710.00","718.00","700.00","99.19K","-0.70%"
"11/05/2024","710.00","695.00","710.00","693.00","292.11K","2.90%"
"11/04/2024","690.00","690.00","693.50","681.00","341.41K","0.00%"
"10/31/2024","690.00","704.00","704.00","688.00","251.50K","-2.40%"
"10/30/2024","707.00","703.00","707.00","688.00","190.40K","0.07%"
"10/29/2024","706.50","716.00","716.00","705.00","247.78K","-1.88%"
"10/28/2024","720.00","721.00","729.50","714.50","149.31K","0.00%"
"10/25/2024","720.00","718.00","723.50","710.00","93.59K","0.07%"
"10/24/2024","719.50","715.00","725.00","713.00","288.91K","-0.07%"
"10/23/2024","720.00","714.00","725.00","710.00","136.81K","0.77%"
"10/22/2024","714.50","715.00","718.50","712.00","172.68K","0.07%"
"10/21/2024","714.00","719.00","720.50","711.50","278.02K","-0.70%"
"10/18/2024","719.00","717.50","720.50","717.50","143.71K","0.21%"
"10/17/2024","717.50","724.00","724.00","715.00","178.68K","-1.71%"
"10/16/2024","730.00","730.50","735.00","722.00","291.69K","0.00%"
"10/15/2024","730.00","718.00","732.50","714.00","375.79K","1.39%"
"10/14/2024","720.00","722.00","725.50","717.50","199.92K","-0.28%"
"10/11/2024","722.00","720.50","730.00","710.50","343.11K","-1.16%"
"10/10/2024","730.50","733.00","735.00","723.50","173.58K","-0.14%"
"10/09/2024","731.50","733.00","733.50","729.50","287.26K","-0.75%"
"10/08/2024","737.00","737.00","738.50","727.00","437.48K","-0.41%"
"10/07/2024","740.00","714.00","740.00","711.00","1.17M","3.50%"
"10/04/2024","715.00","698.00","716.00","698.00","689.34K","2.66%"
"10/03/2024","696.50","686.00","702.00","685.50","1.28M","1.68%"
"10/02/2024","685.00","680.50","688.50","676.50","178.31K","-0.51%"
"10/01/2024","688.50","671.50","689.50","671.50","342.29K","2.53%"
"09/30/2024","671.50","692.00","692.00","671.00","462.35K","-2.96%"
"09/27/2024","692.00","703.00","703.00","691.00","345.75K","-1.56%"
"09/26/2024","703.00","695.00","707.00","695.00","421.12K","1.52%"
"09/25/2024","692.50","700.00","705.00","681.00","551.02K","-1.07%"
"09/24/2024","700.00","695.00","702.00","695.00","871.82K","0.72%"
"09/23/2024","695.00","688.00","695.00","687.00","392.12K","0.72%"
"09/20/2024","690.00","679.00","694.50","679.00","1.32M","1.69%"
"09/19/2024","678.50","669.00","683.00","668.50","1.12M","1.12%"
"09/18/2024","671.00","660.00","672.00","653.00","997.42K","1.67%"
"09/17/2024","660.00","634.00","660.00","630.00","873.12K","4.10%"
"09/16/2024","634.00","621.00","635.00","621.00","394.17K","2.26%"
"09/13/2024","620.00","622.00","626.50","618.50","142.52K","0.65%"
"09/12/2024","616.00","617.00","626.50","615.00","347.77K","0.98%"
"09/11/2024","610.00","613.00","618.50","608.00","186.95K","-0.33%"
"09/10/2024","612.00","613.00","624.50","612.00","469.59K","0.00%"
"09/09/2024","612.00","612.00","620.00","608.00","227.72K","-0.16%"
"09/06/2024","613.00","615.00","616.50","609.00","279.50K","0.00%"
"09/05/2024","613.00","623.00","623.00","613.00","59.55K","-1.84%"
"09/04/2024","624.50","614.00","624.50","605.00","294.67K","1.30%"
"09/03/2024","616.50","620.00","626.50","615.00","325.83K","-0.24%"
"09/02/2024","618.00","619.00","624.50","607.00","532.05K","2.15%"
"08/30/2024","605.00","613.00","619.00","602.00","864.47K","-1.14%"
"08/29/2024","612.00","621.00","621.00","611.00","145.09K","-2.08%"
"08/28/2024","625.00","626.00","628.00","622.50","137.63K","-0.16%"
"08/27/2024","626.00","629.50","629.50","621.00","420.93K","-1.18%"
"08/22/2024","633.50","616.50","633.50","607.00","255.90K","2.92%"
"08/21/2024","615.50","620.00","623.50","615.50","211.14K","-0.81%"
"08/20/2024","620.50","620.00","627.50","620.00","352.99K","0.16%"
"08/19/2024","619.50","625.00","625.00","616.00","162.36K","-0.88%"
"08/16/2024","625.00","620.00","625.00","614.00","375.28K","2.12%"
"08/15/2024","612.00","618.00","618.00","608.50","257.36K","-0.97%"
"08/14/2024","618.00","605.50","618.00","605.00","562.43K","2.83%"
"08/13/2024","601.00","601.00","610.00","599.00","287.19K","0.00%"
"08/12/2024","601.00","607.00","608.00","596.50","200.34K","-1.15%"
"08/09/2024","608.00","600.00","608.00","600.00","371.79K","1.76%"
"08/08/2024","597.50","599.00","600.00","590.50","264.35K","-0.25%"
"08/07/2024","599.00","588.50","599.00","585.00","279.44K","1.78%"
"08/06/2024","588.50","583.00","592.50","583.00","302.19K","1.29%"
"08/05/2024","581.00","586.50","588.50","579.50","274.39K","-1.53%"
"08/02/2024","590.00","591.50","596.00","584.00","257.00K","-0.25%"
"08/01/2024","591.50","589.00","596.50","587.00","201.59K","0.85%"
"07/31/2024","586.50","593.00","597.00","586.50","152.10K","-1.10%"
"07/30/2024","593.00","592.00","593.00","584.50","339.09K","0.34%"
"07/29/2024","591.00","593.00","602.00","591.00","222.77K","-0.34%"
"07/26/2024","593.00","586.00","593.50","586.00","182.65K","1.37%"
"07/25/2024","585.00","590.00","590.00","583.00","203.34K","-1.52%"
"07/23/2024","594.00","589.50","594.00","581.50","266.36K","2.41%"
"07/22/2024","580.00","593.00","606.00","580.00","463.98K","-2.85%"
"07/19/2024","597.00","590.50","599.50","585.50","588.31K","1.19%"
"07/18/2024","590.00","590.00","593.50","585.00","186.61K","0.00%"
"07/17/2024","590.00","596.00","597.00","588.00","283.95K","-0.51%"
"07/16/2024","593.00","596.50","598.00","592.00","337.38K","-0.34%"
"07/15/2024","595.00","585.50","597.00","584.50","502.38K","1.88%"
"07/12/2024","584.00","580.00","585.00","576.00","245.36K","0.69%"
"07/11/2024","580.00","572.00","581.00","567.50","524.59K","1.22%"
"07/10/2024","573.00","566.00","574.50","565.00","161.09K","1.15%"
"07/09/2024","566.50","568.50","571.00","564.00","419.48K","-0.26%"
"07/08/2024","568.00","569.50","574.00","568.00","356.40K","0.00%"
"07/05/2024","568.00","573.00","576.50","567.00","424.74K","-0.44%"
"07/04/2024","570.50","578.00","582.00","568.50","350.42K","-0.35%"
"07/03/2024","572.50","570.00","574.00","565.00","253.53K","1.33%"
"07/02/2024","565.00","577.00","581.00","565.00","497.80K","-2.08%"
"07/01/2024","577.00","582.00","587.50","575.00","104.47K","-0.86%"
"06/28/2024","582.00","587.50","593.50","582.00","317.12K","-1.02%"
"06/27/2024","588.00","581.00","588.00","575.00","128.09K","1.38%"
"06/26/2024","580.00","581.50","582.00","577.00","158.44K","0.00%"
"06/25/2024","580.00","585.00","585.50","576.00","182.48K","-0.85%"
"06/24/2024","585.00","577.00","585.00","562.00","256.16K","3.54%"
"06/21/2024","565.00","582.00","584.00","565.00","401.60K","-3.34%"
"06/20/2024","584.50","580.00","584.50","577.00","102.44K","1.56%"
"06/19/2024","575.50","575.00","584.00","574.00","111.22K","0.44%"
"06/18/2024","573.00","575.50","584.00","571.00","263.39K","-0.09%"
"06/14/2024","573.50","578.00","580.00","571.50","266.00K","-0.26%"
"06/13/2024","575.00","582.50","588.50","575.00","789.28K","-1.29%"
"06/11/2024","582.50","589.00","590.50","582.50","274.83K","-1.02%"
"06/10/2024","588.50","597.00","597.00","588.00","139.28K","-1.34%"
"06/07/2024","596.50","600.00","603.50","594.50","131.16K","-0.25%"
"06/06/2024","598.00","591.50","602.50","591.50","161.31K","1.36%"
"06/05/2024","590.00","597.00","597.00","586.00","318.75K","0.17%"
"06/04/2024","589.00","599.50","599.50","587.00","243.94K","-0.93%"
"06/03/2024","594.50","600.00","603.50","591.00","252.96K","-0.08%"
"05/31/2024","595.00","598.00","613.50","592.50","2.42M","-0.50%"
"05/30/2024","598.00","614.50","614.50","593.00","466.24K","-2.76%"
"05/29/2024","615.00","614.00","619.50","605.00","357.54K","0.16%"
"05/28/2024","614.00","620.00","620.00","611.50","314.02K","-0.97%"
"05/27/2024","620.00","617.00","621.50","614.00","141.66K","0.49%"
"05/24/2024","617.00","621.00","622.50","615.00","332.60K","-1.28%"
"05/23/2024","625.00","619.50","626.00","615.00","64.84K","0.89%"
"05/22/2024","619.50","615.00","623.00","615.00","217.85K","0.90%"
"05/21/2024","614.00","625.00","625.00","611.00","447.25K","-1.21%"
"05/20/2024","621.50","620.50","628.00","616.00","185.78K","0.24%"
"05/17/2024","620.00","611.00","624.00","604.00","335.91K","1.31%"
"05/16/2024","612.00","593.00","614.00","593.00","568.31K","4.62%"
"05/15/2024","585.00","591.00","597.50","584.00","384.48K","-1.43%"
"05/14/2024","593.50","584.00","598.00","584.00","251.28K","1.80%"
"05/13/2024","583.00","594.50","597.50","583.00","192.78K","-0.68%"
"05/10/2024","587.00","585.00","597.00","584.00","184.80K","0.77%"
"05/09/2024","582.50","592.50","599.50","582.00","466.74K","-0.34%"
"05/08/2024","584.50","584.00","589.50","582.00","529.73K","-0.09%"
"05/07/2024","585.00","597.00","604.00","585.00","331.05K","-1.85%"
"05/06/2024","596.00","597.00","610.00","596.00","140.13K","0.00%"
"05/03/2024","596.00","609.00","609.00","592.50","119.91K","-0.83%"
"05/02/2024","601.00","613.00","617.00","601.00","187.78K","-2.28%"
"04/30/2024","615.00","611.00","624.00","609.00","262.60K","0.90%"
"04/29/2024","609.50","592.00","609.50","592.00","168.34K","3.13%"
"04/26/2024","591.00","596.00","604.00","591.00","122.98K","-0.67%"
"04/25/2024","595.00","604.50","608.00","595.00","62.85K","-0.67%"
"04/24/2024","599.00","587.00","609.50","587.00","197.76K","3.10%"
"04/23/2024","581.00","585.50","591.00","580.00","470.06K","0.00%"
"04/22/2024","581.00","589.50","594.50","581.00","448.46K","-1.53%"
"04/19/2024","590.00","595.00","597.00","588.00","282.95K","0.00%"
"04/18/2024","590.00","594.50","599.50","590.00","301.09K","-0.59%"
"04/17/2024","593.50","593.00","602.00","581.00","616.17K","1.45%"
"04/16/2024","585.00","601.00","601.00","585.00","570.56K","-2.66%"
"04/15/2024","601.00","601.00","605.00","599.00","324.70K","0.00%"
"04/12/2024","601.00","612.00","614.00","600.50","459.79K","-0.91%"
"04/11/2024","606.50","610.00","613.50","606.50","270.33K","-1.22%"
"04/08/2024","614.00","622.00","627.00","606.00","379.63K","-0.97%"
"04/05/2024","620.00","635.00","635.00","616.00","373.68K","-2.36%"
"04/04/2024","635.00","639.00","645.00","633.00","294.55K","-0.63%"
"04/03/2024","639.00","646.00","649.50","637.50","118.63K","-1.08%"
"04/02/2024","646.00","663.00","665.00","645.00","276.46K","-2.49%"
"04/01/2024","662.50","645.00","662.50","644.00","161.60K","3.52%"
"03/27/2024","640.00","630.00","640.00","630.00","161.50K","1.59%"
"03/26/2024","630.00","630.00","631.00","624.00","446.34K","1.12%"
"03/25/2024","623.00","634.50","647.00","623.00","522.87K","-1.42%"
"03/22/2024","632.00","649.50","650.00","629.50","657.40K","-2.69%"
"03/21/2024","649.50","653.00","660.00","648.00","350.28K","-0.15%"
"03/20/2024","650.50","654.00","658.00","647.50","309.07K","-0.23%"
"03/19/2024","652.00","662.00","667.00","652.00","251.34K","-1.21%"
"03/18/2024","660.00","669.00","669.50","660.00","322.30K","-0.23%"
"03/15/2024","661.50","690.00","690.00","660.00","773.47K","-4.13%"
"03/14/2024","690.00","682.00","690.00","680.50","263.53K","2.15%"
"03/13/2024","675.50","663.50","678.00","663.50","125.07K","1.96%"
"03/12/2024","662.50","667.50","674.00","662.50","254.85K","-0.67%"
"03/11/2024","667.00","683.50","685.00","665.00","174.79K","-2.41%"
"03/08/2024","683.50","674.00","683.50","669.00","343.93K","1.26%"
"03/07/2024","675.00","685.00","685.00","670.00","292.72K","-1.24%"
"03/06/2024","683.50","681.50","689.50","677.00","230.04K","-0.15%"
"03/05/2024","684.50","687.50","696.00","683.50","185.43K","-0.36%"
"03/04/2024","687.00","691.00","701.00","685.00","255.94K","-0.58%"
"03/01/2024","691.00","681.00","694.00","680.00","236.61K","1.92%"
"02/29/2024","678.00","688.50","700.50","678.00","2.67M","-1.45%"
"02/28/2024","688.00","692.00","704.00","686.50","580.35K","-0.58%"
"02/27/2024","692.00","705.00","708.00","686.50","596.33K","-2.12%"
"02/26/2024","707.00","710.50","715.00","707.00","281.41K","-0.42%"
"02/23/2024","710.00","725.00","728.50","710.00","249.68K","-1.53%"
"02/22/2024","721.00","713.00","727.50","713.00","445.39K","0.91%"
"02/21/2024","714.50","708.50","714.50","703.50","358.56K","0.63%"
"02/20/2024","710.00","704.00","712.00","704.00","337.27K","0.92%"
"02/19/2024","703.50","710.00","720.00","703.50","269.67K","-0.78%"
"02/16/2024","709.00","718.50","722.00","709.00","263.07K","0.14%"
"02/15/2024","708.00","709.50","724.00","708.00","347.87K","0.00%"
"02/14/2024","708.00","716.00","716.50","702.00","330.69K","-1.67%"
"02/13/2024","720.00","716.00","723.00","711.00","416.34K","0.70%"
"02/12/2024","715.00","707.00","715.00","705.00","402.86K","2.14%"
"02/08/2024","700.00","706.50","723.00","700.00","574.43K","-2.10%"
"02/07/2024","715.00","672.00","715.00","672.00","960.46K","6.40%"
"02/06/2024","672.00","679.00","679.00","670.00","131.59K","0.15%"
"02/05/2024","671.00","673.50","682.00","671.00","170.01K","-0.15%"
"02/02/2024","672.00","678.00","690.00","672.00","238.09K","-0.88%"
"02/01/2024","678.00","672.50","679.00","661.50","164.31K","-0.15%"
"01/31/2024","679.00","661.00","683.50","661.00","389.53K","2.88%"
"01/30/2024","660.00","662.00","669.00","660.00","264.09K","-0.15%"
"01/29/2024","661.00","675.00","681.00","661.00","275.04K","-2.07%"
"01/26/2024","675.00","680.50","683.00","672.00","270.06K","-0.74%"
"01/25/2024","680.00","689.50","695.00","679.00","154.12K","-1.88%"
"01/24/2024","693.00","689.50","699.00","684.00","170.45K","1.39%"
"01/23/2024","683.50","690.50","691.00","683.50","129.76K","-1.09%"
"01/22/2024","691.00","677.00","692.00","677.00","289.89K","2.37%"
"01/19/2024","675.00","674.00","682.00","673.00","123.95K","-0.15%"
"01/18/2024","676.00","680.00","682.50","671.50","244.46K","-1.02%"
"01/17/2024","683.00","679.50","683.50","672.00","302.14K","0.44%"
"01/16/2024","680.00","682.50","686.00","678.50","448.78K","-0.07%"
"01/15/2024","680.50","685.00","687.00","676.00","570.14K","0.00%"
"01/12/2024","680.50","676.00","686.50","674.50","443.30K","0.96%"
"01/11/2024","674.00","670.00","678.50","666.00","730.61K","1.35%"
"01/10/2024","665.00","665.00","672.00","656.00","1.11M","-4.45%"
"01/09/2024","696.00","697.00","711.00","696.00","124.45K","-0.78%"
"01/08/2024","701.50","710.00","714.50","696.50","281.08K","-1.41%"
"01/05/2024","711.50","723.00","723.00","708.50","171.18K","-1.86%"
"01/04/2024","725.00","706.00","725.00","700.00","243.65K","2.69%"
"01/03/2024","706.00","713.00","713.00","693.00","64.06K","-1.26%"
"01/02/2024","715.00","685.00","715.00","685.00","140.59K","4.99%"
"12/29/2023","681.00","703.00","703.00","680.00","196.00K","-3.40%"
"12/28/2023","705.00","693.50","705.00","687.00","73.03K","1.66%"
"12/27/2023","693.50","710.00","710.00","692.00","121.67K","-2.94%"
"12/22/2023","714.50","708.00","717.00","708.00","128.88K","0.63%"
"12/21/2023","710.00","710.00","710.00","682.50","178.57K","-1.66%"
"12/20/2023","722.00","715.00","723.50","712.00","284.63K","0.98%"
"12/19/2023","715.00","712.50","718.00","709.00","256.41K","0.00%"
"12/18/2023","715.00","701.00","715.00","701.00","316.41K","-2.72%"
"12/15/2023","735.00","681.00","735.00","677.00","1.26M","7.93%"
"12/14/2023","681.00","651.00","681.00","649.00","423.03K","4.61%"
"12/13/2023","651.00","649.00","655.00","646.50","78.80K","-1.36%"
"12/12/2023","660.00","647.50","660.00","638.50","109.23K","1.85%"
"12/11/2023","648.00","639.50","648.00","631.00","82.59K","1.25%"
"12/07/2023","640.00","659.50","661.00","638.50","228.34K","-3.10%"
"12/06/2023","660.50","660.00","660.50","650.00","113.99K","-0.08%"
"12/05/2023","661.00","659.00","661.00","646.00","282.70K","0.30%"
"12/04/2023","659.00","645.50","659.00","645.50","71.40K","0.61%"
"12/01/2023","655.00","661.00","661.00","646.50","90.71K","-1.36%"
"11/30/2023","664.00","662.00","664.00","657.00","917.21K","0.30%"
"11/29/2023","662.00","657.00","664.00","653.00","568.70K","0.76%"
"11/28/2023","657.00","648.00","657.00","647.00","249.86K","0.77%"
