"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","3.070","2.980","3.140","2.960","7.33M","4.07%"
"03/13/2025","2.950","2.940","3.000","2.940","8.91M","1.37%"
"03/12/2025","2.910","3.000","3.010","2.900","28.47M","-3.00%"
"03/11/2025","3.000","3.160","3.160","2.950","33.03M","-5.06%"
"03/10/2025","3.160","3.100","3.220","3.100","17.67M","1.94%"
"03/07/2025","3.100","3.160","3.200","3.100","9.51M","-0.64%"
"03/06/2025","3.120","3.110","3.170","3.080","8.41M","0.65%"
"03/05/2025","3.100","3.080","3.140","3.060","6.35M","-1.27%"
"03/04/2025","3.140","3.060","3.140","2.990","7.03M","3.29%"
"03/03/2025","3.040","3.070","3.120","3.000","5.22M","-0.98%"
"02/28/2025","3.070","3.180","3.180","3.070","8.96M","-3.46%"
"02/27/2025","3.180","3.160","3.230","3.150","3.49M","1.27%"
"02/26/2025","3.140","3.160","3.180","3.100","3.75M","-0.63%"
"02/25/2025","3.160","3.190","3.190","3.120","1.98M","-0.63%"
"02/24/2025","3.180","3.220","3.250","3.160","2.63M","0.00%"
"02/21/2025","3.180","3.230","3.230","3.180","4.78M","-0.62%"
"02/20/2025","3.200","3.270","3.270","3.150","5.40M","-1.54%"
"02/19/2025","3.250","3.240","3.270","3.190","9.23M","1.56%"
"02/18/2025","3.200","3.110","3.260","3.100","17.15M","5.26%"
"02/17/2025","3.040","3.160","3.190","3.040","33.41M","-2.88%"
"02/14/2025","3.130","3.330","3.330","3.130","38.76M","-4.86%"
"02/13/2025","3.290","3.300","3.320","3.260","11.31M","1.23%"
"02/12/2025","3.250","3.300","3.300","3.190","18.55M","-1.52%"
"02/11/2025","3.300","3.400","3.400","3.290","8.56M","-1.49%"
"02/10/2025","3.350","3.460","3.500","3.350","5.20M","-2.90%"
"02/07/2025","3.450","3.550","3.550","3.450","8.85M","-1.15%"
"02/06/2025","3.490","3.490","3.560","3.440","6.65M","1.16%"
"02/05/2025","3.450","3.470","3.500","3.420","4.60M","0.00%"
"02/04/2025","3.450","3.350","3.520","3.350","5.52M","5.83%"
"02/03/2025","3.260","3.350","3.390","3.230","9.81M","5.16%"
"01/31/2025","3.100","3.400","3.440","3.100","33.24M","-8.82%"
"01/30/2025","3.400","3.480","3.520","3.350","11.80M","-2.30%"
"01/28/2025","3.480","3.480","3.550","3.480","3.60M","0.00%"
"01/27/2025","3.480","3.530","3.530","3.480","6.29M","-1.97%"
"01/24/2025","3.550","3.550","3.580","3.510","3.42M","0.00%"
"01/23/2025","3.550","3.510","3.570","3.490","3.70M","1.72%"
"01/22/2025","3.490","3.600","3.610","3.490","20.06M","-2.79%"
"01/21/2025","3.590","3.600","3.600","3.540","5.91M","1.99%"
"01/20/2025","3.520","3.660","3.720","3.520","16.64M","-3.30%"
"01/17/2025","3.640","3.670","3.700","3.620","3.84M","-0.82%"
"01/16/2025","3.670","3.610","3.670","3.580","13.60M","4.26%"
"01/15/2025","3.520","3.750","3.800","3.480","26.90M","-6.13%"
"01/14/2025","3.750","3.800","3.800","3.700","3.03M","-1.32%"
"01/13/2025","3.800","3.940","3.940","3.750","7.47M","-3.55%"
"01/10/2025","3.940","3.960","3.960","3.920","3.64M","-0.51%"
"01/09/2025","3.960","3.910","3.960","3.890","2.85M","1.54%"
"01/08/2025","3.900","4.000","4.020","3.850","8.16M","-2.99%"
"01/07/2025","4.020","4.120","4.140","3.990","6.78M","-2.43%"
"01/06/2025","4.120","4.180","4.230","4.060","7.24M","0.49%"
"01/03/2025","4.100","3.970","4.150","3.960","3.42M","3.27%"
"01/02/2025","3.970","4.000","4.070","3.940","3.53M","-0.75%"
"12/27/2024","4.000","3.960","4.080","3.950","18.11M","1.27%"
"12/26/2024","3.950","3.920","4.000","3.910","3.02M","-1.25%"
"12/23/2024","4.000","3.780","4.000","3.750","7.14M","5.82%"
"12/20/2024","3.780","3.600","3.780","3.580","5.99M","5.00%"
"12/19/2024","3.600","3.700","3.710","3.500","14.96M","-2.70%"
"12/18/2024","3.700","3.700","3.740","3.600","4.74M","0.00%"
"12/17/2024","3.700","3.790","3.870","3.600","8.02M","-1.07%"
"12/16/2024","3.740","3.670","3.790","3.600","7.25M","5.65%"
"12/13/2024","3.540","3.530","3.700","3.490","14.11M","2.02%"
"12/12/2024","3.470","3.700","3.750","3.470","47.46M","-5.96%"
"12/11/2024","3.690","3.690","3.800","3.670","6.79M","-0.27%"
"12/10/2024","3.700","3.890","3.900","3.670","24.26M","-4.64%"
"12/09/2024","3.880","3.900","3.950","3.850","6.20M","-0.51%"
"12/06/2024","3.900","3.980","3.980","3.850","7.32M","-2.01%"
"12/05/2024","3.980","4.000","4.000","3.930","6.07M","-0.25%"
"12/04/2024","3.990","4.010","4.060","3.980","9.06M","0.00%"
"12/03/2024","3.990","4.010","4.060","3.990","10.98M","-0.25%"
"12/02/2024","4.000","4.010","4.060","3.980","8.02M","0.50%"
"11/29/2024","3.980","3.950","4.070","3.900","14.74M","0.76%"
"11/28/2024","3.950","4.140","4.140","3.940","19.07M","-4.59%"
"11/27/2024","4.140","4.210","4.250","4.060","12.27M","-2.59%"
"11/26/2024","4.250","4.300","4.340","4.200","9.83M","-0.70%"
"11/25/2024","4.280","4.400","4.400","4.280","10.52M","-2.73%"
"11/22/2024","4.400","4.380","4.400","4.310","2.71M","0.46%"
"11/21/2024","4.380","4.480","4.480","4.320","5.23M","-2.23%"
"11/20/2024","4.480","4.290","4.480","4.220","4.30M","5.41%"
"11/19/2024","4.250","4.300","4.300","4.120","5.73M","0.00%"
"11/18/2024","4.250","4.400","4.400","4.250","11.66M","-3.41%"
"11/15/2024","4.400","4.220","4.420","4.200","8.40M","4.76%"
"11/14/2024","4.200","4.300","4.340","4.110","9.12M","-2.33%"
"11/13/2024","4.300","4.420","4.420","4.200","14.07M","-2.49%"
"11/12/2024","4.410","4.550","4.550","4.410","12.27M","-3.08%"
"11/11/2024","4.550","4.660","4.700","4.530","8.44M","-2.36%"
"11/08/2024","4.660","4.700","4.760","4.630","9.53M","-0.64%"
"11/07/2024","4.690","4.840","4.860","4.550","11.76M","-3.10%"
"11/06/2024","4.840","4.900","4.980","4.800","5.46M","-1.22%"
"11/05/2024","4.900","4.890","4.900","4.770","8.05M","0.00%"
"11/04/2024","4.900","4.970","4.980","4.870","4.22M","-1.41%"
"10/31/2024","4.970","4.910","4.970","4.860","5.82M","1.22%"
"10/30/2024","4.910","4.860","4.920","4.850","5.32M","1.03%"
"10/29/2024","4.860","4.860","4.900","4.840","7.24M","-0.41%"
"10/28/2024","4.880","4.890","4.920","4.870","3.35M","-0.41%"
"10/25/2024","4.900","4.850","4.970","4.850","6.68M","1.24%"
"10/24/2024","4.840","5.000","5.030","4.820","21.67M","-3.20%"
"10/23/2024","5.000","5.150","5.150","5.000","28.34M","-3.10%"
"10/22/2024","5.160","5.150","5.200","5.140","9.60M","0.19%"
"10/21/2024","5.150","5.190","5.240","5.140","9.38M","-0.58%"
"10/18/2024","5.180","5.250","5.270","5.170","8.66M","-1.15%"
"10/17/2024","5.240","5.300","5.300","5.200","6.73M","-1.13%"
"10/16/2024","5.300","5.310","5.310","5.200","7.26M","-0.56%"
"10/15/2024","5.330","5.250","5.330","5.250","8.50M","1.52%"
"10/14/2024","5.250","5.130","5.280","5.130","3.39M","1.35%"
"10/11/2024","5.180","5.200","5.200","5.140","3.50M","-0.38%"
"10/10/2024","5.200","5.230","5.290","5.140","7.63M","0.00%"
"10/09/2024","5.200","5.300","5.340","5.170","14.49M","-1.70%"
"10/08/2024","5.290","5.400","5.430","5.280","9.91M","-1.86%"
"10/07/2024","5.390","5.390","5.500","5.390","15.45M","0.00%"
"10/04/2024","5.390","5.370","5.400","5.340","7.53M","0.37%"
"10/03/2024","5.370","5.300","5.410","5.300","7.68M","1.51%"
"10/02/2024","5.290","5.380","5.380","5.270","10.06M","-2.22%"
"10/01/2024","5.410","5.390","5.420","5.310","12.04M","0.56%"
"09/30/2024","5.380","5.350","5.420","5.350","16.21M","0.94%"
"09/27/2024","5.330","5.240","5.370","5.240","12.99M","1.72%"
"09/26/2024","5.240","5.150","5.240","5.110","12.48M","1.75%"
"09/25/2024","5.150","5.320","5.320","5.110","8.56M","-2.83%"
"09/24/2024","5.300","5.260","5.340","5.250","14.45M","0.95%"
"09/23/2024","5.250","5.230","5.280","5.210","8.90M","1.35%"
"09/20/2024","5.180","5.160","5.300","5.160","21.65M","0.58%"
"09/19/2024","5.150","5.040","5.190","5.040","7.99M","2.18%"
"09/18/2024","5.040","5.030","5.170","5.030","16.29M","0.20%"
"09/17/2024","5.030","5.100","5.150","5.000","26.46M","-1.57%"
"09/16/2024","5.110","5.180","5.270","5.100","8.63M","-0.78%"
"09/13/2024","5.150","5.230","5.270","5.060","12.05M","-0.96%"
"09/12/2024","5.200","5.250","5.370","5.150","19.69M","-0.76%"
"09/11/2024","5.240","5.380","5.400","5.230","12.33M","-2.60%"
"09/10/2024","5.380","5.380","5.570","5.380","10.73M","0.00%"
"09/09/2024","5.380","5.450","5.450","5.350","5.80M","-1.10%"
"09/06/2024","5.440","5.460","5.500","5.300","6.13M","-0.37%"
"09/05/2024","5.460","5.270","5.460","5.270","12.92M","3.21%"
"09/04/2024","5.290","5.300","5.350","5.200","13.73M","-1.67%"
"09/03/2024","5.380","5.550","5.630","5.370","9.98M","-2.18%"
"09/02/2024","5.500","5.440","5.540","5.440","10.99M","1.10%"
"08/30/2024","5.440","5.430","5.440","5.340","39.25M","0.00%"
"08/29/2024","5.440","5.570","5.600","5.400","5.81M","-1.81%"
"08/28/2024","5.540","5.480","5.680","5.480","23.26M","1.65%"
"08/27/2024","5.450","5.280","5.490","5.240","33.69M","4.81%"
"08/22/2024","5.200","5.470","5.540","5.200","60.96M","-4.76%"
"08/21/2024","5.460","5.550","5.660","5.460","14.04M","-1.27%"
