"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","33.000","32.750","33.100","32.700","289.70K","1.69%"
"03/13/2025","32.450","32.250","33.100","32.250","1.50M","0.62%"
"03/12/2025","32.250","32.500","33.000","32.050","676.00K","-0.77%"
"03/11/2025","32.500","33.150","33.400","32.000","1.21M","-2.11%"
"03/10/2025","33.200","33.700","33.900","33.200","535.30K","-0.90%"
"03/07/2025","33.500","33.100","33.600","33.000","360.60K","1.52%"
"03/06/2025","33.000","33.350","33.350","32.800","668.70K","-1.05%"
"03/05/2025","33.350","33.000","33.350","32.600","338.40K","1.99%"
"03/04/2025","32.700","32.500","32.800","32.350","205.80K","0.62%"
"03/03/2025","32.500","32.900","33.450","32.450","299.10K","-1.22%"
"02/28/2025","32.900","33.800","33.850","32.900","954.60K","-1.79%"
"02/27/2025","33.500","33.200","33.800","33.100","738.00K","0.00%"
"02/26/2025","33.500","33.500","33.850","32.800","1.89M","1.06%"
"02/25/2025","33.150","33.500","33.600","32.600","557.70K","-1.04%"
"02/24/2025","33.500","33.450","33.550","32.550","800.00K","0.00%"
"02/21/2025","33.500","32.850","33.600","32.850","761.40K","1.98%"
"02/20/2025","32.850","32.500","33.250","32.000","696.30K","1.08%"
"02/19/2025","32.500","32.200","32.500","31.850","1.90M","2.04%"
"02/18/2025","31.850","31.600","32.150","31.400","2.04M","1.92%"
"02/17/2025","31.250","32.450","32.450","31.200","1.49M","-2.34%"
"02/14/2025","32.000","32.500","32.900","32.000","3.89M","-1.23%"
"02/13/2025","32.400","32.150","32.850","32.150","1.19M","-0.15%"
"02/12/2025","32.450","32.400","32.750","31.950","654.40K","0.00%"
"02/11/2025","32.450","32.950","33.150","32.400","1.14M","-0.46%"
"02/10/2025","32.600","33.050","33.600","32.500","1.74M","-1.21%"
"02/07/2025","33.000","33.100","34.000","33.000","2.44M","-0.60%"
"02/06/2025","33.200","33.200","33.850","33.000","714.40K","0.00%"
"02/05/2025","33.200","32.200","33.850","32.150","1.68M","3.11%"
"02/04/2025","32.200","31.450","32.550","31.450","2.29M","2.55%"
"02/03/2025","31.400","32.550","33.450","31.200","2.49M","-2.48%"
"01/31/2025","32.200","34.000","34.650","32.200","8.74M","-5.01%"
"01/30/2025","33.900","33.800","34.250","33.400","1.22M","0.44%"
"01/28/2025","33.750","34.100","34.400","33.750","556.00K","-1.89%"
"01/27/2025","34.400","34.500","34.550","34.100","408.70K","-0.58%"
"01/24/2025","34.600","34.000","34.600","33.900","343.60K","1.76%"
"01/23/2025","34.000","33.300","34.200","33.000","1.58M","2.41%"
"01/22/2025","33.200","33.750","33.950","33.150","349.80K","-1.63%"
"01/21/2025","33.750","33.800","33.950","33.000","186.30K","0.75%"
"01/20/2025","33.500","34.000","34.000","32.750","784.10K","-0.89%"
"01/17/2025","33.800","33.650","34.000","33.300","309.80K","0.45%"
"01/16/2025","33.650","33.250","33.900","33.250","325.10K","1.97%"
"01/15/2025","33.000","32.950","33.400","32.900","686.80K","0.76%"
"01/14/2025","32.750","33.500","33.800","32.750","2.68M","-2.24%"
"01/13/2025","33.500","35.000","35.000","33.500","2.37M","-4.29%"
"01/10/2025","35.000","34.650","35.000","34.200","1.47M","0.00%"
"01/09/2025","35.000","35.000","35.050","34.550","1.02M","-0.57%"
"01/08/2025","35.200","35.000","35.200","34.350","2.23M","0.57%"
"01/07/2025","35.000","34.750","35.000","34.300","2.76M","2.19%"
"01/06/2025","34.250","34.800","34.850","34.200","110.40K","0.44%"
"01/03/2025","34.100","34.000","34.900","34.000","980.30K","0.29%"
"01/02/2025","34.000","34.350","34.350","34.000","492.10K","-1.02%"
"12/27/2024","34.350","34.400","34.450","33.500","775.60K","0.73%"
"12/26/2024","34.100","33.700","34.500","33.550","638.60K","1.19%"
"12/23/2024","33.700","33.000","33.700","32.600","665.20K","2.12%"
"12/20/2024","33.000","33.150","33.500","33.000","2.12M","0.92%"
"12/19/2024","32.700","33.150","33.150","32.500","2.87M","-1.36%"
"12/18/2024","33.150","33.600","33.650","33.050","611.70K","-1.63%"
"12/17/2024","33.700","33.800","33.800","33.050","762.10K","-0.30%"
"12/16/2024","33.800","33.800","34.050","33.800","497.10K","0.00%"
"12/13/2024","33.800","34.100","34.100","33.550","1.72M","-0.88%"
"12/12/2024","34.100","33.800","34.100","33.500","1.78M","0.89%"
"12/11/2024","33.800","34.500","34.500","33.700","330.30K","-0.73%"
"12/10/2024","34.050","34.700","34.700","33.900","1.31M","0.15%"
"12/09/2024","34.000","34.700","34.700","33.850","460.00K","-2.02%"
"12/06/2024","34.700","34.500","34.700","34.000","235.20K","0.00%"
"12/05/2024","34.700","34.400","34.800","34.300","4.43M","1.17%"
"12/04/2024","34.300","33.650","34.300","33.600","1.24M","2.24%"
"12/03/2024","33.550","34.250","34.450","33.500","927.00K","-2.33%"
"12/02/2024","34.350","34.000","34.400","33.700","704.60K","1.03%"
"11/29/2024","34.000","33.350","34.050","33.200","1.71M","3.03%"
"11/28/2024","33.000","33.900","34.100","32.950","3.57M","-2.65%"
"11/27/2024","33.900","34.950","34.950","33.900","762.30K","-1.17%"
"11/26/2024","34.300","34.500","35.550","34.300","4.56M","-2.42%"
"11/25/2024","35.150","33.900","35.200","33.850","1.77M","3.84%"
"11/22/2024","33.850","34.000","34.000","33.100","296.10K","1.80%"
"11/21/2024","33.250","34.250","34.500","33.250","2.26M","-3.06%"
"11/20/2024","34.300","34.250","35.100","33.650","3.20M","0.15%"
"11/19/2024","34.250","35.150","35.600","34.250","3.26M","-2.14%"
"11/18/2024","35.000","34.500","35.150","34.100","2.44M","2.94%"
"11/15/2024","34.000","33.200","34.550","33.200","1.05M","-1.16%"
"11/14/2024","34.400","34.000","34.400","32.700","6.40M","1.18%"
"11/13/2024","34.000","33.850","34.000","32.700","4.88M","0.44%"
"11/12/2024","33.850","34.450","35.000","33.750","8.16M","-1.02%"
"11/11/2024","34.200","36.000","36.000","34.200","5.70M","-5.00%"
"11/08/2024","36.000","34.500","36.050","34.150","3.46M","4.35%"
"11/07/2024","34.500","35.800","35.800","34.150","2.36M","-3.63%"
"11/06/2024","35.800","35.550","36.400","35.550","3.76M","1.13%"
"11/05/2024","35.400","35.200","35.600","35.200","1.11M","0.57%"
"11/04/2024","35.200","34.900","35.250","34.550","1.53M","0.86%"
"10/31/2024","34.900","35.000","35.150","34.550","884.60K","-0.14%"
"10/30/2024","34.950","34.200","34.950","33.950","5.11M","2.19%"
"10/29/2024","34.200","35.200","35.200","33.550","1.93M","-2.56%"
"10/28/2024","35.100","35.800","35.850","34.100","2.10M","-1.96%"
"10/25/2024","35.800","36.100","36.600","35.250","693.20K","-0.83%"
"10/24/2024","36.100","37.000","37.000","36.050","620.10K","-1.50%"
"10/23/2024","36.650","36.950","37.150","36.650","506.60K","-0.81%"
"10/22/2024","36.950","36.900","37.150","36.750","660.60K","0.41%"
"10/21/2024","36.800","37.250","37.600","36.700","475.50K","-0.14%"
"10/18/2024","36.850","37.600","37.900","36.750","1.21M","-1.99%"
"10/17/2024","37.600","37.700","38.400","37.500","2.03M","-0.13%"
"10/16/2024","37.650","37.650","37.800","37.450","669.30K","0.67%"
"10/15/2024","37.400","37.700","37.900","37.400","893.20K","-0.27%"
"10/14/2024","37.500","36.550","37.650","36.550","1.53M","2.74%"
"10/11/2024","36.500","37.700","37.700","36.300","1.13M","-2.01%"
"10/10/2024","37.250","37.200","37.700","37.000","1.05M","0.13%"
"10/09/2024","37.200","37.650","37.650","37.100","901.70K","-1.20%"
"10/08/2024","37.650","37.850","37.850","37.300","1.21M","0.94%"
"10/07/2024","37.300","37.250","38.050","37.250","1.57M","0.81%"
"10/04/2024","37.000","37.300","37.300","36.750","1.08M","0.00%"
"10/03/2024","37.000","37.600","38.000","37.000","2.41M","-1.60%"
"10/02/2024","37.600","37.650","38.000","37.450","634.80K","-0.40%"
"10/01/2024","37.750","37.600","38.200","37.350","1.99M","1.62%"
"09/30/2024","37.150","37.800","38.200","37.100","1.72M","-1.72%"
"09/27/2024","37.800","37.650","37.800","37.200","1.80M","0.40%"
"09/26/2024","37.650","36.550","37.650","36.550","1.91M","3.15%"
"09/25/2024","36.500","37.800","37.950","36.350","952.90K","-3.05%"
"09/24/2024","37.650","38.250","38.250","37.600","1.45M","-1.31%"
"09/23/2024","38.150","37.300","38.450","37.000","2.86M","3.11%"
"09/20/2024","37.000","36.100","37.300","36.100","3.73M","2.78%"
"09/19/2024","36.000","36.050","36.500","35.800","2.58M","0.00%"
"09/18/2024","36.000","35.950","37.000","35.950","2.30M","0.28%"
"09/17/2024","35.900","36.400","36.450","35.900","2.50M","-1.37%"
"09/16/2024","36.400","36.400","36.500","36.200","1.86M","0.28%"
"09/13/2024","36.300","35.950","36.500","35.800","1.89M","1.11%"
"09/12/2024","35.900","35.500","35.900","35.200","2.94M","1.13%"
"09/11/2024","35.500","35.500","35.600","34.950","2.55M","1.43%"
"09/10/2024","35.000","34.300","36.000","34.300","3.80M","2.79%"
"09/09/2024","34.050","33.500","34.300","33.350","2.91M","1.64%"
