"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","6.150","6.200","6.200","6.090","2.81M","-2.38%"
"03/13/2025","6.300","6.500","6.500","6.180","3.48M","-3.23%"
"03/12/2025","6.510","6.390","6.530","6.280","1.98M","2.36%"
"03/11/2025","6.360","6.650","6.690","6.330","2.14M","-2.15%"
"03/10/2025","6.500","6.500","6.530","6.450","3.76M","0.00%"
"03/07/2025","6.500","6.500","6.510","6.440","2.31M","0.00%"
"03/06/2025","6.500","6.510","6.560","6.380","4.16M","-0.61%"
"03/05/2025","6.540","6.720","6.720","6.510","8.66M","-2.53%"
"03/04/2025","6.710","6.670","6.720","6.640","812.30K","0.75%"
"03/03/2025","6.660","6.570","6.700","6.550","2.90M","2.46%"
"02/28/2025","6.500","7.080","7.080","6.500","7.12M","-7.14%"
"02/27/2025","7.000","6.900","7.000","6.800","9.75M","1.45%"
"02/26/2025","6.900","6.900","6.970","6.750","1.68M","1.92%"
"02/25/2025","6.770","6.800","6.920","6.740","1.78M","-0.44%"
"02/24/2025","6.800","7.120","7.120","6.610","1.88M","-2.58%"
"02/21/2025","6.980","7.170","7.200","6.980","1.27M","1.01%"
"02/20/2025","6.910","7.250","7.260","6.910","1.63M","-4.69%"
"02/19/2025","7.250","7.500","7.500","7.100","2.04M","-3.33%"
"02/18/2025","7.500","7.720","7.720","7.470","719.30K","-2.85%"
"02/17/2025","7.720","7.600","7.720","7.470","403.90K","3.35%"
"02/14/2025","7.470","7.730","7.730","7.470","815.80K","-1.84%"
"02/13/2025","7.610","7.600","7.720","7.460","1.42M","0.13%"
"02/12/2025","7.600","7.690","7.780","7.540","679.10K","-1.17%"
"02/11/2025","7.690","7.500","7.690","7.400","924.20K","2.53%"
"02/10/2025","7.500","7.380","7.600","7.310","2.59M","1.76%"
"02/07/2025","7.370","7.390","7.480","7.300","1.58M","-0.27%"
"02/06/2025","7.390","7.480","7.480","7.270","1.92M","0.00%"
"02/05/2025","7.390","7.120","7.450","7.100","1.28M","3.79%"
"02/04/2025","7.120","7.080","7.300","7.040","3.15M","3.19%"
"02/03/2025","6.900","6.500","7.200","6.500","15.92M","15.00%"
"01/31/2025","6.000","7.500","7.600","6.000","16.73M","-20.00%"
"01/30/2025","7.500","7.820","7.980","7.400","7.24M","-5.06%"
"01/28/2025","7.900","8.300","8.310","7.890","1.97M","-4.70%"
"01/27/2025","8.290","8.640","8.640","7.800","1.78M","-4.05%"
"01/24/2025","8.640","8.620","8.660","8.600","945.50K","0.23%"
"01/23/2025","8.620","8.600","8.640","8.580","1.21M","-0.12%"
"01/22/2025","8.630","8.700","8.750","8.600","1.32M","-0.80%"
"01/21/2025","8.700","8.660","8.700","8.640","927.20K","0.46%"
"01/20/2025","8.660","8.640","8.700","8.630","1.57M","0.00%"
"01/17/2025","8.660","8.640","8.690","8.630","667.70K","0.23%"
"01/16/2025","8.640","8.700","8.700","8.600","1.08M","-0.46%"
"01/15/2025","8.680","8.620","8.690","8.620","526.00K","0.00%"
"01/14/2025","8.680","8.730","8.730","8.610","1.01M","-0.69%"
"01/13/2025","8.740","8.800","8.800","8.680","1.39M","-0.68%"
"01/10/2025","8.800","8.830","8.830","8.690","813.50K","-0.11%"
"01/09/2025","8.810","8.650","8.810","8.650","1.31M","1.85%"
"01/08/2025","8.650","8.600","8.830","8.560","1.12M","0.58%"
"01/07/2025","8.600","8.860","8.860","8.380","1.72M","-2.49%"
"01/06/2025","8.820","8.830","8.880","8.800","1.28M","-0.11%"
"01/03/2025","8.830","8.990","8.990","8.730","835.80K","-1.78%"
"01/02/2025","8.990","8.990","9.000","8.930","653.70K","-0.11%"
