"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","22.050","21.700","22.200","21.700","9.29M","1.85%"
"03/13/2025","21.650","22.400","22.500","21.550","32.95M","-2.91%"
"03/12/2025","22.300","22.100","22.350","21.700","17.78M","1.13%"
"03/11/2025","22.050","23.050","23.100","21.900","37.84M","-6.17%"
"03/10/2025","23.500","23.400","23.650","23.050","11.14M","0.21%"
"03/07/2025","23.450","23.300","23.450","22.400","17.44M","0.00%"
"03/06/2025","23.450","23.050","23.600","22.800","14.51M","0.86%"
"03/05/2025","23.250","22.000","23.550","22.000","25.35M","6.16%"
"03/04/2025","21.900","21.350","22.350","20.850","16.10M","1.15%"
"03/03/2025","21.650","22.000","22.200","21.400","20.02M","-0.23%"
"02/28/2025","21.700","22.600","22.600","21.700","49.33M","-3.34%"
"02/27/2025","22.450","22.700","23.050","22.250","28.09M","-0.22%"
"02/26/2025","22.500","22.900","23.150","22.450","17.79M","-1.75%"
"02/25/2025","22.900","22.950","23.150","22.500","16.31M","0.00%"
"02/24/2025","22.900","23.150","23.500","22.900","24.44M","-0.87%"
"02/21/2025","23.100","23.200","23.450","22.850","23.10M","1.32%"
"02/20/2025","22.800","24.700","24.700","22.550","31.38M","-8.06%"
"02/19/2025","24.800","23.850","24.800","23.750","9.68M","5.31%"
"02/18/2025","23.550","22.850","24.000","22.650","15.43M","5.13%"
"02/17/2025","22.400","23.350","23.500","22.400","23.16M","-3.66%"
"02/14/2025","23.250","24.150","24.250","23.000","13.30M","-3.73%"
"02/13/2025","24.150","24.200","24.350","23.900","6.56M","-0.21%"
"02/12/2025","24.200","24.250","24.250","24.000","2.68M","0.83%"
"02/11/2025","24.000","24.500","24.500","23.550","10.13M","-2.04%"
"02/10/2025","24.500","25.000","25.150","24.250","15.07M","-2.00%"
"02/07/2025","25.000","25.400","25.450","24.950","12.98M","-1.38%"
"02/06/2025","25.350","25.800","25.900","25.150","11.91M","-2.12%"
"02/05/2025","25.900","24.750","26.150","24.650","17.23M","5.28%"
"02/04/2025","24.600","24.400","24.800","24.250","9.02M","2.50%"
"02/03/2025","24.000","23.850","24.600","23.550","35.29M","7.62%"
"01/31/2025","22.300","24.300","24.300","22.300","42.99M","-8.98%"
"01/30/2025","24.500","25.000","25.000","24.150","10.24M","-0.61%"
"01/28/2025","24.650","24.650","24.900","24.500","6.95M","0.00%"
"01/27/2025","24.650","25.500","25.600","24.350","10.94M","-2.18%"
"01/24/2025","25.200","25.700","25.800","25.200","3.98M","-1.56%"
"01/23/2025","25.600","25.500","25.700","25.100","5.06M","0.39%"
"01/22/2025","25.500","25.500","26.050","25.500","8.92M","0.00%"
"01/21/2025","25.500","25.300","25.550","25.100","6.52M","0.99%"
"01/20/2025","25.250","25.800","26.000","25.100","9.60M","-2.13%"
"01/17/2025","25.800","26.000","26.000","25.100","10.71M","0.19%"
"01/16/2025","25.750","26.300","26.700","25.750","12.84M","-1.72%"
"01/15/2025","26.200","25.950","26.550","25.650","10.59M","2.75%"
"01/14/2025","25.500","25.400","25.750","25.200","20.68M","0.99%"
"01/13/2025","25.250","26.500","26.600","25.250","13.23M","-4.72%"
"01/10/2025","26.500","26.400","26.600","25.800","4.81M","0.00%"
"01/09/2025","26.500","26.400","26.500","26.000","4.42M","0.38%"
"01/08/2025","26.400","26.200","26.550","25.850","6.29M","1.15%"
"01/07/2025","26.100","27.100","27.100","25.850","21.57M","-3.33%"
"01/06/2025","27.000","27.000","27.150","26.700","5.87M","0.19%"
"01/03/2025","26.950","26.400","27.000","26.200","5.92M","2.08%"
"01/02/2025","26.400","26.000","26.450","25.700","7.20M","0.76%"
"12/27/2024","26.200","26.500","26.600","25.800","11.55M","-1.13%"
"12/26/2024","26.500","26.300","26.750","25.950","6.23M","0.95%"
"12/23/2024","26.250","25.200","26.250","25.050","12.09M","5.85%"
"12/20/2024","24.800","25.150","25.550","24.500","26.71M","-0.40%"
"12/19/2024","24.900","25.500","25.600","24.800","28.12M","-4.05%"
"12/18/2024","25.950","26.100","26.300","25.800","9.40M","0.97%"
"12/17/2024","25.700","26.200","26.350","25.550","33.13M","-2.10%"
"12/16/2024","26.250","26.650","26.900","26.250","19.70M","-1.32%"
"12/13/2024","26.600","27.050","27.050","26.400","15.26M","-1.30%"
"12/12/2024","26.950","26.500","27.350","26.400","18.61M","-0.92%"
"12/11/2024","27.200","28.100","28.200","27.200","14.47M","-3.37%"
"12/10/2024","28.150","28.500","28.600","28.050","8.13M","0.00%"
"12/09/2024","28.150","28.550","28.800","28.000","12.14M","-0.88%"
"12/06/2024","28.400","29.100","29.250","28.300","11.25M","-2.07%"
"12/05/2024","29.000","29.800","29.850","28.850","8.53M","-2.36%"
"12/04/2024","29.700","29.150","29.850","29.000","10.66M","1.89%"
"12/03/2024","29.150","29.150","29.300","28.650","12.02M","0.52%"
"12/02/2024","29.000","28.800","29.150","28.800","9.05M","1.40%"
"11/29/2024","28.600","28.800","29.450","28.600","14.08M","0.00%"
"11/28/2024","28.600","29.000","29.200","28.550","10.74M","-1.38%"
"11/27/2024","29.000","29.700","29.950","28.800","8.17M","-2.36%"
"11/26/2024","29.700","30.000","30.500","29.700","3.84M","-0.67%"
"11/25/2024","29.900","30.000","30.200","29.600","18.49M","-0.33%"
"11/22/2024","30.000","29.800","30.150","29.550","3.99M","0.17%"
"11/21/2024","29.950","30.100","30.550","29.750","13.42M","-1.16%"
"11/20/2024","30.300","29.700","30.300","29.550","20.50M","3.59%"
"11/19/2024","29.250","29.100","29.700","28.750","21.94M","0.86%"
"11/18/2024","29.000","29.100","29.450","28.800","21.04M","-0.17%"
"11/15/2024","29.050","29.000","30.200","28.950","26.78M","0.87%"
"11/14/2024","28.800","30.250","30.300","28.550","34.34M","-4.79%"
"11/13/2024","30.250","30.700","31.050","30.000","12.92M","-0.98%"
"11/12/2024","30.550","31.600","31.750","30.500","16.54M","-3.32%"
"11/11/2024","31.600","31.000","31.650","30.700","10.33M","1.94%"
"11/08/2024","31.000","31.500","31.850","30.250","27.25M","-1.27%"
"11/07/2024","31.400","32.850","32.850","31.250","33.38M","-4.85%"
"11/06/2024","33.000","34.500","34.600","33.000","10.97M","-4.35%"
"11/05/2024","34.500","33.300","34.650","33.200","15.21M","4.55%"
"11/04/2024","33.000","32.800","33.400","32.600","11.91M","0.92%"
"10/31/2024","32.700","33.600","33.800","32.700","18.94M","-2.68%"
"10/30/2024","33.600","33.500","33.950","33.200","17.01M","0.30%"
"10/29/2024","33.500","34.500","34.600","33.500","10.39M","-3.18%"
"10/28/2024","34.600","34.800","34.950","34.500","3.17M","-0.57%"
