"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","3.670","3.500","3.720","3.480","17.19M","6.07%"
"03/13/2025","3.460","3.410","3.530","3.370","17.06M","1.47%"
"03/12/2025","3.410","3.700","3.720","3.370","22.79M","-4.48%"
"03/11/2025","3.570","3.790","3.980","3.520","24.39M","-5.56%"
"03/10/2025","3.780","3.390","3.880","3.340","18.64M","14.55%"
"03/07/2025","3.300","3.400","3.400","3.290","12.79M","-2.08%"
"03/06/2025","3.370","3.390","3.480","3.300","6.99M","1.81%"
"03/05/2025","3.310","3.320","3.470","3.260","19.20M","-0.30%"
"03/04/2025","3.320","3.390","3.400","3.250","6.62M","-1.48%"
"03/03/2025","3.370","3.250","3.450","3.220","11.53M","5.64%"
"02/28/2025","3.190","3.510","3.510","3.130","30.71M","-8.86%"
"02/27/2025","3.500","3.600","3.600","3.440","4.15M","-2.78%"
"02/26/2025","3.600","3.560","3.600","3.370","11.94M","2.86%"
"02/25/2025","3.500","3.600","3.600","3.460","8.76M","-2.23%"
"02/24/2025","3.580","3.600","3.640","3.540","4.15M","0.85%"
"02/21/2025","3.550","3.650","3.700","3.550","5.37M","-1.11%"
"02/20/2025","3.590","3.580","3.740","3.530","7.60M","0.00%"
"02/19/2025","3.590","3.600","3.710","3.560","7.45M","0.00%"
"02/18/2025","3.590","3.600","3.700","3.570","2.43M","-0.28%"
"02/17/2025","3.600","3.650","3.650","3.500","6.83M","0.28%"
"02/14/2025","3.590","3.560","3.690","3.530","7.40M","-0.28%"
"02/13/2025","3.600","3.730","3.730","3.500","9.44M","-2.70%"
"02/12/2025","3.700","3.780","3.800","3.680","5.16M","-2.12%"
"02/11/2025","3.780","3.910","3.940","3.760","3.68M","-2.33%"
"02/10/2025","3.870","4.020","4.030","3.870","3.66M","-1.53%"
"02/07/2025","3.930","4.090","4.090","3.930","5.38M","-4.15%"
"02/06/2025","4.100","3.800","4.100","3.780","6.83M","7.61%"
"02/05/2025","3.810","3.800","3.910","3.780","4.21M","1.60%"
"02/04/2025","3.750","3.800","3.840","3.730","4.30M","1.35%"
"02/03/2025","3.700","3.610","3.880","3.500","14.96M","7.87%"
"01/31/2025","3.430","3.980","3.980","3.430","17.98M","-13.60%"
"01/30/2025","3.970","4.000","4.040","3.910","1.82M","-0.75%"
"01/28/2025","4.000","3.990","4.020","3.880","6.27M","2.30%"
"01/27/2025","3.910","3.900","4.000","3.900","3.17M","2.36%"
"01/24/2025","3.820","3.820","3.850","3.730","5.02M","0.00%"
"01/23/2025","3.820","3.940","3.940","3.820","8.13M","-3.05%"
"01/22/2025","3.940","3.990","4.010","3.910","14.53M","-1.25%"
"01/21/2025","3.990","4.090","4.100","3.950","7.33M","-1.97%"
"01/20/2025","4.070","4.070","4.130","4.000","4.90M","0.25%"
"01/17/2025","4.060","4.100","4.100","3.990","3.34M","1.50%"
"01/16/2025","4.000","3.930","4.190","3.930","20.53M","2.30%"
"01/15/2025","3.910","3.960","4.010","3.830","13.43M","-1.01%"
"01/14/2025","3.950","4.070","4.140","3.950","21.52M","-2.95%"
"01/13/2025","4.070","4.200","4.280","4.050","11.75M","-2.86%"
"01/10/2025","4.190","4.330","4.340","4.130","15.24M","-3.68%"
"01/09/2025","4.350","4.520","4.560","4.300","12.69M","-3.55%"
"01/08/2025","4.510","4.680","4.680","4.480","9.48M","-3.84%"
