"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","135.90","136.50","136.90","135.00","841.24K","-0.73%"
"03/13/2025","136.90","133.00","137.50","132.80","3.97M","2.78%"
"03/12/2025","133.20","131.40","133.20","130.50","3.57M","0.30%"
"03/11/2025","132.80","131.90","133.60","130.40","5.55M","0.68%"
"03/10/2025","131.90","130.50","132.30","130.50","2.16M","0.38%"
"03/07/2025","131.40","129.40","131.70","128.30","5.18M","1.08%"
"03/06/2025","130.00","128.80","131.10","128.50","7.94M","1.17%"
"03/05/2025","128.50","127.00","128.80","126.50","2.05M","1.18%"
"03/04/2025","127.00","127.00","127.60","125.30","12.34M","0.00%"
"03/03/2025","127.00","126.00","128.00","122.50","4.46M","2.17%"
"02/28/2025","124.30","131.50","131.90","124.30","20.22M","-5.11%"
"02/27/2025","131.00","132.00","133.20","130.50","1.78M","-0.76%"
"02/26/2025","132.00","130.00","132.00","130.00","2.09M","1.54%"
"02/25/2025","130.00","130.50","131.30","129.20","1.82M","-0.38%"
"02/24/2025","130.50","128.60","130.60","128.50","1.79M","1.87%"
"02/21/2025","128.10","129.90","130.10","127.90","2.78M","-1.31%"
"02/20/2025","129.80","128.00","129.80","126.70","2.36M","1.72%"
"02/19/2025","127.60","129.00","131.40","127.60","2.18M","-1.09%"
"02/18/2025","129.00","127.80","130.00","127.80","2.24M","0.78%"
"02/17/2025","128.00","129.30","130.00","127.70","2.51M","-1.54%"
"02/14/2025","130.00","129.80","130.60","128.70","2.12M","0.62%"
"02/13/2025","129.20","131.80","133.40","128.80","4.60M","-1.37%"
"02/12/2025","131.00","133.20","133.50","129.80","4.22M","2.34%"
"02/11/2025","128.00","128.70","130.10","128.00","4.32M","-0.54%"
"02/10/2025","128.70","132.10","134.40","128.00","3.52M","-1.98%"
"02/07/2025","131.30","127.90","131.70","127.00","7.46M","3.39%"
"02/06/2025","127.00","127.00","128.20","126.00","1.71M","-0.63%"
"02/05/2025","127.80","124.30","127.80","124.20","1.86M","2.82%"
"02/04/2025","124.30","120.00","124.50","119.60","2.66M","3.58%"
"02/03/2025","120.00","120.00","122.00","118.50","3.15M","3.27%"
"01/31/2025","116.20","124.00","124.70","116.20","6.25M","-6.67%"
"01/30/2025","124.50","125.00","126.30","123.00","2.03M","-0.80%"
"01/28/2025","125.50","124.00","126.40","123.50","1.55M","0.80%"
"01/27/2025","124.50","124.50","125.30","123.00","1.67M","0.00%"
"01/24/2025","124.50","124.00","124.90","122.50","1.30M","0.40%"
"01/23/2025","124.00","124.50","124.50","122.80","1.11M","-0.40%"
"01/22/2025","124.50","122.50","124.50","121.70","1.50M","1.63%"
"01/21/2025","122.50","122.60","122.70","121.10","1.15M","-0.16%"
"01/20/2025","122.70","119.50","122.70","119.50","841.15K","0.99%"
"01/17/2025","121.50","119.90","121.50","118.30","920.32K","2.97%"
"01/16/2025","118.00","120.00","122.70","118.00","2.06M","-0.84%"
"01/15/2025","119.00","118.00","119.00","116.00","1.28M","0.85%"
"01/14/2025","118.00","118.20","120.00","117.50","1.86M","-0.08%"
"01/13/2025","118.10","120.70","120.70","118.10","1.84M","-2.32%"
"01/10/2025","120.90","120.60","121.70","120.60","1.09M","0.08%"
"01/09/2025","120.80","120.70","121.20","120.20","2.23M","0.17%"
"01/08/2025","120.60","123.00","123.80","120.50","2.49M","-1.95%"
"01/07/2025","123.00","124.10","125.20","122.50","2.32M","-0.81%"
"01/06/2025","124.00","124.50","124.50","122.40","1.16M","-0.40%"
"01/03/2025","124.50","122.00","125.00","121.90","1.55M","2.05%"
"01/02/2025","122.00","122.40","122.60","121.20","1.00M","0.00%"
"12/27/2024","122.00","124.30","124.30","120.50","2.20M","-1.93%"
"12/26/2024","124.40","122.90","124.40","122.20","648.72K","1.47%"
"12/23/2024","122.60","121.60","122.60","120.10","1.94M","0.91%"
"12/20/2024","121.50","122.00","124.10","121.10","4.99M","-0.41%"
"12/19/2024","122.00","126.00","127.00","120.40","6.02M","-3.17%"
"12/18/2024","126.00","128.80","129.70","125.20","2.72M","-1.95%"
"12/17/2024","128.50","134.50","134.50","128.50","3.88M","-4.67%"
"12/16/2024","134.80","132.00","134.80","130.10","1.70M","2.12%"
"12/13/2024","132.00","136.00","136.00","132.00","2.02M","-1.93%"
"12/12/2024","134.60","130.00","136.10","129.60","3.48M","3.54%"
"12/11/2024","130.00","128.90","130.10","128.70","3.20M","0.08%"
"12/10/2024","129.90","129.80","130.50","127.20","2.81M","-0.08%"
"12/09/2024","130.00","130.00","130.40","128.50","2.94M","0.00%"
"12/06/2024","130.00","128.20","131.30","128.20","5.90M","1.56%"
"12/05/2024","128.00","127.90","129.40","126.90","5.69M","-0.39%"
"12/04/2024","128.50","128.00","128.90","127.40","5.12M","0.63%"
"12/03/2024","127.70","128.10","129.40","127.70","4.47M","-0.55%"
"12/02/2024","128.40","128.70","129.60","128.00","4.03M","-0.16%"
"11/29/2024","128.60","129.40","131.00","128.60","3.99M","-0.77%"
"11/28/2024","129.60","130.40","130.80","129.00","3.70M","-0.69%"
"11/27/2024","130.50","133.00","133.00","130.50","2.49M","-1.88%"
"11/26/2024","133.00","132.10","134.20","132.10","2.10M","1.45%"
"11/25/2024","131.10","134.30","135.30","131.10","9.48M","-2.38%"
"11/22/2024","134.30","136.00","136.50","133.30","3.15M","-0.89%"
"11/21/2024","135.50","137.20","139.00","135.50","2.94M","-1.81%"
"11/20/2024","138.00","138.10","139.30","137.00","1.96M","-0.07%"
"11/19/2024","138.10","140.20","141.00","136.50","2.43M","-1.50%"
"11/18/2024","140.20","139.40","141.70","137.20","2.43M","0.14%"
"11/15/2024","140.00","134.60","140.30","134.60","2.05M","3.70%"
"11/14/2024","135.00","135.10","136.90","134.90","2.56M","0.00%"
"11/13/2024","135.00","135.10","138.90","135.00","3.11M","-0.07%"
"11/12/2024","135.10","137.00","138.80","135.10","2.39M","-2.10%"
"11/11/2024","138.00","138.50","138.50","136.50","1.46M","0.00%"
"11/08/2024","138.00","139.50","140.00","135.20","3.35M","-1.43%"
"11/07/2024","140.00","141.60","143.70","138.40","2.94M","-2.64%"
"11/06/2024","143.80","143.50","144.40","141.90","1.19M","0.21%"
"11/05/2024","143.50","142.00","144.50","141.10","1.90M","1.27%"
"11/04/2024","141.70","147.20","147.20","140.30","1.82M","-1.05%"
"10/31/2024","143.20","145.00","145.00","141.00","1.62M","-1.58%"
"10/30/2024","145.50","145.20","146.70","144.00","1.21M","-1.15%"
"10/29/2024","147.20","147.50","149.10","146.40","3.00M","-0.14%"
"10/28/2024","147.40","147.00","149.60","146.20","5.07M","0.96%"
"10/25/2024","146.00","140.60","148.80","139.80","5.18M","5.04%"
"10/24/2024","139.00","143.70","144.00","139.00","1.75M","-3.34%"
"10/23/2024","143.80","143.00","144.10","142.30","1.65M","0.56%"
"10/22/2024","143.00","142.50","144.80","142.20","2.48M","0.35%"
"10/21/2024","142.50","142.50","143.50","141.70","1.85M","-0.42%"
"10/18/2024","143.10","142.50","144.30","142.00","969.13K","0.42%"
