"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","11.340","11.460","11.520","11.300","1.55M","-2.07%"
"03/13/2025","11.580","11.460","11.620","11.380","3.82M","1.05%"
"03/12/2025","11.460","11.360","11.500","11.340","1.34M","0.53%"
"03/11/2025","11.400","11.600","11.600","11.360","1.04M","0.35%"
"03/10/2025","11.360","11.320","11.620","11.320","2.21M","0.53%"
"03/07/2025","11.300","11.300","11.400","11.300","909.20K","0.18%"
"03/06/2025","11.280","11.360","11.420","11.220","1.46M","-0.18%"
"03/05/2025","11.300","11.240","11.300","11.140","2.72M","0.71%"
"03/04/2025","11.220","11.280","11.320","11.200","1.09M","-0.88%"
"03/03/2025","11.320","11.420","11.440","11.240","1.90M","1.07%"
"02/28/2025","11.200","11.520","11.540","11.200","7.20M","-2.61%"
"02/27/2025","11.500","11.500","11.540","11.380","3.21M","0.00%"
"02/26/2025","11.500","11.480","11.580","11.280","4.26M","0.88%"
"02/25/2025","11.400","11.440","11.560","11.280","1.95M","-0.35%"
"02/24/2025","11.440","11.400","11.500","11.300","1.74M","0.18%"
"02/21/2025","11.420","11.500","11.620","11.360","2.03M","-0.70%"
"02/20/2025","11.500","11.760","11.780","11.440","6.54M","-2.21%"
"02/19/2025","11.760","11.640","11.820","11.580","9.19M","1.03%"
"02/18/2025","11.640","11.480","11.640","11.360","6.77M","0.87%"
"02/17/2025","11.540","11.020","11.540","11.000","9.70M","4.53%"
"02/14/2025","11.040","11.020","11.160","11.000","4.93M","0.18%"
"02/13/2025","11.020","11.080","11.120","11.000","4.33M","0.18%"
"02/12/2025","11.000","11.100","11.120","11.000","525.00K","-0.90%"
"02/11/2025","11.100","11.100","11.180","10.980","3.77M","0.00%"
"02/10/2025","11.100","11.000","11.180","11.000","1.72M","0.91%"
"02/07/2025","11.000","11.200","11.200","10.980","2.77M","0.00%"
"02/06/2025","11.000","11.140","11.180","11.000","3.17M","-0.36%"
"02/05/2025","11.040","11.100","11.200","10.980","4.95M","-0.54%"
"02/04/2025","11.100","10.920","11.160","10.920","1.11M","1.65%"
"02/03/2025","10.920","10.920","11.180","10.900","2.90M","0.18%"
"01/31/2025","10.900","11.180","11.180","10.900","10.92M","-2.33%"
"01/30/2025","11.160","11.240","11.300","11.100","1.67M","-1.24%"
"01/28/2025","11.300","11.200","11.300","11.180","2.93M","0.89%"
"01/27/2025","11.200","11.340","11.340","11.160","877.40K","-1.23%"
"01/24/2025","11.340","11.360","11.380","11.260","862.50K","-1.05%"
"01/23/2025","11.460","11.140","11.480","11.100","3.91M","3.99%"
"01/22/2025","11.020","11.160","11.160","11.020","811.10K","-1.25%"
"01/21/2025","11.160","11.160","11.160","11.040","677.50K","0.00%"
"01/20/2025","11.160","11.040","11.160","10.980","719.10K","1.09%"
"01/17/2025","11.040","11.040","11.040","10.940","2.98M","0.00%"
"01/16/2025","11.040","10.880","11.100","10.840","1.21M","1.47%"
"01/15/2025","10.880","10.800","10.920","10.720","1.17M","0.74%"
"01/14/2025","10.800","10.860","10.880","10.720","1.76M","-0.55%"
"01/13/2025","10.860","10.900","10.920","10.780","1.51M","-0.37%"
"01/10/2025","10.900","11.000","11.000","10.760","1.68M","-0.73%"
"01/09/2025","10.980","10.920","10.980","10.820","1.07M","0.37%"
"01/08/2025","10.940","10.920","10.940","10.800","3.16M","0.37%"
"01/07/2025","10.900","10.940","10.940","10.760","1.22M","-0.37%"
"01/06/2025","10.940","10.900","10.960","10.760","1.82M","0.37%"
"01/03/2025","10.900","10.800","10.920","10.660","3.02M","0.74%"
"01/02/2025","10.820","10.820","10.820","10.700","1.74M","0.00%"
"12/27/2024","10.820","10.760","10.820","10.640","1.11M","0.74%"
"12/26/2024","10.740","10.600","10.740","10.600","1.20M","2.09%"
"12/23/2024","10.520","10.420","10.600","10.380","1.95M","1.94%"
"12/20/2024","10.320","10.540","10.600","10.320","17.32M","-1.53%"
"12/19/2024","10.480","10.500","10.600","10.400","1.21M","0.19%"
"12/18/2024","10.460","10.380","10.500","10.380","873.30K","1.75%"
"12/17/2024","10.280","10.520","10.520","10.280","4.63M","-2.10%"
"12/16/2024","10.500","10.600","10.760","10.460","1.53M","-0.38%"
"12/13/2024","10.540","10.620","10.840","10.500","4.58M","-0.75%"
"12/12/2024","10.620","10.700","10.900","10.620","3.98M","-0.75%"
"12/11/2024","10.700","10.940","11.020","10.700","5.62M","-2.19%"
"12/10/2024","10.940","11.200","11.200","10.880","1.96M","-2.32%"
"12/09/2024","11.200","11.180","11.200","11.000","4.10M","0.18%"
"12/06/2024","11.180","11.080","11.180","10.900","1.58M","0.72%"
"12/05/2024","11.100","11.000","11.100","10.860","2.14M","1.28%"
"12/04/2024","10.960","10.840","11.080","10.820","2.84M","1.48%"
"12/03/2024","10.800","10.780","10.980","10.760","1.44M","0.19%"
"12/02/2024","10.780","10.680","10.840","10.600","866.20K","1.13%"
"11/29/2024","10.660","10.540","10.660","10.500","1.47M","1.33%"
"11/28/2024","10.520","10.540","10.600","10.460","1.60M","0.00%"
"11/27/2024","10.520","10.660","10.660","10.460","2.21M","-0.19%"
"11/26/2024","10.540","10.700","10.700","10.460","3.17M","-1.68%"
"11/25/2024","10.720","10.320","10.720","10.320","5.38M","3.88%"
"11/22/2024","10.320","10.240","10.460","10.240","6.61M","0.98%"
"11/21/2024","10.220","10.480","10.700","10.220","7.13M","-1.92%"
"11/20/2024","10.420","10.600","10.620","10.380","7.10M","-1.70%"
"11/19/2024","10.600","10.640","10.880","10.540","2.94M","0.00%"
"11/18/2024","10.600","10.700","11.000","10.580","2.29M","-0.93%"
"11/15/2024","10.700","10.600","10.920","10.580","1.68M","0.94%"
"11/14/2024","10.600","10.680","10.860","10.560","1.53M","-0.75%"
"11/13/2024","10.680","10.880","10.900","10.680","1.65M","-1.29%"
"11/12/2024","10.820","10.700","10.900","10.700","3.96M","1.12%"
"11/11/2024","10.700","11.200","11.200","10.700","4.64M","-4.46%"
"11/08/2024","11.200","11.020","11.200","10.940","945.20K","1.82%"
"11/07/2024","11.000","11.240","11.240","10.940","5.87M","-1.96%"
"11/06/2024","11.220","11.200","11.260","11.180","823.00K","0.18%"
"11/05/2024","11.200","11.220","11.260","11.180","1.04M","-0.18%"
"11/04/2024","11.220","11.200","11.260","11.200","1.60M","0.18%"
"10/31/2024","11.200","11.200","11.220","11.120","1.66M","-0.18%"
"10/30/2024","11.220","11.180","11.220","11.020","3.13M","0.18%"
"10/29/2024","11.200","11.180","11.220","11.120","3.19M","1.27%"
"10/28/2024","11.060","11.060","11.156","10.964","4.18M","0.00%"
"10/25/2024","11.060","10.926","11.098","10.907","1.63M","2.12%"
"10/24/2024","10.830","11.194","11.194","10.830","5.76M","-3.42%"
"10/23/2024","11.213","11.290","11.328","11.156","1.35M","-0.85%"
"10/22/2024","11.309","11.271","11.309","11.233","1.98M","0.51%"
"10/21/2024","11.252","11.386","11.386","11.213","2.19M","-1.18%"
"10/18/2024","11.386","11.405","11.443","11.290","2.42M","0.00%"
"10/17/2024","11.386","11.501","11.597","11.386","5.55M","-4.19%"
"10/16/2024","11.884","11.328","11.884","11.290","25.54M","5.80%"
"10/15/2024","11.233","11.367","11.520","11.233","6.80M","-1.01%"
"10/14/2024","11.348","11.309","11.386","11.271","2.75M","0.68%"
"10/11/2024","11.271","11.156","11.367","11.156","2.73M","1.20%"
"10/10/2024","11.137","11.386","11.424","11.118","2.58M","-1.86%"
"10/09/2024","11.348","11.424","11.424","11.309","1.08M","-0.50%"
"10/08/2024","11.405","11.443","11.463","11.367","1.73M","-0.67%"
"10/07/2024","11.482","11.060","11.558","11.060","8.16M","3.81%"
"10/04/2024","11.060","11.022","11.118","11.022","1.16M","0.52%"
"10/03/2024","11.003","10.926","11.041","10.907","1.68M","0.88%"
"10/02/2024","10.907","10.983","11.022","10.792","3.62M","-1.04%"
"10/01/2024","11.022","11.022","11.079","10.983","1.76M","0.00%"
"09/30/2024","11.022","11.118","11.252","10.849","2.85M","-0.86%"
"09/27/2024","11.118","11.213","11.213","11.041","2.64M","-0.85%"
"09/26/2024","11.213","11.194","11.271","11.098","2.89M","0.00%"
"09/25/2024","11.213","11.252","11.348","11.213","1.32M","0.00%"
"09/24/2024","11.213","11.252","11.597","11.118","5.16M","-0.34%"
"09/23/2024","11.252","11.213","11.348","11.213","1.58M","0.34%"
"09/20/2024","11.213","11.309","11.424","11.175","4.29M","-0.85%"
"09/19/2024","11.309","11.213","11.367","11.213","4.22M","0.68%"
"09/18/2024","11.233","11.252","11.405","11.233","1.66M","0.17%"
"09/17/2024","11.213","11.290","11.405","11.213","1.46M","-0.34%"
"09/16/2024","11.252","11.233","11.348","11.156","570.30K","1.03%"
"09/13/2024","11.137","11.213","11.405","11.137","1.48M","-1.19%"
"09/12/2024","11.271","11.213","11.290","11.098","2.66M","2.80%"
"09/11/2024","10.964","11.118","11.213","10.945","3.70M","-0.87%"
"09/10/2024","11.060","11.213","11.309","11.060","1.51M","0.00%"
"09/09/2024","11.060","11.194","11.367","11.060","1.92M","-1.37%"
"09/06/2024","11.213","11.118","11.271","11.118","1.53M","1.21%"
"09/05/2024","11.079","11.213","11.309","11.041","878.00K","-1.20%"
"09/04/2024","11.213","11.098","11.213","10.983","1.56M","0.86%"
"09/03/2024","11.118","11.194","11.252","11.003","2.05M","-0.68%"
"09/02/2024","11.194","11.213","11.252","11.118","1.42M","-0.17%"
"08/30/2024","11.213","11.022","11.328","10.983","6.01M","1.74%"
"08/29/2024","11.022","10.926","11.098","10.868","3.50M","1.41%"
"08/28/2024","10.868","10.830","10.926","10.811","929.70K","0.71%"
"08/27/2024","10.792","10.638","10.983","10.638","3.32M","1.44%"
"08/22/2024","10.638","10.772","10.887","10.638","1.63M","0.00%"
"08/21/2024","10.638","10.638","10.830","10.638","2.28M","0.00%"
"08/20/2024","10.638","11.022","11.079","10.619","4.79M","-3.31%"
"08/19/2024","11.003","10.677","11.003","10.677","3.89M","3.61%"
"08/16/2024","10.619","10.677","10.792","10.581","1.57M","-0.18%"
"08/15/2024","10.638","10.638","10.772","10.542","1.26M","0.18%"
"08/14/2024","10.619","10.542","10.638","10.447","1.97M","1.09%"
"08/13/2024","10.504","10.581","10.581","10.466","1.94M","-0.36%"
"08/12/2024","10.542","10.619","10.638","10.523","1.28M","-0.72%"
"08/09/2024","10.619","10.562","10.638","10.504","1.31M","0.73%"
"08/08/2024","10.542","10.562","10.638","10.504","1.59M","-0.18%"
"08/07/2024","10.562","10.696","10.696","10.408","2.51M","-1.25%"
"08/06/2024","10.696","10.523","10.696","10.485","1.45M","1.64%"
"08/05/2024","10.523","10.753","10.753","10.504","2.44M","-2.83%"
"08/02/2024","10.830","10.926","10.926","10.638","1.60M","-1.57%"
"08/01/2024","11.003","10.887","11.022","10.868","1.67M","1.06%"
"07/31/2024","10.887","10.753","10.887","10.657","2.23M","1.25%"
"07/30/2024","10.753","10.657","10.753","10.619","2.30M","0.90%"
"07/29/2024","10.657","10.677","10.715","10.638","1.09M","0.18%"
"07/26/2024","10.638","10.715","10.715","10.542","891.20K","0.73%"
"07/25/2024","10.562","10.753","10.753","10.562","893.30K","-1.61%"
"07/23/2024","10.734","10.715","10.772","10.638","3.18M","0.18%"
"07/22/2024","10.715","10.523","10.715","10.504","6.92M","1.82%"
"07/19/2024","10.523","10.638","10.753","10.504","3.40M","-1.08%"
"07/18/2024","10.638","10.638","10.696","10.523","11.19M","0.00%"
