"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","11.880","11.840","11.900","11.660","263.60K","-0.17%"
"03/13/2025","11.900","12.300","12.300","11.840","2.04M","-2.46%"
"03/12/2025","12.200","11.880","12.200","11.800","1.84M","1.67%"
"03/11/2025","12.000","12.220","12.280","11.900","1.66M","-1.80%"
"03/10/2025","12.220","12.280","12.300","12.140","1.65M","0.00%"
"03/07/2025","12.220","12.300","12.320","12.160","1.72M","0.16%"
"03/06/2025","12.200","12.360","12.400","12.180","1.91M","-0.16%"
"03/05/2025","12.220","12.320","12.360","12.160","242.50K","0.33%"
"03/04/2025","12.180","12.360","12.360","12.120","58.10K","0.16%"
"03/03/2025","12.160","12.400","12.400","12.160","50.98M","-1.14%"
"02/28/2025","12.300","12.260","12.380","11.860","3.00M","1.15%"
"02/27/2025","12.160","12.000","12.500","11.900","2.68M","0.16%"
"02/26/2025","12.140","12.420","12.480","11.640","5.45M","-1.78%"
"02/25/2025","12.360","12.340","12.420","11.860","231.70K","0.00%"
"02/24/2025","12.360","12.380","12.380","11.260","4.29M","1.15%"
"02/21/2025","12.220","12.680","12.740","12.220","1.28M","-1.29%"
"02/20/2025","12.380","12.720","12.720","12.380","215.30K","-0.64%"
"02/19/2025","12.460","12.700","12.700","12.320","1.73M","1.14%"
"02/18/2025","12.320","12.420","12.740","12.320","1.79M","-2.99%"
"02/17/2025","12.700","12.200","12.700","12.200","1.64M","4.27%"
"02/14/2025","12.180","12.500","13.100","12.180","2.06M","-2.56%"
"02/13/2025","12.500","12.160","13.080","12.160","1.74M","3.31%"
"02/12/2025","12.100","12.980","13.080","12.100","1.63M","-4.42%"
"02/11/2025","12.660","13.900","14.420","12.660","2.12M","-7.05%"
"02/10/2025","13.620","15.060","15.060","13.620","1.71M","-4.89%"
"02/07/2025","14.320","15.400","15.400","14.320","1.65M","-5.17%"
"02/06/2025","15.100","15.080","15.460","15.000","1.62M","2.44%"
"02/05/2025","14.740","14.600","15.480","14.340","1.69M","2.08%"
"02/04/2025","14.440","15.000","15.680","14.440","1.64M","-3.35%"
"02/03/2025","14.940","16.200","16.800","14.940","3.83M","-6.86%"
"01/31/2025","16.040","17.640","17.660","16.040","6.72M","-11.18%"
"01/30/2025","18.060","17.880","18.060","17.560","307.60K","1.12%"
"01/28/2025","17.860","17.980","18.120","17.860","326.40K","-1.33%"
"01/27/2025","18.100","18.140","18.200","17.900","1.00M","-0.22%"
"01/24/2025","18.140","18.080","18.140","17.840","664.00K","0.33%"
"01/23/2025","18.080","18.000","18.080","17.780","1.63M","1.46%"
"01/22/2025","17.820","18.080","18.100","17.800","1.63M","-1.44%"
"01/21/2025","18.080","18.040","18.080","17.700","39.80K","0.22%"
"01/20/2025","18.040","17.900","18.040","17.680","1.60M","0.00%"
"01/17/2025","18.040","17.920","18.100","17.920","94.40K","-0.22%"
"01/16/2025","18.080","18.020","18.080","17.900","1.70M","0.33%"
"01/15/2025","18.020","17.880","18.020","17.860","1.60M","0.22%"
"01/14/2025","17.980","17.880","17.980","17.840","1.65M","0.00%"
"01/13/2025","17.980","17.860","18.000","17.860","1.62M","0.45%"
"01/10/2025","17.900","18.020","18.040","17.880","96.10K","-0.67%"
"01/09/2025","18.020","17.860","18.020","17.800","1.79M","0.90%"
"01/08/2025","17.860","17.860","18.000","17.820","1.67M","0.00%"
"01/07/2025","17.860","18.060","18.060","17.860","1.62M","-1.11%"
"01/06/2025","18.060","18.080","18.080","17.860","55.10K","-0.11%"
"01/03/2025","18.080","18.080","18.100","17.880","82.70K","0.00%"
