"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","2,116.00","2,122.00","2,130.00","2,106.00","17.38K","-0.28%"
"03/13/2025","2,122.00","2,140.00","2,160.00","2,122.00","43.57K","-1.30%"
"03/12/2025","2,150.00","2,170.00","2,170.00","2,122.00","25.21K","-0.74%"
"03/11/2025","2,166.00","2,198.00","2,198.00","2,104.00","40.61K","-1.55%"
"03/10/2025","2,200.00","2,234.00","2,240.00","2,180.00","66.67K","-1.52%"
"03/07/2025","2,234.00","2,242.00","2,248.00","2,234.00","12.68K","-0.36%"
"03/06/2025","2,242.00","2,242.00","2,256.00","2,236.00","7.44K","-0.27%"
"03/05/2025","2,248.00","2,272.00","2,272.00","2,154.00","90.28K","-1.14%"
"03/04/2025","2,274.00","2,260.00","2,274.00","2,252.00","16.43K","0.18%"
"03/03/2025","2,270.00","2,270.00","2,270.00","2,262.00","37.05K","-0.18%"
"02/28/2025","2,274.00","2,270.00","2,276.00","2,260.00","17.03K","0.18%"
"02/27/2025","2,270.00","2,270.00","2,278.00","2,260.00","28.31K","0.00%"
"02/26/2025","2,270.00","2,250.00","2,278.00","2,250.00","24.13K","-0.26%"
"02/25/2025","2,276.00","2,266.00","2,276.00","2,244.00","33.42K","0.53%"
"02/24/2025","2,264.00","2,260.00","2,280.00","2,240.00","18.65K","-0.61%"
"02/21/2025","2,278.00","2,270.00","2,280.00","2,258.00","9.17K","0.35%"
"02/20/2025","2,270.00","2,286.00","2,290.00","2,262.00","26.65K","-0.70%"
"02/19/2025","2,286.00","2,290.00","2,298.00","2,278.00","19.46K","-0.61%"
"02/18/2025","2,300.00","2,272.00","2,308.00","2,272.00","92.72K","1.32%"
"02/17/2025","2,270.00","2,270.00","2,288.00","2,250.00","36.37K","0.00%"
"02/14/2025","2,270.00","2,270.00","2,278.00","2,246.00","4.86K","0.00%"
"02/13/2025","2,270.00","2,250.00","2,280.00","2,238.00","29.51K","0.89%"
"02/12/2025","2,250.00","2,254.00","2,260.00","2,224.00","62.55K","-1.32%"
"02/11/2025","2,280.00","2,274.00","2,288.00","2,262.00","22.29K","0.44%"
"02/10/2025","2,270.00","2,266.00","2,286.00","2,254.00","22.76K","-0.79%"
"02/07/2025","2,288.00","2,288.00","2,300.00","2,234.00","107.26K","-0.52%"
"02/06/2025","2,300.00","2,252.00","2,314.00","2,242.00","97.57K","1.86%"
"02/05/2025","2,258.00","2,244.00","2,270.00","2,224.00","21.96K","0.62%"
"02/04/2025","2,244.00","2,212.00","2,254.00","2,212.00","26.87K","1.54%"
"02/03/2025","2,210.00","2,200.00","2,238.00","2,200.00","49.53K","0.00%"
"01/31/2025","2,210.00","2,280.00","2,282.00","2,210.00","91.71K","-3.41%"
"01/30/2025","2,288.00","2,280.00","2,288.00","2,250.00","12.31K","0.35%"
"01/28/2025","2,280.00","2,290.00","2,290.00","2,260.00","11.26K","-0.44%"
"01/27/2025","2,290.00","2,288.00","2,298.00","2,240.00","14.22K","0.53%"
"01/24/2025","2,278.00","2,300.00","2,310.00","2,242.00","23.23K","-0.96%"
"01/23/2025","2,300.00","2,270.00","2,310.00","2,256.00","47.94K","1.23%"
"01/22/2025","2,272.00","2,270.00","2,284.00","2,268.00","22.73K","-0.26%"
"01/21/2025","2,278.00","2,292.00","2,334.00","2,264.00","57.67K","-0.52%"
"01/20/2025","2,290.00","2,290.00","2,290.00","2,280.00","10.63K","0.00%"
"01/17/2025","2,290.00","2,290.00","2,290.00","2,256.00","6.94K","0.00%"
"01/16/2025","2,290.00","2,290.00","2,318.00","2,244.00","23.21K","0.00%"
"01/15/2025","2,290.00","2,270.00","2,308.00","2,270.00","30.82K","-0.43%"
"01/14/2025","2,300.00","2,270.00","2,300.00","2,250.00","21.12K","1.32%"
