"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","517.00","519.00","526.00","510.00","63.27K","-2.08%"
"03/13/2025","528.00","527.00","528.00","515.00","49.63K","1.64%"
"03/12/2025","519.50","510.00","520.00","506.00","114.98K","2.57%"
"03/11/2025","506.50","546.00","546.00","506.50","214.88K","-6.89%"
"03/10/2025","544.00","528.00","546.50","527.00","107.96K","3.52%"
"03/07/2025","525.50","531.00","537.50","520.50","33.05K","-2.50%"
"03/06/2025","539.00","513.00","539.00","513.00","152.16K","5.07%"
"03/05/2025","513.00","498.00","524.50","498.00","134.88K","3.01%"
"03/04/2025","498.00","501.00","502.50","495.00","37.38K","-0.60%"
"03/03/2025","501.00","510.00","519.50","498.20","100.05K","-1.38%"
"02/28/2025","508.00","524.00","524.00","508.00","153.74K","-3.24%"
"02/27/2025","525.00","520.00","529.50","510.00","78.37K","0.96%"
"02/26/2025","520.00","525.00","525.00","516.00","63.53K","-0.95%"
"02/25/2025","525.00","526.50","526.50","521.00","39.71K","-0.57%"
"02/24/2025","528.00","528.00","530.00","524.00","33.85K","0.00%"
"02/21/2025","528.00","530.00","533.00","525.00","28.06K","-0.38%"
"02/20/2025","530.00","535.00","535.00","524.50","202.66K","0.00%"
"02/19/2025","530.00","519.00","539.50","519.00","51.21K","2.12%"
"02/18/2025","519.00","507.00","519.50","507.00","88.83K","2.47%"
"02/17/2025","506.50","517.00","520.00","505.00","115.45K","-2.03%"
"02/14/2025","517.00","542.00","542.00","516.00","197.96K","-1.90%"
"02/13/2025","527.00","530.00","535.50","526.00","102.16K","-0.57%"
"02/12/2025","530.00","530.00","535.00","528.00","86.54K","0.00%"
"02/11/2025","530.00","537.50","540.00","526.00","74.47K","-0.84%"
"02/10/2025","534.50","542.50","549.00","534.50","62.90K","-1.02%"
"02/07/2025","540.00","540.00","541.00","533.00","143.61K","0.00%"
"02/06/2025","540.00","549.00","549.00","537.00","139.21K","-1.64%"
"02/05/2025","549.00","534.00","550.00","534.00","103.11K","3.58%"
"02/04/2025","530.00","534.00","550.00","523.50","175.34K","0.00%"
"02/03/2025","530.00","522.00","540.00","517.00","290.43K","7.07%"
"01/31/2025","495.00","533.00","544.50","495.00","377.50K","-5.89%"
"01/30/2025","526.00","551.50","554.50","526.00","108.67K","-4.19%"
"01/28/2025","549.00","566.00","566.00","548.00","162.97K","-3.00%"
"01/27/2025","566.00","567.00","572.00","560.00","354.57K","0.53%"
"01/24/2025","563.00","570.00","572.00","563.00","40.59K","-1.23%"
"01/23/2025","570.00","564.50","571.50","561.50","60.95K","0.53%"
"01/22/2025","567.00","572.00","573.00","561.00","159.24K","-0.87%"
"01/21/2025","572.00","572.00","579.50","565.00","92.60K","0.18%"
"01/20/2025","571.00","575.00","585.00","570.50","52.26K","-0.35%"
"01/17/2025","573.00","580.00","584.00","568.00","128.26K","-0.87%"
"01/16/2025","578.00","588.00","597.50","578.00","73.17K","-1.20%"
"01/15/2025","585.00","578.00","590.50","578.00","46.93K","2.09%"
"01/14/2025","573.00","593.00","598.00","573.00","202.20K","-3.37%"
"01/13/2025","593.00","610.00","610.00","590.00","82.22K","-1.17%"
"01/10/2025","600.00","612.00","613.00","600.00","189.80K","-2.76%"
"01/09/2025","617.00","623.00","623.00","610.00","59.14K","-0.96%"
"01/08/2025","623.00","620.00","630.00","620.00","30.10K","0.48%"
"01/07/2025","620.00","631.50","631.50","618.00","38.22K","-1.82%"
"01/06/2025","631.50","639.00","639.00","629.00","61.73K","-1.33%"
"01/03/2025","640.00","650.00","650.00","635.00","45.86K","-1.54%"
"01/02/2025","650.00","656.00","656.00","629.00","44.55K","-1.22%"
"12/27/2024","658.00","660.00","660.00","642.00","29.90K","-0.30%"
"12/26/2024","660.00","641.00","660.00","635.00","129.15K","2.80%"
"12/23/2024","642.00","609.00","642.00","609.00","101.21K","5.42%"
"12/20/2024","609.00","613.00","625.00","609.00","149.17K","-0.65%"
"12/19/2024","613.00","619.00","619.00","606.00","67.52K","-1.61%"
"12/18/2024","623.00","621.50","624.00","618.50","37.84K","0.65%"
"12/17/2024","619.00","624.00","624.00","615.00","68.59K","-0.80%"
"12/16/2024","624.00","636.00","638.50","623.00","43.07K","-3.70%"
"12/13/2024","648.00","649.00","649.00","635.50","98.38K","-0.31%"
"12/12/2024","650.00","638.50","650.00","615.00","258.67K","2.52%"
"12/11/2024","634.00","647.00","647.00","632.00","113.63K","-2.01%"
"12/10/2024","647.00","660.00","660.00","630.00","125.27K","-1.97%"
