"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","373.400","376.000","383.000","372.400","301.19K","-0.69%"
"03/13/2025","376.000","370.000","379.800","365.000","794.33K","3.18%"
"03/12/2025","364.400","367.000","370.200","359.000","1.05M","-1.25%"
"03/11/2025","369.000","383.000","386.000","364.000","2.03M","-5.38%"
"03/10/2025","390.000","385.000","390.000","376.600","2.84M","1.30%"
"03/07/2025","385.000","359.800","386.000","359.800","3.14M","8.15%"
"03/06/2025","356.000","339.000","367.200","339.000","1.57M","5.64%"
"03/05/2025","337.000","337.000","343.600","331.400","3.22M","-0.88%"
"03/04/2025","340.000","337.600","343.200","330.000","1.58M","0.00%"
"03/03/2025","340.000","345.200","349.400","339.000","1.45M","-2.80%"
"02/28/2025","349.800","344.000","349.800","338.600","1.99M","2.88%"
"02/27/2025","340.000","340.000","345.000","338.600","933.58K","0.00%"
"02/26/2025","340.000","339.000","345.000","337.600","1.24M","0.00%"
"02/25/2025","340.000","340.600","346.400","338.400","1.13M","-0.12%"
"02/24/2025","340.400","345.000","346.600","335.800","1.33M","-1.33%"
"02/21/2025","345.000","339.600","348.000","339.600","1.12M","-0.29%"
"02/20/2025","346.000","341.000","346.000","337.200","1.29M","-0.29%"
"02/19/2025","347.000","344.200","348.400","343.200","1.62M","-0.86%"
"02/18/2025","350.000","342.000","353.000","342.000","909.95K","0.00%"
"02/17/2025","350.000","340.000","354.600","335.000","1.67M","1.51%"
"02/14/2025","344.800","350.000","352.200","341.200","1.43M","-2.87%"
"02/13/2025","355.000","338.000","355.600","336.200","1.90M","4.41%"
"02/12/2025","340.000","329.000","342.200","321.000","2.97M","2.41%"
"02/11/2025","332.000","346.000","347.000","331.400","3.31M","-4.76%"
"02/10/2025","348.600","358.400","367.200","345.000","1.73M","-2.68%"
"02/07/2025","358.200","375.000","375.000","358.000","1.50M","-3.24%"
"02/06/2025","370.200","377.400","377.400","365.800","1.00M","-2.06%"
"02/05/2025","378.000","366.000","379.000","366.000","1.78M","3.00%"
"02/04/2025","367.000","347.000","368.600","347.000","1.82M","7.62%"
"02/03/2025","341.000","356.000","359.000","341.000","1.29M","-2.57%"
"01/31/2025","350.000","357.000","357.000","345.400","2.72M","-0.28%"
"01/30/2025","351.000","350.000","361.800","340.000","2.33M","0.52%"
"01/28/2025","349.200","380.400","380.800","349.000","2.26M","-6.88%"
"01/27/2025","375.000","386.200","387.400","374.400","2.74M","-2.65%"
"01/24/2025","385.200","390.000","392.800","385.000","1.13M","-1.28%"
"01/23/2025","390.200","395.000","397.600","389.400","1.64M","-1.22%"
"01/22/2025","395.000","390.000","395.800","388.000","625.20K","1.28%"
"01/21/2025","390.000","393.200","398.400","388.000","797.62K","-1.52%"
"01/20/2025","396.000","397.000","400.000","395.000","565.94K","-0.75%"
"01/17/2025","399.000","395.000","403.200","394.600","1.23M","1.27%"
"01/16/2025","394.000","395.000","399.000","391.200","1.04M","-0.25%"
"01/15/2025","395.000","392.000","397.000","389.200","1.15M","1.49%"
"01/14/2025","389.200","388.000","394.800","383.000","788.00K","-0.76%"
"01/13/2025","392.200","399.000","399.000","389.000","620.39K","-1.70%"
"01/10/2025","399.000","399.400","400.000","397.200","955.46K","-0.10%"
"01/09/2025","399.400","398.000","400.000","392.200","539.02K","0.60%"
"01/08/2025","397.000","404.000","404.800","397.000","745.68K","-0.75%"
"01/07/2025","400.000","408.000","410.200","400.000","1.05M","-2.58%"
"01/06/2025","410.600","403.000","411.600","402.000","1.95M","2.80%"
"01/03/2025","399.400","398.800","405.800","395.400","1.18M","0.10%"
"01/02/2025","399.000","390.000","399.000","387.600","953.96K","3.37%"
"12/27/2024","386.000","394.000","397.600","384.000","1.43M","-1.03%"
"12/26/2024","390.000","391.400","397.000","384.600","538.60K","-2.01%"
"12/23/2024","398.000","390.000","398.000","385.200","1.54M","2.05%"
"12/20/2024","390.000","389.800","391.600","383.200","2.82M","1.30%"
"12/19/2024","385.000","383.000","391.000","377.000","1.09M","-1.03%"
"12/18/2024","389.000","390.000","390.000","375.000","1.19M","0.93%"
"12/17/2024","385.400","391.000","399.000","382.400","2.23M","-3.65%"
"12/16/2024","400.000","400.000","400.000","390.400","615.26K","0.76%"
"12/13/2024","397.000","390.200","397.600","387.000","529.91K","0.51%"
"12/12/2024","395.000","385.200","399.800","380.800","1.65M","1.80%"
"12/11/2024","388.000","402.000","404.800","387.000","894.28K","-4.15%"
"12/10/2024","404.800","406.800","409.000","395.000","1.26M","2.48%"
"12/09/2024","395.000","386.200","395.800","386.200","1.12M","1.02%"
"12/06/2024","391.000","384.800","394.400","384.800","845.22K","1.51%"
"12/05/2024","385.200","389.400","394.000","384.200","1.46M","-2.73%"
"12/04/2024","396.000","395.000","396.000","386.000","824.52K","0.51%"
"12/03/2024","394.000","395.400","396.600","385.000","2.02M","1.03%"
"12/02/2024","390.000","370.400","394.600","370.400","1.23M","5.41%"
"11/29/2024","370.000","378.400","385.400","370.000","2.19M","-3.90%"
"11/28/2024","385.000","381.600","385.000","373.000","3.00M","0.00%"
"11/27/2024","385.000","395.000","395.000","380.600","1.48M","-1.28%"
"11/26/2024","390.000","409.000","409.000","390.000","1.54M","-6.02%"
"11/25/2024","415.000","404.000","415.000","394.000","2.75M","4.53%"
"11/22/2024","397.000","397.600","403.400","390.200","365.60K","-2.70%"
"11/21/2024","408.000","399.000","414.600","395.000","1.36M","2.26%"
"11/20/2024","399.000","397.000","399.000","390.000","1.04M","1.32%"
"11/19/2024","393.800","383.000","398.600","383.000","1.10M","2.82%"
"11/18/2024","383.000","386.000","390.000","378.200","1.08M","0.00%"
"11/15/2024","383.000","375.000","387.000","375.000","1.15M","0.79%"
"11/14/2024","380.000","377.000","383.600","370.000","1.76M","0.53%"
"11/13/2024","378.000","380.200","385.600","378.000","2.37M","-0.58%"
"11/12/2024","380.200","388.600","392.400","380.200","1.11M","-2.51%"
"11/11/2024","390.000","387.000","391.400","381.200","940.67K","-0.66%"
"11/08/2024","392.600","395.000","395.000","387.000","816.00K","-1.85%"
"11/07/2024","400.000","398.000","400.000","366.000","8.12M","1.21%"
"11/06/2024","395.200","409.000","411.800","395.200","1.76M","-3.37%"
"11/05/2024","409.000","402.000","409.600","401.200","635.77K","0.99%"
"11/04/2024","405.000","396.000","405.000","396.000","784.54K","2.27%"
"10/31/2024","396.000","410.000","410.400","396.000","1.89M","-4.58%"
"10/30/2024","415.000","409.000","415.000","404.400","1.88M","0.48%"
"10/29/2024","413.000","413.800","414.000","408.200","1.02M","-0.19%"
"10/28/2024","413.800","408.000","414.000","407.200","611.20K","0.24%"
"10/25/2024","412.800","406.000","412.800","406.000","416.51K","0.93%"
"10/24/2024","409.000","408.000","410.200","405.400","392.16K","0.49%"
"10/23/2024","407.000","415.400","416.800","405.400","876.52K","-2.49%"
"10/22/2024","417.400","412.000","417.400","410.000","692.73K","2.20%"
"10/21/2024","408.400","406.000","414.000","403.400","614.42K","-0.15%"
"10/18/2024","409.000","409.000","412.000","402.000","1.45M","0.15%"
"10/17/2024","408.400","412.600","415.400","408.400","1.06M","0.34%"
"10/16/2024","407.000","408.400","413.400","407.000","680.46K","-0.34%"
"10/15/2024","408.400","405.000","409.800","404.600","1.72M","1.59%"
"10/14/2024","402.000","407.000","413.000","402.000","774.72K","-1.42%"
"10/11/2024","407.800","418.000","418.600","404.200","1.20M","-3.00%"
"10/10/2024","420.400","416.000","425.000","416.000","1.59M","-2.19%"
"10/09/2024","429.800","435.800","438.000","429.800","1.18M","-1.87%"
"10/08/2024","438.000","429.000","438.000","425.600","1.20M","2.10%"
"10/07/2024","429.000","417.000","446.000","417.000","1.19M","2.14%"
"10/04/2024","420.000","412.000","420.000","410.800","1.17M","1.94%"
"10/03/2024","412.000","417.000","422.000","412.000","1.32M","-1.01%"
"10/02/2024","416.200","402.000","419.200","401.000","1.09M","2.92%"
"10/01/2024","404.400","401.000","407.600","401.000","1.42M","0.10%"
"09/30/2024","404.000","408.200","410.800","402.800","1.92M","-1.46%"
"09/27/2024","410.000","397.800","410.000","397.200","1.86M","0.00%"
"09/26/2024","410.000","410.000","411.000","408.000","1.79M","0.00%"
"09/25/2024","410.000","413.200","417.000","408.600","1.81M","-0.73%"
"09/24/2024","413.000","414.000","416.400","407.200","1.57M","-0.24%"
"09/23/2024","414.000","403.800","417.200","403.800","1.54M","2.63%"
"09/20/2024","403.400","403.200","408.000","402.000","2.26M","0.15%"
"09/19/2024","402.800","404.000","408.800","400.400","1.90M","-0.30%"
"09/18/2024","404.000","404.800","408.600","401.000","1.70M","-0.25%"
"09/17/2024","405.000","409.000","411.600","404.000","1.79M","-2.03%"
"09/16/2024","413.400","411.000","414.800","410.600","962.81K","0.58%"
"09/13/2024","411.000","418.600","422.000","411.000","1.48M","-1.82%"
"09/12/2024","418.600","415.000","419.400","408.200","1.08M","2.80%"
"09/11/2024","407.200","408.000","416.200","407.000","990.32K","0.05%"
"09/10/2024","407.000","402.600","419.800","402.600","1.54M","1.24%"
"09/09/2024","402.000","401.000","410.000","401.000","598.36K","0.50%"
