"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","259.80","257.80","263.60","255.20","253.13K","1.01%"
"03/13/2025","257.20","260.00","260.00","257.00","821.19K","-1.08%"
"03/12/2025","260.00","262.60","262.60","252.80","747.18K","-1.52%"
"03/11/2025","264.00","262.00","264.00","252.40","1.35M","0.00%"
"03/10/2025","264.00","252.80","264.00","252.80","567.64K","4.43%"
"03/07/2025","252.80","252.00","254.20","251.60","530.69K","0.32%"
"03/06/2025","252.00","252.00","257.00","252.00","764.74K","0.00%"
"03/05/2025","252.00","252.00","255.00","249.00","1.10M","0.00%"
"03/04/2025","252.00","257.20","257.20","252.00","715.74K","-2.33%"
"03/03/2025","258.00","258.40","260.60","258.00","468.92K","0.31%"
"02/28/2025","257.20","265.00","265.00","257.20","1.81M","-3.31%"
"02/27/2025","266.00","265.00","267.00","261.60","638.47K","-0.75%"
"02/26/2025","268.00","260.00","268.00","255.00","1.53M","3.47%"
"02/25/2025","259.00","256.00","261.20","251.00","881.67K","1.97%"
"02/24/2025","254.00","258.60","259.00","252.40","367.60K","-1.78%"
"02/21/2025","258.60","258.00","261.00","256.00","443.91K","0.23%"
"02/20/2025","258.00","253.00","259.80","251.80","396.99K","2.30%"
"02/19/2025","252.20","257.00","259.40","251.00","650.62K","-1.87%"
"02/18/2025","257.00","253.00","260.00","253.00","801.24K","1.58%"
"02/17/2025","253.00","258.00","258.00","251.80","233.53K","-2.39%"
"02/14/2025","259.20","261.00","261.80","253.00","756.39K","-1.22%"
"02/13/2025","262.40","237.00","262.60","234.00","3.62M","10.72%"
"02/12/2025","237.00","232.00","237.00","232.00","341.74K","0.42%"
"02/11/2025","236.00","232.60","238.80","228.20","647.00K","1.46%"
"02/10/2025","232.60","239.60","239.60","232.60","495.71K","-1.52%"
"02/07/2025","236.20","243.00","243.00","236.00","586.10K","-2.80%"
"02/06/2025","243.00","245.00","246.60","241.00","524.72K","-0.65%"
"02/05/2025","244.60","236.00","251.00","236.00","1.03M","4.09%"
"02/04/2025","235.00","231.00","237.80","229.20","424.37K","3.98%"
"02/03/2025","226.00","231.00","233.80","226.00","1.01M","1.80%"
"01/31/2025","222.00","236.60","236.60","222.00","1.71M","-6.17%"
"01/30/2025","236.60","242.00","242.00","233.00","394.63K","-2.23%"
"01/28/2025","242.00","238.20","243.00","237.00","353.18K","1.60%"
"01/27/2025","238.20","247.60","249.60","237.20","568.93K","-3.80%"
"01/24/2025","247.60","248.20","250.40","242.20","500.75K","-0.40%"
