"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","17.800","17.880","18.020","17.600","2.35M","-0.45%"
"03/13/2025","17.880","18.000","18.240","17.820","4.69M","0.90%"
"03/12/2025","17.720","17.800","18.180","17.720","5.28M","-1.99%"
"03/11/2025","18.080","18.280","18.500","17.920","10.20M","-1.31%"
"03/10/2025","18.320","18.500","18.940","18.300","5.77M","1.10%"
"03/07/2025","18.120","18.040","18.780","17.820","11.46M","0.55%"
"03/06/2025","18.020","17.680","18.260","17.400","16.78M","1.46%"
"03/05/2025","17.760","16.380","17.940","16.260","18.29M","8.96%"
"03/04/2025","16.300","16.280","16.460","15.820","15.43M","-0.12%"
"03/03/2025","16.320","16.220","16.360","15.780","23.10M","2.90%"
"02/28/2025","15.860","16.880","16.900","15.860","198.34M","-7.14%"
"02/27/2025","17.080","17.200","18.060","16.920","5.69M","-3.39%"
"02/26/2025","17.680","16.980","17.680","15.900","11.63M","4.12%"
"02/25/2025","16.980","18.360","18.360","16.980","5.87M","-7.52%"
"02/24/2025","18.360","18.500","18.760","17.940","6.69M","-0.33%"
"02/21/2025","18.420","17.500","18.720","17.440","5.87M","5.26%"
"02/20/2025","17.500","17.180","17.800","16.900","3.20M","1.74%"
"02/19/2025","17.200","16.140","17.240","16.100","8.20M","7.10%"
"02/18/2025","16.060","15.360","16.180","15.080","7.37M","4.56%"
"02/17/2025","15.360","15.320","15.500","14.760","6.16M","0.26%"
"02/14/2025","15.320","15.800","15.800","15.320","2.49M","-3.40%"
"02/13/2025","15.860","14.980","15.980","14.800","3.84M","6.02%"
"02/12/2025","14.960","14.920","15.320","14.200","16.50M","-0.40%"
"02/11/2025","15.020","15.160","15.160","14.920","4.99M","-0.92%"
"02/10/2025","15.160","16.380","16.380","15.120","6.62M","-6.30%"
"02/07/2025","16.180","16.500","16.500","16.180","1.53M","-1.82%"
"02/06/2025","16.480","16.600","16.600","16.120","1.89M","-0.12%"
"02/05/2025","16.500","16.100","16.880","16.040","4.99M","3.13%"
"02/04/2025","16.000","16.020","16.320","15.940","3.67M","0.00%"
"02/03/2025","16.000","16.700","16.700","15.800","4.32M","-0.99%"
"01/31/2025","16.160","17.200","17.200","16.160","9.60M","-6.48%"
