"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","11.880","12.000","12.160","11.820","777.60K","-1.00%"
"03/13/2025","12.000","11.900","12.000","11.760","4.37M","0.84%"
"03/12/2025","11.900","12.060","12.060","11.640","4.23M","-2.14%"
"03/11/2025","12.160","12.380","12.400","12.000","5.23M","-1.78%"
"03/10/2025","12.380","12.500","12.500","12.320","2.88M","-0.96%"
"03/07/2025","12.500","12.220","12.500","12.140","2.47M","1.96%"
"03/06/2025","12.260","12.040","12.320","12.000","4.64M","1.83%"
"03/05/2025","12.040","11.980","12.100","11.900","2.12M","0.67%"
"03/04/2025","11.960","11.800","12.000","11.800","4.10M","1.36%"
"03/03/2025","11.800","11.780","11.900","11.720","2.89M","1.55%"
"02/28/2025","11.620","11.460","11.640","11.460","3.81M","1.57%"
"02/27/2025","11.440","11.500","11.560","11.440","666.20K","-0.52%"
"02/26/2025","11.500","11.520","11.600","11.400","2.91M","-0.17%"
"02/25/2025","11.520","11.720","11.780","11.400","1.78M","-1.87%"
"02/24/2025","11.740","11.760","11.840","11.700","1.47M","-0.17%"
"02/21/2025","11.760","11.620","11.820","11.580","3.13M","1.20%"
"02/20/2025","11.620","11.600","11.660","11.520","1.95M","0.00%"
"02/19/2025","11.620","11.420","11.640","11.420","4.65M","1.93%"
"02/18/2025","11.400","11.420","11.480","11.280","2.49M","1.24%"
"02/17/2025","11.260","11.400","11.480","11.260","3.40M","-1.40%"
"02/14/2025","11.420","11.400","11.460","11.300","2.48M","0.18%"
"02/13/2025","11.400","11.320","11.480","11.320","2.94M","0.71%"
"02/12/2025","11.320","11.380","11.460","11.280","2.21M","-0.53%"
"02/11/2025","11.380","11.240","11.380","11.200","2.25M","1.61%"
"02/10/2025","11.200","11.200","11.300","11.120","2.64M","0.00%"
"02/07/2025","11.200","11.100","11.200","11.040","1.99M","1.63%"
"02/06/2025","11.020","11.000","11.200","10.980","1.77M","0.18%"
"02/05/2025","11.000","10.900","11.180","10.800","2.38M","0.92%"
"02/04/2025","10.900","10.800","11.000","10.800","3.97M","1.30%"
"02/03/2025","10.760","10.760","10.980","10.760","4.39M","0.94%"
"01/31/2025","10.660","11.160","11.180","10.660","10.58M","-4.65%"
"01/30/2025","11.180","11.280","11.280","11.160","1.41M","-0.89%"
"01/28/2025","11.280","11.240","11.300","11.180","2.07M","0.18%"
"01/27/2025","11.260","11.200","11.260","11.140","3.26M","0.54%"
"01/24/2025","11.200","11.260","11.260","11.140","1.80M","-0.53%"
"01/23/2025","11.260","11.180","11.320","11.140","4.56M","0.72%"
"01/22/2025","11.180","11.020","11.200","11.020","3.01M","1.45%"
"01/21/2025","11.020","11.020","11.080","11.000","3.17M","-0.54%"
"01/20/2025","11.080","11.000","11.080","10.900","4.81M","0.91%"
"01/17/2025","10.980","10.820","11.000","10.700","3.06M","1.48%"
