"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","72.15","72.00","72.80","71.80","601.24K","0.14%"
"03/13/2025","72.05","70.50","72.95","70.50","2.38M","1.48%"
"03/12/2025","71.00","70.75","71.00","69.80","2.57M","-0.63%"
"03/11/2025","71.45","72.00","72.00","70.10","2.19M","-1.58%"
"03/10/2025","72.60","71.55","72.60","71.55","1.97M","1.54%"
"03/07/2025","71.50","71.40","71.50","70.30","1.95M","0.70%"
"03/06/2025","71.00","70.50","71.80","70.35","3.84M","1.21%"
"03/05/2025","70.15","70.90","71.05","69.80","4.91M","-1.96%"
"03/04/2025","71.55","71.26","71.79","71.01","2.05M","0.75%"
"03/03/2025","71.01","70.09","71.21","70.09","1.43M","1.96%"
"02/28/2025","69.65","71.50","71.99","69.65","3.73M","-2.85%"
"02/27/2025","71.70","71.99","72.47","71.55","550.97K","-0.41%"
"02/26/2025","71.99","70.92","72.09","70.53","2.25M","-0.71%"
"02/25/2025","72.50","74.80","74.80","72.50","2.73M","-3.27%"
"02/24/2025","74.95","73.15","74.95","73.00","3.54M","2.95%"
"02/21/2025","72.80","72.95","73.55","72.15","2.08M","1.11%"
"02/20/2025","72.00","73.00","73.80","72.00","4.87M","0.63%"
"02/19/2025","71.55","74.00","74.25","71.55","4.07M","-3.31%"
"02/18/2025","74.00","73.20","74.65","72.50","2.42M","1.02%"
"02/17/2025","73.25","72.65","73.80","72.30","1.47M","0.83%"
"02/14/2025","72.65","72.25","73.00","72.10","1.36M","0.55%"
"02/13/2025","72.25","71.20","72.35","71.05","2.73M","1.47%"
"02/12/2025","71.20","71.45","72.35","71.10","3.99M","-0.35%"
"02/11/2025","71.45","70.10","71.45","69.90","3.90M","2.36%"
"02/10/2025","69.80","72.80","73.00","69.80","5.35M","-4.38%"
"02/07/2025","73.00","73.05","73.40","72.70","1.51M","-0.82%"
"02/06/2025","73.60","73.40","73.60","72.60","1.93M","0.27%"
"02/05/2025","73.40","71.80","73.40","71.35","3.36M","2.23%"
"02/04/2025","71.80","68.20","71.80","68.20","3.86M","7.00%"
"02/03/2025","67.10","71.00","71.40","67.10","4.00M","-3.17%"
"01/31/2025","69.30","69.00","71.45","69.00","7.50M","0.65%"
"01/30/2025","68.85","70.15","70.45","68.55","2.14M","-1.92%"
"01/28/2025","70.20","70.55","70.85","70.20","1.59M","-0.71%"
"01/27/2025","70.70","71.00","71.30","70.55","4.24M","0.21%"
"01/24/2025","70.55","71.35","71.50","70.55","2.58M","-1.05%"
"01/23/2025","71.30","71.05","71.75","70.60","2.64M","0.35%"
"01/22/2025","71.05","71.60","71.65","70.80","2.09M","-0.63%"
"01/21/2025","71.50","71.20","71.85","71.10","2.78M","0.42%"
"01/20/2025","71.20","70.05","71.80","70.05","1.97M","1.35%"
"01/17/2025","70.25","70.50","71.25","69.25","1.68M","0.36%"
"01/16/2025","70.00","71.25","71.90","70.00","3.76M","-0.92%"
"01/15/2025","70.65","71.00","72.10","70.40","2.31M","-0.49%"
"01/14/2025","71.00","71.60","72.20","70.80","4.12M","-0.14%"
"01/13/2025","71.10","73.30","73.90","71.10","2.32M","-3.00%"
"01/10/2025","73.30","73.55","74.50","72.90","1.12M","-0.34%"
"01/09/2025","73.55","74.50","74.95","73.35","2.11M","-1.28%"
"01/08/2025","74.50","75.40","76.00","74.50","4.01M","-1.06%"
"01/07/2025","75.30","75.30","76.45","75.25","1.11M","0.07%"
"01/06/2025","75.25","75.20","76.80","75.20","949.80K","0.20%"
"01/03/2025","75.10","73.70","75.60","73.55","1.13M","1.90%"
"01/02/2025","73.70","71.30","73.70","71.30","1.14M","2.36%"
"12/27/2024","72.00","75.05","75.05","72.00","2.19M","-4.06%"
"12/26/2024","75.05","74.80","75.05","72.55","798.89K","0.33%"
"12/23/2024","74.80","73.10","74.80","72.00","1.13M","2.33%"
"12/20/2024","73.10","73.95","74.60","73.10","2.08M","-0.27%"
"12/19/2024","73.30","74.25","74.25","72.65","2.98M","-2.27%"
"12/18/2024","75.00","73.70","76.35","73.70","3.29M","1.63%"
"12/17/2024","73.80","76.00","76.00","73.65","1.87M","-3.84%"
"12/16/2024","76.75","74.45","76.75","74.45","1.37M","1.66%"
"12/13/2024","75.50","74.00","75.80","73.80","864.19K","2.10%"
"12/12/2024","73.95","75.25","75.55","73.85","2.08M","-2.12%"
"12/11/2024","75.55","75.00","75.90","75.00","758.80K","0.07%"
"12/10/2024","75.50","75.10","75.85","74.90","1.19M","-0.66%"
"12/09/2024","76.00","76.00","76.00","74.60","1.63M","0.00%"
"12/06/2024","76.00","74.90","76.00","73.80","1.86M","1.47%"
"12/05/2024","74.90","75.40","75.50","74.85","1.40M","-0.79%"
"12/04/2024","75.50","76.30","77.25","75.35","2.41M","-1.05%"
"12/03/2024","76.30","76.25","76.90","76.25","818.84K","0.00%"
"12/02/2024","76.30","75.25","77.00","75.25","1.85M","0.07%"
"11/29/2024","76.25","75.30","76.25","74.50","2.14M","0.79%"
"11/28/2024","75.65","77.00","77.00","75.00","1.44M","-1.75%"
"11/27/2024","77.00","76.90","77.40","76.65","1.46M","-0.84%"
"11/26/2024","77.65","78.10","78.80","76.40","1.65M","-1.96%"
"11/25/2024","79.20","76.30","79.20","75.00","4.85M","3.53%"
"11/22/2024","76.50","76.90","76.90","74.55","1.15M","-0.52%"
"11/21/2024","76.90","77.00","77.20","76.45","1.60M","-0.77%"
"11/20/2024","77.50","73.80","77.50","73.80","1.93M","5.01%"
"11/19/2024","73.80","74.45","74.45","73.55","2.41M","-0.87%"
"11/18/2024","74.45","73.00","74.45","72.70","1.12M","2.27%"
"11/15/2024","72.80","70.90","73.15","70.70","2.19M","2.68%"
"11/14/2024","70.90","73.20","73.70","70.90","1.57M","-3.14%"
"11/13/2024","73.20","75.00","75.25","73.20","2.64M","-2.72%"
"11/12/2024","75.25","75.95","77.50","74.90","1.88M","-0.92%"
"11/11/2024","75.95","76.50","76.55","75.55","1.29M","-0.72%"
"11/08/2024","76.50","76.00","76.90","75.15","1.10M","0.66%"
"11/07/2024","76.00","77.80","77.95","75.00","3.64M","-2.31%"
"11/06/2024","77.80","77.00","78.20","76.10","1.91M","1.04%"
"11/05/2024","77.00","75.60","78.00","75.60","2.29M","1.99%"
"11/04/2024","75.50","76.60","76.60","75.00","2.56M","-0.66%"
"10/31/2024","76.00","78.00","78.25","76.00","3.41M","-4.34%"
"10/30/2024","79.45","76.00","79.45","75.30","2.57M","5.23%"
"10/29/2024","75.50","78.80","78.85","75.50","3.57M","-4.07%"
"10/28/2024","78.70","76.95","78.80","76.90","1.12M","2.21%"
"10/25/2024","77.00","77.00","77.75","76.05","2.46M","0.00%"
"10/24/2024","77.00","77.70","77.70","76.60","2.04M","-1.28%"
"10/23/2024","78.00","79.20","79.85","78.00","2.96M","-1.27%"
"10/22/2024","79.00","80.35","81.40","79.00","4.01M","-1.86%"
"10/21/2024","80.50","80.30","81.00","80.20","961.50K","0.25%"
"10/18/2024","80.30","81.35","81.50","80.00","1.44M","0.25%"
"10/17/2024","80.10","81.50","82.00","80.10","2.28M","-1.72%"
"10/16/2024","81.50","81.05","82.00","80.75","3.12M","0.00%"
"10/15/2024","81.50","78.85","81.50","78.85","4.56M","3.95%"
"10/14/2024","78.40","78.50","79.40","78.40","1.29M","-0.13%"
"10/11/2024","78.50","79.00","79.00","78.40","1.55M","-0.70%"
"10/10/2024","79.05","79.90","79.90","79.00","2.03M","-1.06%"
"10/09/2024","79.90","79.80","80.05","79.65","2.15M","-0.12%"
"10/08/2024","80.00","79.00","80.05","78.80","2.94M","1.14%"
"10/07/2024","79.10","80.40","80.55","79.00","5.16M","-1.62%"
"10/04/2024","80.40","80.60","80.70","79.15","2.13M","-0.74%"
"10/03/2024","81.00","80.00","81.90","80.00","4.32M","1.25%"
"10/02/2024","80.00","80.00","80.15","79.00","2.84M","-0.31%"
"10/01/2024","80.25","78.60","80.50","78.60","1.75M","2.10%"
"09/30/2024","78.60","80.40","81.05","78.60","2.56M","-3.02%"
"09/27/2024","81.05","82.00","82.05","80.00","2.30M","-1.16%"
"09/26/2024","82.00","79.95","82.60","79.70","7.26M","2.24%"
"09/25/2024","80.20","80.00","80.70","78.90","5.69M","0.25%"
"09/24/2024","80.00","80.00","80.65","79.70","10.66M","0.69%"
"09/23/2024","79.45","78.00","81.85","78.00","12.29M","2.38%"
"09/20/2024","77.60","75.50","79.30","75.50","9.56M","2.92%"
"09/19/2024","75.40","74.00","75.40","74.00","3.84M","1.48%"
"09/18/2024","74.30","74.00","74.95","74.00","1.16M","-0.07%"
"09/17/2024","74.35","73.15","74.35","73.15","1.68M","1.64%"
