"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","511.00","505.00","513.50","503.00","85.94K","1.19%"
"03/13/2025","505.00","505.00","509.50","500.00","202.91K","-0.88%"
"03/12/2025","509.50","490.00","509.50","480.40","417.25K","5.05%"
"03/11/2025","485.00","497.00","497.00","477.00","629.64K","-3.39%"
"03/10/2025","502.00","501.00","508.00","492.20","317.00K","0.30%"
"03/07/2025","500.50","512.00","512.00","500.50","185.28K","-0.89%"
"03/06/2025","505.00","501.50","520.00","498.00","628.43K","1.49%"
"03/05/2025","497.60","500.00","501.50","493.60","343.79K","-0.48%"
"03/04/2025","500.00","491.00","502.00","491.00","217.51K","1.92%"
"03/03/2025","490.60","491.60","505.00","490.20","221.65K","0.12%"
"02/28/2025","490.00","491.60","496.20","490.00","489.64K","-0.33%"
"02/27/2025","491.60","493.00","495.20","490.00","153.83K","-0.28%"
"02/26/2025","493.00","485.20","494.40","485.00","110.55K","1.65%"
"02/25/2025","485.00","493.00","493.80","485.00","254.35K","-1.62%"
"02/24/2025","493.00","487.00","493.00","484.40","111.11K","1.23%"
"02/21/2025","487.00","490.00","491.80","485.00","126.75K","-0.61%"
"02/20/2025","490.00","503.00","508.00","486.00","209.45K","-2.00%"
"02/19/2025","500.00","491.00","507.00","490.00","400.51K","1.83%"
"02/18/2025","491.00","494.00","494.00","489.00","209.95K","0.61%"
"02/17/2025","488.00","488.00","489.00","486.00","133.65K","-0.08%"
"02/14/2025","488.40","484.20","489.40","481.20","199.70K","0.91%"
"02/13/2025","484.00","490.00","498.60","481.00","152.13K","-1.22%"
"02/12/2025","490.00","486.00","500.00","481.80","270.24K","1.03%"
"02/11/2025","485.00","489.00","489.00","479.20","103.66K","-0.82%"
"02/10/2025","489.00","485.00","489.00","478.40","74.77K","1.75%"
"02/07/2025","480.60","485.00","489.80","480.60","144.59K","-1.64%"
"02/06/2025","488.60","485.00","488.60","475.40","162.29K","0.74%"
"02/05/2025","485.00","478.20","488.60","471.20","192.36K","1.42%"
"02/04/2025","478.20","456.00","478.20","454.00","392.85K","6.27%"
"02/03/2025","450.00","465.00","469.00","450.00","310.64K","0.45%"
"01/31/2025","448.00","469.00","475.80","448.00","920.44K","-4.40%"
"01/30/2025","468.60","474.00","477.40","467.80","147.86K","-1.14%"
"01/28/2025","474.00","478.40","484.00","474.00","64.57K","-0.21%"
"01/27/2025","475.00","486.00","493.00","472.00","140.67K","-2.26%"
"01/24/2025","486.00","493.00","494.40","486.00","164.98K","-1.42%"
"01/23/2025","493.00","500.00","500.00","487.20","220.36K","-1.40%"
"01/22/2025","500.00","492.00","503.50","490.00","454.53K","1.42%"
"01/21/2025","493.00","495.00","497.80","491.00","65.90K","-0.40%"
"01/20/2025","495.00","486.00","503.00","486.00","432.36K","0.81%"
"01/17/2025","491.00","484.60","491.00","481.00","119.24K","1.32%"
"01/16/2025","484.60","488.00","489.20","484.60","277.84K","-0.90%"
"01/15/2025","489.00","480.00","489.00","479.00","116.21K","2.09%"
"01/14/2025","479.00","481.00","483.80","470.40","340.31K","-1.03%"
