"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","26.700","27.650","27.650","26.500","566.00K","-2.91%"
"03/13/2025","27.500","27.500","27.750","27.500","259.30K","0.00%"
"03/12/2025","27.500","28.000","28.000","27.000","460.20K","-1.79%"
"03/11/2025","28.000","28.000","28.000","27.400","1.25M","0.00%"
"03/10/2025","28.000","28.100","28.200","27.900","562.80K","-0.36%"
"03/07/2025","28.100","28.000","28.200","27.750","434.20K","0.00%"
"03/06/2025","28.100","28.100","28.150","27.550","2.99M","0.00%"
"03/05/2025","28.100","27.300","28.200","27.300","410.10K","3.12%"
"03/04/2025","27.250","27.550","27.600","27.050","576.90K","-1.27%"
"03/03/2025","27.600","27.800","27.800","27.200","1.75M","-0.72%"
"02/28/2025","27.800","28.000","28.000","27.000","1.60M","-0.54%"
"02/27/2025","27.950","28.000","28.000","27.200","282.10K","-0.18%"
"02/26/2025","28.000","27.800","28.000","27.000","755.00K","0.72%"
"02/25/2025","27.800","28.200","28.200","27.550","166.30K","-1.42%"
"02/24/2025","28.200","27.400","28.650","27.050","1.41M","2.92%"
"02/21/2025","27.400","27.250","27.500","27.000","860.00K","0.55%"
"02/20/2025","27.250","26.550","27.400","26.550","2.04M","3.02%"
"02/19/2025","26.450","25.550","27.250","25.550","752.20K","3.52%"
"02/18/2025","25.550","25.500","25.950","25.400","850.40K","0.59%"
"02/17/2025","25.400","25.700","26.200","25.400","551.00K","-1.17%"
"02/14/2025","25.700","25.500","26.000","25.400","1.75M","1.78%"
"02/13/2025","25.250","25.200","26.000","25.150","1.48M","0.20%"
"02/12/2025","25.200","25.300","25.950","25.050","1.36M","0.60%"
"02/11/2025","25.050","25.550","25.850","25.050","2.58M","-1.76%"
"02/10/2025","25.500","25.800","26.000","25.500","1.92M","-0.78%"
"02/07/2025","25.700","26.350","26.350","25.700","1.49M","-1.15%"
"02/06/2025","26.000","26.200","26.400","26.000","2.95M","0.00%"
"02/05/2025","26.000","25.950","26.750","25.950","5.03M","0.58%"
"02/04/2025","25.850","25.350","26.000","25.250","1.79M","3.40%"
"02/03/2025","25.000","25.800","25.800","25.000","3.60M","1.21%"
"01/31/2025","24.700","27.500","27.500","24.700","6.15M","-10.18%"
"01/30/2025","27.500","27.750","28.150","26.750","896.40K","-0.90%"
"01/28/2025","27.750","28.400","28.400","27.750","468.30K","-2.29%"
"01/27/2025","28.400","28.300","28.700","28.000","651.80K","0.35%"
"01/24/2025","28.300","28.150","28.650","28.100","866.70K","0.89%"
"01/23/2025","28.050","28.200","28.200","27.700","375.10K","-0.53%"
"01/22/2025","28.200","28.350","28.350","27.950","1.08M","-0.53%"
"01/21/2025","28.350","28.300","28.400","28.000","705.60K","0.18%"
"01/20/2025","28.300","28.700","28.700","28.000","312.70K","0.53%"
"01/17/2025","28.150","28.850","28.950","28.000","561.00K","0.00%"
"01/16/2025","28.150","28.600","29.150","28.150","1.21M","-1.23%"
"01/15/2025","28.500","29.300","29.400","28.500","1.59M","-3.06%"
"01/14/2025","29.400","28.800","29.400","28.400","489.40K","2.08%"
"01/13/2025","28.800","29.800","29.800","28.800","1.17M","-3.03%"
"01/10/2025","29.700","29.800","29.800","29.400","758.30K","-0.34%"
"01/09/2025","29.800","29.150","29.950","28.750","613.70K","2.41%"
"01/08/2025","29.100","29.900","30.150","28.850","786.60K","-2.84%"
"01/07/2025","29.950","30.050","30.750","29.900","545.40K","-0.33%"
"01/06/2025","30.050","30.350","31.100","30.000","812.70K","-0.99%"
"01/03/2025","30.350","30.500","31.000","30.300","303.50K","-0.98%"
"01/02/2025","30.650","30.850","30.850","30.500","590.50K","-0.65%"
"12/27/2024","30.850","30.900","31.000","30.650","586.90K","-0.80%"
"12/26/2024","31.100","30.950","31.100","30.500","246.80K","0.32%"
"12/23/2024","31.000","30.250","31.000","30.250","256.50K","0.00%"
"12/20/2024","31.000","30.200","31.000","29.850","1.15M","2.65%"
"12/19/2024","30.200","30.600","30.600","29.900","1.79M","-1.31%"
"12/18/2024","30.600","30.450","30.600","30.200","647.70K","0.49%"
"12/17/2024","30.450","30.550","30.550","30.250","875.10K","0.66%"
"12/16/2024","30.250","30.800","30.800","30.250","6.63M","-2.42%"
"12/13/2024","31.000","30.550","31.000","30.000","1.50M","1.64%"
"12/12/2024","30.500","30.450","30.500","30.300","1.08M","0.16%"
"12/11/2024","30.450","30.450","30.850","30.200","2.47M","0.16%"
"12/10/2024","30.400","30.200","30.500","30.000","2.05M","0.66%"
"12/09/2024","30.200","30.450","30.450","29.800","611.20K","0.67%"
"12/06/2024","30.000","30.900","30.900","29.350","1.55M","-2.91%"
"12/05/2024","30.900","30.850","31.100","30.600","1.07M","0.32%"
"12/04/2024","30.800","30.200","31.050","30.200","1.37M","-0.16%"
"12/03/2024","30.850","30.700","31.100","30.500","1.25M","0.49%"
"12/02/2024","30.700","30.600","30.800","29.900","352.20K","0.33%"
"11/29/2024","30.600","30.950","30.950","29.700","856.60K","-0.97%"
"11/28/2024","30.900","30.450","31.300","29.850","790.20K","0.00%"
"11/27/2024","30.900","31.250","31.550","30.250","689.30K","-1.59%"
"11/26/2024","31.400","30.600","31.700","30.400","1.11M","2.95%"
"11/25/2024","30.500","30.450","30.800","30.000","834.70K","1.67%"
"11/22/2024","30.000","30.400","30.450","29.800","787.30K","-1.32%"
"11/21/2024","30.400","30.200","30.900","30.200","801.40K","0.66%"
"11/20/2024","30.200","30.000","30.300","29.800","1.25M","1.17%"
"11/19/2024","29.850","29.950","30.250","29.750","727.90K","-0.50%"
"11/18/2024","30.000","29.450","30.000","29.450","991.40K","2.04%"
"11/15/2024","29.400","29.300","30.150","29.300","1.40M","0.34%"
"11/14/2024","29.300","29.900","30.200","29.000","1.02M","-2.01%"
"11/13/2024","29.900","31.600","31.600","29.500","1.38M","-5.38%"
"11/12/2024","31.600","31.700","31.800","30.850","872.20K","-0.32%"
"11/11/2024","31.700","32.000","32.100","31.250","333.20K","-0.94%"
"11/08/2024","32.000","30.900","32.350","30.250","1.95M","3.39%"
"11/07/2024","30.950","32.000","32.000","30.250","1.93M","-2.52%"
"11/06/2024","31.750","31.750","31.950","31.550","288.20K","0.00%"
"11/05/2024","31.750","31.650","32.350","31.500","761.40K","0.32%"
"11/04/2024","31.650","32.550","32.600","31.650","1.18M","-2.91%"
"10/31/2024","32.600","31.900","32.750","31.750","1.80M","2.19%"
"10/30/2024","31.900","32.000","32.000","31.250","1.38M","-0.31%"
"10/29/2024","32.000","32.950","32.950","31.300","3.24M","-2.88%"
"10/28/2024","32.950","32.950","32.950","32.500","1.09M","-0.15%"
"10/25/2024","33.000","32.350","33.000","32.200","4.59M","2.01%"
"10/24/2024","32.350","32.850","32.850","32.150","501.30K","-1.67%"
"10/23/2024","32.900","32.800","32.950","32.600","220.80K","0.30%"
"10/22/2024","32.800","32.800","33.200","32.250","2.40M","-0.46%"
"10/21/2024","32.950","33.000","33.250","32.750","403.20K","-0.15%"
"10/18/2024","33.000","33.250","33.650","32.600","4.33M","-0.60%"
"10/17/2024","33.200","34.300","34.300","33.200","1.65M","-3.63%"
"10/16/2024","34.450","33.000","34.450","33.000","14.17M","4.39%"
"10/15/2024","33.000","32.300","33.200","32.300","2.98M","1.54%"
"10/14/2024","32.500","32.000","32.850","32.000","1.80M","1.56%"
"10/11/2024","32.000","32.700","32.800","31.400","2.13M","-1.69%"
"10/10/2024","32.550","32.900","33.000","32.200","1.19M","-0.76%"
"10/09/2024","32.800","33.400","33.600","32.700","1.50M","-1.80%"
"10/08/2024","33.400","33.650","33.650","33.200","3.34M","-1.33%"
"10/07/2024","33.850","31.500","33.850","31.500","9.05M","8.49%"
"10/04/2024","31.200","31.600","31.700","31.200","1.39M","-1.27%"
"10/03/2024","31.600","31.450","31.900","31.450","826.20K","0.48%"
"10/02/2024","31.450","31.550","31.950","31.400","1.72M","-0.32%"
"10/01/2024","31.550","31.500","31.700","31.350","562.20K","0.16%"
"09/30/2024","31.500","32.050","32.200","31.350","1.42M","-1.72%"
"09/27/2024","32.050","32.150","32.400","31.700","2.37M","0.16%"
"09/26/2024","32.000","30.650","32.250","30.650","4.89M","4.58%"
"09/25/2024","30.600","30.400","30.900","30.200","2.50M","0.66%"
"09/24/2024","30.400","30.400","30.900","30.400","1.46M","0.00%"
"09/23/2024","30.400","29.900","30.500","29.750","10.21M","2.36%"
"09/20/2024","29.700","30.100","30.650","29.700","4.07M","-1.16%"
"09/19/2024","30.050","29.250","30.400","29.000","4.62M","2.56%"
"09/18/2024","29.300","29.000","29.600","29.000","1.12M","1.03%"
"09/17/2024","29.000","29.000","29.400","28.900","3.35M","-0.68%"
"09/16/2024","29.200","29.000","29.700","28.650","626.50K","0.69%"
"09/13/2024","29.000","29.850","30.150","28.700","1.61M","-2.85%"
"09/12/2024","29.850","30.000","30.100","29.800","2.57M","-0.50%"
"09/11/2024","30.000","30.250","30.250","29.250","1.81M","-0.83%"
"09/10/2024","30.250","31.000","31.350","30.250","1.96M","-1.94%"
"09/09/2024","30.850","29.950","31.250","29.550","5.12M","2.83%"
"09/06/2024","30.000","29.100","30.200","28.850","5.66M","3.09%"
"09/05/2024","29.100","28.150","29.100","28.050","3.11M","3.37%"
"09/04/2024","28.150","27.800","28.150","27.500","1.09M","0.90%"
"09/03/2024","27.900","28.100","28.100","27.800","1.25M","-0.71%"
"09/02/2024","28.100","27.750","28.100","27.500","1.46M","1.26%"
"08/30/2024","27.750","27.500","27.800","27.000","2.27M","1.28%"
"08/29/2024","27.400","27.050","27.500","27.050","468.70K","1.29%"
"08/28/2024","27.050","27.400","27.600","26.800","725.60K","-1.28%"
"08/27/2024","27.400","27.350","27.850","27.350","720.40K","0.18%"
"08/22/2024","27.350","27.700","27.950","27.350","712.40K","-1.08%"
"08/21/2024","27.650","27.700","28.100","27.650","1.70M","-0.18%"
"08/20/2024","27.700","27.200","27.800","27.200","1.86M","1.84%"
"08/19/2024","27.200","26.500","27.700","26.250","2.08M","3.62%"
"08/16/2024","26.250","26.150","26.650","26.100","1.07M","0.77%"
"08/15/2024","26.050","26.600","26.600","26.050","734.20K","-1.70%"
"08/14/2024","26.500","26.450","26.500","26.150","731.00K","1.92%"
"08/13/2024","26.000","26.800","26.800","25.800","2.03M","-2.99%"
"08/12/2024","26.800","26.600","26.900","26.500","2.42M","0.75%"
"08/09/2024","26.600","26.000","26.600","25.900","1.04M","2.31%"
"08/08/2024","26.000","26.250","26.250","25.450","286.30K","-0.95%"
"08/07/2024","26.250","25.450","26.250","25.450","395.10K","3.35%"
"08/06/2024","25.400","25.350","25.600","25.100","411.30K","0.00%"
"08/05/2024","25.400","26.000","26.000","25.200","847.90K","-2.50%"
"08/02/2024","26.050","26.300","26.600","26.050","295.60K","-0.95%"
"08/01/2024","26.300","26.300","26.450","26.050","726.90K","0.00%"
"07/31/2024","26.300","25.600","26.350","25.600","710.30K","1.54%"
"07/30/2024","25.900","26.000","26.050","25.450","594.50K","-0.38%"
"07/29/2024","26.000","25.950","26.800","25.950","617.00K","0.39%"
"07/26/2024","25.900","26.000","26.000","25.700","562.50K","1.17%"
"07/25/2024","25.600","25.950","25.950","25.600","650.30K","-0.78%"
"07/23/2024","25.800","26.200","26.200","25.700","916.50K","-1.53%"
"07/22/2024","26.200","26.100","26.400","25.500","1.03M","0.00%"
"07/19/2024","26.200","26.350","26.700","26.200","1.38M","-0.57%"
"07/18/2024","26.350","25.750","26.700","25.500","878.60K","2.93%"
"07/17/2024","25.600","25.500","25.750","25.400","1.10M","0.39%"
"07/16/2024","25.500","25.500","25.750","25.500","632.00K","0.00%"
"07/15/2024","25.500","25.300","25.750","25.300","1.47M","0.79%"
"07/12/2024","25.300","25.500","25.550","25.050","652.30K","-0.78%"
