"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","37.00","36.80","37.00","36.70","473.80K","0.54%"
"03/13/2025","36.80","36.50","37.00","36.50","1.48M","0.68%"
"03/12/2025","36.55","36.65","37.00","36.55","1.40M","-0.27%"
"03/11/2025","36.65","37.70","37.70","36.65","1.75M","-2.40%"
"03/10/2025","37.55","37.70","37.90","37.55","724.90K","-0.40%"
"03/07/2025","37.70","37.55","37.80","37.40","1.31M","0.53%"
"03/06/2025","37.50","37.05","37.65","36.50","2.69M","1.21%"
"03/05/2025","37.05","37.00","37.40","36.80","1.79M","0.14%"
"03/04/2025","37.00","37.40","37.60","36.80","2.47M","-1.07%"
"03/03/2025","37.40","37.80","37.80","37.25","3.28M","0.13%"
"02/28/2025","37.35","37.95","37.95","37.05","2.51M","-1.45%"
"02/27/2025","37.90","37.85","37.90","37.60","1.55M","0.26%"
"02/26/2025","37.80","37.80","37.90","37.45","629.90K","0.93%"
"02/25/2025","37.45","37.85","37.85","37.35","1.07M","-1.19%"
"02/24/2025","37.90","37.90","37.95","37.70","1.53M","0.00%"
"02/21/2025","37.90","37.90","37.95","37.75","930.70K","0.00%"
"02/20/2025","37.90","37.75","38.00","37.75","1.33M","0.40%"
"02/19/2025","37.75","37.00","38.10","37.00","2.32M","2.03%"
"02/18/2025","37.00","36.90","37.70","36.90","2.78M","0.27%"
"02/17/2025","36.90","36.50","36.90","36.30","1.06M","1.10%"
"02/14/2025","36.50","36.35","36.55","36.25","1.54M","0.41%"
"02/13/2025","36.35","35.90","36.40","35.90","610.60K","1.39%"
"02/12/2025","35.85","36.00","36.20","35.85","363.20K","-0.42%"
"02/11/2025","36.00","35.90","36.25","35.70","1.41M","0.00%"
"02/10/2025","36.00","36.10","36.20","35.90","845.90K","0.00%"
"02/07/2025","36.00","35.80","36.10","35.50","1.13M","0.42%"
"02/06/2025","35.85","36.10","36.20","35.60","1.20M","-0.69%"
"02/05/2025","36.10","36.00","36.25","36.00","1.07M","0.84%"
"02/04/2025","35.80","35.80","36.05","35.80","677.40K","0.99%"
"02/03/2025","35.45","35.00","35.90","35.00","1.93M","2.46%"
"01/31/2025","34.60","36.00","36.25","34.60","2.75M","-3.89%"
"01/30/2025","36.00","36.20","36.20","35.50","1.44M","-0.55%"
"01/28/2025","36.20","36.40","36.40","36.10","1.11M","-0.55%"
"01/27/2025","36.40","36.45","36.50","36.20","688.30K","0.00%"
"01/24/2025","36.40","36.30","36.50","36.20","1.50M","0.28%"
"01/23/2025","36.30","36.15","36.30","36.10","3.35M","0.41%"
"01/22/2025","36.15","36.00","36.20","36.00","1.44M","0.56%"
"01/21/2025","35.95","36.10","36.30","35.85","1.46M","-0.28%"
"01/20/2025","36.05","35.70","36.10","35.60","3.01M","0.98%"
"01/17/2025","35.70","35.40","35.70","35.20","1.47M","0.85%"
"01/16/2025","35.40","35.20","35.60","35.10","3.26M","1.00%"
"01/15/2025","35.05","34.70","35.25","34.65","1.73M","1.01%"
"01/14/2025","34.70","35.00","35.00","34.70","679.00K","-0.86%"
"01/13/2025","35.00","34.75","35.05","34.50","2.59M","0.72%"
"01/10/2025","34.75","34.85","34.85","34.70","589.80K","-0.14%"
"01/09/2025","34.80","34.85","34.85","34.65","742.90K","-0.14%"
"01/08/2025","34.85","34.95","34.95","34.45","850.30K","-0.14%"
"01/07/2025","34.90","34.60","35.00","34.40","1.57M","1.01%"
"01/06/2025","34.55","34.15","34.70","33.90","1.19M","-0.86%"
"01/03/2025","34.85","34.70","34.85","34.20","2.11M","0.72%"
"01/02/2025","34.60","34.80","34.85","33.95","1.32M","-0.86%"
"12/27/2024","34.90","34.30","34.90","33.70","3.04M","1.45%"
"12/26/2024","34.40","33.50","34.45","33.25","2.43M","4.24%"
"12/23/2024","33.00","33.35","33.50","32.85","753.90K","-0.30%"
"12/20/2024","33.10","32.90","33.30","32.75","1.31M","0.76%"
"12/19/2024","32.85","33.00","33.10","32.50","1.05M","-0.45%"
"12/18/2024","33.00","33.45","33.45","32.90","1.09M","-1.35%"
"12/17/2024","33.45","33.70","33.75","33.10","1.15M","-0.59%"
"12/16/2024","33.65","34.00","34.10","33.45","1.31M","-1.32%"
"12/13/2024","34.10","34.00","34.10","33.80","1.38M","0.29%"
"12/12/2024","34.00","34.05","34.20","33.80","1.47M","-0.73%"
"12/11/2024","34.25","34.25","34.40","33.65","2.62M","-0.58%"
"12/10/2024","34.45","34.00","34.45","33.80","4.18M","0.58%"
"12/09/2024","34.25","33.45","34.25","33.20","4.80M","2.54%"
"12/06/2024","33.40","33.40","33.40","33.00","1.28M","0.00%"
"12/05/2024","33.40","32.90","33.40","32.90","3.58M","1.52%"
"12/04/2024","32.90","32.30","33.00","32.30","2.05M","1.86%"
"12/03/2024","32.30","32.25","32.40","31.95","1.67M","1.10%"
"12/02/2024","31.95","32.10","32.30","31.85","1.16M","-0.47%"
"11/29/2024","32.10","32.00","32.10","31.75","1.40M","0.31%"
"11/28/2024","32.00","32.00","32.00","31.75","785.50K","0.00%"
"11/27/2024","32.00","32.05","32.10","31.80","1.27M","0.00%"
"11/26/2024","32.00","32.00","32.15","31.90","1.68M","0.47%"
"11/25/2024","31.85","31.75","32.00","31.75","2.07M","0.31%"
"11/22/2024","31.75","31.80","32.00","31.60","1.50M","0.00%"
"11/21/2024","31.75","31.95","32.00","31.70","4.35M","-0.47%"
"11/20/2024","31.90","32.00","32.50","31.65","1.36M","-0.31%"
"11/19/2024","32.00","31.90","32.10","31.80","1.51M","0.79%"
"11/18/2024","31.75","31.80","32.00","31.70","1.37M","0.16%"
"11/15/2024","31.70","31.25","31.95","31.25","2.03M","1.60%"
"11/14/2024","31.20","31.65","31.75","31.20","1.98M","-1.27%"
"11/13/2024","31.60","31.75","31.75","31.45","1.27M","-0.47%"
"11/12/2024","31.75","31.85","31.85","31.35","1.76M","-0.31%"
"11/11/2024","31.85","32.00","32.00","31.65","1.79M","-0.16%"
"11/08/2024","31.90","32.25","32.25","31.80","1.62M","-0.16%"
"11/07/2024","31.95","32.25","32.45","31.85","1.66M","-0.78%"
"11/06/2024","32.20","32.95","32.95","32.15","845.70K","-2.13%"
"11/05/2024","32.90","32.50","32.90","32.50","1.03M","1.54%"
"11/04/2024","32.40","32.55","32.75","32.40","1.07M","-0.31%"
"10/31/2024","32.50","32.00","32.50","31.85","1.65M","2.04%"
"10/30/2024","31.85","31.85","31.85","31.45","1.25M","-0.31%"
"10/29/2024","31.95","32.20","32.45","31.55","2.81M","-0.62%"
"10/28/2024","32.15","31.20","32.35","31.05","4.15M","3.21%"
"10/25/2024","31.15","31.43","31.66","31.15","4.74M","-0.30%"
"10/24/2024","31.24","31.71","31.71","31.10","4.43M","-1.46%"
"10/23/2024","31.71","31.66","31.84","31.47","1.98M","0.74%"
"10/22/2024","31.47","31.84","31.84","31.43","2.55M","-0.29%"
"10/21/2024","31.57","31.94","32.03","31.57","2.62M","-0.87%"
"10/18/2024","31.84","31.89","31.94","31.75","2.36M","0.58%"
"10/17/2024","31.66","31.80","32.21","31.66","4.46M","0.59%"
"10/16/2024","31.47","31.89","32.08","31.47","6.96M","0.00%"
"10/15/2024","31.47","31.75","32.21","31.47","5.23M","-0.73%"
"10/14/2024","31.71","31.52","31.80","31.47","1.62M","0.74%"
"10/11/2024","31.47","31.47","31.66","31.38","1.04M","0.00%"
"10/10/2024","31.47","31.66","31.80","31.38","956.60K","-0.15%"
"10/09/2024","31.52","31.80","31.89","31.47","496.50K","-0.87%"
"10/08/2024","31.80","31.84","31.89","31.71","735.70K","-0.15%"
"10/07/2024","31.84","31.20","31.94","31.20","2.37M","1.93%"
"10/04/2024","31.24","31.15","31.57","31.10","1.04M","0.30%"
"10/03/2024","31.15","31.29","31.29","30.96","445.10K","0.45%"
"10/02/2024","31.01","30.96","31.29","30.96","282.20K","-0.89%"
"10/01/2024","31.29","30.09","31.34","30.09","1.23M","4.00%"
"09/30/2024","30.09","30.73","30.83","30.09","3.39M","-1.37%"
"09/27/2024","30.50","30.83","30.92","30.50","2.30M","-1.20%"
"09/26/2024","30.87","31.34","31.43","30.41","3.75M","-1.48%"
"09/25/2024","31.34","31.43","31.52","31.34","661.00K","0.00%"
"09/24/2024","31.34","31.47","31.94","31.34","1.35M","0.15%"
"09/23/2024","31.29","31.29","31.61","31.29","742.10K","0.45%"
"09/20/2024","31.15","31.20","31.47","31.10","1.60M","0.15%"
"09/19/2024","31.10","31.61","31.89","31.10","1.68M","-1.61%"
"09/18/2024","31.61","31.43","31.84","31.38","1.59M","0.59%"
"09/17/2024","31.43","31.24","31.47","31.15","677.50K","1.34%"
"09/16/2024","31.01","31.06","31.24","31.01","434.60K","0.30%"
"09/13/2024","30.92","31.01","31.20","30.92","220.30K","-0.15%"
"09/12/2024","30.96","30.64","31.01","30.64","475.10K","1.36%"
"09/11/2024","30.55","31.20","31.24","30.55","1.13M","-2.22%"
"09/10/2024","31.24","31.29","31.29","31.15","820.90K","0.75%"
"09/09/2024","31.01","31.06","31.29","31.01","637.70K","-0.15%"
"09/06/2024","31.06","31.29","31.29","31.06","1.43M","-0.89%"
"09/05/2024","31.34","31.01","31.34","31.01","830.20K","1.04%"
"09/04/2024","31.01","31.29","31.29","31.01","1.06M","-1.03%"
"09/03/2024","31.34","31.43","31.57","31.29","776.30K","-0.29%"
"09/02/2024","31.43","31.38","31.47","31.29","477.10K","0.15%"
"08/30/2024","31.38","31.01","31.43","31.01","2.40M","1.65%"
"08/29/2024","30.87","30.78","30.92","30.64","736.20K","0.30%"
"08/28/2024","30.78","30.50","30.92","30.46","1.22M","1.53%"
"08/27/2024","30.32","30.27","30.59","30.22","737.20K","0.15%"
"08/22/2024","30.27","30.27","30.78","30.18","573.00K","0.46%"
"08/21/2024","30.13","30.18","30.46","30.13","614.00K","0.15%"
