"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","813.50","811.00","823.00","808.00","30.08K","0.12%"
"03/13/2025","812.50","811.00","818.00","806.00","161.30K","-0.18%"
"03/12/2025","814.00","816.50","819.00","801.00","209.49K","0.00%"
"03/11/2025","814.00","825.00","839.50","800.50","219.56K","-1.45%"
"03/10/2025","826.00","821.00","835.00","821.00","128.29K","0.61%"
"03/07/2025","821.00","820.00","827.50","816.00","109.81K","0.00%"
"03/06/2025","821.00","808.50","831.50","808.50","260.40K","1.99%"
"03/05/2025","805.00","810.00","824.00","805.00","305.89K","-0.37%"
"03/04/2025","808.00","810.00","820.00","806.50","356.77K","0.00%"
"03/03/2025","808.00","780.00","822.50","780.00","332.97K","5.62%"
"02/28/2025","765.00","782.00","782.50","765.00","856.40K","-1.92%"
"02/27/2025","780.00","790.00","790.00","775.00","172.23K","-0.13%"
"02/26/2025","781.00","778.00","794.00","776.50","282.42K","0.90%"
"02/25/2025","774.00","780.50","788.00","773.00","358.80K","-0.77%"
"02/24/2025","780.00","781.00","787.50","772.00","218.00K","0.00%"
"02/21/2025","780.00","780.00","785.00","778.00","361.85K","0.00%"
"02/20/2025","780.00","800.00","800.00","772.00","377.07K","-1.89%"
"02/19/2025","795.00","798.00","815.50","791.00","264.43K","-0.38%"
"02/18/2025","798.00","785.50","802.00","785.50","137.73K","1.59%"
"02/17/2025","785.50","830.00","831.50","782.00","380.72K","-4.21%"
"02/14/2025","820.00","825.00","829.50","816.00","111.60K","-0.61%"
"02/13/2025","825.00","814.50","832.00","813.50","170.81K","1.29%"
"02/12/2025","814.50","801.00","818.50","794.50","208.86K","2.58%"
"02/11/2025","794.00","803.50","803.50","780.00","183.15K","0.13%"
"02/10/2025","793.00","804.00","819.00","792.00","223.14K","-1.31%"
"02/07/2025","803.50","826.00","830.00","803.50","262.09K","-2.72%"
"02/06/2025","826.00","832.00","832.00","805.00","270.37K","-0.48%"
"02/05/2025","830.00","798.00","837.00","790.50","338.56K","5.60%"
"02/04/2025","786.00","779.00","804.50","771.00","631.41K","2.21%"
"02/03/2025","769.00","800.00","808.50","769.00","787.29K","-1.41%"
"01/31/2025","780.00","808.00","816.50","780.00","1.24M","-1.89%"
"01/30/2025","795.00","830.00","830.00","788.50","334.28K","-3.28%"
"01/28/2025","822.00","823.00","844.50","816.00","268.31K","0.24%"
"01/27/2025","820.00","854.00","854.00","820.00","161.08K","-2.96%"
"01/24/2025","845.00","860.00","868.50","841.50","184.53K","-1.74%"
"01/23/2025","860.00","845.00","867.00","845.00","217.66K","1.78%"
"01/22/2025","845.00","831.00","854.00","831.00","236.15K","0.96%"
"01/21/2025","837.00","824.50","844.50","824.50","244.18K","0.84%"
"01/20/2025","830.00","835.00","845.50","823.00","431.70K","-0.60%"
"01/17/2025","835.00","830.00","835.00","818.00","435.31K","1.71%"
"01/16/2025","821.00","842.00","852.50","821.00","351.33K","-1.62%"
"01/15/2025","834.50","848.00","860.00","832.00","183.07K","-0.42%"
"01/14/2025","838.00","850.00","850.00","825.00","309.81K","0.48%"
"01/13/2025","834.00","870.00","870.00","834.00","364.41K","-4.14%"
"01/10/2025","870.00","890.00","890.00","870.00","223.76K","-1.69%"
"01/09/2025","885.00","880.50","889.00","870.50","368.71K","0.51%"
"01/08/2025","880.50","893.00","900.00","878.50","335.08K","-1.40%"
"01/07/2025","893.00","900.50","910.50","891.50","221.80K","-0.67%"
"01/06/2025","899.00","908.00","915.00","893.00","215.18K","-0.99%"
"01/03/2025","908.00","899.00","912.00","886.00","234.45K","1.00%"
"01/02/2025","899.00","899.00","899.00","882.50","309.73K","0.00%"
"12/27/2024","899.00","892.00","899.00","880.00","420.86K","1.93%"
"12/26/2024","882.00","899.00","899.00","878.50","226.90K","-2.00%"
"12/23/2024","900.00","883.50","900.00","878.00","214.88K","1.93%"
"12/20/2024","883.00","876.00","888.00","876.00","399.96K","0.68%"
"12/19/2024","877.00","892.00","892.00","870.50","197.75K","-1.57%"
"12/18/2024","891.00","890.00","899.50","880.50","254.26K","0.11%"
"12/17/2024","890.00","895.00","895.00","872.50","380.46K","-1.11%"
"12/16/2024","900.00","888.00","900.00","879.00","272.54K","1.35%"
