"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","83.65","83.85","83.85","83.10","41.21K","-0.12%"
"03/13/2025","83.75","83.25","83.75","83.10","86.38K","0.00%"
"03/12/2025","83.75","83.75","83.75","82.85","91.31K","0.00%"
"03/11/2025","83.75","83.00","83.75","82.80","104.43K","0.00%"
"03/10/2025","83.75","83.85","83.85","83.15","97.11K","0.00%"
"03/07/2025","83.75","83.80","83.95","83.15","53.16K","0.00%"
"03/06/2025","83.75","83.50","83.75","82.70","147.97K","0.30%"
"03/05/2025","83.50","83.00","83.95","82.80","65.19K","0.00%"
"03/04/2025","83.50","83.05","83.50","82.10","409.65K","-0.30%"
"03/03/2025","83.75","84.00","84.00","83.00","194.70K","-0.36%"
"02/28/2025","84.05","84.00","84.05","83.05","217.80K","0.06%"
"02/27/2025","84.00","84.00","84.00","83.00","66.94K","0.00%"
"02/26/2025","84.00","83.75","84.00","83.00","205.70K","0.00%"
"02/25/2025","84.00","83.50","84.00","82.85","208.42K","0.06%"
"02/24/2025","83.95","84.00","84.00","82.85","185.45K","-0.06%"
"02/21/2025","84.00","84.00","84.00","83.25","121.20K","0.00%"
"02/20/2025","84.00","83.95","84.00","83.20","183.84K","0.00%"
"02/19/2025","84.00","83.15","84.00","83.15","162.24K","-0.18%"
"02/18/2025","84.15","84.00","84.15","83.60","51.05K","0.18%"
"02/17/2025","84.00","84.00","84.05","83.00","64.01K","0.00%"
"02/14/2025","84.00","84.00","84.05","82.60","189.18K","0.00%"
"02/13/2025","84.00","83.00","84.00","82.00","165.82K","0.66%"
"02/12/2025","83.45","81.25","83.45","79.90","299.28K","1.77%"
"02/11/2025","82.00","80.90","82.00","79.65","101.54K","1.23%"
"02/10/2025","81.00","80.00","81.35","79.10","171.05K","1.25%"
"02/07/2025","80.00","80.00","80.00","77.95","277.49K","0.00%"
"02/06/2025","80.00","79.90","80.00","78.00","225.08K","0.00%"
"02/05/2025","80.00","76.80","80.00","75.05","165.15K","6.67%"
"02/04/2025","75.00","73.40","75.00","73.00","243.89K","4.17%"
"02/03/2025","72.00","72.10","74.90","70.20","1.20M","10.43%"
"01/31/2025","65.20","81.50","81.50","65.20","1.32M","-20.00%"
"01/30/2025","81.50","81.80","83.00","81.50","105.99K","-0.61%"
"01/28/2025","82.00","83.15","83.15","82.00","103.49K","-1.44%"
"01/27/2025","83.20","83.20","83.50","82.00","118.42K","0.00%"
"01/24/2025","83.20","83.20","83.20","82.70","41.16K","0.00%"
"01/23/2025","83.20","83.40","83.40","82.20","120.26K","-0.24%"
"01/22/2025","83.40","83.90","83.90","83.10","77.48K","-0.60%"
"01/21/2025","83.90","83.50","83.90","82.90","41.58K","0.48%"
"01/20/2025","83.50","83.50","83.50","82.65","70.72K","0.00%"
"01/17/2025","83.50","83.90","83.90","83.05","49.21K","-0.60%"
"01/16/2025","84.00","83.95","84.00","83.50","76.19K","0.00%"
"01/15/2025","84.00","84.00","84.00","83.40","51.80K","0.00%"
