"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","23.850","23.850","24.250","23.350","1.98M","1.92%"
"03/13/2025","23.400","24.000","24.100","23.250","4.09M","-2.30%"
"03/12/2025","23.950","23.500","23.950","23.000","10.79M","1.91%"
"03/11/2025","23.500","24.550","24.800","23.500","7.86M","-6.00%"
"03/10/2025","25.000","24.350","25.300","24.350","7.00M","2.67%"
"03/07/2025","24.350","24.400","24.650","23.900","4.82M","0.21%"
"03/06/2025","24.300","24.100","24.750","23.800","8.00M","2.97%"
"03/05/2025","23.600","23.000","24.250","23.000","18.61M","3.51%"
"03/04/2025","22.800","23.350","23.550","22.800","5.66M","-0.87%"
"03/03/2025","23.000","23.150","23.550","22.850","5.28M","3.14%"
"02/28/2025","22.300","24.000","24.000","22.300","18.11M","-7.28%"
"02/27/2025","24.050","24.400","24.400","23.850","5.91M","-1.43%"
"02/26/2025","24.400","23.500","24.400","23.150","11.72M","3.83%"
"02/25/2025","23.500","23.400","23.650","22.650","5.47M","0.43%"
"02/24/2025","23.400","23.700","23.700","22.900","5.16M","-1.27%"
"02/21/2025","23.700","23.300","23.900","23.300","5.53M","2.82%"
"02/20/2025","23.050","23.150","23.400","22.750","7.31M","-0.43%"
"02/19/2025","23.150","23.050","23.550","23.000","9.60M","1.31%"
"02/18/2025","22.850","21.950","23.050","21.950","17.98M","4.58%"
"02/17/2025","21.850","23.400","23.400","21.850","21.30M","-5.00%"
"02/14/2025","23.000","23.450","23.650","23.000","6.69M","-1.92%"
"02/13/2025","23.450","23.400","23.650","23.100","7.28M","0.21%"
"02/12/2025","23.400","23.500","23.750","23.050","7.81M","0.43%"
"02/11/2025","23.300","24.600","24.700","23.200","16.33M","-5.28%"
"02/10/2025","24.600","25.650","25.650","24.500","7.10M","-4.09%"
"02/07/2025","25.650","25.650","25.650","25.000","5.43M","0.00%"
"02/06/2025","25.650","25.900","25.900","24.900","6.94M","-1.35%"
"02/05/2025","26.000","24.400","26.050","24.350","37.63M","7.22%"
"02/04/2025","24.250","23.800","24.400","23.800","7.17M","3.63%"
"02/03/2025","23.400","23.900","24.050","23.300","12.63M","1.08%"
"01/31/2025","23.150","24.050","24.200","22.850","34.00M","-3.74%"
"01/30/2025","24.050","23.550","24.050","23.500","8.83M","2.34%"
"01/28/2025","23.500","23.550","24.050","23.500","3.88M","0.00%"
"01/27/2025","23.500","23.800","24.200","23.500","5.70M","-1.47%"
"01/24/2025","23.850","24.300","24.450","23.850","5.87M","-1.65%"
"01/23/2025","24.250","24.450","24.700","23.950","6.14M","-0.82%"
"01/22/2025","24.450","24.550","25.000","24.450","5.19M","0.00%"
"01/21/2025","24.450","24.100","24.550","23.950","3.26M","1.45%"
"01/20/2025","24.100","24.200","24.950","24.050","8.25M","-2.03%"
"01/17/2025","24.600","24.850","24.850","23.750","7.79M","1.86%"
"01/16/2025","24.150","24.800","25.600","24.150","13.89M","-1.83%"
"01/15/2025","24.600","24.050","24.850","24.050","12.04M","3.36%"
"01/14/2025","23.800","23.900","24.300","23.700","9.73M","0.00%"
"01/13/2025","23.800","24.000","24.050","23.750","12.60M","-1.24%"
"01/10/2025","24.100","24.250","24.500","24.100","4.98M","-0.62%"
"01/09/2025","24.250","24.200","24.400","23.800","7.90M","0.62%"
"01/08/2025","24.100","24.800","24.800","24.100","8.95M","-2.43%"
"01/07/2025","24.700","25.150","25.400","24.700","7.72M","-1.79%"
"01/06/2025","25.150","25.500","25.750","25.050","4.99M","-0.20%"
"01/03/2025","25.200","24.850","25.700","24.850","6.62M","0.80%"
"01/02/2025","25.000","25.150","25.450","24.700","6.65M","-0.60%"
"12/27/2024","25.150","25.350","25.450","25.000","6.48M","-0.59%"
"12/26/2024","25.300","25.350","25.600","25.000","3.45M","0.60%"
"12/23/2024","25.150","25.200","25.250","24.750","6.89M","1.41%"
"12/20/2024","24.800","25.000","25.450","24.500","11.13M","-0.40%"
"12/19/2024","24.900","25.000","25.100","24.250","15.27M","-0.80%"
"12/18/2024","25.100","25.950","26.000","25.100","11.91M","-3.09%"
"12/17/2024","25.900","26.200","26.200","25.400","14.22M","-1.15%"
"12/16/2024","26.200","26.450","26.500","26.050","3.09M","0.00%"
"12/13/2024","26.200","26.200","26.350","25.900","5.01M","0.38%"
"12/12/2024","26.100","26.500","26.850","26.100","10.43M","-1.69%"
"12/11/2024","26.550","26.900","27.400","26.450","7.04M","-0.75%"
"12/10/2024","26.750","26.500","26.850","26.100","13.67M","2.10%"
"12/09/2024","26.200","26.700","27.000","26.200","7.77M","-1.87%"
"12/06/2024","26.700","26.250","26.700","25.950","7.27M","1.91%"
"12/05/2024","26.200","26.400","26.700","26.100","5.41M","0.38%"
"12/04/2024","26.100","26.600","26.850","26.100","13.13M","-1.32%"
"12/03/2024","26.450","27.000","27.150","26.200","16.28M","-0.56%"
"12/02/2024","26.600","26.800","27.200","26.600","6.58M","0.76%"
"11/29/2024","26.400","26.600","27.450","26.400","9.54M","-0.38%"
"11/28/2024","26.500","27.200","27.400","26.500","7.11M","-1.85%"
"11/27/2024","27.000","27.500","28.300","27.000","4.20M","-1.64%"
"11/26/2024","27.450","27.950","28.200","27.450","6.04M","-0.54%"
"11/25/2024","27.600","27.600","28.350","27.600","15.81M","0.36%"
"11/22/2024","27.500","28.400","28.450","27.500","5.87M","-1.79%"
"11/21/2024","28.000","28.800","28.800","28.000","4.53M","-4.11%"
"11/20/2024","29.200","28.600","29.200","27.850","5.97M","2.10%"
"11/19/2024","28.600","28.200","28.800","27.800","9.59M","2.14%"
"11/18/2024","28.000","27.450","28.000","27.250","8.67M","3.70%"
"11/15/2024","27.000","26.350","27.400","26.350","7.96M","3.45%"
"11/14/2024","26.100","27.400","27.400","26.100","15.69M","-3.33%"
"11/13/2024","27.000","27.150","27.500","26.650","12.65M","-0.37%"
"11/12/2024","27.100","28.000","28.700","27.100","14.42M","-2.87%"
"11/11/2024","27.900","28.800","28.800","27.800","12.52M","-2.45%"
"11/08/2024","28.600","28.400","28.900","28.100","12.76M","1.42%"
"11/07/2024","28.200","29.750","29.750","28.200","19.33M","-5.37%"
"11/06/2024","29.800","30.700","30.700","29.300","13.48M","-3.40%"
"11/05/2024","30.850","29.600","30.850","29.400","5.36M","4.22%"
"11/04/2024","29.600","30.000","30.050","29.100","10.59M","-3.43%"
"10/31/2024","30.650","30.050","30.800","29.700","7.99M","2.00%"
"10/30/2024","30.050","30.050","30.500","29.800","7.32M","-0.17%"
"10/29/2024","30.100","30.900","31.000","30.050","7.50M","-2.59%"
"10/28/2024","30.900","30.700","31.000","30.250","3.85M","0.98%"
"10/25/2024","30.600","30.900","31.500","30.200","6.03M","-1.13%"
"10/24/2024","30.950","31.400","31.400","30.950","4.46M","-1.43%"
"10/23/2024","31.400","31.850","31.850","31.250","4.72M","-1.41%"
"10/22/2024","31.850","32.000","32.300","31.800","4.51M","-0.47%"
"10/21/2024","32.000","32.100","32.300","31.700","2.39M","-0.31%"
"10/18/2024","32.100","32.050","32.450","31.900","3.49M","0.31%"
"10/17/2024","32.000","31.800","32.650","31.800","4.54M","0.95%"
"10/16/2024","31.700","32.300","32.300","31.700","3.82M","-1.09%"
"10/15/2024","32.050","31.500","32.350","31.500","4.72M","2.07%"
"10/14/2024","31.400","31.850","32.150","31.400","4.07M","-0.32%"
"10/11/2024","31.500","32.250","32.250","31.400","6.89M","-2.33%"
"10/10/2024","32.250","32.050","32.300","32.050","2.44M","1.10%"
"10/09/2024","31.900","32.650","32.650","31.800","7.11M","-1.54%"
"10/08/2024","32.400","32.950","32.950","32.400","23.17M","-1.82%"
"10/07/2024","33.000","32.550","33.250","32.550","4.94M","1.69%"
"10/04/2024","32.450","32.900","32.900","32.450","5.43M","-1.07%"
"10/03/2024","32.800","32.950","33.200","32.800","4.75M","-0.46%"
"10/02/2024","32.950","33.000","33.100","32.650","2.91M","-0.90%"
"10/01/2024","33.250","32.150","33.350","32.150","5.68M","2.94%"
"09/30/2024","32.300","33.350","33.350","32.150","15.53M","-3.15%"
"09/27/2024","33.350","32.850","33.400","32.750","9.18M","1.52%"
"09/26/2024","32.850","32.400","32.850","32.250","4.78M","1.86%"
"09/25/2024","32.250","32.750","32.950","31.950","9.27M","-1.68%"
"09/24/2024","32.800","32.850","33.300","32.650","8.03M","0.00%"
"09/23/2024","32.800","32.300","32.800","31.750","9.76M","1.86%"
"09/20/2024","32.200","33.000","33.450","32.200","22.59M","-2.42%"
"09/19/2024","33.000","32.350","33.150","32.300","13.89M","1.85%"
"09/18/2024","32.400","32.200","32.650","32.100","7.10M","-0.46%"
"09/17/2024","32.550","31.750","32.600","31.400","7.04M","2.36%"
"09/16/2024","31.800","31.250","31.800","31.100","2.15M","2.25%"
"09/13/2024","31.100","31.200","31.500","31.100","2.51M","0.00%"
"09/12/2024","31.100","31.100","31.250","30.700","5.04M","1.30%"
"09/11/2024","30.700","31.700","31.750","30.700","5.69M","-3.31%"
"09/10/2024","31.750","30.850","32.200","30.850","11.65M","3.93%"
"09/09/2024","30.550","29.950","31.250","29.900","8.67M","1.50%"
"09/06/2024","30.100","30.100","30.550","29.850","6.55M","1.18%"
"09/05/2024","29.750","30.400","30.400","29.750","5.85M","-2.46%"
"09/04/2024","30.500","30.000","30.500","29.750","5.42M","1.16%"
"09/03/2024","30.150","30.500","30.600","30.150","5.87M","-1.15%"
"09/02/2024","30.500","30.950","30.950","30.450","4.70M","-1.45%"
"08/30/2024","30.950","30.200","30.950","30.000","21.04M","3.17%"
"08/29/2024","30.000","30.300","30.650","29.650","9.36M","-0.99%"
"08/28/2024","30.300","31.000","31.100","30.300","6.33M","-2.26%"
"08/27/2024","31.000","29.850","31.100","29.850","12.61M","4.38%"
"08/22/2024","29.700","30.150","30.500","29.700","7.58M","-0.17%"
"08/21/2024","29.750","30.150","30.350","29.750","7.69M","-0.83%"
"08/20/2024","30.000","30.650","30.950","30.000","12.43M","-2.12%"
"08/19/2024","30.650","30.650","31.200","30.500","4.90M","0.49%"
"08/16/2024","30.500","30.500","30.900","30.500","7.34M","1.67%"
"08/15/2024","30.000","30.000","30.650","29.950","12.45M","-0.99%"
"08/14/2024","30.300","29.700","30.300","29.150","9.17M","2.02%"
"08/13/2024","29.700","28.850","29.900","28.850","5.08M","2.41%"
"08/12/2024","29.000","29.400","29.400","28.800","10.06M","-1.69%"
"08/09/2024","29.500","28.700","29.500","28.350","5.67M","3.15%"
"08/08/2024","28.600","28.450","28.800","28.350","5.25M","-1.04%"
"08/07/2024","28.900","28.300","28.900","28.000","3.65M","3.77%"
"08/06/2024","27.850","28.350","28.700","27.850","6.08M","-0.18%"
"08/05/2024","27.900","28.600","28.800","27.750","9.81M","-4.45%"
"08/02/2024","29.200","29.500","29.500","28.800","4.17M","-1.18%"
"08/01/2024","29.550","29.000","29.600","28.900","3.95M","2.60%"
"07/31/2024","28.800","29.250","29.850","28.800","6.96M","-1.54%"
"07/30/2024","29.250","29.500","29.600","28.850","6.75M","-0.51%"
"07/29/2024","29.400","29.750","30.850","29.400","7.56M","-1.18%"
"07/26/2024","29.750","29.000","29.750","29.000","7.07M","2.59%"
"07/25/2024","29.000","29.800","29.800","29.000","8.02M","-3.01%"
"07/23/2024","29.900","30.100","30.350","29.650","7.25M","-2.45%"
"07/22/2024","30.650","30.250","31.250","30.150","13.01M","1.32%"
"07/19/2024","30.250","29.800","30.600","29.800","11.95M","1.51%"
"07/18/2024","29.800","29.800","29.950","29.350","8.36M","0.00%"
"07/17/2024","29.800","30.000","30.300","29.400","6.22M","-0.67%"
"07/16/2024","30.000","29.650","30.200","29.650","11.20M","1.35%"
"07/15/2024","29.600","29.300","30.000","29.300","8.43M","1.02%"
"07/12/2024","29.300","29.000","29.350","28.800","7.06M","1.03%"
"07/11/2024","29.000","28.400","29.100","28.350","8.27M","2.11%"
"07/10/2024","28.400","28.800","28.800","28.350","6.10M","-1.39%"
"07/09/2024","28.800","28.500","29.050","28.250","8.97M","1.05%"
"07/08/2024","28.500","28.650","28.900","28.350","8.37M","-0.52%"
"07/05/2024","28.650","28.650","28.850","28.550","5.93M","0.00%"
"07/04/2024","28.650","28.250","28.800","28.200","10.63M","0.70%"
"07/03/2024","28.450","28.100","28.500","27.950","5.74M","1.25%"
"07/02/2024","28.100","28.000","28.250","27.850","5.67M","0.36%"
"07/01/2024","28.000","27.850","28.400","27.650","15.05M","-1.06%"
"06/28/2024","28.300","27.800","28.300","27.550","13.03M","1.80%"
"06/27/2024","27.800","27.200","27.800","27.000","8.70M","2.39%"
"06/26/2024","27.150","27.300","27.550","27.100","22.79M","0.00%"
"06/25/2024","27.150","26.950","27.250","26.700","7.02M","0.56%"
"06/24/2024","27.000","26.050","27.000","26.000","12.74M","5.06%"
"06/21/2024","25.700","26.800","26.800","25.700","17.27M","-3.56%"
"06/20/2024","26.650","26.650","26.800","26.350","7.41M","0.00%"
"06/19/2024","26.650","27.100","27.150","26.600","5.58M","-1.30%"
"06/18/2024","27.000","27.050","27.100","26.900","4.65M","-0.55%"
"06/14/2024","27.150","27.000","27.150","26.600","4.80M","0.93%"
"06/13/2024","26.900","26.850","27.300","26.800","10.03M","0.75%"
"06/11/2024","26.700","27.300","27.350","26.650","6.30M","-2.38%"
"06/10/2024","27.350","27.550","27.550","27.050","3.89M","-0.73%"
"06/07/2024","27.550","27.350","27.550","26.900","2.92M","1.66%"
"06/06/2024","27.100","27.300","27.500","26.900","5.65M","0.74%"
"06/05/2024","26.900","26.950","27.250","26.700","5.78M","1.51%"
"06/04/2024","26.500","27.500","27.500","26.350","8.18M","-3.11%"
"06/03/2024","27.350","27.000","27.350","26.850","3.03M","1.48%"
"05/31/2024","26.950","26.300","26.950","25.950","76.27M","3.45%"
"05/30/2024","26.050","26.650","27.100","26.050","19.36M","-1.88%"
"05/29/2024","26.550","27.200","27.400","26.550","14.90M","-1.85%"
"05/28/2024","27.050","27.300","27.750","27.050","11.98M","-0.55%"
"05/27/2024","27.200","28.000","28.000","27.100","11.30M","-1.09%"
"05/24/2024","27.500","28.500","28.500","27.500","12.38M","-4.18%"
"05/23/2024","28.700","28.300","28.700","28.300","5.18M","1.77%"
"05/22/2024","28.200","29.000","29.000","28.200","11.69M","-2.76%"
"05/21/2024","29.000","29.200","29.400","28.800","10.84M","-0.68%"
"05/20/2024","29.200","29.200","29.750","28.800","10.14M","0.00%"
"05/17/2024","29.200","28.500","29.400","28.300","13.31M","2.64%"
"05/16/2024","28.450","27.700","28.450","27.450","9.01M","4.98%"
"05/15/2024","27.100","27.250","27.650","27.000","9.74M","-0.37%"
"05/14/2024","27.200","26.800","27.650","26.650","9.67M","1.49%"
"05/13/2024","26.800","26.800","27.250","26.800","10.89M","0.19%"
"05/10/2024","26.750","27.100","27.500","26.600","5.28M","-0.74%"
"05/09/2024","26.950","27.850","28.600","26.800","11.08M","-3.23%"
"05/08/2024","27.850","26.700","27.850","26.400","11.34M","7.12%"
"05/07/2024","26.000","27.800","27.800","26.000","22.53M","-4.94%"
"05/06/2024","27.350","28.000","28.050","27.350","7.45M","-0.18%"
"05/03/2024","27.400","28.150","28.150","27.250","9.99M","-1.97%"
"05/02/2024","27.950","28.050","28.200","27.800","7.64M","0.00%"
"04/30/2024","27.950","28.950","29.200","27.950","13.43M","-2.95%"
"04/29/2024","28.800","28.700","29.500","28.550","9.13M","1.59%"
"04/26/2024","28.350","28.200","28.650","27.900","3.85M","0.35%"
"04/25/2024","28.250","28.950","29.300","28.250","4.62M","-1.22%"
"04/24/2024","28.600","28.650","29.100","28.500","5.66M","1.42%"
"04/23/2024","28.200","28.000","28.650","28.000","14.85M","1.08%"
"04/22/2024","27.900","27.900","28.200","27.500","5.11M","2.20%"
"04/19/2024","27.300","28.250","28.900","27.300","16.46M","-2.67%"
"04/18/2024","28.050","28.650","29.500","28.050","16.95M","-0.71%"
"04/17/2024","28.250","29.300","29.650","28.250","10.98M","-3.58%"
"04/16/2024","29.300","29.600","29.900","29.150","10.10M","-1.01%"
"04/15/2024","29.600","30.000","30.000","29.300","9.13M","-1.33%"
"04/12/2024","30.000","30.400","30.900","30.000","3.87M","-1.32%"
"04/11/2024","30.400","31.500","31.650","30.350","8.44M","-3.80%"
"04/08/2024","31.600","30.650","31.700","29.900","6.57M","3.27%"
"04/05/2024","30.600","31.500","31.550","30.500","8.03M","-3.16%"
"04/04/2024","31.600","32.100","32.100","31.500","3.87M","-0.63%"
"04/03/2024","31.800","33.000","33.000","31.800","9.57M","-4.07%"
"04/02/2024","33.150","33.000","33.500","32.900","10.62M","0.45%"
"04/01/2024","33.000","32.700","33.150","32.650","7.31M","0.92%"
"03/27/2024","32.700","32.900","32.900","32.300","2.78M","-0.91%"
"03/26/2024","33.000","32.250","33.000","31.900","6.86M","2.48%"
"03/25/2024","32.200","32.600","32.600","32.050","1.58M","-1.23%"
"03/22/2024","32.600","32.950","32.950","32.300","4.61M","-1.66%"
"03/21/2024","33.150","32.750","33.150","32.200","12.82M","1.07%"
"03/20/2024","32.800","32.100","32.800","31.850","8.61M","1.39%"
"03/19/2024","32.350","31.650","32.350","31.400","6.41M","2.70%"
"03/18/2024","31.500","31.500","31.800","31.500","3.87M","0.80%"
"03/15/2024","31.250","32.250","32.250","31.200","34.25M","-3.40%"
"03/14/2024","32.350","32.050","32.350","31.850","7.56M","0.94%"
"03/13/2024","32.050","31.700","32.200","31.650","8.42M","1.42%"
"03/12/2024","31.600","31.850","32.050","31.550","6.30M","0.00%"
"03/11/2024","31.600","32.600","32.600","31.600","14.34M","-3.66%"
"03/08/2024","32.800","32.200","32.800","31.650","10.94M","2.82%"
"03/07/2024","31.900","33.100","33.150","31.850","10.87M","-3.92%"
"03/06/2024","33.200","33.000","33.450","32.700","8.67M","0.15%"
"03/05/2024","33.150","33.100","33.550","33.000","9.02M","-0.15%"
"03/04/2024","33.200","32.450","33.400","32.200","8.65M","2.31%"
"03/01/2024","32.450","32.000","32.600","32.000","6.30M","2.69%"
"02/29/2024","31.600","32.700","32.850","31.450","38.66M","-2.77%"
"02/28/2024","32.500","32.300","32.750","32.300","6.93M","0.62%"
"02/27/2024","32.300","32.850","32.850","32.000","13.10M","-1.52%"
"02/26/2024","32.800","33.200","33.650","32.800","8.84M","-1.20%"
"02/23/2024","33.200","33.500","34.000","33.200","10.39M","-0.90%"
"02/22/2024","33.500","33.800","34.100","33.150","10.43M","-0.89%"
"02/21/2024","33.800","33.000","33.800","32.800","9.02M","2.74%"
"02/20/2024","32.900","33.300","33.300","32.700","11.82M","-0.45%"
"02/19/2024","33.050","34.000","34.100","33.050","8.15M","-2.79%"
"02/16/2024","34.000","34.250","34.250","33.850","3.29M","0.00%"
"02/15/2024","34.000","34.300","34.550","34.000","4.86M","-0.58%"
"02/14/2024","34.200","33.800","34.400","33.700","4.29M","0.59%"
"02/13/2024","34.000","34.200","34.400","33.900","8.42M","0.00%"
"02/12/2024","34.000","34.600","35.000","34.000","5.59M","-1.88%"
"02/08/2024","34.650","34.800","35.400","34.650","12.22M","-0.43%"
"02/07/2024","34.800","34.100","35.050","34.100","12.62M","2.35%"
"02/06/2024","34.000","34.000","34.400","33.900","6.79M","0.29%"
"02/05/2024","33.900","33.900","34.700","33.700","10.66M","0.89%"
"02/02/2024","33.600","34.000","34.600","33.600","9.71M","-1.32%"
"02/01/2024","34.050","34.050","34.300","33.600","6.27M","-0.58%"
"01/31/2024","34.250","33.800","34.800","33.750","14.84M","1.63%"
"01/30/2024","33.700","33.700","34.050","33.650","6.73M","0.00%"
"01/29/2024","33.700","33.750","33.750","33.500","7.37M","0.00%"
"01/26/2024","33.700","33.500","33.800","33.250","7.42M","0.30%"
"01/25/2024","33.600","33.650","33.750","33.250","3.53M","0.30%"
"01/24/2024","33.500","33.150","33.650","33.150","6.84M","1.36%"
"01/23/2024","33.050","33.200","33.600","32.950","4.36M","0.15%"
"01/22/2024","33.000","33.000","33.200","32.850","6.84M","0.76%"
"01/19/2024","32.750","33.000","33.100","32.700","3.62M","0.31%"
"01/18/2024","32.650","33.750","33.750","32.600","4.66M","-2.10%"
"01/17/2024","33.350","33.850","33.850","33.350","8.28M","-1.19%"
"01/16/2024","33.750","33.750","34.000","33.550","14.94M","0.00%"
"01/15/2024","33.750","33.550","34.100","33.550","4.37M","0.60%"
"01/12/2024","33.550","33.500","33.950","33.250","4.37M","0.15%"
"01/11/2024","33.500","33.450","34.000","33.350","8.88M","1.06%"
"01/10/2024","33.150","33.300","33.750","33.150","5.50M","-1.04%"
"01/09/2024","33.500","33.400","34.150","33.400","9.93M","0.00%"
"01/08/2024","33.500","33.400","33.850","33.250","6.75M","1.21%"
"01/05/2024","33.100","33.600","33.600","33.100","9.27M","-1.78%"
"01/04/2024","33.700","32.350","33.800","32.100","10.74M","4.50%"
"01/03/2024","32.250","32.300","32.600","32.100","9.56M","-0.15%"
"01/02/2024","32.300","32.950","33.200","32.250","11.37M","-1.82%"
"12/29/2023","32.900","33.500","33.700","32.900","13.10M","-2.08%"
"12/28/2023","33.600","33.400","33.600","33.100","2.73M","0.60%"
"12/27/2023","33.400","33.200","33.400","33.000","5.00M","0.91%"
"12/22/2023","33.100","33.050","33.300","32.950","4.67M","0.30%"
"12/21/2023","33.000","33.400","33.800","32.850","7.96M","-2.94%"
"12/20/2023","34.000","33.850","34.350","33.400","6.95M","0.29%"
"12/19/2023","33.900","33.600","34.000","33.350","7.13M","0.89%"
"12/18/2023","33.600","33.200","33.600","33.100","4.78M","1.51%"
