"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","73.55","70.00","74.15","69.50","1.62M","5.07%"
"03/13/2025","70.00","72.00","73.20","70.00","1.87M","-2.78%"
"03/12/2025","72.00","71.50","72.00","69.10","1.76M","0.35%"
"03/11/2025","71.75","73.85","74.45","70.75","2.83M","-4.33%"
"03/10/2025","75.00","71.80","75.00","71.80","3.66M","4.46%"
"03/07/2025","71.80","72.10","73.05","71.40","1.57M","-0.35%"
"03/06/2025","72.05","71.10","73.35","70.25","2.52M","1.34%"
"03/05/2025","71.10","68.50","71.80","68.25","2.24M","4.56%"
"03/04/2025","68.00","66.20","68.40","65.15","3.24M","2.72%"
"03/03/2025","66.20","68.60","68.60","64.75","5.37M","0.00%"
"02/28/2025","66.20","68.00","68.00","65.15","65.77M","-2.93%"
"02/27/2025","68.20","70.05","71.20","67.50","4.87M","-3.94%"
"02/26/2025","71.00","67.00","71.00","64.55","4.39M","5.97%"
"02/25/2025","67.00","70.05","71.20","66.30","7.10M","-4.35%"
"02/24/2025","70.05","74.35","74.35","69.10","2.65M","-5.91%"
"02/21/2025","74.45","71.50","74.45","71.10","1.75M","5.30%"
"02/20/2025","70.70","72.00","72.00","68.65","1.71M","-1.12%"
"02/19/2025","71.50","66.90","71.50","66.90","3.11M","7.12%"
"02/18/2025","66.75","63.90","67.80","63.90","2.29M","4.38%"
"02/17/2025","63.95","63.30","65.90","63.00","2.49M","1.59%"
"02/14/2025","62.95","61.80","63.80","61.80","9.26M","1.86%"
"02/13/2025","61.80","61.50","62.75","60.65","1.22M","0.98%"
"02/12/2025","61.20","60.90","62.55","59.70","5.40M","-1.13%"
"02/11/2025","61.90","62.50","63.00","61.05","1.70M","-1.75%"
"02/10/2025","63.00","62.80","63.45","62.10","1.25M","0.64%"
"02/07/2025","62.60","62.60","63.10","62.20","952.61K","0.16%"
"02/06/2025","62.50","63.65","63.65","62.05","1.78M","1.38%"
"02/05/2025","61.65","59.00","63.20","58.95","3.51M","6.38%"
"02/04/2025","57.95","58.25","60.20","57.80","3.78M","0.09%"
"02/03/2025","57.90","60.80","61.25","57.90","5.21M","-4.77%"
"01/31/2025","60.80","64.60","65.00","60.80","5.03M","-5.52%"
"01/30/2025","64.35","65.20","65.50","64.15","615.03K","-0.69%"
"01/28/2025","64.80","65.50","65.60","64.35","1.01M","-1.07%"
"01/27/2025","65.50","66.90","67.00","65.15","614.48K","-2.09%"
"01/24/2025","66.90","66.90","67.25","65.75","655.50K","-0.07%"
"01/23/2025","66.95","65.00","67.15","64.15","1.60M","3.80%"
"01/22/2025","64.50","66.10","67.80","64.50","4.42M","-2.27%"
"01/21/2025","66.00","69.60","69.60","65.25","4.36M","-4.07%"
"01/20/2025","68.80","69.00","69.45","68.80","1.67M","0.29%"
"01/17/2025","68.60","69.00","69.15","67.80","1.30M","0.88%"
"01/16/2025","68.00","70.20","71.20","68.00","2.97M","-2.79%"
