Date,Price,Open,High,Low,Volume,Change_Percent
2012-02-29,401.0,400.0,401.4,395.0,598600.0,2.61
2012-03-01,408.0,405.0,415.0,401.0,421980.0,1.75
2012-03-02,424.0,409.0,428.0,409.0,691540.0,3.92
2012-03-05,431.0,424.0,431.0,420.0,392060.0,1.65
2012-03-06,425.0,430.8,430.8,424.8,345160.0,-1.39
2012-03-07,412.0,425.0,425.0,412.0,317020.0,-3.06
2012-03-08,417.0,413.0,419.0,413.0,185240.0,1.21
2012-03-09,414.0,417.0,417.0,412.0,173410.0,-0.72
2012-03-12,413.2,414.0,414.0,412.6,135370.0,-0.19
2012-03-13,413.0,420.0,420.0,412.0,384480.0,-0.05
2012-03-14,415.0,415.0,419.0,415.0,247900.0,0.48
2012-03-15,405.0,415.0,418.0,405.0,300180.0,-2.41
2012-03-16,423.0,405.0,423.0,405.0,499560.0,4.44
2012-03-19,423.0,422.0,423.0,418.0,296500.0,0.0
2012-03-20,422.8,421.2,423.2,421.2,326810.0,-0.05
2012-03-21,414.8,422.2,422.2,414.8,294330.0,-1.89
2012-03-22,414.0,414.8,414.8,412.2,162510.0,-0.19
2012-03-23,414.0,414.0,414.0,410.0,176270.0,0.0
2012-03-26,414.0,414.0,414.0,410.2,51870.0,0.0
2012-03-27,411.2,412.0,412.6,410.2,473770.0,-0.68
2012-03-28,399.0,411.0,411.0,395.0,1090000.0,-2.97
2012-03-29,405.0,400.0,411.0,398.0,533280.0,1.5
2012-03-30,406.6,412.0,412.0,405.0,249120.0,0.4
2012-04-02,406.0,406.6,406.6,405.0,446120.0,-0.15
2012-04-03,412.0,406.2,412.0,406.2,534690.0,1.48
2012-04-04,410.0,412.0,412.0,405.6,878870.0,-0.49
2012-04-05,408.9,410.5,411.0,405.45000000000005,824375.0,-0.635
2012-04-06,407.8,409.0,410.0,405.3,769880.0,-0.78
2012-04-09,406.70000000000005,407.5,409.0,405.15,715385.0,-0.925
2012-04-10,405.6,406.0,408.0,405.0,660890.0,-1.07
2012-04-11,407.0,406.0,407.4,405.0,195900.0,0.35
2012-04-12,415.0,407.2,415.0,407.2,234990.0,1.97
2012-04-13,425.0,415.0,425.0,415.0,509480.0,2.41
2012-04-16,434.0,425.0,435.0,418.0,889120.0,2.12
2012-04-17,429.8,437.0,437.0,429.8,457270.0,-0.97
2012-04-18,424.2,427.0,433.0,423.8,507330.0,-1.3
2012-04-19,424.8,429.0,429.0,424.0,571940.0,0.14
2012-04-20,416.2,430.0,430.0,413.0,637430.0,-2.02
2012-04-23,416.6,420.0,420.0,416.0,167980.0,0.1
2012-04-24,419.0,416.6,419.4,415.8,289730.0,0.58
2012-04-25,428.2,420.0,430.2,420.0,858310.0,2.2
2012-04-26,428.0,429.0,431.8,427.8,315710.0,-0.05
2012-04-27,428.0,428.0,429.0,425.0,691700.0,0.0
2012-04-30,430.0,427.8,430.0,427.8,400040.0,0.47
2012-05-01,436.5,428.9,439.5,428.9,407000.0,1.7449999999999999
2012-05-02,443.0,430.0,449.0,430.0,413960.0,3.02
2012-05-03,462.6,443.2,464.0,440.0,477950.0,4.42
2012-05-04,454.0,460.0,460.0,450.0,663980.0,-1.86
2012-05-07,448.0,449.0,450.0,441.6,403340.0,-1.32
2012-05-08,458.8,441.2,459.0,441.2,478430.0,2.41
2012-05-09,451.0,459.8,459.8,451.0,478260.0,-1.7
2012-05-10,450.0,450.0,451.0,449.0,779500.0,-0.22
2012-05-11,457.0,450.0,458.0,450.0,175200.0,1.56
2012-05-14,445.0,456.8,457.0,438.0,150220.0,-2.63
2012-05-15,427.0,433.0,433.0,420.0,517570.00000000006,-4.04
2012-05-16,409.0,428.6,428.6,409.0,398130.0,-4.22
2012-05-17,426.6,405.0,430.0,403.0,407300.0,4.3
2012-05-18,410.0,422.0,422.0,400.2,338290.0,-3.89
2012-05-21,401.0,410.0,420.0,401.0,296480.0,-2.2
2012-05-22,413.2,410.0,416.0,410.0,241410.0,3.04
2012-05-23,406.0,405.0,408.0,405.0,497390.0,-1.74
2012-05-24,411.0,406.0,412.0,406.0,688790.0,1.23
2012-05-25,411.2,412.0,413.0,411.0,407880.0,0.05
2012-05-28,417.0,416.0,417.8,412.0,350080.0,1.41
