Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-22,1.22,1.26,1.27,1.22,9370000.0,-0.81
2012-03-23,1.2,1.22,1.22,1.19,4300000.0,-1.64
2012-03-26,1.2,1.24,1.26,1.2,4550000.0,0.0
2012-03-27,1.2,1.21,1.21,1.19,2300000.0,0.0
2012-03-28,1.19,1.2,1.2,1.17,6460000.0,-0.83
2012-03-29,1.17,1.19,1.19,1.15,16590000.0,-1.68
2012-03-30,1.18,1.16,1.18,1.16,1040000.0,0.85
2012-04-02,1.16,1.18,1.19,1.16,4490000.0,-1.69
2012-04-03,1.16,1.17,1.17,1.15,2520000.0,0.0
2012-04-04,1.17,1.16,1.17,1.15,2440000.0,0.86
2012-04-05,1.1675,1.16,1.1675,1.15,2212500.0,0.4325
2012-04-06,1.165,1.16,1.165,1.15,1985000.0,0.0050000000000000044
2012-04-09,1.1624999999999999,1.16,1.1624999999999999,1.15,1757500.0,-0.4225
2012-04-10,1.16,1.16,1.16,1.15,1530000.0,-0.85
2012-04-11,1.16,1.16,1.19,1.16,4040000.0,0.0
2012-04-12,1.16,1.16,1.17,1.16,441360.0,0.0
2012-04-13,1.15,1.15,1.16,1.15,8289999.999999999,-0.86
2012-04-16,1.13,1.16,1.16,1.12,5380000.0,-1.74
2012-04-17,1.16,1.13,1.16,1.12,2420000.0,2.65
2012-04-18,1.15,1.15,1.16,1.15,2510000.0,-0.86
2012-04-19,1.15,1.15,1.15,1.15,228730.0,0.0
2012-04-20,1.15,1.15,1.16,1.15,1720000.0,0.0
2012-04-23,1.15,1.16,1.16,1.15,1330000.0,0.0
2012-04-24,1.18,1.15,1.2,1.15,2960000.0,2.61
2012-04-25,1.18,1.17,1.2,1.17,5180000.0,0.0
2012-04-26,1.16,1.19,1.19,1.16,8410000.0,-1.69
2012-04-27,1.16,1.16,1.17,1.16,8230000.0,0.0
2012-04-30,1.17,1.17,1.18,1.16,8410000.0,0.86
2012-05-01,1.165,1.17,1.1749999999999998,1.1549999999999998,12100000.0,0.0050000000000000044
2012-05-02,1.16,1.17,1.17,1.15,15790000.0,-0.85
2012-05-03,1.16,1.17,1.17,1.15,10390000.0,0.0
2012-05-04,1.19,1.16,1.19,1.16,3960000.0,2.59
2012-05-07,1.17,1.19,1.2,1.17,3340000.0,-1.68
2012-05-08,1.19,1.17,1.19,1.17,2510000.0,1.71
2012-05-09,1.17,1.18,1.19,1.17,3990000.0,-1.68
2012-05-10,1.15,1.16,1.16,1.15,3530000.0,-1.71
2012-05-11,1.15,1.15,1.18,1.15,1140000.0,0.0
2012-05-14,1.12,1.15,1.15,1.1,4500000.0,-2.61
2012-05-15,1.11,1.12,1.13,1.11,1590000.0,-0.89
2012-05-16,1.11,1.11,1.12,1.1,669020.0,0.0
2012-05-17,1.15,1.11,1.15,1.11,1140000.0,3.6
2012-05-18,1.12,1.12,1.12,1.11,2250000.0,-2.61
2012-05-21,1.15,1.14,1.15,1.14,105240.0,2.68
2012-05-22,1.15,1.15,1.15,1.14,239470.0,0.0
2012-05-23,1.12,1.13,1.14,1.12,275980.0,-2.61
2012-05-24,1.14,1.13,1.14,1.13,215850.0,1.79
2012-05-25,1.15,1.14,1.15,1.14,154640.0,0.88
2012-05-28,1.16,1.15,1.16,1.15,907420.0,0.87
2012-05-29,1.16,1.15,1.16,1.15,1120000.0,0.0
2012-05-30,1.15,1.15,1.16,1.15,368340.0,-0.86
2012-05-31,1.15,1.16,1.16,1.15,690490.0,0.0
2012-06-01,1.16,1.15,1.16,1.15,135310.0,0.87
2012-06-04,1.15,1.15,1.15,1.13,1370000.0,-0.86
2012-06-05,1.15,1.15,1.15,1.15,31140.0,0.0
2012-06-06,1.15,1.15,1.15,1.14,912780.0,0.0
2012-06-07,1.15,1.15,1.15,1.15,1540000.0,0.0
2012-06-08,1.15,1.15,1.15,1.15,312490.0,0.0
2012-06-11,1.14,1.15,1.15,1.14,466060.0,-0.87
2012-06-12,1.14,1.145,1.145,1.14,312495.0,-0.435
2012-06-13,1.14,1.14,1.14,1.14,158930.0,0.0
2012-06-14,1.12,1.14,1.15,1.12,1630000.0,-1.75
2012-06-15,1.13,1.13,1.13,1.12,459610.0,0.89
2012-06-18,1.14,1.13,1.14,1.12,315720.0,0.88
2012-06-19,1.14,1.14,1.14,1.13,66580.0,0.0
2012-06-20,1.14,1.14,1.15,1.14,1750000.0,0.0
2012-06-21,1.15,1.13,1.16,1.13,667940.0,0.88
2012-06-22,1.13,1.13,1.14,1.13,667940.0,-1.74
2012-06-25,1.14,1.14,1.14,1.12,312490.0,0.88
2012-06-26,1.14,1.14,1.14,1.13,231960.0,0.0
