Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-01,48.3,47.8,52.8,47.8,1670000.0,1.26
2012-03-02,49.9,50.0,50.2,49.85,2210000.0,3.31
2012-03-05,50.0,50.0,50.2,49.95,1960000.0,0.2
2012-03-06,49.35,49.9,50.0,49.25,2410000.0,-1.3
2012-03-07,49.5,48.95,50.3,48.0,3950000.0,0.3
2012-03-08,49.95,49.5,50.0,49.5,3050000.0,0.91
2012-03-09,49.95,49.95,49.95,49.5,1460000.0,0.0
2012-03-12,49.9,49.5,49.95,49.5,4780000.0,-0.1
2012-03-13,48.3,49.85,49.85,48.05,6730000.0,-3.21
2012-03-14,48.7,48.6,49.2,48.5,8340000.0,0.83
2012-03-15,49.5,48.7,49.5,48.7,5330000.0,1.64
2012-03-16,50.3,49.5,50.3,45.0,6100000.0,1.62
2012-03-19,49.65,50.0,50.3,49.5,4280000.0,-1.29
2012-03-20,49.4,49.5,49.9,49.4,3000000.0,-0.5
2012-03-21,48.4,49.4,49.4,48.3,1320000.0,-2.02
2012-03-22,49.5,49.0,49.55,48.95,2150000.0,2.27
2012-03-23,49.0,49.1,49.2,48.4,803600.0,-1.01
2012-03-26,47.2,48.95,49.05,47.2,317400.0,-3.67
2012-03-27,49.0,48.45,49.9,48.45,1700000.0,3.81
2012-03-28,49.5,48.9,49.5,48.9,1060000.0,1.02
2012-03-29,49.6,49.5,49.7,49.0,2089999.9999999998,0.2
2012-03-30,50.1,49.9,50.2,49.6,3430000.0,1.01
2012-04-02,50.45,50.1,50.45,49.9,586690.0,0.7
2012-04-03,49.0,50.5,51.4,49.0,472740.0,-2.87
2012-04-04,49.95,49.1,50.95,48.8,2380000.0,1.94
2012-04-05,49.712500000000006,49.3,50.6875,48.849999999999994,1930700.0,0.98
2012-04-06,49.475,49.5,50.425,48.9,1481400.0,0.020000000000000018
2012-04-09,49.2375,49.7,50.1625,48.95,1032100.0,-0.94
2012-04-10,49.0,49.9,49.9,49.0,582800.0,-1.9
2012-04-11,49.1,49.0,49.5,49.0,1790000.0,0.2
2012-04-12,49.1,48.6,49.45,48.6,1830000.0,0.0
2012-04-13,49.25,49.1,49.25,48.5,418400.0,0.31
2012-04-16,49.3,49.25,49.5,48.8,1400000.0,0.1
2012-04-17,49.0,49.3,49.95,49.0,890400.0,-0.61
2012-04-18,50.0,49.65,50.7,49.35,3280000.0,2.04
2012-04-19,50.15,49.9,50.3,49.7,1070000.0,0.3
2012-04-20,49.1,50.1,50.1,48.0,998790.0,-2.09
2012-04-23,48.9,49.05,49.15,48.8,2250000.0,-0.41
2012-04-24,50.0,48.85,50.0,48.75,535400.0,2.25
2012-04-25,50.0,49.9,50.2,49.8,1520000.0,0.0
2012-04-26,50.15,50.0,50.2,50.0,769270.0,0.3
2012-04-27,50.15,50.4,50.5,49.8,654270.0,0.0
2012-04-30,51.0,50.0,51.0,50.0,1190000.0,1.69
2012-05-01,51.1,50.475,52.25,50.375,1825000.0,1.04
2012-05-02,51.2,50.95,53.5,50.75,2460000.0,0.39
2012-05-03,53.0,52.0,53.6,52.0,1440000.0,3.52
2012-05-04,53.9,53.0,53.9,52.8,1350000.0,1.7
2012-05-07,53.1,53.5,53.5,52.35,2520000.0,-1.48
2012-05-08,52.75,53.0,53.0,50.2,1190000.0,-0.66
2012-05-09,52.0,52.45,52.55,52.0,816680.0,-1.42
2012-05-10,52.35,53.2,53.2,51.8,2620000.0,0.67
2012-05-11,52.85,52.1,53.0,52.1,1630000.0,0.96
2012-05-14,53.0,52.8,53.0,50.2,960930.0,0.28
2012-05-15,51.0,51.9,52.15,51.0,1400000.0,-3.77
2012-05-16,49.5,50.5,50.5,48.5,1530000.0,-2.94
2012-05-17,50.9,48.65,51.1,48.65,3570000.0,2.83
2012-05-18,48.0,50.0,50.65,46.5,1860000.0,-5.7
2012-05-21,50.1,50.0,51.1,49.0,1440000.0,4.37
2012-05-22,50.0,50.5,51.0,49.0,1130000.0,-0.2
2012-05-23,50.0,50.05,50.05,49.5,461850.0,0.0
2012-05-24,49.7,50.0,50.0,49.5,410090.0,-0.6
2012-05-25,49.95,49.7,50.0,49.65,621100.0,0.5
2012-05-28,50.0,49.0,50.0,49.0,525400.0,0.1
2012-05-29,51.1,50.0,51.2,50.0,546410.0,2.2
2012-05-30,51.5,51.1,51.5,49.6,1590000.0,0.78
2012-05-31,52.0,50.2,52.4,49.95,2920000.0,0.97
2012-06-01,50.9,51.95,51.95,50.5,693140.0,-2.12
2012-06-04,47.85,50.9,50.9,47.1,1990000.0,-5.99
2012-06-05,48.95,47.9,49.25,47.9,715100.0,2.3
2012-06-06,49.0,48.0,49.0,48.0,1960000.0,0.1
2012-06-07,50.1,49.9,50.8,49.1,692500.0,2.24
2012-06-08,50.0,50.0,50.15,49.8,1080000.0,-0.2
2012-06-11,49.95,50.75,50.75,49.95,211920.0,-0.1
2012-06-12,50.1,50.375,50.525,49.95,467760.0,0.24999999999999997
2012-06-13,50.25,50.0,50.3,49.95,723600.0,0.6
2012-06-14,48.0,50.25,50.25,48.0,3610000.0,-4.48
2012-06-15,45.0,49.0,49.0,44.0,19430000.0,-6.25
2012-06-18,47.75,47.5,47.75,46.5,4630000.0,6.11
2012-06-19,48.0,47.75,48.2,47.0,2670000.0,0.52
2012-06-20,48.8,48.9,48.95,48.1,1090000.0,1.67
2012-06-21,47.65,48.8,49.25,47.65,1260000.0,-2.36
2012-06-22,47.5,46.9,47.65,46.9,1600000.0,-0.31
2012-06-25,46.75,46.7,48.0,46.3,4220000.0,-1.58
2012-06-26,46.95,46.0,47.5,46.0,2520000.0,0.43
2012-06-27,48.0,46.65,48.4,46.65,2520000.0,2.24
2012-06-28,49.45,48.0,49.45,47.5,1730000.0,3.02
2012-06-29,48.95,49.3,49.4,48.6,1470000.0,-1.01
2012-07-02,49.45,48.95,49.5,48.95,1730000.0,1.02
2012-07-03,49.3,49.45,49.5,49.1,1330000.0,-0.3
2012-07-04,49.0,49.3,50.0,48.5,1000000.0,-0.61
2012-07-05,49.0,49.3,49.3,48.7,293400.0,0.0
2012-07-06,49.45,49.9,49.9,48.7,1030000.0,0.92
2012-07-09,48.5,49.45,49.45,48.0,357700.0,-1.92
2012-07-10,47.0,48.5,48.95,47.0,376700.0,-3.09
2012-07-11,48.0,48.0,48.0,47.15,1150000.0,2.13
2012-07-12,48.45,48.0,49.1,48.0,1610000.0,0.94
2012-07-13,47.9,48.45,48.85,47.9,906500.0,-1.14
2012-07-16,48.7,48.5,48.8,48.5,441100.0,1.67
2012-07-17,48.5,48.7,48.7,47.9,280400.0,-0.41
2012-07-18,48.4,48.5,48.5,48.0,432900.0,-0.21
2012-07-19,47.95,48.7,48.7,47.5,793300.0,-0.93
2012-07-20,48.5,47.05,48.5,47.05,979300.0,1.15
