Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-01,11.84,11.4,11.84,11.4,42330000.0,3.5
2012-03-02,11.98,11.98,12.2,11.84,46470000.0,1.18
2012-03-05,12.02,12.0,12.14,11.96,27290000.0,0.33
2012-03-06,11.78,12.06,12.06,11.58,13390000.0,-2.0
2012-03-07,11.7,11.5,11.82,11.5,17820000.0,-0.68
2012-03-08,12.0,11.8,12.0,11.72,20660000.0,2.56
2012-03-09,12.1,12.02,12.1,11.96,11490000.0,0.83
2012-03-12,11.82,12.2,12.26,11.82,16309999.999999998,-2.31
2012-03-13,12.12,12.1,12.18,12.0,25210000.0,2.54
2012-03-14,12.4,12.2,12.54,12.18,32630000.000000004,2.31
2012-03-15,13.24,12.5,13.3,12.5,54110000.0,6.77
2012-03-16,12.98,13.42,13.48,12.76,36000000.0,-1.96
2012-03-19,13.22,13.12,13.36,13.1,15380000.0,1.85
2012-03-20,13.1,13.4,13.42,13.0,23100000.0,-0.91
2012-03-21,12.9,13.02,13.02,12.82,14190000.0,-1.53
2012-03-22,13.0,12.88,13.18,12.84,31660000.0,0.78
2012-03-23,13.14,13.02,13.2,12.92,74200000.0,1.08
2012-03-26,12.9,13.14,13.14,12.8,41780000.0,-1.83
2012-03-27,13.0,13.0,13.08,12.92,28600000.0,0.78
2012-03-28,12.78,13.16,13.16,12.7,41620000.0,-1.69
2012-03-29,12.68,12.78,12.8,12.68,70320000.0,-0.78
2012-03-30,12.6,12.7,12.7,12.56,46200000.0,-0.63
2012-04-02,12.18,12.58,12.58,12.0,23020000.0,-3.33
2012-04-03,12.32,12.18,12.4,12.18,12350000.0,1.15
2012-04-04,12.22,12.32,12.4,12.2,7540000.0,-0.81
2012-04-05,12.135000000000002,12.26,12.32,12.105,13085000.0,-1.3025
2012-04-06,12.05,12.2,12.24,12.01,18630000.0,-1.795
2012-04-09,11.965,12.14,12.16,11.915,24175000.0,-2.2874999999999996
2012-04-10,11.88,12.08,12.08,11.82,29720000.0,-2.78
2012-04-11,11.8,11.8,11.82,11.66,19410000.0,-0.67
2012-04-12,12.04,11.8,12.2,11.76,22160000.0,2.03
2012-04-13,12.12,12.08,12.18,12.08,41930000.0,0.66
2012-04-16,12.04,12.1,12.1,11.88,34380000.0,-0.66
