Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-02,21.0,20.1,21.0,20.1,10130000.0,4.48
2012-03-05,22.1,21.0,22.1,20.7,9130000.0,5.24
2012-03-06,21.35,21.75,21.75,20.9,11030000.0,-3.39
2012-03-07,20.85,21.2,21.2,20.5,5590000.0,-2.34
2012-03-08,20.55,20.95,21.1,20.55,3920000.0,-1.44
2012-03-09,21.0,20.65,21.1,20.6,3180000.0,2.19
2012-03-12,21.0,21.0,21.0,20.8,3940000.0,0.0
2012-03-13,20.65,21.15,21.15,20.6,2560000.0,-1.67
2012-03-14,21.5,20.95,21.8,20.95,6030000.0,4.12
2012-03-15,20.75,21.5,21.7,20.75,3910000.0,-3.49
2012-03-16,21.95,20.65,21.95,20.65,5270000.0,5.78
2012-03-19,21.35,21.4,21.7,21.25,9640000.0,-2.73
2012-03-20,21.45,21.5,21.65,21.1,8730000.0,0.47
2012-03-21,21.3,21.45,21.5,21.25,7410000.0,-0.7
2012-03-22,21.15,21.25,21.3,21.15,6130000.0,-0.7
2012-03-23,21.1,21.0,21.2,21.0,7450000.0,-0.24
2012-03-26,20.75,21.1,21.1,20.5,6100000.0,-1.66
2012-03-27,20.85,20.95,21.0,20.75,5350000.0,0.48
2012-03-28,20.85,20.85,20.9,20.8,3490000.0,0.0
2012-03-29,20.8,20.75,20.95,20.7,6490000.0,-0.24
2012-03-30,20.75,21.25,21.25,20.7,4570000.0,-0.24
2012-04-02,20.45,20.5,20.5,20.15,5250000.0,-1.45
2012-04-03,20.45,20.5,20.75,20.35,4480000.0,0.0
2012-04-04,20.05,20.5,20.6,20.0,4980000.0,-1.96
2012-04-05,20.15,20.35,20.5625,19.95,4782500.0,-0.97
2012-04-06,20.25,20.2,20.525,19.9,4585000.0,0.020000000000000018
2012-04-09,20.35,20.049999999999997,20.4875,19.85,4387500.0,1.0099999999999998
2012-04-10,20.45,19.9,20.45,19.8,4190000.0000000005,2.0
2012-04-11,20.65,20.1,20.65,20.0,3310000.0,0.98
2012-04-12,20.65,20.9,20.95,20.5,6550000.0,0.0
2012-04-13,20.8,20.7,20.9,20.7,2880000.0,0.73
2012-04-16,21.1,20.8,21.3,20.65,2360000.0,1.44
2012-04-17,21.55,21.15,21.7,20.95,7430000.0,2.13
2012-04-18,21.9,21.55,22.4,21.5,7840000.0,1.62
2012-04-19,21.55,21.85,21.85,21.5,7880000.0,-1.6
2012-04-20,21.55,21.7,21.7,21.5,5410000.0,0.0
2012-04-23,21.55,21.7,21.7,21.5,3870000.0,0.0
2012-04-24,22.0,21.55,22.0,21.5,4830000.0,2.09
2012-04-25,21.5,21.95,22.0,21.5,3490000.0,-2.27
2012-04-26,21.6,21.7,21.8,21.5,8830000.0,0.47
2012-04-27,21.0,21.5,21.6,20.8,7980000.0,-2.78
2012-04-30,21.45,21.0,21.6,21.0,10510000.0,2.14
