Date,Price,Open,High,Low,Volume,Change_Percent
2010-01-04,26.94,27.29,27.29,26.94,671540.0,-1.28
2010-01-05,27.29,26.94,27.64,26.94,1050000.0,1.3
2010-01-06,27.29,26.94,27.29,26.94,667230.0,0.0
2010-01-07,27.29,27.29,27.29,27.29,103150.0,0.0
2010-01-08,27.29,27.29,27.29,26.94,281200.0,0.0
2010-01-11,27.29,27.29,27.64,26.94,733490.0,0.0
2010-01-12,27.64,27.29,28.34,27.29,3860000.0,1.28
2010-01-13,27.64,27.64,27.99,27.64,648440.0,0.0
2010-01-14,27.99,27.64,27.99,27.64,2410000.0,1.27
2010-01-15,27.99,27.99,27.99,27.64,3210000.0,0.0
2010-01-18,27.29,27.64,27.64,27.29,1150000.0,-2.5
2010-01-19,26.94,27.29,27.29,26.94,1380000.0,-1.28
2010-01-20,27.29,27.29,27.29,27.29,882450.0,1.3
2010-01-21,27.64,27.29,27.64,27.29,610010.0,1.28
2010-01-22,26.94,27.64,27.64,26.59,2310000.0,-2.53
2010-01-25,26.24,26.94,26.94,25.54,1060000.0,-2.6
2010-01-26,25.19,26.24,26.24,25.19,1410000.0,-4.0
2010-01-27,24.14,25.19,25.19,24.14,1350000.0,-4.17
2010-01-28,25.19,24.14,25.19,24.14,1610000.0,4.35
2010-01-29,25.19,25.19,25.54,25.19,1090000.0,0.0
2010-02-01,24.49,24.84,25.54,24.49,2270000.0,-2.78
2010-02-02,24.14,25.19,25.19,24.14,1330000.0,-1.43
2010-02-03,24.49,24.84,24.84,24.49,1590000.0,1.45
2010-02-04,24.84,24.84,25.19,24.84,1300000.0,1.43
2010-02-05,24.49,24.49,24.84,23.79,1640000.0,-1.41
2010-02-08,24.49,24.84,24.84,24.49,1430000.0,0.0
2010-02-09,24.14,24.14,24.49,23.79,3590000.0,-1.43
2010-02-10,24.49,24.14,24.84,24.14,1830000.0,1.45
2010-02-11,25.89,24.49,25.89,24.49,3110000.0,5.72
2010-02-12,26.24,25.89,26.24,25.89,2310000.0,1.35
2010-02-15,25.89,25.54,26.24,25.54,1120000.0,-1.33
2010-02-16,25.89,26.24,26.24,25.54,3380000.0,0.0
2010-02-17,26.59,26.24,26.59,26.24,1220000.0,2.7
2010-02-18,26.59,26.59,26.59,26.24,1280000.0,0.0
2010-02-19,26.59,26.24,26.94,26.24,2080000.0,0.0
2010-02-22,26.59,26.59,26.94,26.59,1910000.0,0.0
2010-02-23,26.59,26.59,26.94,25.89,12250000.0,0.0
2010-02-24,26.24,26.24,26.24,25.89,762730.0,-1.32
2010-02-25,25.89,26.24,26.59,25.89,696180.0,-1.33
2010-02-26,26.59,26.24,26.59,26.24,535260.0,2.7
2010-03-01,26.59,26.59,26.59,26.24,289420.0,0.0
2010-03-02,26.94,26.94,26.94,26.59,937020.0,1.32
2010-03-03,26.94,26.94,26.94,26.59,200740.0,0.0
2010-03-04,26.24,26.59,26.59,26.24,1610000.0,-2.6
