Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-12,29.6,28.25,30.5,28.15,103500.0,5.34
2012-03-13,28.5,29.6,30.3,28.5,115100.0,-3.72
2012-03-14,29.5,29.8,31.0,29.5,127400.0,3.51
2012-03-15,28.45,29.05,29.5,28.45,130900.0,-3.56
2012-03-16,42.55,28.8,42.65,28.8,1420000.0,49.56
2012-03-19,39.0,48.0,49.0,38.6,1480000.0,-8.34
2012-03-20,35.0,39.3,39.4,34.0,1040000.0,-10.26
2012-03-21,35.5,35.6,37.5,35.0,911300.0,1.43
2012-03-22,35.65,35.5,38.25,35.5,693000.0,0.42
2012-03-23,35.5,35.5,36.1,35.5,159900.0,-0.42
2012-03-26,36.0,35.5,38.0,35.45,561600.0,1.41
2012-03-27,34.1,36.2,36.7,34.0,349500.0,-5.28
2012-03-28,33.8,34.2,34.55,33.25,264900.0,-0.88
2012-03-29,33.5,33.55,33.95,33.0,221000.0,-0.89
2012-03-30,33.45,33.95,33.95,33.25,52500.0,-0.15
2012-04-02,33.6,33.5,34.35,33.35,48300.0,0.45
2012-04-03,31.0,33.6,34.0,31.0,405200.0,-7.74
2012-04-04,30.3,29.0,34.5,28.8,1150000.0,-2.26
2012-04-05,30.1625,29.325,33.45,28.8625,937100.0,-2.15
2012-04-06,30.025,29.65,32.4,28.925,724200.0,-2.04
2012-04-09,29.8875,29.975,31.35,28.9875,511300.0,-1.93
2012-04-10,29.75,30.3,30.3,29.05,298400.0,-1.82
2012-04-11,27.5,29.8,29.8,27.5,325000.0,-7.56
2012-04-12,25.5,27.7,28.65,25.35,756400.0,-7.27
2012-04-13,21.0,25.45,25.45,20.0,1350000.0,-17.65
2012-04-16,19.5,21.8,21.8,19.0,605600.0,-7.14
2012-04-17,15.98,19.5,19.5,14.72,1620000.0,-18.05
2012-04-18,13.5,15.74,15.74,13.5,1490000.0,-15.52
2012-04-19,11.8,12.0,12.98,11.0,2770000.0,-12.59
2012-04-20,15.0,11.8,15.2,11.8,7090000.0,27.12
2012-04-23,13.08,15.8,16.2,12.76,8970000.0,-12.8
2012-04-24,11.8,12.6,12.6,11.52,2540000.0,-9.79
2012-04-25,11.6,11.82,12.04,11.46,1550000.0,-1.69
2012-04-26,11.64,11.6,12.06,11.6,920900.0,0.34
2012-04-27,12.0,11.98,14.3,11.72,2470000.0,3.09
2012-04-30,12.0,12.6,12.7,11.5,1360000.0,0.0
2012-05-01,10.504999999999999,12.3,12.35,10.0,99250000.0,-12.46
2012-05-02,9.01,12.0,12.0,8.5,197140000.0,-24.92
2012-05-03,9.4,9.0,9.75,8.99,188560000.0,4.33
2012-05-04,9.7,9.52,9.9,9.52,62630000.0,3.19
2012-05-07,9.6,9.73,9.73,9.56,21770000.0,-1.03
2012-05-08,9.75,9.7,9.98,9.7,36210000.0,1.56
2012-05-09,9.5,9.75,9.75,9.45,33070000.0,-2.56
2012-05-10,9.1,9.5,9.5,9.1,45210000.0,-4.21
2012-05-11,9.0,9.17,9.2,8.9,39020000.0,-1.1
2012-05-14,8.21,9.0,9.0,8.18,25660000.0,-8.78
2012-05-15,8.46,8.3,8.47,8.13,37370000.0,3.05
2012-05-16,8.45,8.72,8.75,8.3,17120000.0,-0.12
2012-05-17,8.32,8.49,8.6,8.22,24360000.0,-1.54
2012-05-18,8.31,8.32,8.35,8.22,6150000.0,-0.12
2012-05-21,8.24,8.31,8.35,8.19,7220000.0,-0.84
2012-05-22,8.42,8.3,8.74,8.3,14730000.0,2.18
2012-05-23,8.41,8.54,8.79,8.4,6400000.0,-0.12
2012-05-24,8.34,8.5,8.5,8.3,4270000.0,-0.83
2012-05-25,8.5,8.5,8.62,8.48,3230000.0,1.92
2012-05-28,8.5,8.5,8.53,8.44,1030000.0,0.0
2012-05-29,8.78,8.5,9.1,8.5,11600000.0,3.29
2012-05-30,9.0,9.02,9.15,8.86,10430000.0,2.51
2012-05-31,8.98,8.9,9.14,8.75,3930000.0,-0.22
2012-06-01,8.88,8.97,8.99,8.85,1130000.0,-1.11
2012-06-04,8.37,8.75,8.76,8.28,14550000.0,-5.74
2012-06-05,8.4,8.41,8.5,8.38,5630000.0,0.36
2012-06-06,8.7,8.5,8.8,8.5,4920000.0,3.57
2012-06-07,8.7,8.8,8.96,8.61,3000000.0,0.0
2012-06-08,8.74,8.7,8.8,8.69,2150000.0,0.46
2012-06-11,8.66,8.75,8.75,8.66,1990000.0,-0.92
2012-06-12,8.495000000000001,8.675,8.675,8.495000000000001,10470000.0,-2.365
2012-06-13,8.33,8.6,8.6,8.33,18950000.0,-3.81
2012-06-14,8.23,8.3,8.34,8.23,8080000.0,-1.2
