Date,Price,Open,High,Low,Volume,Change_Percent
2012-03-12,70.7,70.84,70.89,70.25,736270.0,0.0
2012-03-13,73.79,70.7,75.36,70.65,5030000.0,4.37
2012-03-14,74.08,74.57,74.57,73.84,4410000.0,0.39
2012-03-15,73.88,74.28,74.28,73.44,2230000.0,-0.27
2012-03-16,73.1,74.08,74.08,73.1,1700000.0,-1.06
2012-03-19,73.88,73.1,74.28,73.1,1250000.0,1.07
2012-03-20,74.03,74.28,74.28,73.74,1310000.0,0.2
2012-03-21,72.12,73.88,73.98,72.12,959370.0,-2.58
2012-03-22,74.03,72.71,74.38,72.17,1460000.0,2.65
2012-03-23,73.59,74.42,74.47,73.0,1430000.0,-0.59
2012-03-26,71.63,73.59,73.98,71.63,2089999.9999999998,-2.66
2012-03-27,71.14,72.56,72.61,71.04,1140000.0,-0.68
2012-03-28,70.65,71.14,71.24,70.5,3940000.0,-0.69
2012-03-29,71.48,70.65,72.9,70.65,1850000.0,1.17
2012-03-30,72.61,72.61,72.61,71.43,2040000.0,1.58
2012-04-02,74.28,72.61,74.28,72.02,1110000.0,2.3
2012-04-03,71.63,73.59,73.59,71.63,517789.99999999994,-3.57
2012-04-04,70.65,73.39,73.39,70.65,940960.0,-1.37
2012-04-05,70.89500000000001,72.72749999999999,72.95,70.6725,917860.0,-0.6800000000000002
2012-04-06,71.14,72.065,72.50999999999999,70.695,894760.0,0.009999999999999787
2012-04-09,71.38499999999999,71.4025,72.07,70.7175,871660.0,0.6999999999999997
2012-04-10,71.63,70.74,71.63,70.74,848560.0,1.39
2012-04-11,71.14,71.63,71.63,70.74,540480.0,-0.68
2012-04-12,71.58,71.14,72.61,70.35,609920.0,0.62
2012-04-13,72.36,71.58,72.36,71.58,819610.0,1.09
2012-04-16,73.3,72.36,73.59,71.63,548720.0,1.3
2012-04-17,73.59,73.59,74.47,73.54,1300000.0,0.4
2012-04-18,73.69,73.79,74.47,73.2,847520.0,0.14
2012-04-19,73.59,73.88,73.98,73.34,671470.0,-0.14
2012-04-20,74.08,74.08,74.82,73.59,1300000.0,0.67
2012-04-23,74.72,74.77,74.77,74.47,886450.0,0.86
2012-04-24,73.34,73.59,73.59,72.61,838120.0,-1.85
2012-04-25,73.2,73.34,74.87,73.1,922640.0,-0.19
2012-04-26,73.49,73.2,74.23,73.1,479540.0,0.4
2012-04-27,71.14,73.59,74.08,71.14,811590.0,-3.2
2012-04-30,72.31,72.61,72.61,71.63,693510.0,1.64
2012-05-01,72.92500000000001,72.485,73.2,71.995,1126755.0,1.67
2012-05-02,73.54,72.36,73.79,72.36,1560000.0,1.7
2012-05-03,73.54,73.44,73.59,73.34,670740.0,0.0
2012-05-04,71.73,73.54,73.54,71.14,768940.0,-2.46
2012-05-07,69.71,71.63,71.63,69.17,3640000.0,-2.82
2012-05-08,70.11,69.52,70.55,69.52,2980000.0,0.57
2012-05-09,70.74,71.24,71.24,70.16,1230000.0,0.9
2012-05-10,71.09,70.74,71.53,68.68,2000000.0,0.49
