Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-04,54.55,53.75,55.4,53.75,1070000.0,1.49
2012-04-05,54.25,54.0,55.2375,53.6,1260000.0,0.5674999999999999
2012-04-06,53.95,54.25,55.075,53.45,1450000.0,-0.3550000000000002
2012-04-09,53.65,54.5,54.9125,53.3,1640000.0,-1.2775
2012-04-10,53.35,54.75,54.75,53.15,1830000.0,-2.2
2012-04-11,53.35,53.4,53.4,53.0,1100000.0,0.0
2012-04-12,53.0,53.4,53.4,52.8,1910000.0,-0.66
2012-04-13,54.4,53.4,54.8,53.4,2210000.0,2.64
2012-04-16,58.0,54.0,58.25,54.0,4600000.0,6.62
2012-04-17,57.4,57.9,59.45,57.0,4000000.0,-1.03
2012-04-18,59.2,58.0,59.4,57.9,3500000.0,3.14
2012-04-19,57.6,59.0,59.0,57.6,2820000.0,-2.7
2012-04-20,57.8,58.6,59.25,57.6,2100000.0,0.35
2012-04-23,58.9,59.1,59.2,58.8,2490000.0,1.9
2012-04-24,58.9,59.0,59.5,58.5,1210000.0,0.0
2012-04-25,63.0,58.9,63.6,58.9,5680000.0,6.96
2012-04-26,60.55,63.0,63.0,60.1,7680000.0,-3.89
2012-04-27,60.5,60.6,61.45,60.5,2140000.0,-0.08
2012-04-30,59.7,60.5,60.6,59.5,4390000.0,-1.32
2012-05-01,60.85,60.125,61.3,59.625,3565000.0,1.265
2012-05-02,62.0,59.75,62.0,59.75,2740000.0,3.85
2012-05-03,62.4,62.0,62.8,62.0,2440000.0,0.65
2012-05-04,62.35,64.8,64.8,62.2,2910000.0,-0.08
2012-05-07,62.05,62.0,63.0,61.3,2890000.0,-0.48
2012-05-08,63.05,61.0,64.4,61.0,1900000.0,1.61
2012-05-09,62.25,63.0,63.1,62.0,2310000.0,-1.27
2012-05-10,63.4,61.6,63.5,61.05,3700000.0,1.85
2012-05-11,62.1,63.3,63.3,61.1,2630000.0,-2.05
2012-05-14,61.35,61.0,61.85,60.85,3060000.0,-1.21
2012-05-15,60.8,61.22,61.4,57.6,7740000.0,-0.9
2012-05-16,59.0,62.9,63.6,58.0,12050000.0,-2.96
2012-05-17,61.0,59.0,62.0,58.95,8010000.0,3.39
2012-05-18,58.0,60.5,60.5,56.9,9790000.0,-4.92
2012-05-21,57.0,58.0,58.5,56.95,8700000.0,-1.72
2012-05-22,58.1,57.5,58.5,57.5,4420000.0,1.93
2012-05-23,58.6,58.0,58.6,57.6,3670000.0,0.86
2012-05-24,59.25,58.6,59.65,58.6,5810000.0,1.11
2012-05-25,59.25,59.2,59.25,58.8,4390000.0,0.0
2012-05-28,58.75,59.25,59.25,58.75,1440000.0,-0.84
2012-05-29,58.4,58.75,59.0,58.35,4460000.0,-0.6
2012-05-30,56.95,58.8,58.8,56.05,9190000.0,-2.48
2012-05-31,57.95,59.0,59.7,56.75,59670000.0,1.76
2012-06-01,55.35,57.8,57.8,55.2,6880000.0,-4.49
2012-06-04,52.0,54.9,54.9,51.8,5040000.0,-6.05
2012-06-05,53.6,53.2,53.8,52.4,3420000.0,3.08
2012-06-06,55.0,54.0,55.25,53.9,6870000.0,2.61
2012-06-07,55.2,55.95,56.5,54.9,3670000.0,0.36
2012-06-08,56.0,55.4,56.0,55.0,2610000.0,1.45
2012-06-11,55.9,55.8,55.9,54.95,1830000.0,-0.18
2012-06-12,55.95,55.9,56.025,55.2,4670000.0,0.0
2012-06-13,56.0,56.0,56.15,55.45,7510000.0,0.18
2012-06-14,54.7,55.6,55.6,54.55,2300000.0,-2.32
2012-06-15,54.9,56.0,56.0,53.95,1750000.0,0.37
2012-06-18,55.0,55.55,55.7,53.5,2880000.0,0.18
2012-06-19,54.95,54.35,54.95,54.35,1850000.0,-0.09
2012-06-20,55.05,54.95,55.5,54.7,2760000.0,0.18
2012-06-21,55.0,55.2,56.35,54.8,3290000.0,-0.09
2012-06-22,55.0,54.95,55.25,54.05,953570.0,0.0
2012-06-25,55.1,56.0,56.0,55.1,2610000.0,0.18
2012-06-26,56.7,55.85,57.2,55.4,2520000.0,2.9
2012-06-27,57.75,56.75,57.9,56.75,2610000.0,1.85
2012-06-28,57.0,57.9,57.95,56.8,3910000.0,-1.3
2012-06-29,56.9,57.0,57.0,56.85,2120000.0,-0.18
2012-07-02,57.55,57.6,58.4,56.9,2700000.0,1.14
2012-07-03,58.25,57.6,58.4,57.6,2980000.0,1.22
2012-07-04,59.5,58.4,59.8,58.0,3750000.0,2.15
2012-07-05,59.5,59.45,59.75,59.0,2380000.0,0.0
2012-07-06,59.2,59.5,59.6,58.8,908020.0,-0.5
2012-07-09,58.9,59.5,59.5,58.5,924110.0,-0.51
2012-07-10,58.7,58.9,59.7,58.5,2080000.0,-0.34
2012-07-11,59.5,57.6,59.5,57.6,1470000.0,1.36
2012-07-12,58.5,59.5,59.5,57.8,2330000.0,-1.68
2012-07-13,58.1,58.5,58.8,58.1,597380.0,-0.68
2012-07-16,59.4,58.3,59.4,58.3,561010.0,2.24
2012-07-17,58.7,59.0,59.0,58.3,1210000.0,-1.18
2012-07-18,58.9,59.3,59.3,58.8,9910000.0,0.34
2012-07-19,58.8,58.9,59.2,58.75,3460000.0,-0.17
2012-07-20,57.9,58.7,58.7,57.75,1500000.0,-1.53
2012-07-23,56.3,57.6,57.6,56.0,1030000.0,-2.76
2012-07-24,57.05,56.3,57.5,55.2,1780000.0,1.33
2012-07-25,57.5,56.9,57.5,56.0,928330.0,0.79
