Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-20,1103.0,1120.0,1121.0,1090.0,59580.0,-1.52
2012-04-23,1110.0,1105.0,1117.0,1105.0,28120.0,0.63
2012-04-24,1115.0,1110.0,1115.0,1107.0,23240.0,0.45
2012-04-25,1110.0,1115.0,1125.0,1110.0,131660.0,-0.45
2012-04-26,1120.0,1110.0,1120.0,1109.0,81270.0,0.9
2012-04-27,1120.0,1115.0,1120.0,1113.0,34680.0,0.0
2012-04-30,1122.0,1125.0,1125.0,1113.0,37900.0,0.18
2012-05-01,1112.0,1123.5,1123.5,1107.5,71050.0,-0.8
2012-05-02,1102.0,1122.0,1122.0,1102.0,104200.0,-1.78
2012-05-03,1111.0,1102.0,1112.0,1102.0,66860.0,0.82
2012-05-04,1121.0,1111.0,1122.0,1110.0,90330.0,0.9
2012-05-07,1114.0,1121.0,1121.0,1105.0,62040.0,-0.62
2012-05-08,1105.0,1102.0,1105.0,1102.0,72750.0,-0.81
2012-05-09,1090.0,1105.0,1105.0,1090.0,48590.0,-1.36
2012-05-10,1095.0,1090.0,1100.0,1053.0,37010.0,0.46
2012-05-11,1055.0,1060.0,1090.0,1055.0,24020.0,-3.65
2012-05-14,1080.0,1070.0,1080.0,1050.0,8720.0,2.37
2012-05-15,1050.0,1030.0,1050.0,1020.0,54450.0,-2.78
2012-05-16,1000.0,1050.0,1050.0,999.0,60510.0,-4.76
2012-05-17,1050.0,1001.0,1060.0,1001.0,45450.0,5.0
2012-05-18,1020.0,1050.0,1052.0,1005.0,31310.0,-2.86
2012-05-21,1074.0,1020.0,1074.0,1000.0,23300.0,5.29
2012-05-22,1070.0,1080.0,1080.0,1068.0,27250.0,-0.37
2012-05-23,1030.0,1070.0,1070.0,1030.0,27330.0,-3.74
2012-05-24,1045.0,1040.0,1055.0,1040.0,17230.0,1.46
2012-05-25,1070.0,1045.0,1070.0,1045.0,12360.0,2.39
2012-05-28,1090.0,1070.0,1090.0,1060.0,21860.0,1.87
2012-05-29,1100.0,1080.0,1110.0,1060.0,21840.0,0.92
