Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-23,492.2,491.0,495.0,490.0,1100000.0,0.04
2012-04-24,491.2,491.0,492.0,486.6,682830.0,-0.2
2012-04-25,513.0,491.8,516.5,491.8,1400000.0,4.44
2012-04-26,508.0,515.0,520.0,506.0,413670.0,-0.97
2012-04-27,502.5,510.0,510.0,501.0,643190.0,-1.08
2012-04-30,509.0,503.5,510.0,501.0,200570.0,1.29
2012-05-01,509.5,506.75,512.5,505.5,264345.0,0.745
2012-05-02,510.0,510.0,515.0,510.0,328120.0,0.2
2012-05-03,500.5,509.0,510.0,494.6,1320000.0,-1.86
2012-05-04,511.5,512.0,512.0,501.0,465260.0,2.2
2012-05-07,500.0,510.0,510.0,500.0,408800.0,-2.25
2012-05-08,503.0,500.0,506.0,500.0,182320.0,0.6
2012-05-09,502.0,503.0,504.0,500.5,209710.0,-0.2
2012-05-10,493.0,500.0,501.0,489.0,382220.0,-1.79
2012-05-11,491.0,493.38,500.0,490.0,210990.0,-0.41
2012-05-14,470.0,468.4,490.0,468.4,210090.0,-4.28
2012-05-15,465.6,470.0,470.0,455.4,769630.0,-0.94
2012-05-16,470.0,470.0,480.0,467.0,232470.0,0.95
2012-05-17,482.0,475.0,493.0,470.0,222770.0,2.55
2012-05-18,465.0,475.0,475.0,463.0,181160.0,-3.53
2012-05-21,472.0,462.2,478.0,460.8,283660.0,1.51
2012-05-22,472.2,480.0,490.0,472.2,139720.0,0.04
2012-05-23,480.0,479.0,480.0,476.0,117010.0,1.65
2012-05-24,479.0,468.0,480.0,468.0,52810.0,-0.21
2012-05-25,479.0,479.0,479.8,478.0,235560.0,0.0
2012-05-28,483.0,480.0,483.0,478.0,68630.0,0.84
2012-05-29,498.0,483.2,501.0,481.0,760220.0,3.11
2012-05-30,500.0,498.0,500.0,495.0,344940.0,0.4
2012-05-31,500.0,495.0,503.0,482.0,166840.0,0.0
2012-06-01,499.0,498.0,499.6,497.0,148160.0,-0.2
2012-06-04,476.2,497.0,497.0,476.0,106130.0,-4.57
2012-06-05,477.0,476.4,481.0,476.4,109190.0,0.17
2012-06-06,478.0,478.0,481.0,477.0,55660.0,0.21
2012-06-07,479.0,478.2,488.0,478.2,213640.0,0.21
2012-06-08,481.0,475.2,483.0,475.2,10320.0,0.42
2012-06-11,483.0,479.0,483.0,479.0,47230.0,0.42
2012-06-12,483.6,481.0,486.5,481.0,44545.0,0.33499999999999996
2012-06-13,484.2,483.0,490.0,483.0,41860.0,0.25
2012-06-14,484.0,484.0,487.0,484.0,125230.0,-0.04
2012-06-15,482.0,482.0,482.6,482.0,36640.0,-0.41
2012-06-18,496.2,482.2,499.6,482.2,247570.0,2.95
2012-06-19,492.2,497.0,497.0,490.0,11470.0,-0.81
2012-06-20,493.0,493.0,493.6,493.0,146500.0,0.16
2012-06-21,494.0,492.0,495.0,492.0,136130.0,0.2
2012-06-22,490.0,492.0,495.0,490.0,597810.0,-0.81
2012-06-25,489.0,494.0,494.0,489.0,7830.0,-0.2
2012-06-26,488.0,481.4,492.8,481.4,62510.0,-0.2
2012-06-27,504.0,484.0,504.0,484.0,542420.0,3.28
2012-06-28,505.0,500.0,510.0,500.0,172640.0,0.2
2012-06-29,505.0,505.0,508.5,505.0,143680.0,0.0
2012-07-02,510.0,507.0,515.5,507.0,326870.0,0.99
2012-07-03,516.5,510.0,517.5,510.0,296190.0,1.27
2012-07-04,515.0,517.0,517.0,513.5,157250.0,-0.29
2012-07-05,516.0,510.0,516.0,510.0,59890.0,0.19
2012-07-06,514.0,513.0,515.5,513.0,183980.0,-0.39
2012-07-09,510.0,513.0,513.0,501.0,30370.0,-0.78
2012-07-10,509.0,500.0,509.0,499.0,93550.0,-0.2
2012-07-11,507.0,507.0,507.0,505.5,205220.0,-0.39
2012-07-12,531.5,510.0,532.0,510.0,856370.0,4.83
2012-07-13,535.0,523.0,542.0,523.0,322770.0,0.66
2012-07-16,540.0,540.0,546.0,538.0,335430.0,0.93
2012-07-17,535.0,540.0,544.0,535.0,223410.0,-0.93
2012-07-18,526.0,532.0,535.0,525.0,70780.0,-1.68
2012-07-19,528.5,528.5,536.0,526.0,263860.0,0.48
2012-07-20,538.0,529.0,543.0,529.0,457190.0,1.8
2012-07-23,530.0,538.0,538.0,528.5,53150.0,-1.49
2012-07-24,527.0,529.5,530.0,525.0,99200.0,-0.57
2012-07-25,525.0,527.0,527.0,525.0,117280.0,-0.38
2012-07-26,525.0,528.0,528.0,524.5,291470.0,0.0
2012-07-27,531.0,528.0,534.0,528.0,26620.0,1.14
2012-07-30,544.5,538.0,548.0,538.0,252070.0,2.54
2012-07-31,546.0,544.5,549.0,541.0,324380.0,0.28
2012-08-01,551.0,546.0,552.0,546.0,346040.0,0.92
2012-08-02,548.0,551.0,551.0,548.0,132570.0,-0.54
2012-08-03,548.0,545.0,549.0,540.0,27550.0,0.0
2012-08-06,548.0,550.0,555.0,547.0,49980.0,0.0
2012-08-07,551.0,549.0,555.5,543.5,125875.0,0.545
2012-08-08,554.0,548.0,556.0,540.0,201770.0,1.09
