Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-26,69.9,69.0,70.0,68.5,1260000.0,1.3
2012-04-27,67.5,69.9,70.0,67.5,470570.0,-3.43
2012-04-30,68.0,69.2,69.2,67.9,1430000.0,0.74
2012-05-01,68.15,68.625,69.35,67.825,1265000.0,0.59
2012-05-02,68.3,68.05,69.5,67.75,1100000.0,0.44
2012-05-03,70.0,68.2,70.0,68.2,1380000.0,2.49
2012-05-04,74.0,70.0,75.0,70.0,3620000.0,5.71
2012-05-07,74.05,74.2,74.4,73.95,4320000.0,0.07
2012-05-08,74.3,73.05,74.3,73.05,1720000.0,0.34
2012-05-09,74.0,74.7,74.7,74.0,2840000.0,-0.4
2012-05-10,73.2,73.95,74.0,71.5,1680000.0,-1.08
2012-05-11,73.5,73.3,74.65,73.3,1760000.0,0.41
2012-05-14,72.4,74.0,74.0,71.5,790670.0,-1.5
2012-05-15,70.5,72.0,72.0,70.3,2089999.9999999998,-2.62
2012-05-16,68.15,70.5,70.5,67.9,2480000.0,-3.33
2012-05-17,71.0,70.0,71.0,68.15,1180000.0,4.18
2012-05-18,69.7,70.0,71.5,69.5,2080000.0,-1.83
2012-05-21,69.6,69.85,71.0,69.6,1010000.0,-0.14
2012-05-22,70.0,70.85,72.0,70.0,128610.00000000001,0.57
2012-05-23,69.75,70.0,70.0,69.6,191020.0,-0.36
2012-05-24,68.45,68.05,69.95,68.05,880590.0,-1.86
2012-05-25,68.05,68.45,68.9,68.0,1270000.0,-0.58
2012-05-28,67.9,67.95,67.95,67.25,1720000.0,-0.22
2012-05-29,68.0,68.0,69.9,67.9,637440.0,0.15
2012-05-30,71.0,71.0,71.0,68.1,2850000.0,4.41
2012-05-31,77.0,71.0,77.0,70.8,2040000.0,8.45
2012-06-01,70.5,73.0,73.0,70.5,791480.0,-8.44
2012-06-04,68.05,70.5,70.5,68.05,2060000.0,-3.48
2012-06-05,68.75,68.75,69.95,68.7,437720.0,1.03
2012-06-06,69.5,69.75,71.0,69.0,960340.0,1.09
2012-06-07,70.0,70.8,71.0,70.0,554920.0,0.72
