Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-03,112.9,112.9,113.0,112.0,369020.0,1.71
2012-05-04,111.0,112.9,112.9,108.5,1230000.0,-1.68
2012-05-07,111.0,111.0,112.0,108.2,317030.0,0.0
2012-05-08,111.0,107.8,111.0,107.8,231920.0,0.0
2012-05-09,110.3,110.5,111.0,110.2,667510.0,-0.63
2012-05-10,110.9,110.9,110.9,109.0,278440.0,0.54
2012-05-11,108.5,110.3,111.0,108.5,258260.0,-2.16
2012-05-14,110.0,108.5,111.0,105.0,566060.0,1.38
2012-05-15,105.7,109.0,109.0,104.0,357890.0,-3.91
2012-05-16,100.0,105.7,110.0,100.0,668310.0,-5.39
2012-05-17,108.0,103.0,108.0,103.0,226170.0,8.0
2012-05-18,105.2,108.0,111.3,105.1,460160.0,-2.59
2012-05-21,109.0,109.0,110.0,108.0,482710.0,3.61
2012-05-22,110.0,110.7,111.0,110.0,132090.0,0.92
2012-05-23,105.5,105.0,106.0,101.1,403180.0,-4.09
2012-05-24,105.4,106.0,106.0,104.7,37380.0,-0.09
2012-05-25,109.0,105.5,109.0,105.1,107630.0,3.42
2012-05-28,110.0,110.0,110.0,106.0,52160.0,0.92
2012-05-29,110.0,109.5,110.5,109.0,1740000.0,0.0
2012-05-30,111.0,109.0,111.0,109.0,930180.0,0.91
2012-05-31,105.6,111.0,111.0,103.0,1580000.0,-4.86
2012-06-01,110.0,105.8,110.0,105.8,266410.0,4.17
2012-06-04,104.6,108.0,108.0,103.5,408550.0,-4.91
2012-06-05,105.0,107.0,107.7,105.0,179230.0,0.38
2012-06-06,106.1,105.0,107.7,105.0,269180.0,1.05
2012-06-07,107.1,109.0,109.4,107.1,197670.0,0.94
2012-06-08,108.3,109.0,109.0,107.2,159480.0,1.12
2012-06-11,108.6,108.3,109.0,108.3,294890.0,0.28
2012-06-12,108.25,106.85,108.45,106.85,370680.0,-0.18
2012-06-13,107.9,105.4,107.9,105.4,446470.0,-0.64
2012-06-14,105.2,107.9,107.9,105.1,645250.0,-2.5
2012-06-15,101.2,107.4,107.4,100.0,1040000.0,-3.8
2012-06-18,105.0,104.9,105.5,103.5,776290.0,3.75
2012-06-19,103.8,106.0,106.0,103.8,266600.0,-1.14
2012-06-20,107.7,103.8,107.7,103.6,462660.0,3.76
2012-06-21,105.0,107.7,107.7,104.2,111540.0,-2.51
2012-06-22,104.0,105.9,106.5,104.0,52330.0,-0.95
2012-06-25,107.0,106.5,107.4,106.5,122000.0,2.88
2012-06-26,107.9,107.0,108.2,106.6,191140.0,0.84
2012-06-27,108.0,108.4,108.4,107.9,423090.0,0.09
2012-06-28,107.5,109.7,109.8,106.0,198250.0,-0.46
2012-06-29,104.2,107.5,107.5,103.5,1100000.0,-3.07
2012-07-02,107.9,106.0,108.0,106.0,523860.0,3.55
2012-07-03,105.6,107.8,107.8,105.6,284960.0,-2.13
2012-07-04,105.0,107.4,107.4,104.8,297530.0,-0.57
2012-07-05,107.8,105.5,107.8,105.2,350630.0,2.67
2012-07-06,105.1,107.0,107.3,105.1,131240.0,-2.5
2012-07-09,104.3,107.3,107.3,104.3,70880.0,-0.76
2012-07-10,103.0,104.7,105.0,103.0,564440.0,-1.25
2012-07-11,101.9,101.0,105.9,101.0,650120.0,-1.07
2012-07-12,102.0,102.1,103.1,102.0,95550.0,0.1
2012-07-13,104.0,102.1,104.5,102.0,141820.0,1.96
2012-07-16,106.1,102.5,106.1,102.5,235160.0,2.02
2012-07-17,105.0,105.0,105.5,104.0,270350.0,-1.04
2012-07-18,105.0,104.0,105.6,104.0,450300.0,0.0
2012-07-19,107.0,104.8,107.0,103.2,462460.0,1.9
2012-07-20,105.8,106.0,106.0,103.9,250510.0,-1.12
2012-07-23,106.5,104.0,106.5,104.0,70340.0,0.66
2012-07-24,106.0,105.0,107.0,104.0,875500.0,-0.47
2012-07-25,104.9,104.0,106.0,102.2,226780.0,-1.04
2012-07-26,101.7,103.9,104.1,101.7,671160.0,-3.05
2012-07-27,104.6,102.5,104.6,101.1,361640.0,2.85
2012-07-30,104.0,104.6,104.8,103.5,252580.0,-0.57
2012-07-31,103.1,102.9,104.5,102.0,609720.0,-0.87
2012-08-01,100.0,102.1,102.1,100.0,1620000.0,-3.01
2012-08-02,102.1,101.9,102.6,101.4,347290.0,2.1
2012-08-03,105.6,103.1,105.9,102.9,774310.0,3.43
2012-08-06,102.5,105.6,105.6,102.0,137150.0,-2.94
2012-08-07,101.5,104.05,104.05,101.1,271330.0,-2.445
2012-08-08,100.5,102.5,102.5,100.2,405510.0,-1.95
