Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-03,35.5,35.0,35.8,34.8,4910000.0,3.8
2012-05-04,35.5,35.5,36.2,35.4,3400000.0,0.0
2012-05-07,34.0,35.4,35.4,34.0,2250000.0,-4.23
2012-05-08,35.0,35.1,35.1,34.1,1880000.0,2.94
2012-05-09,35.5,34.9,36.0,34.3,1770000.0,1.43
2012-05-10,34.5,35.4,35.5,33.9,3130000.0,-2.82
2012-05-11,34.0,34.5,34.6,32.9,3520000.0,-1.45
2012-05-14,32.55,33.5,34.0,32.2,1130000.0,-4.26
2012-05-15,32.0,32.55,33.0,31.5,2580000.0,-1.69
2012-05-16,31.45,32.5,33.6,31.45,2980000.0,-1.72
2012-05-17,33.3,32.0,33.3,32.0,3660000.0,5.88
2012-05-18,32.0,33.15,33.15,31.8,612400.0,-3.9
2012-05-21,32.0,32.0,33.8,31.95,845700.0,0.0
2012-05-22,31.7,32.1,32.9,31.7,967100.0,-0.94
2012-05-23,31.4,31.15,31.7,31.15,1790000.0,-0.95
2012-05-24,31.0,31.45,32.5,30.95,1970000.0,-1.27
2012-05-25,30.9,31.2,31.3,30.9,1220000.0,-0.32
2012-05-28,32.2,31.2,32.2,31.2,134500.0,4.21
2012-05-29,33.0,32.2,33.4,32.2,807800.0,2.48
2012-05-30,32.5,33.4,33.6,32.2,2510000.0,-1.52
2012-05-31,33.0,32.5,33.1,32.2,2009999.9999999998,1.54
2012-06-01,32.75,33.0,33.0,32.65,602500.0,-0.76
2012-06-04,31.2,32.55,32.55,31.2,2910000.0,-4.73
2012-06-05,32.0,32.0,32.05,31.5,145400.0,2.56
2012-06-06,32.0,32.0,32.0,31.65,542500.0,0.0
2012-06-07,32.5,32.3,32.75,31.95,1650000.0,1.56
2012-06-08,32.5,32.5,32.55,32.45,1310000.0,0.0
2012-06-11,33.4,33.0,33.7,32.5,1870000.0,2.77
2012-06-12,33.3,33.2,33.6,32.55,1550000.0,1.085
2012-06-13,33.2,33.4,33.5,32.6,1230000.0,-0.6
2012-06-14,32.7,33.3,33.3,32.6,405700.0,-1.51
2012-06-15,33.0,32.8,33.2,32.7,539300.0,0.92
2012-06-18,33.15,33.05,33.3,32.9,1540000.0,0.45
2012-06-19,33.4,33.15,33.4,33.05,2610000.0,0.75
