Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-08,3.78,3.79,3.8,3.76,286000.0,-0.53
2012-05-09,3.79,3.79,3.82,3.78,726000.0,0.26
2012-05-10,3.79,3.8,3.8,3.77,196000.0,0.0
2012-05-11,3.79,3.77,3.79,3.76,137000.0,0.0
2012-05-14,3.75,3.77,3.77,3.7,234000.0,-1.06
2012-05-15,3.7,3.7,3.7,3.7,141000.0,-1.33
2012-05-16,3.8,3.79,3.89,3.76,356000.0,2.7
2012-05-17,3.85,3.8,3.85,3.8,549000.0,1.32
2012-05-18,3.85,3.85,3.9,3.85,2040000.0,0.0
2012-05-21,3.9,3.85,3.97,3.85,83000.0,1.3
2012-05-22,3.91,3.9,3.91,3.87,248000.0,0.26
2012-05-23,3.89,3.91,3.91,3.89,402000.0,-0.51
2012-05-24,3.9,3.9,3.9,3.9,145000.0,0.26
2012-05-25,3.9,3.95,3.95,3.9,1090000.0,0.0
2012-05-28,3.9,3.9,3.9,3.9,115000.0,0.0
2012-05-29,3.9,3.9,3.9,3.9,401000.0,0.0
2012-05-30,3.9,4.0,4.0,3.9,239000.0,0.0
2012-05-31,3.9,3.9,3.91,3.85,1620000.0,0.0
2012-06-01,3.9,3.9,3.9,3.85,675000.0,0.0
2012-06-04,3.8,3.81,3.81,3.8,271000.0,-2.56
2012-06-05,3.8,3.8,3.8,3.8,52000.0,0.0
2012-06-06,3.85,3.9,3.9,3.8,69000.0,1.32
2012-06-07,3.85,3.8,3.85,3.8,116000.0,0.0
2012-06-08,3.89,3.85,3.9,3.85,840000.0,1.04
2012-06-11,3.92,3.9,3.92,3.89,2210000.0,0.77
2012-06-12,3.91,3.9050000000000002,3.915,3.895,2615000.0,0.13
2012-06-13,3.9,3.91,3.91,3.9,3020000.0,-0.51
2012-06-14,3.86,3.89,3.9,3.86,1690000.0,-1.03
2012-06-15,3.89,3.86,3.9,3.86,4179999.9999999995,0.78
2012-06-18,4.2,3.95,4.21,3.9,2870000.0,7.97
2012-06-19,4.41,4.25,4.55,4.23,12700000.0,5.0
2012-06-20,4.33,4.45,4.52,4.32,5160000.0,-1.81
2012-06-21,4.34,4.33,4.38,4.32,1950000.0,0.23
2012-06-22,4.41,4.32,4.55,4.29,4570000.0,1.61
2012-06-25,4.43,4.41,4.49,4.35,1730000.0,0.45
2012-06-26,4.45,4.4,4.47,4.4,1160000.0,0.45
2012-06-27,4.51,4.47,4.65,4.47,8880000.0,1.35
2012-06-28,4.49,4.55,4.56,4.46,1890000.0,-0.44
2012-06-29,4.5,4.5,4.55,4.47,2029999.9999999998,0.22
2012-07-02,4.51,4.5,4.53,4.49,1240000.0,0.22
2012-07-03,4.5,4.51,4.52,4.49,1870000.0,-0.22
2012-07-04,4.35,4.25,4.5,4.25,2029999.9999999998,-3.33
2012-07-05,4.37,4.35,4.4,4.33,1360000.0,0.46
2012-07-06,4.4,4.45,4.49,4.38,1070000.0,0.69
2012-07-09,4.42,4.4,4.43,4.4,722000.0,0.45
2012-07-10,4.49,4.42,4.49,4.4,908000.0,1.58
2012-07-11,4.49,4.5,4.53,4.46,2020000.0,0.0
2012-07-12,4.48,4.49,4.5,4.48,1620000.0,-0.22
2012-07-13,4.47,4.48,4.49,4.46,743000.0,-0.22
2012-07-16,4.49,4.41,4.49,4.41,441000.0,0.45
2012-07-17,4.46,4.48,4.52,4.46,4840000.0,-0.67
2012-07-18,4.48,4.46,4.5,4.46,1890000.0,0.45
2012-07-19,4.49,4.52,4.52,4.48,2840000.0,0.22
2012-07-20,4.51,4.5,4.51,4.49,692000.0,0.45
2012-07-23,4.5,4.48,4.5,4.47,925000.0,-0.22
2012-07-24,4.5,4.5,4.53,4.49,785000.0,0.0
2012-07-25,4.66,4.5,4.71,4.5,4250000.0,3.56
2012-07-26,5.0,4.66,5.05,4.66,9980000.0,7.3
2012-07-27,4.96,5.03,5.11,4.88,4330000.0,-0.8
2012-07-30,5.1,4.96,5.17,4.7,5320000.0,2.82
2012-07-31,6.375,6.305,6.41,5.875,22060000.0,26.41
2012-08-01,7.65,7.65,7.65,7.05,38800000.0,50.0
2012-08-02,11.46,9.8,11.46,9.0,56080000.0,49.8
2012-08-03,10.88,13.82,14.66,10.44,74010000.0,-5.06
2012-08-06,11.5,10.84,11.9,10.84,21920000.0,5.7
2012-08-07,12.24,11.32,12.51,11.27,23770000.0,9.285
2012-08-08,12.98,11.8,13.12,11.7,25620000.0,12.87
2012-08-09,12.4,13.12,13.4,12.12,17170000.0,-4.47
2012-08-10,11.9,12.14,12.3,11.54,13510000.0,-4.03
2012-08-13,12.36,11.86,12.5,11.64,4640000.0,3.87
2012-08-14,11.82,12.38,12.4,11.7,3040000.0,-4.37
2012-08-15,11.6,11.92,11.92,11.6,2600000.0,-1.86
2012-08-16,11.3,11.72,11.72,11.0,3990000.0,-2.59
2012-08-17,11.54,11.4,11.68,11.4,2280000.0,2.12
2012-08-20,11.559999999999999,11.433333333333334,11.706666666666667,11.426666666666668,1946666.6666666667,1.586666666666667
2012-08-21,11.58,11.466666666666667,11.733333333333333,11.453333333333333,1613333.3333333335,1.0533333333333335
2012-08-22,11.6,11.5,11.76,11.48,1280000.0,0.52
2012-08-23,12.16,11.8,12.22,11.62,4860000.0,4.83
2012-08-24,12.72,12.2,12.86,12.1,6760000.0,4.61
2012-08-27,12.760000000000002,12.45,12.93,12.39,5475000.0,2.62
2012-08-28,12.8,12.7,13.0,12.68,4190000.0000000005,0.63
2012-08-29,12.36,12.82,12.82,12.18,2390000.0,-3.44
2012-08-30,12.38,12.4,12.54,12.28,1240000.0,0.16
2012-08-31,11.92,12.36,12.36,11.48,5270000.0,-3.72
2012-09-03,11.7,12.0,12.0,11.58,1800000.0,-1.85
2012-09-04,11.68,11.8,11.88,11.64,505700.0,-0.17
2012-09-05,11.5,11.68,11.68,11.4,1810000.0,-1.54
2012-09-06,11.9,11.52,12.02,11.5,2740000.0,3.48
2012-09-07,11.8,12.02,12.04,11.66,1710000.0,-0.84
2012-09-10,12.06,11.94,12.18,11.66,1110000.0,2.2
2012-09-11,11.8,11.94,12.0,11.78,1220000.0,-2.16
2012-09-12,11.92,11.96,11.98,11.76,1080000.0,1.02
2012-09-13,12.18,11.92,12.28,11.88,1970000.0,2.18
2012-09-14,12.28,12.2,12.46,12.2,2140000.0,0.82
2012-09-17,12.0,12.28,12.38,12.0,1540000.0,-2.28
2012-09-18,12.08,12.02,12.2,12.02,974100.0,0.67
2012-09-19,11.98,12.02,12.16,11.9,757100.0,-0.83
2012-09-20,11.98,11.98,12.14,11.98,824100.0,0.0
2012-09-21,11.96,12.0,12.06,11.96,559100.0,-0.17
2012-09-24,12.42,12.0,12.42,12.0,4220000.0,3.85
2012-09-25,12.48,12.36,12.72,12.22,4840000.0,0.48
2012-09-26,12.28,12.56,12.6,12.14,977400.0,-1.6
2012-09-27,12.3,12.22,12.42,12.16,781600.0,0.16
2012-09-28,12.3,12.4,12.44,12.2,693900.0,0.0
2012-10-01,12.02,12.3,12.3,11.98,1030000.0,-2.28
2012-10-02,12.0,12.0,12.1,11.98,624700.0,-0.17
2012-10-03,11.7,12.0,12.0,11.62,3830000.0,-2.5
2012-10-04,11.98,11.7,12.06,11.7,1740000.0,2.39
2012-10-05,12.04,12.02,12.18,11.96,1650000.0,0.5
2012-10-08,11.96,12.04,12.06,11.9,1650000.0,-0.66
2012-10-09,12.04,11.96,12.2,11.9,1590000.0,0.67
2012-10-10,12.14,12.04,12.28,12.0,1360000.0,0.83
2012-10-11,12.1,12.04,12.2,12.04,421700.0,-0.33
2012-10-12,12.1,12.1,12.14,12.1,990200.0,0.0
2012-10-15,12.0,12.1,12.14,11.96,1120000.0,-0.83
2012-10-16,11.98,12.0,12.0,11.86,3010000.0,-0.17
2012-10-17,11.9,11.98,11.98,11.88,1530000.0,-0.67
2012-10-18,11.88,11.88,11.98,11.88,821300.0,-0.17
2012-10-19,11.88,11.9,11.94,11.88,737500.0,0.0
2012-10-22,11.7,11.88,11.88,11.68,2009999.9999999998,-1.52
2012-10-23,11.68,11.7,11.8,11.62,553900.0,-0.17
2012-10-24,11.66,11.68,11.68,11.6,729500.0,-0.17
2012-10-25,11.58,11.62,11.66,11.5,1410000.0,-0.69
2012-10-26,11.54,11.61,11.76,11.5,1097550.0,-0.69
2012-10-29,11.5,11.6,11.86,11.5,785100.0,-0.69
2012-10-30,11.4,11.44,11.68,11.38,1050000.0,-0.87
2012-10-31,11.5,11.36,11.52,11.34,1150000.0,0.88
