Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-02,70.42,70.31,71.62,70.31,3280000.0,0.16
2012-05-03,70.96,70.5,71.0,70.5,3170000.0,0.77
2012-05-04,70.77,71.0,71.54,70.62,3900000.0,-0.27
2012-05-07,69.23,70.77,70.77,69.15,4460000.0,-2.18
2012-05-08,69.23,69.23,69.96,69.12,17870000.0,0.0
2012-05-09,68.27,69.15,69.15,67.69,4300000.0,-1.39
2012-05-10,67.69,68.31,68.35,66.77,3860000.0,-0.85
2012-05-11,66.92,68.04,68.46,66.92,3590000.0,-1.14
2012-05-14,65.38,66.92,66.92,65.08,8490000.0,-2.3
2012-05-15,64.62,64.62,66.15,64.54,4720000.0,-1.16
2012-05-16,63.69,64.54,64.62,62.88,5520000.0,-1.44
2012-05-17,64.69,63.08,65.35,63.08,3160000.0,1.57
2012-05-18,63.08,64.15,64.15,62.92,16300000.0,-2.49
2012-05-21,66.38,63.46,66.46,63.46,2840000.0,5.23
2012-05-22,65.5,66.62,67.69,65.5,2730000.0,-1.33
2012-05-23,65.35,65.5,65.5,65.0,5200000.0,-0.23
2012-05-24,65.0,65.31,65.77,64.62,3110000.0,-0.54
2012-05-25,65.62,65.15,66.08,65.15,8490000.0,0.95
2012-05-28,64.62,65.69,65.77,64.23,7350000.0,-1.52
2012-05-29,65.73,65.38,66.27,64.62,3590000.0,1.72
2012-05-30,66.92,66.92,66.92,66.08,3240000.0,1.81
2012-05-31,69.15,66.5,69.15,66.15,7860000.0,3.33
2012-06-01,68.04,68.38,68.85,68.0,3520000.0,-1.61
2012-06-04,64.85,66.92,66.92,64.81,4139999.9999999995,-4.69
2012-06-05,66.08,64.85,66.62,64.85,1660000.0,1.9
2012-06-06,66.54,64.62,66.96,64.62,848150.0,0.7
2012-06-07,66.92,66.85,67.42,66.54,1490000.0,0.57
2012-06-08,66.46,66.92,67.69,66.46,2440000.0,-0.69
2012-06-11,67.73,67.69,68.54,66.92,4440000.0,1.91
2012-06-12,68.135,68.07499999999999,68.595,67.345,4260000.0,1.555
2012-06-13,68.54,68.46,68.65,67.77,4080000.0,1.2
2012-06-14,68.38,68.85,68.92,68.31,2780000.0,-0.23
2012-06-15,68.04,68.38,68.46,67.77,4170000.0,-0.5
2012-06-18,69.12,68.46,69.23,68.46,2650000.0,1.59
2012-06-19,69.12,69.12,69.23,68.46,3850000.0,0.0
2012-06-20,69.88,69.31,70.0,69.12,4810000.0,1.1
2012-06-21,69.23,69.81,69.81,69.23,3430000.0,-0.93
2012-06-22,69.0,69.15,69.15,68.69,2640000.0,-0.33
2012-06-25,69.35,69.15,69.85,69.15,2620000.0,0.51
2012-06-26,69.27,69.23,69.77,69.15,3380000.0,-0.12
2012-06-27,70.92,69.62,71.15,69.27,7620000.0,2.38
