Date,Price,Open,High,Low,Volume,Change_Percent
2011-12-08,244.0,242.0,244.8,238.0,404800.0,0.0
2011-12-09,238.0,244.0,244.0,238.0,130949.99999999999,-2.46
2011-12-12,236.0,240.2,240.2,236.0,197750.0,-0.84
2011-12-13,249.0,238.0,252.0,238.0,720690.0,5.51
2011-12-14,243.8,245.2,248.6,243.8,86390.0,-2.09
2011-12-15,246.6,244.0,248.6,244.0,372610.0,1.15
2011-12-16,243.0,247.0,247.0,243.0,82610.0,-1.46
2011-12-19,244.8,243.0,245.0,243.0,33060.0,0.74
2011-12-20,246.0,245.0,246.0,244.6,204020.0,0.49
2011-12-21,245.8,246.0,246.0,244.0,198470.0,-0.08
2011-12-22,246.0,245.8,246.2,244.2,148130.0,0.08
2011-12-23,248.0,246.0,249.6,245.2,107770.0,0.81
2011-12-26,247.0,248.0,248.0,247.0,43760.0,-0.4
2011-12-27,246.0,248.0,248.0,245.0,105560.0,-0.4
2011-12-28,245.0,246.2,247.4,244.0,157550.0,-0.41
2011-12-29,247.2,245.0,248.0,245.0,199320.0,0.9
2011-12-30,251.1,246.1,251.5,246.0,268175.0,2.0300000000000002
2012-01-02,255.0,247.2,255.0,247.0,337030.0,3.16
2012-01-03,256.4,257.6,257.6,254.0,328700.0,0.55
2012-01-04,264.6,257.0,264.6,254.0,692990.0,3.2
2012-01-05,262.2,264.0,270.0,262.0,443120.0,-0.91
2012-01-06,257.0,262.0,262.0,253.0,338540.0,-1.98
2012-01-09,260.0,257.0,260.0,255.0,240660.0,1.17
2012-01-10,257.6,260.0,265.0,257.0,269100.0,-0.92
2012-01-11,262.0,258.0,265.4,258.0,347830.0,1.71
2012-01-12,263.0,262.0,263.0,260.0,95830.0,0.38
2012-01-13,263.0,263.0,269.4,257.0,289300.0,0.0
2012-01-16,268.0,263.0,269.6,260.4,222480.0,1.9
2012-01-17,269.4,269.8,270.0,268.0,233740.0,0.52
2012-01-18,275.0,270.0,278.0,270.0,361500.0,2.08
2012-01-19,274.6,273.6,275.0,268.8,159390.0,-0.15
2012-01-20,272.0,275.0,276.0,270.0,221450.0,-0.95
2012-01-23,269.5,273.5,275.5,268.4,240975.0,-1.395
2012-01-24,267.0,272.0,275.0,266.8,260500.0,-1.84
2012-01-25,267.8,269.0,269.0,267.0,134720.0,0.3
2012-01-26,263.0,267.8,269.0,260.0,279770.0,-1.79
2012-01-27,274.0,263.0,274.0,263.0,140640.0,4.18
2012-01-30,269.0,270.0,270.0,266.0,113390.0,-1.82
2012-01-31,279.8,268.4,279.8,268.4,594310.0,4.01
2012-02-01,271.0,279.8,279.8,271.0,291030.0,-3.15
2012-02-02,279.8,273.2,280.0,273.2,422650.0,3.25
2012-02-03,277.0,276.0,280.0,273.0,598570.0,-1.0
2012-02-06,278.0,279.2,280.6,277.0,277610.0,0.36
2012-02-07,270.0,278.0,278.0,270.0,170320.0,-2.88
2012-02-08,274.0,273.8,279.0,270.0,283980.0,1.48
2012-02-09,271.0,270.4,271.4,270.4,116440.0,-1.09
2012-02-10,273.0,271.0,273.0,270.0,442780.0,0.74
2012-02-13,272.0,273.0,273.0,271.0,43100.0,-0.37
2012-02-14,270.0,272.0,272.0,267.0,280880.0,-0.74
2012-02-15,270.0,268.0,271.6,268.0,205570.0,0.0
2012-02-16,266.2,267.0,270.0,266.0,243120.0,-1.41
2012-02-17,268.6,271.0,271.0,267.0,179200.0,0.9
2012-02-20,268.0,269.8,270.0,268.0,187100.0,-0.22
2012-02-21,265.0,270.0,270.0,263.0,252170.0,-1.12
2012-02-22,265.0,265.0,268.0,265.0,185240.0,0.0
2012-02-23,269.0,266.0,269.0,265.0,99220.0,1.51
2012-02-24,269.0,269.0,269.0,266.2,113980.0,0.0
2012-02-27,265.0,265.0,269.8,265.0,44560.0,-1.49
2012-02-28,255.6,269.0,274.0,255.0,759710.0,-3.55
2012-02-29,263.6,260.2,266.0,260.0,270050.0,3.13
2012-03-01,265.0,264.8,267.0,263.6,643130.0,0.53
2012-03-02,265.0,268.0,268.0,264.0,195090.0,0.0
2012-03-05,266.4,266.0,268.0,264.0,251510.0,0.53
