Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-19,23.5,23.5,23.6,23.4,1960000.0,0.0
2012-04-20,23.0,23.5,23.75,22.9,2640000.0,-2.13
2012-04-23,23.75,23.45,23.95,23.0,2680000.0,3.26
2012-04-24,23.6,23.75,23.75,23.5,10100000.0,-0.63
2012-04-25,24.2,23.6,24.2,23.4,4160000.0,2.54
2012-04-26,24.0,24.2,24.5,23.85,2920000.0,-0.83
2012-04-27,23.8,24.0,24.0,23.1,393800.0,-0.83
2012-04-30,24.2,23.8,24.75,23.2,1470000.0,1.68
2012-05-01,24.575,24.075000000000003,25.0,23.775,1710000.0,2.39
2012-05-02,24.95,24.35,25.25,24.35,1950000.0,3.1
2012-05-03,25.0,24.85,25.35,24.7,4510000.0,0.2
2012-05-04,24.75,25.0,25.0,24.5,983000.0,-1.0
2012-05-07,23.85,24.7,24.7,23.65,3230000.0,-3.64
2012-05-08,24.9,23.9,25.2,23.9,4250000.0,4.4
2012-05-09,24.4,24.9,25.0,24.4,896800.0,-2.01
2012-05-10,24.15,24.9,24.9,23.1,2310000.0,-1.02
2012-05-11,23.55,24.15,24.2,23.5,2350000.0,-2.48
2012-05-14,22.9,23.55,23.6,22.75,2650000.0,-2.76
2012-05-15,21.9,22.9,22.9,21.9,7140000.0,-4.37
2012-05-16,21.6,22.6,23.5,21.0,3020000.0,-1.37
2012-05-17,22.7,21.95,23.05,21.8,5920000.0,5.09
2012-05-18,21.95,22.45,22.45,21.85,1130000.0,-3.3
2012-05-21,22.3,22.45,22.75,22.0,2490000.0,1.59
2012-05-22,22.0,22.85,22.9,21.95,1470000.0,-1.35
2012-05-23,21.9,22.0,22.2,21.8,1070000.0,-0.45
2012-05-24,21.85,22.0,22.0,21.5,229800.0,-0.23
2012-05-25,21.95,21.85,22.2,21.85,1070000.0,0.46
2012-05-28,22.75,22.0,23.3,22.0,5450000.0,3.64
2012-05-29,22.7,23.1,23.1,22.5,2200000.0,-0.22
2012-05-30,22.6,22.85,23.0,22.3,2790000.0,-0.44
2012-05-31,22.95,22.5,23.9,22.0,14170000.0,1.55
2012-06-01,24.5,23.5,24.5,23.2,3730000.0,6.75
2012-06-04,23.6,24.05,24.25,23.1,1280000.0,-3.67
2012-06-05,23.25,23.6,23.6,23.0,519200.00000000006,-1.48
2012-06-06,23.85,23.25,24.0,23.25,762900.0,2.58
2012-06-07,24.9,24.0,25.15,24.0,4000000.0,4.4
2012-06-08,24.6,24.95,25.0,24.55,2420000.0,-1.2
2012-06-11,25.0,24.6,25.1,24.6,5470000.0,1.63
2012-06-12,25.75,24.8,26.05,24.8,5045000.0,3.815
2012-06-13,26.5,25.0,27.0,25.0,4620000.0,6.0
2012-06-14,25.8,26.45,26.45,25.5,710900.0,-2.64
2012-06-15,24.95,25.8,26.4,24.6,2060000.0,-3.29
2012-06-18,25.7,25.2,25.8,25.2,785200.0,3.01
2012-06-19,25.45,25.7,25.7,25.4,322100.0,-0.97
2012-06-20,26.0,26.0,26.95,25.7,4890000.0,2.16
2012-06-21,26.8,26.0,26.9,26.0,2300000.0,3.08
2012-06-22,26.7,26.8,27.15,26.3,848800.0,-0.37
2012-06-25,26.8,26.7,27.1,26.4,516799.99999999994,0.37
2012-06-26,26.8,26.8,27.1,26.75,1120000.0,0.0
2012-06-27,27.6,26.8,27.8,26.8,1380000.0,2.99
2012-06-28,27.5,27.6,27.75,27.15,3340000.0,-0.36
2012-06-29,27.15,27.5,27.5,26.95,1570000.0,-1.27
