Date,Price,Open,High,Low,Volume,Change_Percent
2012-01-02,222.0,221.0,222.0,219.0,355600.0,0.27
2012-01-03,220.4,222.0,222.4,220.0,537110.0,-0.72
2012-01-04,225.0,220.0,225.0,220.0,187790.0,2.09
2012-01-05,228.0,224.0,230.0,222.4,395110.0,1.33
2012-01-06,225.8,228.0,228.0,225.0,102040.0,-0.96
2012-01-09,229.8,225.8,230.2,225.6,296130.0,1.77
2012-01-10,229.4,230.0,230.6,226.0,420820.0,-0.17
2012-01-11,226.0,229.6,229.6,226.0,565930.0,-1.48
2012-01-12,226.0,226.0,227.8,225.4,1500000.0,0.0
2012-01-13,224.0,226.0,226.0,223.6,595390.0,-0.88
2012-01-16,224.8,224.0,228.0,224.0,820240.0,0.36
2012-01-17,226.0,225.2,228.0,225.2,572450.0,0.53
2012-01-18,226.0,226.0,229.4,225.0,673290.0,0.0
2012-01-19,225.0,226.0,226.4,224.0,250360.0,-0.44
2012-01-20,229.0,226.0,230.0,226.0,232010.0,1.78
2012-01-23,228.5,227.3,229.6,225.5,245560.0,0.6699999999999999
2012-01-24,228.0,228.6,229.2,225.0,259110.0,-0.44
2012-01-25,227.6,228.0,228.0,227.0,65209.99999999999,-0.18
2012-01-26,226.6,228.8,231.4,226.0,854240.0,-0.44
2012-01-27,226.0,226.8,226.8,226.0,146290.0,-0.26
2012-01-30,225.0,226.0,226.2,223.8,177890.0,-0.44
2012-01-31,225.4,223.8,226.6,223.8,174720.0,0.18
2012-02-01,223.8,225.0,225.2,222.8,909040.0,-0.71
2012-02-02,228.4,224.0,230.2,223.8,236160.0,2.06
2012-02-03,225.6,225.4,226.8,225.0,556050.0,-1.23
2012-02-06,226.2,225.8,226.2,224.0,172620.0,0.27
2012-02-07,224.4,226.2,226.2,224.0,668830.0,-0.8
2012-02-08,225.8,224.6,227.0,224.6,565320.0,0.62
2012-02-09,224.0,225.8,226.8,224.0,689740.0,-0.8
2012-02-10,224.2,223.8,226.0,223.8,270590.0,0.09
2012-02-13,224.4,223.8,225.8,223.8,461950.0,0.09
2012-02-14,221.0,224.4,224.6,221.0,649510.0,-1.52
2012-02-15,220.4,222.0,222.0,220.4,395490.0,-0.27
2012-02-16,211.0,220.4,220.4,211.0,564190.0,-4.26
2012-02-17,216.4,215.0,219.0,214.0,563710.0,2.56
