Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-09,560.0,560.0,564.0,554.4,1060000.0,0.0
2012-05-10,560.0,560.0,560.8,558.4,1280000.0,0.0
2012-05-11,566.4,561.6,568.8,561.6,489180.0,1.14
2012-05-14,544.0,564.0,565.6,544.0,986610.0,-3.95
2012-05-15,532.8,524.0,537.6,524.0,558790.0,-2.06
2012-05-16,542.8,536.0,552.0,536.0,1800000.0,1.88
2012-05-17,556.8,543.2,560.0,542.8,1510000.0,2.58
2012-05-18,538.4,553.6,553.6,534.4,414310.0,-3.3
2012-05-21,540.0,538.4,544.0,536.0,273180.0,0.3
2012-05-22,542.0,540.0,542.8,540.0,179000.0,0.37
2012-05-23,535.6,536.0,538.0,535.2,1490000.0,-1.18
2012-05-24,536.0,535.6,536.0,531.2,243950.0,0.07
2012-05-25,534.8,536.0,537.2,534.8,1190000.0,-0.22
2012-05-28,544.0,534.8,544.0,534.8,235930.0,1.72
2012-05-29,554.4,544.0,556.0,541.6,435980.0,1.91
2012-05-30,550.0,554.4,558.4,544.0,1160000.0,-0.79
2012-05-31,563.2,550.0,568.8,547.6,2380000.0,2.4
2012-06-01,553.6,562.8,563.2,552.0,293180.0,-1.7
2012-06-04,528.0,547.6,551.2,528.0,1120000.0,-4.62
2012-06-05,540.0,536.0,543.2,534.4,872280.0,2.27
2012-06-06,544.8,540.0,546.0,540.0,635930.0,0.89
2012-06-07,548.0,548.0,548.8,547.2,363860.0,0.59
2012-06-08,548.0,548.0,548.4,546.4,717790.0,0.0
2012-06-11,560.0,552.0,564.0,552.0,376210.0,2.19
2012-06-12,560.4,562.0,568.0,556.0,618410.0,1.165
2012-06-13,560.8,572.0,572.0,560.0,860610.0,0.14
2012-06-14,560.0,560.8,564.0,559.6,276330.0,-0.14
2012-06-15,551.6,561.6,561.6,551.6,84830.0,-1.5
2012-06-18,557.2,552.0,560.0,552.0,444180.0,1.02
2012-06-19,561.6,560.0,562.4,557.6,215710.0,0.79
2012-06-20,568.0,570.0,570.0,560.0,437960.0,1.14
2012-06-21,556.0,568.0,574.4,556.0,506640.0,-2.11
2012-06-22,561.6,552.0,562.4,552.0,279330.0,1.01
2012-06-25,568.0,573.6,574.4,560.8,355400.0,1.14
2012-06-26,568.0,573.6,574.4,566.4,310860.0,0.0
2012-06-27,582.4,571.6,592.0,571.6,773510.0,2.54
2012-06-28,577.6,582.4,583.6,576.8,469690.0,-0.82
2012-06-29,584.0,576.4,585.6,576.0,667630.0,1.11
2012-07-02,581.6,583.2,584.0,580.0,421230.0,-0.41
2012-07-03,592.0,587.6,595.6,584.8,376350.0,1.79
2012-07-04,593.2,595.2,596.0,592.0,269610.0,0.2
2012-07-05,593.6,592.0,595.2,592.0,1020000.0,0.07
2012-07-06,596.0,596.0,600.0,593.6,530650.0,0.4
