Date,Price,Open,High,Low,Volume,Change_Percent
2012-01-03,117.0,116.8,118.0,116.7,750790.0,0.17
2012-01-04,118.4,117.1,118.8,117.0,2170000.0,1.2
2012-01-05,118.4,118.4,119.4,118.4,1680000.0,0.0
2012-01-06,118.5,118.2,118.7,118.0,822290.0,0.08
2012-01-09,118.8,118.5,118.8,118.0,1100000.0,0.25
2012-01-10,119.2,118.8,119.6,118.5,912230.0,0.34
2012-01-11,121.0,119.7,122.5,119.3,1560000.0,1.51
2012-01-12,120.0,121.8,122.0,119.6,966470.0,-0.83
2012-01-13,120.7,119.7,121.8,119.7,888410.0,0.58
2012-01-16,119.3,120.7,120.7,118.9,385980.0,-1.16
2012-01-17,118.1,119.3,119.3,117.7,1300000.0,-1.01
2012-01-18,116.5,118.4,118.4,116.0,2240000.0,-1.35
2012-01-19,117.3,116.6,117.6,116.6,659780.0,0.69
2012-01-20,118.0,118.0,118.4,117.5,1200000.0,0.6
2012-01-23,117.7,118.0,118.2,117.45,650065.0,0.04500000000000004
2012-01-24,117.4,118.0,118.0,117.4,100130.0,-0.51
2012-01-25,117.0,117.5,118.0,116.0,435400.0,-0.34
2012-01-26,117.8,117.0,117.8,116.4,462320.0,0.68
2012-01-27,117.8,117.0,117.8,116.9,329580.0,0.0
2012-01-30,117.4,117.4,117.8,116.6,477750.0,-0.34
2012-01-31,117.5,117.4,118.0,116.8,1130000.0,0.09
2012-02-01,116.8,117.5,117.5,116.7,604410.0,-0.6
2012-02-02,116.5,116.8,117.1,116.3,1140000.0,-0.26
2012-02-03,116.4,116.5,117.0,115.8,1140000.0,-0.09
2012-02-06,117.5,116.4,117.5,116.4,604770.0,0.95
2012-02-07,116.6,117.7,117.7,116.5,579320.0,-0.77
2012-02-08,117.0,116.7,117.0,115.9,696430.0,0.34
2012-02-09,116.9,117.0,117.0,116.0,626490.0,-0.09
2012-02-10,115.6,116.9,116.9,115.5,772620.0,-1.11
2012-02-13,115.0,115.6,116.0,114.7,1240000.0,-0.52
2012-02-14,115.3,115.0,115.7,115.0,519350.0,0.26
2012-02-15,116.2,117.0,117.0,115.0,604410.0,0.78
2012-02-16,115.2,116.2,116.2,115.0,400090.0,-0.86
2012-02-17,116.4,117.0,117.0,115.1,968800.0,1.04
2012-02-20,115.0,116.4,116.5,114.8,791110.0,-1.2
2012-02-21,115.0,115.0,115.0,114.3,1020000.0,0.0
2012-02-22,115.0,115.0,116.0,114.0,648260.0,0.0
2012-02-23,114.1,114.5,114.8,114.0,781440.0,-0.78
2012-02-24,113.9,114.5,114.5,112.5,785320.0,-0.18
2012-02-27,110.7,113.9,114.0,110.2,1050000.0,-2.81
2012-02-28,111.6,111.9,112.5,111.0,648680.0,0.81
2012-02-29,113.0,112.0,113.0,111.4,838150.0,1.25
2012-03-01,115.0,113.6,116.2,113.0,1140000.0,1.77
2012-03-02,115.3,115.0,116.0,115.0,1170000.0,0.26
2012-03-05,116.0,115.3,116.1,115.3,497950.0,0.61
2012-03-06,115.9,116.0,116.0,115.5,449750.0,-0.09
2012-03-07,115.9,115.9,116.1,115.5,2650000.0,0.0
2012-03-08,116.0,116.0,116.5,115.8,1990000.0,0.09
2012-03-09,116.0,116.5,117.0,116.0,1040000.0,0.0
2012-03-12,114.5,116.5,117.0,114.5,897760.0,-1.29
2012-03-13,114.4,115.9,115.9,114.4,1040000.0,-0.09
2012-03-14,114.5,115.0,115.3,114.4,655250.0,0.09
2012-03-15,114.2,115.0,115.0,114.2,528000.0,-0.26
2012-03-16,115.0,116.0,116.0,114.0,3440000.0,0.7
2012-03-19,115.0,115.0,115.0,114.7,947510.0,0.0
2012-03-20,114.9,115.9,115.9,114.7,454250.0,-0.09
2012-03-21,114.0,114.9,114.9,112.5,1310000.0,-0.78
2012-03-22,113.0,114.0,115.0,113.0,562840.0,-0.88
2012-03-23,113.7,113.0,113.9,113.0,551280.0,0.62
2012-03-26,113.7,114.0,114.2,113.5,442230.0,0.0
2012-03-27,113.6,113.9,114.1,113.4,608580.0,-0.09
2012-03-28,113.5,113.7,113.7,113.4,492960.0,-0.09
2012-03-29,113.2,113.3,113.5,112.9,551050.0,-0.26
2012-03-30,113.7,113.3,113.7,113.3,902920.0,0.44
2012-04-02,113.7,113.9,113.9,113.5,95590.0,0.0
2012-04-03,113.5,113.7,114.5,111.8,778590.0,-0.18
2012-04-04,114.4,113.6,114.5,113.5,1240000.0,0.79
2012-04-05,114.25,113.69999999999999,114.375,113.575,980060.0,0.4625
2012-04-06,114.1,113.8,114.25,113.65,720120.0,0.135
2012-04-09,113.95,113.9,114.125,113.725,460180.0,-0.1925
