Date,Price,Open,High,Low,Volume,Change_Percent
2012-05-04,13.42,13.44,13.46,13.39,10190000.0,0.22
2012-05-07,12.96,13.38,13.38,12.91,22980000.0,-3.43
2012-05-08,12.8,12.64,12.96,12.64,21090000.0,-1.23
2012-05-09,12.85,12.82,12.93,12.8,10930000.0,0.39
2012-05-10,12.8,12.88,12.88,12.61,13320000.0,-0.39
2012-05-11,12.74,12.88,12.88,12.72,18540000.0,-0.47
2012-05-14,12.4,12.75,12.8,12.16,6950000.0,-2.67
2012-05-15,12.43,12.24,12.61,12.11,22310000.0,0.24
2012-05-16,12.45,12.43,12.8,12.4,15290000.0,0.16
2012-05-17,12.96,12.45,12.96,12.43,16920000.0,4.1
2012-05-18,12.7,12.8,13.04,12.67,14560000.0,-2.01
2012-05-21,12.88,12.96,12.96,12.8,11660000.0,1.42
2012-05-22,12.88,13.0,13.12,12.6,15250000.0,0.0
2012-05-23,12.7,12.8,12.8,12.6,7130000.0,-1.4
2012-05-24,12.8,12.88,12.9,12.72,3590000.0,0.79
2012-05-25,12.8,12.8,12.88,12.76,3600000.0,0.0
2012-05-28,12.84,12.8,12.9,12.8,2980000.0,0.31
2012-05-29,13.28,12.9,13.46,12.9,4650000.0,3.43
2012-05-30,13.0,13.48,13.5,13.0,8980000.0,-2.11
2012-05-31,12.74,12.9,13.46,12.5,27270000.0,-2.0
2012-06-01,12.86,12.8,12.98,12.7,10190000.0,0.94
2012-06-04,12.5,12.66,12.72,12.48,14730000.0,-2.8
2012-06-05,12.5,12.56,12.8,12.5,4540000.0,0.0
2012-06-06,12.4,12.58,12.8,12.4,7430000.0,-0.8
2012-06-07,12.58,12.6,12.6,12.46,9190000.0,1.45
2012-06-08,12.22,12.58,12.6,12.22,4480000.0,-2.86
2012-06-11,12.7,12.58,12.74,12.5,6970000.0,3.93
2012-06-12,12.649999999999999,12.66,12.74,12.39,11685000.0,1.5699999999999998
2012-06-13,12.6,12.74,12.74,12.28,16399999.999999998,-0.79
2012-06-14,12.72,12.6,12.8,12.4,3950000.0,0.95
2012-06-15,12.1,12.9,12.9,12.1,4910000.0,-4.87
2012-06-18,13.14,12.42,13.16,12.42,11210000.0,8.6
2012-06-19,12.94,13.14,13.14,12.8,6520000.0,-1.52
2012-06-20,13.18,13.18,13.22,13.02,7240000.0,1.85
2012-06-21,13.4,13.12,13.4,12.92,8640000.0,1.67
2012-06-22,13.0,13.1,13.26,12.94,5090000.0,-2.99
2012-06-25,12.9,13.18,13.18,12.8,5660000.0,-0.77
2012-06-26,12.86,12.98,13.2,12.78,4390000.0,-0.31
2012-06-27,12.94,12.84,13.0,12.8,12440000.0,0.62
2012-06-28,13.02,13.0,13.14,12.9,9230000.0,0.62
2012-06-29,13.02,13.02,13.1,12.94,5870000.0,0.0
2012-07-02,13.06,13.04,13.14,13.0,7210000.0,0.31
2012-07-03,13.3,13.06,13.56,13.04,19830000.0,1.84
2012-07-04,13.1,13.4,13.4,13.0,11380000.0,-1.5
2012-07-05,13.2,13.12,13.24,13.12,6620000.0,0.76
2012-07-06,13.32,13.2,13.34,13.18,5050000.0,0.91
2012-07-09,13.08,13.3,13.3,13.0,7450000.0,-1.8
2012-07-10,12.94,13.08,13.08,12.82,14530000.0,-1.07
2012-07-11,12.8,12.9,12.9,12.54,17010000.0,-1.08
2012-07-12,12.88,12.64,12.9,12.64,7600000.0,0.62
2012-07-13,13.38,12.84,13.42,12.8,13690000.0,3.88
2012-07-16,13.76,13.38,13.78,13.38,12640000.0,2.84
2012-07-17,13.7,13.76,13.76,13.62,3780000.0,-0.44
2012-07-18,13.4,13.7,13.7,13.38,5830000.0,-2.19
2012-07-19,13.04,13.5,13.54,12.96,11550000.0,-2.69
2012-07-20,13.6,13.06,13.68,13.04,7850000.0,4.29
2012-07-23,13.48,13.5,13.5,13.22,2180000.0,-0.88
2012-07-24,13.26,13.46,13.6,13.14,7000000.0,-1.63
2012-07-25,13.2,13.48,13.5,13.18,3470000.0,-0.45
2012-07-26,13.08,13.4,13.4,13.04,4120000.0,-0.91
2012-07-27,13.36,13.26,13.4,13.18,7490000.0,2.14
2012-07-30,13.94,13.36,13.96,13.36,14070000.0,4.34
2012-07-31,13.98,13.94,14.14,13.76,25410000.0,0.29
2012-08-01,13.9,13.98,14.04,13.76,6530000.0,-0.57
2012-08-02,14.06,13.88,14.28,13.86,12270000.0,1.15
2012-08-03,13.8,14.08,14.1,13.72,7420000.0,-1.85
2012-08-06,13.8,13.82,13.98,13.66,3060000.0,0.0
2012-08-07,13.93,13.84,14.04,13.76,5045000.0,0.94
2012-08-08,14.06,13.86,14.1,13.86,7030000.0,1.88
2012-08-09,14.06,14.08,14.2,13.92,10960000.0,0.0
2012-08-10,14.02,13.98,14.16,13.96,7280000.0,-0.28
2012-08-13,14.02,14.02,14.2,13.98,7980000.0,0.0
2012-08-14,14.14,14.02,14.32,14.0,9890000.0,0.86
2012-08-15,14.04,14.12,14.26,13.98,13350000.0,-0.71
2012-08-16,13.92,14.04,14.04,13.88,8310000.000000001,-0.85
2012-08-17,13.9,14.0,14.0,13.88,12120000.0,-0.14
2012-08-20,13.88,13.966666666666667,14.0,13.866666666666667,9803333.333333334,-0.2366666666666667
2012-08-21,13.86,13.933333333333334,14.0,13.853333333333333,7486666.666666667,-0.33333333333333337
2012-08-22,13.84,13.9,14.0,13.84,5170000.0,-0.43
2012-08-23,13.8,13.96,13.96,13.6,3860000.0,-0.29
2012-08-24,13.6,13.8,13.9,13.56,7890000.0,-1.45
2012-08-27,13.68,13.7,13.879999999999999,13.57,8285000.0,-0.135
2012-08-28,13.76,13.6,13.86,13.58,8680000.0,1.18
2012-08-29,13.8,13.76,14.0,13.76,23710000.0,0.29
2012-08-30,13.8,13.98,13.98,13.7,12030000.0,0.0
2012-08-31,14.0,13.94,14.0,13.74,11850000.0,1.45
2012-09-03,13.94,13.92,14.0,13.9,16040000.0,-0.43
2012-09-04,13.76,13.98,14.06,13.76,6260000.0,-1.29
2012-09-05,13.6,13.7,13.9,13.6,8870000.0,-1.16
2012-09-06,13.62,13.66,13.9,13.62,7200000.0,0.15
2012-09-07,13.96,13.9,14.0,13.84,4280000.0,2.5
2012-09-10,14.1,14.02,14.1,14.02,2930000.0,1.0
2012-09-11,13.94,14.14,14.14,13.8,3510000.0,-1.13
2012-09-12,13.7,14.0,14.0,13.6,11830000.0,-1.72
2012-09-13,13.76,13.78,13.88,13.7,7110000.0,0.44
2012-09-14,13.94,13.8,14.0,13.8,18910000.0,1.31
2012-09-17,13.94,14.0,14.0,13.9,8140000.000000001,0.0
2012-09-18,14.1,13.96,14.18,13.94,7450000.0,1.15
2012-09-19,13.96,14.1,14.16,13.96,1700000.0,-0.99
2012-09-20,13.86,14.0,14.0,13.74,11120000.0,-0.72
2012-09-21,13.82,13.96,13.96,13.78,9350000.0,-0.29
2012-09-24,14.26,13.96,14.26,13.9,13680000.0,3.18
2012-09-25,14.1,14.24,14.24,14.08,5450000.0,-1.12
2012-09-26,14.0,14.12,14.12,13.96,8470000.0,-0.71
2012-09-27,13.96,14.08,14.08,13.96,5710000.0,-0.29
2012-09-28,14.2,14.0,14.2,13.98,8300000.000000001,1.72
2012-10-01,14.06,14.16,14.16,14.0,3140000.0,-0.99
