Date,Price,Open,High,Low,Volume,Change_Percent
2012-04-16,2574.0,2590.0,2600.0,2560.0,242780.0,-1.15
2012-04-17,2590.0,2596.0,2630.0,2588.0,172850.0,0.62
2012-04-18,2572.0,2594.0,2600.0,2570.0,93530.0,-0.69
2012-04-19,2550.0,2572.0,2572.0,2546.0,187350.0,-0.86
2012-04-20,2550.0,2570.0,2570.0,2546.0,169360.0,0.0
2012-04-23,2546.0,2552.0,2560.0,2526.0,69970.0,-0.16
2012-04-24,2558.0,2546.0,2570.0,2546.0,141640.0,0.47
2012-04-25,2580.0,2556.0,2580.0,2540.0,128410.0,0.86
2012-04-26,2582.0,2582.0,2592.0,2576.0,136970.0,0.08
2012-04-27,2584.0,2592.0,2592.0,2582.0,149610.0,0.08
2012-04-30,2588.0,2582.0,2598.0,2574.0,145750.0,0.15
2012-05-01,2570.0,2585.0,2593.0,2563.0,117780.0,-0.6199999999999999
2012-05-02,2552.0,2588.0,2588.0,2552.0,89810.0,-1.39
2012-05-03,2572.0,2548.0,2572.0,2548.0,169860.0,0.78
2012-05-04,2566.0,2574.0,2578.0,2558.0,137460.0,-0.23
2012-05-07,2552.0,2566.0,2566.0,2548.0,111970.0,-0.55
2012-05-08,2536.0,2550.0,2550.0,2536.0,126940.0,-0.63
2012-05-09,2520.0,2532.0,2534.0,2518.0,168390.0,-0.63
2012-05-10,2508.0,2516.0,2516.0,2492.0,153350.0,-0.48
2012-05-11,2506.0,2506.0,2522.0,2502.0,111530.0,-0.08
2012-05-14,2450.0,2498.0,2500.0,2434.0,139480.0,-2.23
2012-05-15,2396.0,2446.0,2448.0,2382.0,193450.0,-2.2
2012-05-16,2386.0,2396.0,2396.0,2370.0,140160.0,-0.42
2012-05-17,2418.0,2379.0,2460.0,2370.0,223340.0,1.34
2012-05-18,2370.0,2418.0,2418.0,2354.0,108640.0,-1.99
2012-05-21,2394.0,2370.0,2396.0,2368.0,131520.0,1.01
2012-05-22,2392.0,2400.0,2400.0,2388.0,176140.0,-0.08
2012-05-23,2382.0,2388.0,2388.0,2376.0,222710.0,-0.42
2012-05-24,2358.0,2380.0,2380.0,2352.0,180630.0,-1.01
2012-05-25,2348.0,2358.0,2358.0,2348.0,215310.0,-0.42
2012-05-28,2348.0,2368.0,2370.0,2346.0,71980.0,0.0
2012-05-29,2306.0,2358.0,2358.0,2302.0,369540.0,-1.79
2012-05-30,2310.0,2330.0,2350.0,2302.0,272770.0,0.17
2012-05-31,2340.0,2300.0,2440.0,2290.0,210320.0,1.3
2012-06-01,2420.0,2380.0,2430.0,2380.0,257350.00000000003,3.42
2012-06-04,2400.0,2390.0,2404.0,2350.0,172920.0,-0.83
2012-06-05,2370.0,2394.0,2402.0,2352.0,115550.0,-1.25
2012-06-06,2416.0,2396.0,2420.0,2396.0,117710.0,1.94
2012-06-07,2444.0,2426.0,2446.0,2426.0,223200.0,1.16
2012-06-08,2430.0,2440.0,2444.0,2430.0,184930.0,-0.57
2012-06-11,2456.0,2440.0,2462.0,2438.0,295470.0,1.07
2012-06-12,2448.0,2449.0,2460.0,2431.0,274815.0,0.20999999999999996
2012-06-13,2440.0,2458.0,2458.0,2424.0,254160.0,-0.65
2012-06-14,2350.0,2444.0,2444.0,2350.0,127120.0,-3.69
2012-06-15,2360.0,2400.0,2404.0,2302.0,237000.0,0.43
2012-06-18,2376.0,2380.0,2402.0,2360.0,236350.0,0.68
2012-06-19,2390.0,2386.0,2396.0,2370.0,53730.0,0.59
