Date,Price_Merged
2012-02-29,401.0
2012-03-01,408.0
2012-03-02,424.0
2012-03-05,431.0
2012-03-06,425.0
2012-03-07,412.0
2012-03-08,417.0
2012-03-09,414.0
2012-03-12,413.2
2012-03-13,413.0
2012-03-14,415.0
2012-03-15,405.0
2012-03-16,423.0
2012-03-19,423.0
2012-03-20,422.8
2012-03-21,414.8
2012-03-22,414.0
2012-03-23,414.0
2012-03-26,414.0
2012-03-27,411.2
2012-03-28,399.0
2012-03-29,405.0
2012-03-30,406.6
2012-04-02,406.0
2012-04-03,412.0
2012-04-04,410.0
2012-04-05,408.9
2012-04-06,407.8
2012-04-09,406.7000000000001
2012-04-10,405.6
2012-04-11,407.0
2012-04-12,415.0
2012-04-13,425.0
2012-04-16,434.0
2012-04-17,429.8
2012-04-18,424.2
2012-04-19,424.8
2012-04-20,416.2
2012-04-23,416.6
2012-04-24,419.0
2012-04-25,428.2
2012-04-26,428.0
2012-04-27,428.0
2012-04-30,430.0
2012-05-01,436.5
2012-05-02,443.0
2012-05-03,462.6
2012-05-04,454.0
2012-05-07,448.0
2012-05-08,458.8
2012-05-09,451.0
2012-05-10,450.0
2012-05-11,457.0
2012-05-14,445.0
2012-05-15,427.0
2012-05-16,409.0
2012-05-17,426.6
2012-05-18,410.0
2012-05-21,401.0
2012-05-22,413.2
2012-05-23,406.0
2012-05-24,411.0
2012-05-25,411.2
2012-05-28,417.0
2012-05-29,442.0
2012-05-30,445.4
2012-05-31,442.0
2012-06-01,455.0
2012-06-04,428.0
2012-06-05,432.0
2012-06-06,431.8
2012-06-07,437.0
2012-06-08,437.0
2012-06-11,438.8
2012-06-12,440.0
2012-06-13,441.2
2012-06-14,449.8
2012-06-15,447.0
2012-06-18,455.8
2012-06-19,462.8
2012-06-20,474.0
2012-06-21,474.0
2012-06-22,470.0
2012-06-25,468.0
2012-06-26,470.0
2012-06-27,475.6
2012-06-28,472.6
2012-06-29,469.2
2012-07-02,474.6
2012-07-03,481.0
2012-07-04,479.0
2012-07-05,481.0
2012-07-06,480.0
2012-07-09,473.0
2012-07-10,458.0
2012-07-11,478.0
2012-07-12,457.0
2012-07-13,455.0
2012-07-16,463.4
2012-07-17,458.0
2012-07-18,435.0
2012-07-19,430.2
2012-07-20,429.8
2012-07-23,410.2
2012-07-24,415.0
2012-07-25,411.0
2012-07-26,412.6
2012-07-27,416.0
2012-07-30,432.8
2012-07-31,435.2
2012-08-01,425.0
2012-08-02,426.0
2012-08-03,430.0
2012-08-06,438.6
2012-08-07,435.5
2012-08-08,432.4
2012-08-09,425.0
2012-08-10,430.0
2012-08-13,433.0
2012-08-14,433.0
2012-08-15,425.0
2012-08-16,421.2
2012-08-17,425.2
2012-08-20,424.73333333333335
2012-08-21,424.26666666666665
2012-08-22,423.8
2012-08-23,430.0
2012-08-24,421.0
2012-08-27,422.5
2012-08-28,424.0
2012-08-29,422.2
2012-08-30,417.6
2012-08-31,411.0
2012-09-03,415.0
2012-09-04,416.0
2012-09-05,417.6
2012-09-06,416.0
2012-09-07,421.0
2012-09-10,414.0
2012-09-11,421.0
2012-09-12,423.0
2012-09-13,427.0
2012-09-14,436.6
2012-09-17,436.8
2012-09-18,431.0
2012-09-19,439.0
2012-09-20,435.0
2012-09-21,434.0
2012-09-24,435.8
2012-09-25,435.0
2012-09-26,430.8
2012-09-27,429.0
2012-09-28,426.2
2012-10-01,419.0
2012-10-02,420.0
2012-10-03,424.8
2012-10-04,440.2
2012-10-05,445.0
2012-10-08,440.4
2012-10-09,436.0
2012-10-10,430.0
2012-10-11,425.8
2012-10-12,425.0
2012-10-15,417.2
2012-10-16,417.4
2012-10-17,422.6
2012-10-18,426.8
2012-10-19,427.8
2012-10-22,428.0
2012-10-23,433.6
2012-10-24,433.0
2012-10-25,439.0
2012-10-26,439.5
2012-10-29,440.0
2012-10-30,442.0
2012-10-31,443.0
2012-11-01,443.6666666666667
2012-11-02,444.3333333333333
2012-11-05,445.0
2012-11-06,449.6
2012-11-07,449.6
2012-11-08,449.6
2012-11-09,448.0
2012-11-12,450.0
2012-11-13,443.0
2012-11-14,444.0
2012-11-15,445.2
2012-11-16,449.8
2012-11-19,455.0
2012-11-20,465.0
2012-11-21,487.8
2012-11-22,480.0
2012-11-23,486.6
2012-11-26,484.0
2012-11-27,480.0
2012-11-28,487.0
2012-11-29,481.2
2012-11-30,488.6
2012-12-03,496.0
2012-12-04,498.0
2012-12-05,499.2
2012-12-06,510.0
2012-12-07,520.0
2012-12-10,518.0
2012-12-11,527.0
2012-12-12,510.0
2012-12-13,500.0
2012-12-14,493.0
2012-12-17,495.0
2012-12-18,500.0
2012-12-19,510.0
2012-12-20,530.0
2012-12-21,527.0
2012-12-24,526.3333333333334
2012-12-25,525.6666666666666
2012-12-26,525.0
2012-12-27,511.0
2012-12-28,517.0
2012-12-31,520.0
2013-01-01,523.0
2013-01-02,526.0
2013-01-03,534.0
2013-01-04,544.0
2013-01-07,550.0
2013-01-08,550.5
2013-01-09,550.0
2013-01-10,547.0
2013-01-11,550.0
2013-01-14,540.0
2013-01-15,530.0
2013-01-16,522.0
2013-01-17,520.5
2013-01-18,529.0
2013-01-21,523.5
2013-01-22,522.0
2013-01-23,530.0
2013-01-24,542.0
2013-01-25,552.0
2013-01-28,550.5
2013-01-29,555.5
2013-01-30,555.5
2013-01-31,568.0
2013-02-01,551.5
2013-02-04,574.0
2013-02-05,576.0
2013-02-06,566.0
2013-02-07,562.5
2013-02-08,564.5
2013-02-11,562.0
2013-02-12,561.0
2013-02-13,563.5
2013-02-14,566.5
2013-02-15,580.0
2013-02-18,577.0
2013-02-19,581.0
2013-02-20,580.0
2013-02-21,568.0
2013-02-22,571.0
2013-02-25,590.0
2013-02-26,584.0
2013-02-27,579.5
2013-02-28,579.5
2013-03-01,570.5
2013-03-04,556.0
2013-03-05,577.0
2013-03-06,586.0
2013-03-07,562.0
2013-03-08,565.0
2013-03-11,563.0
2013-03-12,555.0
2013-03-13,559.0
2013-03-14,550.0
2013-03-15,561.0
2013-03-18,550.0
2013-03-19,545.0
2013-03-20,550.0
2013-03-21,550.0
2013-03-22,551.0
2013-03-25,555.5
2013-03-26,558.5
2013-03-27,566.0
2013-03-28,570.6666666666666
2013-03-29,575.3333333333334
2013-04-01,580.0
2013-04-02,574.0
2013-04-03,585.0
2013-04-04,581.0
2013-04-05,583.0
2013-04-08,580.0
2013-04-09,585.75
2013-04-10,591.5
2013-04-11,597.0
2013-04-12,602.0
2013-04-15,601.0
2013-04-16,595.5
2013-04-17,600.0
2013-04-18,600.5
2013-04-19,607.0
2013-04-22,640.0
2013-04-23,615.0
2013-04-24,625.0
2013-04-25,634.0
2013-04-26,640.0
2013-04-29,641.0
2013-04-30,641.0
2013-05-01,640.5
2013-05-02,640.0
2013-05-03,662.0
2013-05-06,660.0
2013-05-07,662.0
2013-05-08,672.0
2013-05-09,670.0
2013-05-10,672.0
2013-05-13,676.0
2013-05-14,680.0
2013-05-15,678.0
2013-05-16,666.0
2013-05-17,668.5
2013-05-20,675.0
2013-05-21,677.0
2013-05-22,688.0
2013-05-23,670.0
2013-05-24,664.5
2013-05-27,651.0
2013-05-28,660.0
2013-05-29,667.0
2013-05-30,645.0
2013-05-31,630.0
