Date,Price_Merged
2012-03-01,48.3
2012-03-02,49.9
2012-03-05,50.0
2012-03-06,49.35
2012-03-07,49.5
2012-03-08,49.95
2012-03-09,49.95
2012-03-12,49.9
2012-03-13,48.3
2012-03-14,48.7
2012-03-15,49.5
2012-03-16,50.3
2012-03-19,49.65
2012-03-20,49.4
2012-03-21,48.4
2012-03-22,49.5
2012-03-23,49.0
2012-03-26,47.2
2012-03-27,49.0
2012-03-28,49.5
2012-03-29,49.6
2012-03-30,50.1
2012-04-02,50.45
2012-04-03,49.0
2012-04-04,49.95
2012-04-05,49.712500000000006
2012-04-06,49.475
2012-04-09,49.2375
2012-04-10,49.0
2012-04-11,49.1
2012-04-12,49.1
2012-04-13,49.25
2012-04-16,49.3
2012-04-17,49.0
2012-04-18,50.0
2012-04-19,50.15
2012-04-20,49.1
2012-04-23,48.9
2012-04-24,50.0
2012-04-25,50.0
2012-04-26,50.15
2012-04-27,50.15
2012-04-30,51.0
2012-05-01,51.1
2012-05-02,51.2
2012-05-03,53.0
2012-05-04,53.9
2012-05-07,53.1
2012-05-08,52.75
2012-05-09,52.0
2012-05-10,52.35
2012-05-11,52.85
2012-05-14,53.0
2012-05-15,51.0
2012-05-16,49.5
2012-05-17,50.9
2012-05-18,48.0
2012-05-21,50.1
2012-05-22,50.0
2012-05-23,50.0
2012-05-24,49.7
2012-05-25,49.95
2012-05-28,50.0
2012-05-29,51.1
2012-05-30,51.5
2012-05-31,52.0
2012-06-01,50.9
2012-06-04,47.85
2012-06-05,48.95
2012-06-06,49.0
2012-06-07,50.1
2012-06-08,50.0
2012-06-11,49.95
2012-06-12,50.1
2012-06-13,50.25
2012-06-14,48.0
2012-06-15,45.0
2012-06-18,47.75
2012-06-19,48.0
2012-06-20,48.8
2012-06-21,47.65
2012-06-22,47.5
2012-06-25,46.75
2012-06-26,46.95
2012-06-27,48.0
2012-06-28,49.45
2012-06-29,48.95
2012-07-02,49.45
2012-07-03,49.3
2012-07-04,49.0
2012-07-05,49.0
2012-07-06,49.45
2012-07-09,48.5
2012-07-10,47.0
2012-07-11,48.0
2012-07-12,48.45
2012-07-13,47.9
2012-07-16,48.7
2012-07-17,48.5
2012-07-18,48.4
2012-07-19,47.95
2012-07-20,48.5
2012-07-23,48.4
2012-07-24,47.3
2012-07-25,47.0
2012-07-26,47.5
2012-07-27,48.45
2012-07-30,48.8
2012-07-31,49.2
2012-08-01,48.95
2012-08-02,49.0
2012-08-03,48.2
2012-08-06,48.75
2012-08-07,48.775
2012-08-08,48.8
2012-08-09,48.5
2012-08-10,49.0
2012-08-13,49.1
2012-08-14,48.95
2012-08-15,49.05
2012-08-16,48.9
2012-08-17,48.5
2012-08-20,48.18333333333333
2012-08-21,47.86666666666667
2012-08-22,47.55
2012-08-23,48.2
2012-08-24,48.0
2012-08-27,48.2
2012-08-28,48.4
2012-08-29,48.2
2012-08-30,47.5
2012-08-31,48.5
2012-09-03,48.2
2012-09-04,48.0
2012-09-05,47.5
2012-09-06,47.5
2012-09-07,48.0
2012-09-10,48.9
2012-09-11,48.5
2012-09-12,49.1
2012-09-13,48.95
2012-09-14,48.95
2012-09-17,49.0
2012-09-18,48.3
2012-09-19,48.2
2012-09-20,48.6
2012-09-21,48.0
2012-09-24,49.0
2012-09-25,49.0
2012-09-26,48.95
2012-09-27,48.85
2012-09-28,48.85
2012-10-01,48.65
2012-10-02,48.75
2012-10-03,48.95
2012-10-04,49.0
2012-10-05,48.8
2012-10-08,49.0
2012-10-09,48.5
2012-10-10,48.3
2012-10-11,48.0
2012-10-12,48.3
2012-10-15,48.3
2012-10-16,48.5
2012-10-17,48.5
2012-10-18,48.5
2012-10-19,48.9
2012-10-22,48.8
2012-10-23,48.5
2012-10-24,47.9
2012-10-25,48.0
2012-10-26,48.0
2012-10-29,48.0
2012-10-30,48.0
2012-10-31,48.25
2012-11-01,48.56666666666667
2012-11-02,48.88333333333333
2012-11-05,49.2
2012-11-06,49.35
2012-11-07,49.0
2012-11-08,49.0
2012-11-09,48.8
2012-11-12,48.7
2012-11-13,48.75
2012-11-14,48.7
2012-11-15,48.8
2012-11-16,48.7
2012-11-19,48.75
2012-11-20,48.75
2012-11-21,48.5
2012-11-22,48.65
2012-11-23,48.7
2012-11-26,48.85
2012-11-27,48.65
2012-11-28,49.5
2012-11-29,49.3
2012-11-30,50.15
2012-12-03,51.0
2012-12-04,52.25
2012-12-05,51.5
2012-12-06,52.9
2012-12-07,51.8
2012-12-10,50.0
2012-12-11,50.95
2012-12-12,51.45
2012-12-13,51.65
2012-12-14,50.9
2012-12-17,51.7
2012-12-18,51.9
2012-12-19,52.1
2012-12-20,52.2
2012-12-21,51.5
2012-12-24,51.66666666666666
2012-12-25,51.833333333333336
2012-12-26,52.0
2012-12-27,52.5
2012-12-28,52.95
2012-12-31,52.93333333333334
2013-01-01,52.91666666666666
2013-01-02,52.9
2013-01-03,53.15
2013-01-04,53.5
2013-01-07,54.0
2013-01-08,54.1
2013-01-09,55.1
2013-01-10,55.2
2013-01-11,56.6
2013-01-14,56.8
2013-01-15,56.8
2013-01-16,55.8
2013-01-17,55.95
2013-01-18,57.0
2013-01-21,56.95
2013-01-22,55.8
2013-01-23,56.5
2013-01-24,55.65
2013-01-25,55.75
2013-01-28,56.0
2013-01-29,55.9
2013-01-30,54.1
2013-01-31,55.55
2013-02-01,55.75
2013-02-04,57.0
2013-02-05,57.5
2013-02-06,57.0
2013-02-07,57.0
2013-02-08,57.0
2013-02-11,57.35
2013-02-12,57.0
2013-02-13,57.3
2013-02-14,57.5
2013-02-15,57.8
2013-02-18,58.0
2013-02-19,58.0
2013-02-20,58.55
2013-02-21,59.9
2013-02-22,60.0
2013-02-25,60.3
2013-02-26,58.9
2013-02-27,58.0
2013-02-28,58.6
2013-03-01,59.0
2013-03-04,59.0
2013-03-05,58.7
2013-03-06,59.3
2013-03-07,59.5
2013-03-08,60.0
2013-03-11,59.3
2013-03-12,59.0
2013-03-13,59.05
2013-03-14,57.2
2013-03-15,57.3
2013-03-18,56.7
2013-03-19,56.5
2013-03-20,54.8
2013-03-21,55.75
2013-03-22,54.5
2013-03-25,54.75
2013-03-26,54.75
2013-03-27,55.15
2013-03-28,54.88333333333333
2013-03-29,54.61666666666667
2013-04-01,54.35
2013-04-02,53.75
2013-04-03,54.5
2013-04-04,54.7
2013-04-05,54.7
2013-04-08,54.45
2013-04-09,54.6
2013-04-10,54.75
2013-04-11,54.85
2013-04-12,55.0
2013-04-15,54.75
2013-04-16,54.3
2013-04-17,54.35
2013-04-18,55.0
2013-04-19,54.7
2013-04-22,58.2
2013-04-23,55.0
2013-04-24,55.95
2013-04-25,57.0
2013-04-26,57.0
2013-04-29,56.9
2013-04-30,57.0
2013-05-01,56.975
2013-05-02,56.95
2013-05-03,58.4
2013-05-06,56.65
2013-05-07,57.0
2013-05-08,57.0
2013-05-09,56.9
2013-05-10,57.0
2013-05-13,56.525
2013-05-14,56.05
2013-05-15,56.85
2013-05-16,56.0
2013-05-17,56.0
2013-05-20,55.5
2013-05-21,56.8
2013-05-22,56.95
2013-05-23,56.75
2013-05-24,56.5
2013-05-27,54.3
2013-05-28,53.8
2013-05-29,56.5
2013-05-30,54.1
2013-05-31,54.0
2013-06-03,52.35
2013-06-04,54.7
2013-06-05,52.0
2013-06-06,52.95
2013-06-07,52.0
2013-06-10,53.0
2013-06-11,52.0
2013-06-12,49.75
2013-06-13,47.5
2013-06-14,48.6
2013-06-17,48.0
2013-06-18,49.2
2013-06-19,47.55
2013-06-20,46.3
2013-06-21,44.5
2013-06-24,42.5
2013-06-25,40.0
2013-06-26,45.95
2013-06-27,48.5
2013-06-28,50.2
2013-07-01,50.3
2013-07-02,50.5
2013-07-03,49.0
2013-07-04,49.1
2013-07-05,50.0
2013-07-08,49.0
2013-07-09,50.0
2013-07-10,49.4
2013-07-11,48.0
2013-07-12,50.0
2013-07-15,50.75
2013-07-16,50.0
2013-07-17,50.5
2013-07-18,50.5
2013-07-19,49.0
2013-07-22,49.0
2013-07-23,50.95
2013-07-24,50.95
2013-07-25,50.95
2013-07-26,50.95
2013-07-29,50.25
2013-07-30,50.8
2013-07-31,50.3
2013-08-01,50.0
2013-08-02,50.0
2013-08-05,48.3
2013-08-06,48.05
2013-08-07,46.5
2013-08-08,47.0
2013-08-09,47.75
2013-08-12,48.5
2013-08-13,48.45
2013-08-14,49.6
2013-08-15,49.5
2013-08-16,48.0
2013-08-19,46.9
2013-08-20,45.8
2013-08-21,44.7
2013-08-22,43.6
2013-08-23,45.95
2013-08-26,44.375
2013-08-27,42.8
2013-08-28,41.25
2013-08-29,43.7
2013-08-30,46.0
2013-09-02,45.0
2013-09-03,46.7
2013-09-04,45.2
2013-09-05,44.9
2013-09-06,45.4
2013-09-09,45.45
2013-09-10,46.25
2013-09-11,48.0
2013-09-12,48.2
2013-09-13,48.5
2013-09-16,48.5
2013-09-17,49.0
2013-09-18,49.45
2013-09-19,47.2
2013-09-20,47.65
2013-09-23,49.0
2013-09-24,49.0
2013-09-25,48.5
2013-09-26,48.5
2013-09-27,47.1
2013-09-30,45.0
2013-10-01,45.7
2013-10-02,47.95
2013-10-03,47.8
2013-10-04,47.7
2013-10-07,48.1
2013-10-08,47.5
2013-10-09,46.2
2013-10-10,46.85
2013-10-11,47.9
2013-10-14,46.8
2013-10-15,47.4
2013-10-16,48.0
2013-10-17,49.0
2013-10-18,50.5
2013-10-21,50.0
2013-10-22,50.05
2013-10-23,51.8
2013-10-24,51.5
2013-10-25,50.6
2013-10-28,50.400000000000006
2013-10-29,50.2
2013-10-30,52.0
2013-10-31,50.85
2013-11-01,50.725
2013-11-04,50.6
2013-11-05,50.5
2013-11-06,50.7
2013-11-07,50.95
2013-11-08,49.55
2013-11-11,48.5
2013-11-12,49.25
2013-11-13,49.85
2013-11-14,49.7
2013-11-15,49.85
2013-11-18,50.0
2013-11-19,51.0
2013-11-20,51.0
2013-11-21,51.0
2013-11-22,51.5
2013-11-25,52.0
