Date,Price_Merged
2012-03-02,21.0
2012-03-05,22.1
2012-03-06,21.35
2012-03-07,20.85
2012-03-08,20.55
2012-03-09,21.0
2012-03-12,21.0
2012-03-13,20.65
2012-03-14,21.5
2012-03-15,20.75
2012-03-16,21.95
2012-03-19,21.35
2012-03-20,21.45
2012-03-21,21.3
2012-03-22,21.15
2012-03-23,21.1
2012-03-26,20.75
2012-03-27,20.85
2012-03-28,20.85
2012-03-29,20.8
2012-03-30,20.75
2012-04-02,20.45
2012-04-03,20.45
2012-04-04,20.05
2012-04-05,20.15
2012-04-06,20.25
2012-04-09,20.35
2012-04-10,20.45
2012-04-11,20.65
2012-04-12,20.65
2012-04-13,20.8
2012-04-16,21.1
2012-04-17,21.55
2012-04-18,21.9
2012-04-19,21.55
2012-04-20,21.55
2012-04-23,21.55
2012-04-24,22.0
2012-04-25,21.5
2012-04-26,21.6
2012-04-27,21.0
2012-04-30,21.45
2012-05-01,21.4
2012-05-02,21.35
2012-05-03,21.9
2012-05-04,22.0
2012-05-07,21.9
2012-05-08,21.3
2012-05-09,20.55
2012-05-10,21.0
2012-05-11,20.5
2012-05-14,20.3
2012-05-15,19.74
2012-05-16,19.0
2012-05-17,19.9
2012-05-18,19.0
2012-05-21,19.56
2012-05-22,19.06
2012-05-23,18.84
2012-05-24,19.12
2012-05-25,19.48
2012-05-28,19.6
2012-05-29,19.9
2012-05-30,19.9
2012-05-31,19.64
2012-06-01,19.98
2012-06-04,19.4
2012-06-05,19.5
2012-06-06,19.52
2012-06-07,19.9
2012-06-08,20.0
2012-06-11,20.85
2012-06-12,21.175
2012-06-13,21.5
2012-06-14,21.9
2012-06-15,21.9
2012-06-18,21.8
2012-06-19,22.0
2012-06-20,22.5
2012-06-21,21.55
2012-06-22,21.5
2012-06-25,21.45
2012-06-26,21.35
2012-06-27,21.25
2012-06-28,21.5
2012-06-29,21.6
2012-07-02,22.05
2012-07-03,22.5
2012-07-04,22.55
2012-07-05,22.5
2012-07-06,22.4
2012-07-09,21.6
2012-07-10,21.05
2012-07-11,20.65
2012-07-12,20.7
2012-07-13,20.65
2012-07-16,20.8
2012-07-17,20.8
2012-07-18,20.35
2012-07-19,20.35
2012-07-20,20.45
2012-07-23,19.9
2012-07-24,19.94
2012-07-25,20.45
2012-07-26,20.45
2012-07-27,21.3
2012-07-30,21.5
2012-07-31,21.85
2012-08-01,22.5
2012-08-02,21.95
2012-08-03,22.4
2012-08-06,22.7
2012-08-07,23.275
2012-08-08,23.85
2012-08-09,22.65
2012-08-10,22.65
2012-08-13,23.35
2012-08-14,23.0
2012-08-15,23.0
2012-08-16,22.45
2012-08-17,22.3
2012-08-20,22.116666666666667
2012-08-21,21.933333333333334
2012-08-22,21.75
2012-08-23,22.0
2012-08-24,21.45
2012-08-27,21.9
2012-08-28,22.35
2012-08-29,22.35
2012-08-30,22.2
2012-08-31,22.4
2012-09-03,22.9
2012-09-04,22.45
2012-09-05,22.35
2012-09-06,22.15
2012-09-07,22.95
2012-09-10,22.3
2012-09-11,22.25
2012-09-12,22.75
2012-09-13,22.4
2012-09-14,23.3
2012-09-17,23.9
2012-09-18,24.2
2012-09-19,24.2
2012-09-20,23.4
2012-09-21,24.0
2012-09-24,24.5
2012-09-25,23.8
2012-09-26,23.3
2012-09-27,23.5
2012-09-28,23.85
2012-10-01,23.3
2012-10-02,23.4
2012-10-03,23.6
2012-10-04,24.0
2012-10-05,23.4
2012-10-08,23.4
2012-10-09,23.3
2012-10-10,23.3
2012-10-11,23.45
2012-10-12,23.5
2012-10-15,23.5
2012-10-16,23.7
2012-10-17,23.6
2012-10-18,23.45
2012-10-19,23.2
2012-10-22,23.45
2012-10-23,23.35
2012-10-24,23.15
2012-10-25,23.5
2012-10-26,23.575
2012-10-29,23.65
2012-10-30,23.5
2012-10-31,23.55
2012-11-01,23.55
2012-11-02,23.55
2012-11-05,23.55
2012-11-06,22.65
2012-11-07,22.25
2012-11-08,23.15
2012-11-09,22.9
2012-11-12,23.25
2012-11-13,22.85
2012-11-14,22.85
2012-11-15,22.35
2012-11-16,22.85
2012-11-19,22.85
2012-11-20,23.3
2012-11-21,23.25
2012-11-22,23.1
2012-11-23,23.3
2012-11-26,22.95
2012-11-27,23.15
2012-11-28,23.4
2012-11-29,24.0
2012-11-30,23.925
2012-12-03,23.85
2012-12-04,23.9
2012-12-05,24.0
2012-12-06,24.25
2012-12-07,24.5
2012-12-10,24.75
2012-12-11,25.7
2012-12-12,26.35
2012-12-13,25.85
2012-12-14,25.05
2012-12-17,24.7
2012-12-18,25.0
2012-12-19,25.9
2012-12-20,26.95
2012-12-21,26.8
2012-12-24,26.683333333333334
2012-12-25,26.566666666666663
2012-12-26,26.45
2012-12-27,26.0
2012-12-28,26.45
2012-12-31,26.516666666666666
2013-01-01,26.58333333333333
2013-01-02,26.65
2013-01-03,26.7
2013-01-04,26.6
2013-01-07,26.6
2013-01-08,26.35
2013-01-09,26.6
2013-01-10,26.6
2013-01-11,25.85
2013-01-14,26.6
2013-01-15,27.4
2013-01-16,27.15
2013-01-17,27.8
2013-01-18,27.75
2013-01-21,27.35
2013-01-22,27.1
2013-01-23,27.35
2013-01-24,27.65
2013-01-25,27.75
2013-01-28,27.95
2013-01-29,28.35
2013-01-30,28.8
2013-01-31,29.0
2013-02-01,30.5
2013-02-04,30.4
2013-02-05,30.3
2013-02-06,29.6
2013-02-07,29.9
2013-02-08,29.95
2013-02-11,29.65
2013-02-12,29.5
2013-02-13,30.85
2013-02-14,30.9
2013-02-15,30.9
2013-02-18,30.9
2013-02-19,31.8
2013-02-20,32.0
2013-02-21,32.5
2013-02-22,32.8
2013-02-25,32.85
2013-02-26,31.7
2013-02-27,31.55
2013-02-28,32.0
2013-03-01,31.5
2013-03-04,31.0
2013-03-05,31.35
2013-03-06,32.85
2013-03-07,31.0
2013-03-08,31.15
2013-03-11,31.5
2013-03-12,31.4
2013-03-13,31.2
2013-03-14,31.0
2013-03-15,30.2
2013-03-18,29.55
2013-03-19,29.0
2013-03-20,29.6
2013-03-21,29.4
