Date,Price_Merged
2010-01-04,26.94
2010-01-05,27.29
2010-01-06,27.29
2010-01-07,27.29
2010-01-08,27.29
2010-01-11,27.29
2010-01-12,27.64
2010-01-13,27.64
2010-01-14,27.99
2010-01-15,27.99
2010-01-18,27.29
2010-01-19,26.94
2010-01-20,27.29
2010-01-21,27.64
2010-01-22,26.94
2010-01-25,26.24
2010-01-26,25.19
2010-01-27,24.14
2010-01-28,25.19
2010-01-29,25.19
2010-02-01,24.49
2010-02-02,24.14
2010-02-03,24.49
2010-02-04,24.84
2010-02-05,24.49
2010-02-08,24.49
2010-02-09,24.14
2010-02-10,24.49
2010-02-11,25.89
2010-02-12,26.24
2010-02-15,25.89
2010-02-16,25.89
2010-02-17,26.59
2010-02-18,26.59
2010-02-19,26.59
2010-02-22,26.59
2010-02-23,26.59
2010-02-24,26.24
2010-02-25,25.89
2010-02-26,26.59
2010-03-01,26.59
2010-03-02,26.94
2010-03-03,26.94
2010-03-04,26.24
2010-03-05,26.59
2010-03-08,26.94
2010-03-09,26.59
2010-03-10,26.24
2010-03-11,26.24
2010-03-12,26.24
2010-03-15,26.59
2010-03-16,26.24
2010-03-17,25.89
2010-03-18,26.59
2010-03-19,26.59
2010-03-22,26.24
2010-03-23,26.94
2010-03-24,27.29
2010-03-25,27.99
2010-03-26,28.34
2010-03-29,27.99
2010-03-30,28.34
2010-03-31,29.04
2010-04-01,29.39
2010-04-02,29.74
2010-04-05,30.09
2010-04-06,31.14
2010-04-07,30.79
2010-04-08,30.44
2010-04-09,30.44
2010-04-12,30.44
2010-04-13,30.44
2010-04-14,30.09
2010-04-15,30.44
2010-04-16,30.79
2010-04-19,29.915
2010-04-20,29.04
2010-04-21,28.69
2010-04-22,29.04
2010-04-23,29.04
2010-04-26,29.39
2010-04-27,30.09
2010-04-28,30.09
2010-04-29,30.09
2010-04-30,29.39
2010-05-03,29.565
2010-05-04,29.74
2010-05-05,28.34
2010-05-06,28.34
2010-05-07,27.99
2010-05-10,28.69
2010-05-11,29.39
2010-05-12,29.74
2010-05-13,29.74
2010-05-14,29.74
2010-05-17,30.09
2010-05-18,30.09
2010-05-19,30.09
2010-05-20,29.74
2010-05-21,29.74
2010-05-24,30.09
2010-05-25,28.69
2010-05-26,29.39
2010-05-27,29.74
2010-05-28,30.44
2010-05-31,30.44
2010-06-01,31.14
2010-06-02,32.54
2010-06-03,32.54
2010-06-04,32.19
2010-06-07,31.49
2010-06-08,31.14
2010-06-09,31.14
2010-06-10,30.44
2010-06-11,30.79
2010-06-14,30.965
2010-06-15,31.14
2010-06-16,31.14
2010-06-17,31.49
2010-06-18,31.84
2010-06-21,32.19
2010-06-22,32.89
2010-06-23,32.89
2010-06-24,32.89
2010-06-25,33.24
2010-06-28,33.24
2010-06-29,33.59
2010-06-30,32.89
2010-07-01,32.19
2010-07-02,32.19
2010-07-05,32.54
2010-07-06,33.59
2010-07-07,33.59
2010-07-08,33.94
2010-07-09,33.59
2010-07-12,33.59
2010-07-13,33.94
2010-07-14,33.94
2010-07-15,33.24
2010-07-16,33.24
2010-07-19,32.89
2010-07-20,32.89
2010-07-21,32.89
2010-07-22,32.89
2010-07-23,32.54
2010-07-26,32.54
2010-07-27,32.61
2010-07-28,32.85
2010-07-29,32.71
2010-07-30,32.68
2010-08-02,32.64
2010-08-03,33.59
2010-08-04,34.15
2010-08-05,33.87
2010-08-06,33.59
2010-08-09,33.83
2010-08-10,33.59
2010-08-11,33.59
2010-08-12,33.48
2010-08-13,33.55
2010-08-16,33.8
2010-08-17,33.83
2010-08-18,34.11
2010-08-19,35.69
2010-08-20,35.51
2010-08-23,35.34
2010-08-24,35.09
2010-08-25,35.41
2010-08-26,35.83
2010-08-27,36.46
2010-08-30,36.405
2010-08-31,36.35
2010-09-01,36.7
2010-09-02,37.68
2010-09-03,38.48
2010-09-06,39.04
2010-09-07,39.25
2010-09-08,40.51
2010-09-09,41.98
2010-09-10,42.26
2010-09-13,42.54
2010-09-14,42.65
2010-09-15,42.33
2010-09-16,41.98
2010-09-17,41.84
2010-09-20,42.05
2010-09-21,42.68
2010-09-22,42.44
2010-09-23,42.26
2010-09-24,41.98
2010-09-27,42.12
2010-09-28,42.12
2010-09-29,42.26
2010-09-30,42.19
2010-10-01,42.02
2010-10-04,42.4
2010-10-05,42.33
2010-10-06,42.37
2010-10-07,42.33
2010-10-08,41.95
2010-10-11,41.95
2010-10-12,41.81
2010-10-13,41.84
2010-10-14,42.02
2010-10-15,41.98
2010-10-18,41.98
2010-10-19,41.95
2010-10-20,41.95
2010-10-21,41.98
2010-10-22,41.98
2010-10-25,41.98
2010-10-26,41.98
