Date,Price_Merged
2012-03-12,29.6
2012-03-13,28.5
2012-03-14,29.5
2012-03-15,28.45
2012-03-16,42.55
2012-03-19,39.0
2012-03-20,35.0
2012-03-21,35.5
2012-03-22,35.65
2012-03-23,35.5
2012-03-26,36.0
2012-03-27,34.1
2012-03-28,33.8
2012-03-29,33.5
2012-03-30,33.45
2012-04-02,33.6
2012-04-03,31.0
2012-04-04,30.3
2012-04-05,30.1625
2012-04-06,30.025
2012-04-09,29.8875
2012-04-10,29.75
2012-04-11,27.5
2012-04-12,25.5
2012-04-13,21.0
2012-04-16,19.5
2012-04-17,15.98
2012-04-18,13.5
2012-04-19,11.8
2012-04-20,15.0
2012-04-23,13.08
2012-04-24,11.8
2012-04-25,11.6
2012-04-26,11.64
2012-04-27,12.0
2012-04-30,12.0
2012-05-01,10.505
2012-05-02,9.01
2012-05-03,9.4
2012-05-04,9.7
2012-05-07,9.6
2012-05-08,9.75
2012-05-09,9.5
2012-05-10,9.1
2012-05-11,9.0
2012-05-14,8.21
2012-05-15,8.46
2012-05-16,8.45
2012-05-17,8.32
2012-05-18,8.31
2012-05-21,8.24
2012-05-22,8.42
2012-05-23,8.41
2012-05-24,8.34
2012-05-25,8.5
2012-05-28,8.5
2012-05-29,8.78
2012-05-30,9.0
2012-05-31,8.98
2012-06-01,8.88
2012-06-04,8.37
2012-06-05,8.4
2012-06-06,8.7
2012-06-07,8.7
2012-06-08,8.74
2012-06-11,8.66
2012-06-12,8.495000000000001
2012-06-13,8.33
2012-06-14,8.23
2012-06-15,8.25
2012-06-18,8.33
2012-06-19,8.4
2012-06-20,8.4
2012-06-21,8.41
2012-06-22,8.43
2012-06-25,8.9
2012-06-26,8.87
2012-06-27,9.29
2012-06-28,9.2
2012-06-29,9.51
2012-07-02,9.5
2012-07-03,9.9
2012-07-04,9.96
2012-07-05,10.2
2012-07-06,10.46
2012-07-09,10.66
2012-07-10,10.5
2012-07-11,10.28
2012-07-12,10.48
2012-07-13,10.4
2012-07-16,10.16
2012-07-17,10.2
2012-07-18,10.06
2012-07-19,9.79
2012-07-20,9.88
2012-07-23,9.58
2012-07-24,9.95
2012-07-25,9.98
2012-07-26,9.99
2012-07-27,9.99
2012-07-30,10.04
2012-07-31,10.2
2012-08-01,10.14
2012-08-02,10.06
2012-08-03,10.0
2012-08-06,10.02
2012-08-07,9.985
2012-08-08,9.95
2012-08-09,9.85
2012-08-10,10.0
2012-08-13,9.85
2012-08-14,9.89
2012-08-15,9.81
2012-08-16,9.83
2012-08-17,10.06
2012-08-20,10.023333333333332
2012-08-21,9.986666666666666
2012-08-22,9.95
2012-08-23,9.92
2012-08-24,9.8
2012-08-27,9.81
2012-08-28,9.82
2012-08-29,9.8
2012-08-30,9.79
2012-08-31,9.62
2012-09-03,9.68
2012-09-04,9.5
2012-09-05,9.5
2012-09-06,9.49
2012-09-07,9.65
2012-09-10,9.6
2012-09-11,9.7
2012-09-12,10.0
2012-09-13,10.14
2012-09-14,10.04
2012-09-17,9.97
2012-09-18,10.08
2012-09-19,10.0
2012-09-20,9.97
2012-09-21,10.0
2012-09-24,10.02
2012-09-25,10.48
2012-09-26,10.9
2012-09-27,11.16
2012-09-28,11.2
2012-10-01,11.14
2012-10-02,11.34
2012-10-03,11.72
2012-10-04,12.24
2012-10-05,12.58
2012-10-08,12.78
2012-10-09,12.02
2012-10-10,12.34
2012-10-11,12.68
2012-10-12,13.2
2012-10-15,13.8
2012-10-16,14.42
2012-10-17,13.38
2012-10-18,13.28
2012-10-19,13.2
2012-10-22,13.5
2012-10-23,13.36
2012-10-24,13.1
2012-10-25,13.22
2012-10-26,13.33
2012-10-29,13.44
2012-10-30,13.72
2012-10-31,14.1
2012-11-01,14.326666666666666
2012-11-02,14.553333333333333
2012-11-05,14.78
2012-11-06,14.6
2012-11-07,14.36
2012-11-08,14.16
2012-11-09,14.1
2012-11-12,13.82
2012-11-13,13.8
2012-11-14,13.94
2012-11-15,13.78
2012-11-16,13.52
2012-11-19,13.36
2012-11-20,13.5
2012-11-21,14.14
2012-11-22,13.88
2012-11-23,13.96
2012-11-26,13.98
2012-11-27,13.96
2012-11-28,13.72
2012-11-29,13.46
2012-11-30,13.66
2012-12-03,13.86
2012-12-04,14.0
2012-12-05,13.76
2012-12-06,13.8
2012-12-07,13.5
2012-12-10,13.38
2012-12-11,13.06
2012-12-12,13.2
2012-12-13,13.26
2012-12-14,13.1
2012-12-17,12.86
2012-12-18,12.62
2012-12-19,12.84
2012-12-20,13.06
2012-12-21,12.98
2012-12-24,13.1
2012-12-25,13.22
2012-12-26,13.34
2012-12-27,13.1
2012-12-28,13.2
2012-12-31,13.326666666666666
2013-01-01,13.453333333333331
2013-01-02,13.58
2013-01-03,13.68
2013-01-04,13.7
2013-01-07,13.7
2013-01-08,13.5
2013-01-09,13.4
2013-01-10,12.92
2013-01-11,12.96
2013-01-14,13.16
2013-01-15,12.98
2013-01-16,12.98
2013-01-17,13.1
2013-01-18,13.12
2013-01-21,13.28
2013-01-22,13.06
2013-01-23,12.96
2013-01-24,13.0
2013-01-25,13.0
2013-01-28,12.96
2013-01-29,12.98
2013-01-30,13.0
2013-01-31,13.04
2013-02-01,13.76
2013-02-04,14.22
2013-02-05,14.1
2013-02-06,13.96
2013-02-07,14.14
2013-02-08,14.14
2013-02-11,14.14
2013-02-12,14.06
2013-02-13,14.02
2013-02-14,14.02
2013-02-15,14.06
2013-02-18,14.16
2013-02-19,14.08
2013-02-20,14.0
2013-02-21,13.94
2013-02-22,13.76
2013-02-25,13.9
2013-02-26,13.9
2013-02-27,14.4
2013-02-28,14.78
2013-03-01,15.4
2013-03-04,16.58
2013-03-05,15.96
2013-03-06,16.02
2013-03-07,15.4
2013-03-08,15.3
2013-03-11,15.6
2013-03-12,14.96
2013-03-13,15.06
2013-03-14,14.74
2013-03-15,14.0
2013-03-18,13.66
2013-03-19,13.4
2013-03-20,13.0
2013-03-21,13.1
2013-03-22,13.6
2013-03-25,14.1
2013-03-26,14.0
2013-03-27,14.24
2013-03-28,14.113333333333332
2013-03-29,13.986666666666666
2013-04-01,13.86
2013-04-02,13.92
2013-04-03,13.98
2013-04-04,13.88
2013-04-05,13.7
2013-04-08,13.9
2013-04-09,13.89
2013-04-10,13.88
2013-04-11,13.9
2013-04-12,13.92
2013-04-15,13.72
2013-04-16,13.48
2013-04-17,13.7
2013-04-18,13.4
2013-04-19,12.98
