Date,Price_Merged
2012-03-12,70.7
2012-03-13,73.79
2012-03-14,74.08
2012-03-15,73.88
2012-03-16,73.1
2012-03-19,73.88
2012-03-20,74.03
2012-03-21,72.12
2012-03-22,74.03
2012-03-23,73.59
2012-03-26,71.63
2012-03-27,71.14
2012-03-28,70.65
2012-03-29,71.48
2012-03-30,72.61
2012-04-02,74.28
2012-04-03,71.63
2012-04-04,70.65
2012-04-05,70.89500000000001
2012-04-06,71.14
2012-04-09,71.38499999999999
2012-04-10,71.63
2012-04-11,71.14
2012-04-12,71.58
2012-04-13,72.36
2012-04-16,73.3
2012-04-17,73.59
2012-04-18,73.69
2012-04-19,73.59
2012-04-20,74.08
2012-04-23,74.72
2012-04-24,73.34
2012-04-25,73.2
2012-04-26,73.49
2012-04-27,71.14
2012-04-30,72.31
2012-05-01,72.92500000000001
2012-05-02,73.54
2012-05-03,73.54
2012-05-04,71.73
2012-05-07,69.71
2012-05-08,70.11
2012-05-09,70.74
2012-05-10,71.09
2012-05-11,69.86
2012-05-14,69.67
2012-05-15,68.34
2012-05-16,65.25
2012-05-17,66.97
2012-05-18,64.76
2012-05-21,65.94
2012-05-22,65.54
2012-05-23,65.74
2012-05-24,63.97
2012-05-25,64.51
2012-05-28,65.74
2012-05-29,67.7
2012-05-30,66.62
2012-05-31,65.74
2012-06-01,66.72
2012-06-04,64.76
2012-06-05,65.74
2012-06-06,66.57
2012-06-07,67.41
2012-06-08,66.72
2012-06-11,67.46
2012-06-12,67.72999999999999
2012-06-13,68.0
2012-06-14,67.65
2012-06-15,67.31
2012-06-18,68.68
2012-06-19,68.68
2012-06-20,70.16
2012-06-21,70.16
2012-06-22,71.63
2012-06-25,72.02
2012-06-26,71.97
2012-06-27,72.22
2012-06-28,73.0
2012-06-29,73.2
2012-07-02,74.08
2012-07-03,73.59
2012-07-04,73.64
2012-07-05,73.64
2012-07-06,74.52
2012-07-09,73.15
2012-07-10,73.1
2012-07-11,73.05
2012-07-12,71.73
2012-07-13,70.7
2012-07-16,72.07
2012-07-17,71.78
2012-07-18,71.78
2012-07-19,70.89
2012-07-20,71.63
2012-07-23,71.14
2012-07-24,70.65
2012-07-25,70.65
2012-07-26,70.35
2012-07-27,70.74
2012-07-30,72.12
2012-07-31,71.24
2012-08-01,72.51
2012-08-02,73.1
2012-08-03,73.64
2012-08-06,73.2
2012-08-07,74.42500000000001
2012-08-08,75.65
2012-08-09,75.41
2012-08-10,74.87
2012-08-13,74.67
2012-08-14,74.67
2012-08-15,74.67
2012-08-16,73.98
2012-08-17,72.81
2012-08-20,72.10666666666667
2012-08-21,71.40333333333334
2012-08-22,70.7
2012-08-23,72.36
2012-08-24,70.74
2012-08-27,71.185
2012-08-28,71.63
2012-08-29,72.02
2012-08-30,71.43
2012-08-31,73.59
2012-09-03,72.51
2012-09-04,71.04
2012-09-05,71.53
2012-09-06,71.38
2012-09-07,71.82
2012-09-10,71.53
2012-09-11,72.12
2012-09-12,72.07
2012-09-13,74.52
2012-09-14,75.6
2012-09-17,76.98
2012-09-18,75.45
2012-09-19,76.04
2012-09-20,75.65
2012-09-21,77.12
2012-09-24,76.98
2012-09-25,76.93
2012-09-26,76.73
2012-09-27,77.02
2012-09-28,78.3
2012-10-01,77.81
2012-10-02,78.59
2012-10-03,78.69
2012-10-04,79.38
2012-10-05,79.08
2012-10-08,77.61
2012-10-09,77.02
2012-10-10,76.73
2012-10-11,76.14
2012-10-12,76.14
2012-10-15,77.07
2012-10-16,78.69
2012-10-17,81.73
2012-10-18,80.56
2012-10-19,81.39
2012-10-22,80.9
2012-10-23,81.93
2012-10-24,80.95
2012-10-25,81.44
2012-10-26,81.49000000000001
2012-10-29,81.54
2012-10-30,81.73
2012-10-31,79.48
2012-11-01,80.59
2012-11-02,81.7
2012-11-05,82.81
2012-11-06,83.4
2012-11-07,83.89
2012-11-08,83.89
2012-11-09,83.89
2012-11-12,83.84
2012-11-13,83.89
2012-11-14,83.7
2012-11-15,83.6
2012-11-16,83.79
2012-11-19,84.09
2012-11-20,86.79
2012-11-21,87.55000000000001
2012-11-22,88.31
2012-11-23,91.06
2012-11-26,94.2
2012-11-27,94.15
2012-11-28,92.28
2012-11-29,87.33
2012-11-30,90.27
2012-12-03,93.21
2012-12-04,94.2
2012-12-05,94.1
2012-12-06,93.7
2012-12-07,93.46
2012-12-10,92.82
2012-12-11,93.61
2012-12-12,93.75
2012-12-13,94.78
2012-12-14,92.82
2012-12-17,90.22
2012-12-18,90.32
2012-12-19,93.21
2012-12-20,93.26
2012-12-21,93.66
2012-12-24,93.69
2012-12-25,93.72
2012-12-26,93.75
2012-12-27,94.0
2012-12-28,93.21
2012-12-31,93.21
2013-01-01,93.21
2013-01-02,93.21
2013-01-03,94.98
2013-01-04,96.01
2013-01-07,100.08
2013-01-08,100.08
2013-01-09,100.67
2013-01-10,96.65
2013-01-11,97.63
2013-01-14,99.3
2013-01-15,96.26
2013-01-16,98.12
2013-01-17,97.14
2013-01-18,96.94
2013-01-21,96.06
2013-01-22,96.65
2013-01-23,96.84
2013-01-24,98.12
2013-01-25,103.03
2013-01-28,102.83
2013-01-29,103.22
2013-01-30,104.01
2013-01-31,98.12
2013-02-01,100.87
2013-02-04,100.87
2013-02-05,102.83
2013-02-06,102.05
2013-02-07,102.05
2013-02-08,101.06
2013-02-11,100.08
2013-02-12,101.65
2013-02-13,104.99
2013-02-14,104.99
2013-02-15,105.58
2013-02-18,105.48
2013-02-19,106.56
2013-02-20,106.66
2013-02-21,107.34
2013-02-22,111.86
2013-02-25,108.42
2013-02-26,105.58
2013-02-27,103.81
2013-02-28,104.01
2013-03-01,104.99
2013-03-04,106.95
2013-03-05,106.95
2013-03-06,108.91
2013-03-07,106.46
2013-03-08,107.93
2013-03-11,107.93
2013-03-12,107.93
2013-03-13,109.89
2013-03-14,105.48
2013-03-15,102.05
2013-03-18,104.01
2013-03-19,101.55
2013-03-20,100.57
2013-03-21,102.44
2013-03-22,103.71
2013-03-25,103.91
2013-03-26,104.3
2013-03-27,107.93
2013-03-28,107.60333333333334
2013-03-29,107.27666666666669
2013-04-01,106.95
2013-04-02,102.54
2013-04-03,103.61
2013-04-04,102.44
2013-04-05,100.28
2013-04-08,101.16
2013-04-09,101.455
2013-04-10,101.75
2013-04-11,101.95
2013-04-12,101.85
2013-04-15,101.36
2013-04-16,101.06
2013-04-17,101.85
2013-04-18,101.36
2013-04-19,102.05
2013-04-22,103.71
2013-04-23,103.52
2013-04-24,102.05
2013-04-25,101.06
2013-04-26,100.97
2013-04-29,101.55
2013-04-30,100.87
2013-05-01,100.87
2013-05-02,100.87
2013-05-03,101.55
2013-05-06,101.16
2013-05-07,101.36
2013-05-08,101.06
2013-05-09,101.16
2013-05-10,101.06
2013-05-13,101.8
2013-05-14,102.54
2013-05-15,103.81
2013-05-16,103.91
2013-05-17,104.6
2013-05-20,104.69
2013-05-21,103.91
2013-05-22,103.42
2013-05-23,101.75
2013-05-24,99.69
2013-05-27,99.1
2013-05-28,99.1
2013-05-29,101.06
2013-05-30,97.34
2013-05-31,100.57
2013-06-03,96.16
2013-06-04,92.72
2013-06-05,90.76
2013-06-06,91.01
2013-06-07,92.33
2013-06-10,94.69
2013-06-11,90.76
2013-06-12,87.13
2013-06-13,83.5
2013-06-14,84.38
2013-06-17,86.35
2013-06-18,89.53
2013-06-19,91.45
2013-06-20,89.39
2013-06-21,89.29
2013-06-24,87.33
2013-06-25,86.35
2013-06-26,89.29
2013-06-27,91.64
2013-06-28,94.2
2013-07-01,92.23
2013-07-02,91.45
2013-07-03,90.37
2013-07-04,90.37
2013-07-05,90.27
2013-07-08,88.31
2013-07-09,88.6
2013-07-10,90.27
2013-07-11,90.17
2013-07-12,92.04
2013-07-15,90.37
2013-07-16,90.66
2013-07-17,90.27
2013-07-18,90.76
2013-07-19,90.27
2013-07-22,90.27
2013-07-23,92.23
2013-07-24,92.53
2013-07-25,94.05
2013-07-26,93.46
2013-07-29,90.76
2013-07-30,93.12
2013-07-31,92.33
2013-08-01,93.31
2013-08-02,93.02
2013-08-05,93.12
2013-08-06,90.27
2013-08-07,90.27
2013-08-08,90.47
2013-08-09,91.255
2013-08-12,92.04
2013-08-13,92.23
2013-08-14,93.21
2013-08-15,93.7
2013-08-16,92.63
2013-08-19,91.33
2013-08-20,90.03
2013-08-21,88.73
2013-08-22,87.43
2013-08-23,88.31
2013-08-26,87.82
2013-08-27,87.33
2013-08-28,87.33
2013-08-29,90.07
2013-08-30,90.27
2013-09-02,90.27
2013-09-03,91.2
2013-09-04,89.98
2013-09-05,90.71
2013-09-06,90.32
2013-09-09,90.37
2013-09-10,90.56
2013-09-11,92.72
2013-09-12,92.14
2013-09-13,92.48
2013-09-16,94.69
2013-09-17,95.18
2013-09-18,95.18
2013-09-19,98.12
2013-09-20,97.63
2013-09-23,98.12
2013-09-24,99.1
2013-09-25,99.1
2013-09-26,99.1
2013-09-27,97.14
2013-09-30,94.59
2013-10-01,94.2
2013-10-02,99.1
2013-10-03,98.12
2013-10-04,98.41
2013-10-07,99.0
2013-10-08,98.22
2013-10-09,98.12
2013-10-10,98.32
2013-10-11,99.69
2013-10-14,98.61
2013-10-15,99.295
2013-10-16,99.98
2013-10-17,101.06
2013-10-18,102.05
2013-10-21,102.34
2013-10-22,103.03
2013-10-23,103.03
2013-10-24,103.03
2013-10-25,98.32
2013-10-28,98.22
2013-10-29,98.12
2013-10-30,101.06
2013-10-31,98.12
2013-11-01,97.63
2013-11-04,97.14
2013-11-05,97.63
2013-11-06,98.12
2013-11-07,94.2
2013-11-08,92.14
2013-11-11,88.8
2013-11-12,88.8
2013-11-13,89.29
2013-11-14,89.39
2013-11-15,90.17
2013-11-18,92.23
2013-11-19,92.23
2013-11-20,92.23
2013-11-21,91.64
2013-11-22,90.86
2013-11-25,90.27
2013-11-26,89.98
2013-11-27,90.07
2013-11-28,90.22
2013-11-29,90.27
2013-12-02,90.17
2013-12-03,91.4
2013-12-04,90.47
2013-12-05,90.27
2013-12-06,89.29
2013-12-09,89.29
2013-12-10,87.28
2013-12-11,87.23
2013-12-12,83.26
2013-12-13,83.21
2013-12-16,85.07
2013-12-17,87.72
2013-12-18,87.57
2013-12-19,85.56
2013-12-20,80.95
2013-12-23,83.4
2013-12-24,83.69666666666667
2013-12-25,83.99333333333334
2013-12-26,84.29
2013-12-27,83.4
2013-12-30,83.89
2013-12-31,84.38
2014-01-01,84.87
2014-01-02,85.36
2014-01-03,86.0
2014-01-06,85.86
2014-01-07,85.76
2014-01-08,85.66
2014-01-09,84.53
2014-01-10,82.72
2014-01-13,84.0
2014-01-14,83.2
2014-01-15,84.2
2014-01-16,84.2
2014-01-17,84.2
2014-01-20,85.5
2014-01-21,86.05
2014-01-22,88.9
2014-01-23,89.75
2014-01-24,89.0
2014-01-27,87.9
2014-01-28,88.0
2014-01-29,88.4
2014-01-30,88.8
2014-01-31,88.6
2014-02-03,88.4
2014-02-04,86.55
2014-02-05,86.7
2014-02-06,85.9
2014-02-07,87.8
2014-02-10,87.4
2014-02-11,87.6
2014-02-12,88.2
2014-02-13,88.25
2014-02-14,88.25
2014-02-17,88.5
2014-02-18,89.0
2014-02-19,90.5
2014-02-20,91.2
2014-02-21,91.0
2014-02-24,91.0
2014-02-25,91.0
2014-02-26,91.15
2014-02-27,90.5
2014-02-28,90.3
2014-03-03,89.6
2014-03-04,90.0
2014-03-05,91.25
2014-03-06,92.3
2014-03-07,92.0
2014-03-10,92.3
2014-03-11,92.05
2014-03-12,91.8
2014-03-13,91.0
2014-03-14,89.2
2014-03-17,89.3
2014-03-18,89.45
2014-03-19,89.5
2014-03-20,89.0
2014-03-21,87.9
2014-03-24,89.1
2014-03-25,86.0
2014-03-26,86.5
2014-03-27,86.5
2014-03-28,85.25
2014-03-31,85.9
2014-04-01,88.5
2014-04-02,89.0
2014-04-03,89.1
2014-04-04,88.05
2014-04-07,92.0
2014-04-08,92.0
2014-04-09,92.55
2014-04-10,93.1
2014-04-11,93.2
2014-04-14,93.05
2014-04-15,95.0
2014-04-16,95.1
2014-04-17,95.35
2014-04-18,95.6
2014-04-21,95.85
2014-04-22,96.15
2014-04-23,95.4
2014-04-24,93.5
2014-04-25,93.45
2014-04-28,91.5
2014-04-29,90.65
2014-04-30,90.8
2014-05-01,91.05
2014-05-02,91.3
2014-05-05,91.7
2014-05-06,92.2
2014-05-07,91.9
2014-05-08,91.4
2014-05-09,92.2
2014-05-12,90.5
2014-05-13,89.8
2014-05-14,88.8
2014-05-15,88.3
2014-05-16,89.0
2014-05-19,88.95
2014-05-20,89.0
2014-05-21,87.8
2014-05-22,88.9
2014-05-23,87.7
2014-05-26,87.9
2014-05-27,87.8
2014-05-28,87.85
2014-05-29,87.6
2014-05-30,84.5
2014-06-02,85.65
2014-06-03,86.8
2014-06-04,86.9
2014-06-05,86.8
2014-06-06,86.8
2014-06-09,86.7
2014-06-10,86.3
2014-06-11,87.0
2014-06-12,87.55
2014-06-13,88.1
2014-06-16,88.6
2014-06-17,88.25
2014-06-18,87.85
2014-06-19,87.4
2014-06-20,89.25
2014-06-23,89.65
2014-06-24,90.25
2014-06-25,91.15
2014-06-26,92.0
2014-06-27,91.1
2014-06-30,91.0
2014-07-01,91.8
2014-07-02,93.5
2014-07-03,95.05
2014-07-04,96.25
2014-07-07,97.55
2014-07-08,96.75
2014-07-09,96.45
2014-07-10,96.4
2014-07-11,95.95
2014-07-14,95.0
2014-07-15,94.5
2014-07-16,95.0
2014-07-17,95.5
2014-07-18,96.0
2014-07-21,96.0
2014-07-22,95.8
2014-07-23,96.0
2014-07-24,94.75
2014-07-25,95.2
2014-07-28,94.7
2014-07-29,95.1
2014-07-30,95.5
2014-07-31,95.0
2014-08-01,95.8
2014-08-04,97.0
2014-08-05,96.0
2014-08-06,96.25
2014-08-07,96.35
2014-08-08,95.9
2014-08-11,96.75
2014-08-12,96.75
2014-08-13,96.7
2014-08-14,97.0
2014-08-15,94.5
2014-08-18,94.9
2014-08-19,95.5
2014-08-20,96.55
2014-08-21,96.525
2014-08-22,96.5
2014-08-25,96.525
2014-08-26,96.55
2014-08-27,97.0
2014-08-28,97.0
2014-08-29,95.0
2014-09-01,95.1
2014-09-02,94.85
2014-09-03,95.7
2014-09-04,95.2
2014-09-05,95.5
2014-09-08,96.45
2014-09-09,96.5
2014-09-10,96.8
2014-09-11,96.7
2014-09-12,98.05
2014-09-15,97.25
2014-09-16,98.5
2014-09-17,99.5
2014-09-18,101.0
2014-09-19,101.0
2014-09-22,101.0
2014-09-23,100.4
