Date,Price_Merged
2012-04-04,54.55
2012-04-05,54.25
2012-04-06,53.95
2012-04-09,53.65
2012-04-10,53.35
2012-04-11,53.35
2012-04-12,53.0
2012-04-13,54.4
2012-04-16,58.0
2012-04-17,57.4
2012-04-18,59.2
2012-04-19,57.6
2012-04-20,57.8
2012-04-23,58.9
2012-04-24,58.9
2012-04-25,63.0
2012-04-26,60.55
2012-04-27,60.5
2012-04-30,59.7
2012-05-01,60.85
2012-05-02,62.0
2012-05-03,62.4
2012-05-04,62.35
2012-05-07,62.05
2012-05-08,63.05
2012-05-09,62.25
2012-05-10,63.4
2012-05-11,62.1
2012-05-14,61.35
2012-05-15,60.8
2012-05-16,59.0
2012-05-17,61.0
2012-05-18,58.0
2012-05-21,57.0
2012-05-22,58.1
2012-05-23,58.6
2012-05-24,59.25
2012-05-25,59.25
2012-05-28,58.75
2012-05-29,58.4
2012-05-30,56.95
2012-05-31,57.95
2012-06-01,55.35
2012-06-04,52.0
2012-06-05,53.6
2012-06-06,55.0
2012-06-07,55.2
2012-06-08,56.0
2012-06-11,55.9
2012-06-12,55.95
2012-06-13,56.0
2012-06-14,54.7
2012-06-15,54.9
2012-06-18,55.0
2012-06-19,54.95
2012-06-20,55.05
2012-06-21,55.0
2012-06-22,55.0
2012-06-25,55.1
2012-06-26,56.7
2012-06-27,57.75
2012-06-28,57.0
2012-06-29,56.9
2012-07-02,57.55
2012-07-03,58.25
2012-07-04,59.5
2012-07-05,59.5
2012-07-06,59.2
2012-07-09,58.9
2012-07-10,58.7
2012-07-11,59.5
2012-07-12,58.5
2012-07-13,58.1
2012-07-16,59.4
2012-07-17,58.7
2012-07-18,58.9
2012-07-19,58.8
2012-07-20,57.9
2012-07-23,56.3
2012-07-24,57.05
2012-07-25,57.5
2012-07-26,57.0
2012-07-27,57.0
2012-07-30,57.5
2012-07-31,58.6
2012-08-01,58.0
2012-08-02,57.85
2012-08-03,57.6
2012-08-06,57.1
2012-08-07,57.150000000000006
2012-08-08,57.2
2012-08-09,57.7
2012-08-10,58.5
2012-08-13,59.0
2012-08-14,58.6
2012-08-15,58.65
2012-08-16,58.85
2012-08-17,58.2
2012-08-20,57.96666666666667
2012-08-21,57.73333333333333
2012-08-22,57.5
2012-08-23,57.5
2012-08-24,57.15
2012-08-27,57.375
2012-08-28,57.6
2012-08-29,57.5
2012-08-30,57.0
2012-08-31,57.9
2012-09-03,57.75
2012-09-04,56.9
