Date,Price_Merged
2012-04-13,3.86
2012-04-16,3.69
2012-04-17,3.52
2012-04-18,3.52
2012-04-19,3.6
2012-04-20,3.5
2012-04-23,3.5
2012-04-24,3.53
2012-04-25,3.53
2012-04-26,3.5
2012-04-27,3.5
2012-04-30,3.79
2012-05-01,3.738
2012-05-02,3.686
2012-05-03,3.634
2012-05-04,3.582
2012-05-07,3.53
2012-05-08,3.53
2012-05-09,3.55
2012-05-10,3.54
2012-05-11,3.53
2012-05-14,3.52
2012-05-15,3.52
2012-05-16,3.52
2012-05-17,3.52
2012-05-18,3.52
2012-05-21,3.52
2012-05-22,3.52
2012-05-23,3.52
2012-05-24,3.52
2012-05-25,3.52
2012-05-28,3.52
2012-05-29,3.53
2012-05-30,3.55
2012-05-31,3.54
2012-06-01,3.53
2012-06-04,3.55
2012-06-05,3.55
2012-06-06,3.5625
2012-06-07,3.575
2012-06-08,3.5875
2012-06-11,3.6
2012-06-12,3.725
2012-06-13,3.85
2012-06-14,3.8
2012-06-15,3.8
2012-06-18,3.8
2012-06-19,3.54
2012-06-20,3.5700000000000003
2012-06-21,3.6
2012-06-22,3.57
2012-06-25,3.57
2012-06-26,3.57
2012-06-27,3.57
2012-06-28,3.57
2012-06-29,3.77
2012-07-02,3.7
2012-07-03,3.6975
2012-07-04,3.695
2012-07-05,3.6925
2012-07-06,3.69
2012-07-09,3.69
2012-07-10,3.69
2012-07-11,3.69
2012-07-12,3.69
2012-07-13,3.69
2012-07-16,3.6925
2012-07-17,3.695
2012-07-18,3.6975
2012-07-19,3.7
2012-07-20,3.666666666666667
2012-07-23,3.633333333333333
2012-07-24,3.6
2012-07-25,3.54
2012-07-26,3.53
2012-07-27,3.532
2012-07-30,3.534
2012-07-31,3.536
2012-08-01,3.538
2012-08-02,3.54
2012-08-03,3.54
2012-08-06,3.53
2012-08-07,3.533333333333333
2012-08-08,3.536666666666666
2012-08-09,3.54
2012-08-10,3.5425
2012-08-13,3.545
2012-08-14,3.5475
2012-08-15,3.55
2012-08-16,3.5483333333333333
2012-08-17,3.5466666666666664
2012-08-20,3.545
2012-08-21,3.543333333333333
2012-08-22,3.5416666666666665
2012-08-23,3.54
2012-08-24,3.54
2012-08-27,3.54
2012-08-28,3.54
2012-08-29,3.54
2012-08-30,3.54
2012-08-31,3.54
2012-09-03,3.5385714285714287
2012-09-04,3.537142857142857
2012-09-05,3.5357142857142856
2012-09-06,3.5342857142857143
2012-09-07,3.532857142857143
2012-09-10,3.531428571428571
2012-09-11,3.53
2012-09-12,3.53
2012-09-13,3.53
2012-09-14,3.53
2012-09-17,3.7
2012-09-18,4.0
2012-09-19,4.1
2012-09-20,4.0325
2012-09-21,3.965
2012-09-24,3.8975
2012-09-25,3.83
2012-09-26,3.85
2012-09-27,3.87
2012-09-28,4.0
2012-10-01,3.83
2012-10-02,4.05
2012-10-03,3.84
2012-10-04,4.02
2012-10-05,4.2
2012-10-08,4.045
2012-10-09,3.89
2012-10-10,3.94
2012-10-11,3.94
2012-10-12,3.935
2012-10-15,3.93
2012-10-16,4.0
2012-10-17,4.0
2012-10-18,4.0
2012-10-19,3.975
2012-10-22,3.95
2012-10-23,3.905
2012-10-24,3.86
2012-10-25,3.883333333333333
2012-10-26,3.9066666666666663
2012-10-29,3.93
2012-10-30,3.965
2012-10-31,4.0
2012-11-01,4.083333333333333
2012-11-02,4.166666666666667
2012-11-05,4.25
2012-11-06,4.23
2012-11-07,4.21
2012-11-08,4.19
2012-11-09,4.17
2012-11-12,4.15
2012-11-13,4.12
2012-11-14,4.09
2012-11-15,4.06
2012-11-16,4.035
2012-11-19,4.01
2012-11-20,4.01
2012-11-21,4.01
2012-11-22,4.06
2012-11-23,4.706666666666666
2012-11-26,5.3533333333333335
2012-11-27,6.0
2012-11-28,4.01
2012-11-29,4.0075
2012-11-30,4.005
2012-12-03,4.0025
2012-12-04,4.0
