Date,Price_Merged
2012-04-20,1103.0
2012-04-23,1110.0
2012-04-24,1115.0
2012-04-25,1110.0
2012-04-26,1120.0
2012-04-27,1120.0
2012-04-30,1122.0
2012-05-01,1112.0
2012-05-02,1102.0
2012-05-03,1111.0
2012-05-04,1121.0
2012-05-07,1114.0
2012-05-08,1105.0
2012-05-09,1090.0
2012-05-10,1095.0
2012-05-11,1055.0
2012-05-14,1080.0
2012-05-15,1050.0
2012-05-16,1000.0
2012-05-17,1050.0
2012-05-18,1020.0
2012-05-21,1074.0
2012-05-22,1070.0
2012-05-23,1030.0
2012-05-24,1045.0
2012-05-25,1070.0
2012-05-28,1090.0
2012-05-29,1100.0
2012-05-30,1084.0
2012-05-31,1130.0
2012-06-01,1097.0
2012-06-04,1040.0
2012-06-05,1050.0
2012-06-06,1060.0
2012-06-07,1060.0
2012-06-08,1062.0
2012-06-11,1061.0
2012-06-12,1076.5
2012-06-13,1092.0
2012-06-14,1020.0
2012-06-15,1000.0
2012-06-18,1040.0
2012-06-19,1070.0
2012-06-20,1056.0
2012-06-21,1056.0
2012-06-22,1060.0
2012-06-25,1080.0
2012-06-26,1115.0
2012-06-27,1123.0
2012-06-28,1125.0
2012-06-29,1115.0
2012-07-02,1120.0
2012-07-03,1140.0
2012-07-04,1165.0
2012-07-05,1164.0
2012-07-06,1164.0
2012-07-09,1149.0
2012-07-10,1120.0
2012-07-11,1111.0
2012-07-12,1115.0
2012-07-13,1121.0
2012-07-16,1130.0
2012-07-17,1134.0
2012-07-18,1139.0
2012-07-19,1148.0
2012-07-20,1135.0
2012-07-23,1149.0
2012-07-24,1180.0
2012-07-25,1235.0
2012-07-26,1190.0
2012-07-27,1179.0
2012-07-30,1186.0
2012-07-31,1147.0
2012-08-01,1125.0
2012-08-02,1135.0
2012-08-03,1150.0
2012-08-06,1150.0
2012-08-07,1143.5
2012-08-08,1137.0
2012-08-09,1120.0
2012-08-10,1130.0
2012-08-13,1160.0
2012-08-14,1170.0
2012-08-15,1150.0
2012-08-16,1144.0
2012-08-17,1125.0
2012-08-20,1106.6666666666667
2012-08-21,1088.3333333333333
2012-08-22,1070.0
2012-08-23,1071.0
2012-08-24,1080.0
2012-08-27,1081.5
2012-08-28,1083.0
2012-08-29,1120.0
2012-08-30,1145.0
2012-08-31,1145.0
2012-09-03,1150.0
2012-09-04,1140.0
2012-09-05,1105.0
2012-09-06,1100.0
2012-09-07,1109.0
2012-09-10,1105.0
2012-09-11,1104.0
2012-09-12,1108.0
2012-09-13,1130.0
2012-09-14,1160.0
2012-09-17,1170.0
2012-09-18,1180.0
2012-09-19,1184.0
2012-09-20,1180.0
2012-09-21,1136.0
2012-09-24,1148.0
2012-09-25,1142.0
2012-09-26,1121.0
2012-09-27,1121.0
2012-09-28,1157.0
2012-10-01,1140.0
2012-10-02,1134.0
2012-10-03,1132.0
2012-10-04,1140.0
2012-10-05,1127.0
2012-10-08,1122.0
2012-10-09,1130.0
2012-10-10,1121.0
2012-10-11,1125.0
2012-10-12,1130.0
2012-10-15,1126.0
2012-10-16,1127.0
2012-10-17,1127.0
2012-10-18,1138.0
2012-10-19,1157.0
2012-10-22,1148.0
2012-10-23,1152.0
2012-10-24,1149.0
2012-10-25,1160.0
2012-10-26,1150.0
2012-10-29,1140.0
2012-10-30,1150.0
2012-10-31,1140.0
2012-11-01,1141.3333333333333
2012-11-02,1142.6666666666667
2012-11-05,1144.0
2012-11-06,1149.0
2012-11-07,1153.0
2012-11-08,1145.0
2012-11-09,1143.0
2012-11-12,1127.0
2012-11-13,1125.0
2012-11-14,1134.0
2012-11-15,1128.0
2012-11-16,1150.0
2012-11-19,1150.0
2012-11-20,1132.0
2012-11-21,1131.0
2012-11-22,1139.0
2012-11-23,1135.0
2012-11-26,1135.0
2012-11-27,1128.0
2012-11-28,1129.0
2012-11-29,1125.0
2012-11-30,1122.5
2012-12-03,1120.0
2012-12-04,1110.0
2012-12-05,1121.0
2012-12-06,1154.0
2012-12-07,1142.0
2012-12-10,1125.0
2012-12-11,1154.0
2012-12-12,1147.0
2012-12-13,1130.0
2012-12-14,1109.0
2012-12-17,1100.0
2012-12-18,1098.0
2012-12-19,1106.0
2012-12-20,1098.0
2012-12-21,1078.0
2012-12-24,1088.3333333333333
2012-12-25,1098.6666666666667
2012-12-26,1109.0
2012-12-27,1109.0
2012-12-28,1092.0
2012-12-31,1091.0
2013-01-01,1090.0
2013-01-02,1089.0
2013-01-03,1096.0
2013-01-04,1078.0
2013-01-07,1078.0
2013-01-08,1070.0
2013-01-09,1072.0
2013-01-10,1066.0
2013-01-11,1073.0
2013-01-14,1090.0
2013-01-15,1095.0
2013-01-16,1092.0
2013-01-17,1134.0
2013-01-18,1187.0
2013-01-21,1178.0
2013-01-22,1160.0
2013-01-23,1165.0
