Date,Price_Merged
2012-04-23,492.2
2012-04-24,491.2
2012-04-25,513.0
2012-04-26,508.0
2012-04-27,502.5
2012-04-30,509.0
2012-05-01,509.5
2012-05-02,510.0
2012-05-03,500.5
2012-05-04,511.5
2012-05-07,500.0
2012-05-08,503.0
2012-05-09,502.0
2012-05-10,493.0
2012-05-11,491.0
2012-05-14,470.0
2012-05-15,465.6
2012-05-16,470.0
2012-05-17,482.0
2012-05-18,465.0
2012-05-21,472.0
2012-05-22,472.2
2012-05-23,480.0
2012-05-24,479.0
2012-05-25,479.0
2012-05-28,483.0
2012-05-29,498.0
2012-05-30,500.0
2012-05-31,500.0
2012-06-01,499.0
2012-06-04,476.2
2012-06-05,477.0
2012-06-06,478.0
2012-06-07,479.0
2012-06-08,481.0
2012-06-11,483.0
2012-06-12,483.6
2012-06-13,484.2
2012-06-14,484.0
2012-06-15,482.0
2012-06-18,496.2
2012-06-19,492.2
2012-06-20,493.0
2012-06-21,494.0
2012-06-22,490.0
2012-06-25,489.0
2012-06-26,488.0
2012-06-27,504.0
2012-06-28,505.0
2012-06-29,505.0
2012-07-02,510.0
2012-07-03,516.5
2012-07-04,515.0
2012-07-05,516.0
2012-07-06,514.0
2012-07-09,510.0
2012-07-10,509.0
2012-07-11,507.0
2012-07-12,531.5
2012-07-13,535.0
2012-07-16,540.0
2012-07-17,535.0
2012-07-18,526.0
2012-07-19,528.5
2012-07-20,538.0
2012-07-23,530.0
2012-07-24,527.0
2012-07-25,525.0
2012-07-26,525.0
2012-07-27,531.0
2012-07-30,544.5
2012-07-31,546.0
2012-08-01,551.0
2012-08-02,548.0
2012-08-03,548.0
2012-08-06,548.0
2012-08-07,551.0
2012-08-08,554.0
2012-08-09,548.0
2012-08-10,542.0
2012-08-13,542.5
2012-08-14,543.0
2012-08-15,543.5
2012-08-16,541.5
2012-08-17,538.0
2012-08-20,537.0
2012-08-21,536.0
2012-08-22,535.0
2012-08-23,547.0
2012-08-24,543.5
2012-08-27,539.75
2012-08-28,536.0
2012-08-29,540.0
2012-08-30,536.0
2012-08-31,537.0
2012-09-03,537.0
2012-09-04,537.5
2012-09-05,538.0
2012-09-06,538.5
2012-09-07,550.0
2012-09-10,558.0
