Date,Price_Merged
2012-05-03,112.9
2012-05-04,111.0
2012-05-07,111.0
2012-05-08,111.0
2012-05-09,110.3
2012-05-10,110.9
2012-05-11,108.5
2012-05-14,110.0
2012-05-15,105.7
2012-05-16,100.0
2012-05-17,108.0
2012-05-18,105.2
2012-05-21,109.0
2012-05-22,110.0
2012-05-23,105.5
2012-05-24,105.4
2012-05-25,109.0
2012-05-28,110.0
2012-05-29,110.0
2012-05-30,111.0
2012-05-31,105.6
2012-06-01,110.0
2012-06-04,104.6
2012-06-05,105.0
2012-06-06,106.1
2012-06-07,107.1
2012-06-08,108.3
2012-06-11,108.6
2012-06-12,108.25
2012-06-13,107.9
2012-06-14,105.2
2012-06-15,101.2
2012-06-18,105.0
2012-06-19,103.8
2012-06-20,107.7
2012-06-21,105.0
2012-06-22,104.0
2012-06-25,107.0
2012-06-26,107.9
2012-06-27,108.0
2012-06-28,107.5
2012-06-29,104.2
2012-07-02,107.9
2012-07-03,105.6
2012-07-04,105.0
2012-07-05,107.8
2012-07-06,105.1
2012-07-09,104.3
2012-07-10,103.0
2012-07-11,101.9
2012-07-12,102.0
2012-07-13,104.0
2012-07-16,106.1
2012-07-17,105.0
2012-07-18,105.0
2012-07-19,107.0
2012-07-20,105.8
2012-07-23,106.5
2012-07-24,106.0
2012-07-25,104.9
2012-07-26,101.7
2012-07-27,104.6
2012-07-30,104.0
2012-07-31,103.1
2012-08-01,100.0
2012-08-02,102.1
2012-08-03,105.6
2012-08-06,102.5
2012-08-07,101.5
2012-08-08,100.5
2012-08-09,100.0
2012-08-10,101.0
2012-08-13,100.0
2012-08-14,98.5
2012-08-15,99.9
2012-08-16,96.75
2012-08-17,95.4
2012-08-20,95.66666666666669
2012-08-21,95.93333333333334
2012-08-22,96.2
2012-08-23,96.5
2012-08-24,97.3
2012-08-27,97.675
2012-08-28,98.05
2012-08-29,98.25
2012-08-30,97.5
2012-08-31,100.0
2012-09-03,98.5
2012-09-04,97.5
2012-09-05,94.0
2012-09-06,96.3
2012-09-07,96.5
2012-09-10,94.5
2012-09-11,94.7
2012-09-12,96.9
2012-09-13,98.6
2012-09-14,101.4
2012-09-17,103.0
2012-09-18,99.5
2012-09-19,99.95
2012-09-20,99.9
2012-09-21,100.0
2012-09-24,102.0
2012-09-25,102.6
2012-09-26,102.0
2012-09-27,101.4
2012-09-28,101.0
2012-10-01,100.2
2012-10-02,99.7
2012-10-03,101.0
2012-10-04,103.1
2012-10-05,103.4
2012-10-08,105.0
2012-10-09,104.0
2012-10-10,102.0
2012-10-11,100.5
2012-10-12,100.1
2012-10-15,100.0
2012-10-16,99.9
2012-10-17,104.0
2012-10-18,105.0
2012-10-19,105.0
2012-10-22,101.9
2012-10-23,101.0
2012-10-24,101.0
2012-10-25,102.0
2012-10-26,103.4
2012-10-29,104.8
2012-10-30,105.0
2012-10-31,105.7
2012-11-01,105.7
2012-11-02,105.7
2012-11-05,105.7
2012-11-06,105.5
2012-11-07,105.5
2012-11-08,105.5
2012-11-09,105.5
2012-11-12,105.8
2012-11-13,105.0
2012-11-14,105.7
2012-11-15,103.1
2012-11-16,107.5
2012-11-19,103.7
2012-11-20,105.9
2012-11-21,106.9
2012-11-22,105.3
2012-11-23,106.5
2012-11-26,105.0
2012-11-27,106.8
2012-11-28,105.0
2012-11-29,104.5
2012-11-30,105.25
2012-12-03,106.0
2012-12-04,107.0
2012-12-05,106.0
2012-12-06,107.7
2012-12-07,109.2
2012-12-10,109.8
2012-12-11,108.8
2012-12-12,104.5
2012-12-13,108.1
2012-12-14,107.1
2012-12-17,104.0
2012-12-18,107.5
2012-12-19,107.4
2012-12-20,107.0
2012-12-21,107.0
2012-12-24,106.5
2012-12-25,106.0
2012-12-26,105.5
2012-12-27,105.2
2012-12-28,102.0
2012-12-31,102.73333333333332
2013-01-01,103.46666666666668
2013-01-02,104.2
2013-01-03,107.2
2013-01-04,107.6
2013-01-07,107.0
2013-01-08,107.3
2013-01-09,107.3
2013-01-10,107.4
2013-01-11,107.5
2013-01-14,108.0
2013-01-15,106.1
2013-01-16,108.5
2013-01-17,106.9
2013-01-18,108.0
2013-01-21,108.3
2013-01-22,107.0
2013-01-23,106.7
2013-01-24,107.9
2013-01-25,107.1
2013-01-28,110.0
2013-01-29,108.8
2013-01-30,108.5
2013-01-31,109.7
2013-02-01,109.2
2013-02-04,112.9
2013-02-05,111.9
2013-02-06,109.1
2013-02-07,113.9
2013-02-08,112.0
2013-02-11,111.9
2013-02-12,110.0
2013-02-13,111.0
2013-02-14,110.8
2013-02-15,110.9
2013-02-18,112.8
2013-02-19,115.0
2013-02-20,116.4
2013-02-21,123.3
2013-02-22,128.0
2013-02-25,129.5
2013-02-26,126.0
2013-02-27,126.0
2013-02-28,126.9
2013-03-01,126.1
2013-03-04,125.0
2013-03-05,121.5
2013-03-06,124.0
2013-03-07,123.7
2013-03-08,124.5
2013-03-11,124.8
2013-03-12,125.3
2013-03-13,124.0
2013-03-14,124.3
2013-03-15,122.0
2013-03-18,122.0
2013-03-19,119.5
2013-03-20,116.6
2013-03-21,117.0
2013-03-22,115.0
2013-03-25,117.9
2013-03-26,120.3
2013-03-27,126.0
2013-03-28,125.66666666666669
2013-03-29,125.33333333333331
2013-04-01,125.0
2013-04-02,125.0
2013-04-03,125.0
2013-04-04,124.9
2013-04-05,124.4
2013-04-08,124.5
2013-04-09,124.75
2013-04-10,125.0
2013-04-11,124.8
2013-04-12,124.0
2013-04-15,123.8
2013-04-16,124.0
2013-04-17,124.5
2013-04-18,124.4
2013-04-19,125.0
2013-04-22,127.3
2013-04-23,123.2
2013-04-24,127.5
2013-04-25,128.0
2013-04-26,129.0
2013-04-29,128.8
2013-04-30,128.5
2013-05-01,128.2
2013-05-02,127.9
2013-05-03,129.5
2013-05-06,125.3
2013-05-07,128.5
2013-05-08,130.0
2013-05-09,132.1
2013-05-10,134.0
2013-05-13,134.25
2013-05-14,134.5
2013-05-15,139.1
2013-05-16,136.5
2013-05-17,139.4
2013-05-20,138.0
2013-05-21,139.0
2013-05-22,139.0
2013-05-23,141.0
2013-05-24,140.0
2013-05-27,136.0
2013-05-28,138.0
2013-05-29,151.0
2013-05-30,140.0
2013-05-31,135.8
2013-06-03,132.0
2013-06-04,138.0
2013-06-05,139.9
2013-06-06,150.0
2013-06-07,149.0
2013-06-10,144.5
2013-06-11,142.5
2013-06-12,136.25
2013-06-13,130.0
2013-06-14,130.0
2013-06-17,137.0
2013-06-18,140.8
2013-06-19,142.1
2013-06-20,134.5
2013-06-21,137.8
2013-06-24,130.2
2013-06-25,124.7
2013-06-26,137.0
2013-06-27,142.0
2013-06-28,148.0
2013-07-01,145.0
2013-07-02,137.3
2013-07-03,145.5
2013-07-04,146.2
2013-07-05,147.2
2013-07-08,141.9
2013-07-09,143.0
2013-07-10,140.0
2013-07-11,141.8
2013-07-12,146.5
2013-07-15,150.7
2013-07-16,152.0
2013-07-17,152.0
2013-07-18,152.4
2013-07-19,148.0
2013-07-22,148.6
2013-07-23,151.6
2013-07-24,153.0
2013-07-25,157.0
2013-07-26,163.0
2013-07-29,156.5
2013-07-30,156.0
2013-07-31,155.0
2013-08-01,156.5
2013-08-02,155.9
2013-08-05,159.7
2013-08-06,160.1
2013-08-07,162.3
2013-08-08,164.8
2013-08-09,165.4
2013-08-12,166.0
2013-08-13,168.0
2013-08-14,177.0
2013-08-15,178.0
2013-08-16,176.0
2013-08-19,174.0
2013-08-20,172.0
2013-08-21,170.0
2013-08-22,168.0
2013-08-23,162.3
2013-08-26,160.65
2013-08-27,159.0
2013-08-28,154.0
