Date,Price_Merged
2012-05-03,35.5
2012-05-04,35.5
2012-05-07,34.0
2012-05-08,35.0
2012-05-09,35.5
2012-05-10,34.5
2012-05-11,34.0
2012-05-14,32.55
2012-05-15,32.0
2012-05-16,31.45
2012-05-17,33.3
2012-05-18,32.0
2012-05-21,32.0
2012-05-22,31.7
2012-05-23,31.4
2012-05-24,31.0
2012-05-25,30.9
2012-05-28,32.2
2012-05-29,33.0
2012-05-30,32.5
2012-05-31,33.0
2012-06-01,32.75
2012-06-04,31.2
2012-06-05,32.0
2012-06-06,32.0
2012-06-07,32.5
2012-06-08,32.5
2012-06-11,33.4
2012-06-12,33.3
2012-06-13,33.2
2012-06-14,32.7
2012-06-15,33.0
2012-06-18,33.15
2012-06-19,33.4
2012-06-20,34.0
2012-06-21,33.9
2012-06-22,33.55
2012-06-25,34.55
2012-06-26,34.95
2012-06-27,34.95
2012-06-28,34.8
2012-06-29,34.9
2012-07-02,34.85
2012-07-03,35.05
2012-07-04,35.0
2012-07-05,34.5
2012-07-06,34.65
2012-07-09,33.55
2012-07-10,33.5
2012-07-11,32.35
2012-07-12,32.2
2012-07-13,32.7
2012-07-16,33.3
2012-07-17,33.3
2012-07-18,31.75
2012-07-19,31.85
2012-07-20,32.05
2012-07-23,31.8
2012-07-24,31.8
2012-07-25,32.2
2012-07-26,32.5
2012-07-27,32.5
2012-07-30,33.0
2012-07-31,33.8
2012-08-01,32.5
2012-08-02,32.65
2012-08-03,33.45
2012-08-06,32.8
2012-08-07,33.05
2012-08-08,33.3
2012-08-09,33.0
2012-08-10,33.0
2012-08-13,33.0
2012-08-14,33.25
2012-08-15,33.25
2012-08-16,33.4
2012-08-17,33.4
2012-08-20,33.4
2012-08-21,33.4
2012-08-22,33.4
2012-08-23,33.4
2012-08-24,33.0
2012-08-27,33.4
2012-08-28,33.8
2012-08-29,33.5
2012-08-30,33.05
2012-08-31,33.2
2012-09-03,33.5
2012-09-04,33.0
2012-09-05,31.95
2012-09-06,32.25
2012-09-07,32.25
2012-09-10,32.4
2012-09-11,32.45
2012-09-12,32.95
2012-09-13,33.5
2012-09-14,34.2
2012-09-17,34.0
2012-09-18,33.5
2012-09-19,33.4
2012-09-20,33.7
2012-09-21,33.95
2012-09-24,34.1
2012-09-25,34.4
2012-09-26,31.75
2012-09-27,31.6
2012-09-28,32.5
2012-10-01,31.95
2012-10-02,32.95
2012-10-03,33.2
2012-10-04,33.65
2012-10-05,34.55
2012-10-08,33.8
2012-10-09,33.2
2012-10-10,33.0
2012-10-11,34.0
2012-10-12,34.0
2012-10-15,34.0
2012-10-16,33.8
2012-10-17,33.8
2012-10-18,33.6
2012-10-19,32.9
2012-10-22,32.9
2012-10-23,33.0
2012-10-24,33.0
2012-10-25,32.95
2012-10-26,33.0
2012-10-29,33.05
2012-10-30,32.95
2012-10-31,33.0
2012-11-01,32.9
2012-11-02,32.800000000000004
2012-11-05,32.7
2012-11-06,33.5
2012-11-07,34.7
2012-11-08,34.75
2012-11-09,34.0
2012-11-12,34.0
2012-11-13,34.0
2012-11-14,34.1
2012-11-15,33.6
2012-11-16,34.0
2012-11-19,35.25
2012-11-20,37.1
2012-11-21,37.8
2012-11-22,37.5
2012-11-23,37.0
2012-11-26,37.0
2012-11-27,36.3
2012-11-28,37.0
2012-11-29,35.9
2012-11-30,35.9
2012-12-03,35.9
2012-12-04,36.65
2012-12-05,37.3
