Date,Price_Merged
2012-05-08,3.78
2012-05-09,3.79
2012-05-10,3.79
2012-05-11,3.79
2012-05-14,3.75
2012-05-15,3.7
2012-05-16,3.8
2012-05-17,3.85
2012-05-18,3.85
2012-05-21,3.9
2012-05-22,3.91
2012-05-23,3.89
2012-05-24,3.9
2012-05-25,3.9
2012-05-28,3.9
2012-05-29,3.9
2012-05-30,3.9
2012-05-31,3.9
2012-06-01,3.9
2012-06-04,3.8
2012-06-05,3.8
2012-06-06,3.85
2012-06-07,3.85
2012-06-08,3.89
2012-06-11,3.92
2012-06-12,3.91
2012-06-13,3.9
2012-06-14,3.86
2012-06-15,3.89
2012-06-18,4.2
2012-06-19,4.41
2012-06-20,4.33
2012-06-21,4.34
2012-06-22,4.41
2012-06-25,4.43
2012-06-26,4.45
2012-06-27,4.51
2012-06-28,4.49
2012-06-29,4.5
2012-07-02,4.51
2012-07-03,4.5
2012-07-04,4.35
2012-07-05,4.37
2012-07-06,4.4
2012-07-09,4.42
2012-07-10,4.49
2012-07-11,4.49
2012-07-12,4.48
2012-07-13,4.47
2012-07-16,4.49
2012-07-17,4.46
2012-07-18,4.48
2012-07-19,4.49
2012-07-20,4.51
2012-07-23,4.5
2012-07-24,4.5
2012-07-25,4.66
2012-07-26,5.0
2012-07-27,4.96
2012-07-30,5.1
2012-07-31,6.375
2012-08-01,7.65
2012-08-02,11.46
2012-08-03,10.88
2012-08-06,11.5
2012-08-07,12.24
2012-08-08,12.98
2012-08-09,12.4
2012-08-10,11.9
2012-08-13,12.36
2012-08-14,11.82
2012-08-15,11.6
2012-08-16,11.3
2012-08-17,11.54
2012-08-20,11.56
2012-08-21,11.58
2012-08-22,11.6
2012-08-23,12.16
2012-08-24,12.72
2012-08-27,12.760000000000002
2012-08-28,12.8
2012-08-29,12.36
2012-08-30,12.38
2012-08-31,11.92
2012-09-03,11.7
2012-09-04,11.68
2012-09-05,11.5
2012-09-06,11.9
2012-09-07,11.8
2012-09-10,12.06
2012-09-11,11.8
2012-09-12,11.92
2012-09-13,12.18
2012-09-14,12.28
2012-09-17,12.0
2012-09-18,12.08
2012-09-19,11.98
2012-09-20,11.98
2012-09-21,11.96
2012-09-24,12.42
2012-09-25,12.48
2012-09-26,12.28
2012-09-27,12.3
2012-09-28,12.3
2012-10-01,12.02
2012-10-02,12.0
2012-10-03,11.7
2012-10-04,11.98
2012-10-05,12.04
2012-10-08,11.96
2012-10-09,12.04
2012-10-10,12.14
2012-10-11,12.1
2012-10-12,12.1
2012-10-15,12.0
2012-10-16,11.98
2012-10-17,11.9
2012-10-18,11.88
2012-10-19,11.88
2012-10-22,11.7
2012-10-23,11.68
2012-10-24,11.66
2012-10-25,11.58
2012-10-26,11.54
2012-10-29,11.5
2012-10-30,11.4
2012-10-31,11.5
2012-11-01,11.5
2012-11-02,11.5
2012-11-05,11.5
2012-11-06,11.72
2012-11-07,11.66
2012-11-08,11.6
2012-11-09,11.66
2012-11-12,11.7
2012-11-13,12.18
2012-11-14,12.3
2012-11-15,12.0
2012-11-16,12.44
2012-11-19,12.58
2012-11-20,12.96
2012-11-21,13.34
2012-11-22,13.0
2012-11-23,13.24
2012-11-26,13.26
2012-11-27,13.24
2012-11-28,13.3
2012-11-29,13.06
2012-11-30,13.07
2012-12-03,13.08
2012-12-04,13.0
2012-12-05,12.96
2012-12-06,12.84
2012-12-07,12.88
2012-12-10,12.84
2012-12-11,12.62
2012-12-12,12.82
2012-12-13,12.64
2012-12-14,12.6
2012-12-17,12.6
2012-12-18,12.42
2012-12-19,12.48
2012-12-20,12.58
2012-12-21,12.74
2012-12-24,12.826666666666666
2012-12-25,12.913333333333334
2012-12-26,13.0
2012-12-27,13.18
2012-12-28,13.38
2012-12-31,13.393333333333334
2013-01-01,13.406666666666666
2013-01-02,13.42
2013-01-03,13.6
2013-01-04,13.48
2013-01-07,13.3
2013-01-08,13.1
2013-01-09,13.0
2013-01-10,12.88
2013-01-11,12.88
2013-01-14,12.9
2013-01-15,12.88
2013-01-16,12.88
2013-01-17,12.96
2013-01-18,13.24
2013-01-21,13.28
2013-01-22,13.38
2013-01-23,13.3
2013-01-24,13.1
2013-01-25,13.04
2013-01-28,13.14
2013-01-29,13.38
2013-01-30,13.74
2013-01-31,13.9
2013-02-01,14.0
2013-02-04,14.06
2013-02-05,13.96
2013-02-06,13.9
2013-02-07,14.38
2013-02-08,14.86
2013-02-11,15.1
2013-02-12,14.98
2013-02-13,15.18
2013-02-14,15.46
2013-02-15,15.76
2013-02-18,15.54
2013-02-19,15.46
2013-02-20,15.46
2013-02-21,15.36
2013-02-22,15.4
2013-02-25,15.52
2013-02-26,15.64
2013-02-27,15.68
2013-02-28,15.56
2013-03-01,15.5
2013-03-04,15.34
2013-03-05,15.3
2013-03-06,15.4
2013-03-07,15.3
2013-03-08,15.3
2013-03-11,15.3
2013-03-12,15.1
2013-03-13,15.16
2013-03-14,15.0
2013-03-15,15.0
2013-03-18,14.9
2013-03-19,14.46
2013-03-20,15.0
2013-03-21,16.22
2013-03-22,16.8
2013-03-25,16.78
2013-03-26,17.1
2013-03-27,17.84
2013-03-28,17.98
2013-03-29,18.12
2013-04-01,18.26
2013-04-02,17.76
2013-04-03,18.12
2013-04-04,18.18
2013-04-05,18.3
2013-04-08,19.48
2013-04-09,19.64
2013-04-10,19.8
2013-04-11,19.82
2013-04-12,20.45
2013-04-15,20.45
2013-04-16,20.7
2013-04-17,23.0
2013-04-18,24.2
2013-04-19,23.45
2013-04-22,23.3
2013-04-23,23.15
2013-04-24,23.55
2013-04-25,23.9
2013-04-26,24.1
2013-04-29,24.8
2013-04-30,24.3
2013-05-01,24.375
2013-05-02,24.45
2013-05-03,25.6
2013-05-06,27.0
2013-05-07,26.8
2013-05-08,25.9
2013-05-09,26.0
2013-05-10,25.55
2013-05-13,25.775
2013-05-14,26.0
2013-05-15,26.0
2013-05-16,25.5
2013-05-17,25.75
2013-05-20,25.75
2013-05-21,25.75
2013-05-22,26.25
2013-05-23,25.55
2013-05-24,25.85
2013-05-27,25.55
2013-05-28,25.45
2013-05-29,25.6
2013-05-30,25.4
2013-05-31,24.7
2013-06-03,24.5
2013-06-04,24.0
2013-06-05,22.25
2013-06-06,23.3
2013-06-07,23.1
2013-06-10,23.75
2013-06-11,22.5
2013-06-12,22.05
2013-06-13,21.6
2013-06-14,22.3
2013-06-17,22.45
2013-06-18,22.85
2013-06-19,22.55
2013-06-20,21.85
2013-06-21,21.1
2013-06-24,19.2
2013-06-25,18.9
2013-06-26,20.4
2013-06-27,22.45
2013-06-28,22.6
2013-07-01,22.25
2013-07-02,22.45
2013-07-03,22.6
2013-07-04,22.85
2013-07-05,22.85
2013-07-08,22.15
2013-07-09,22.05
2013-07-10,22.1
2013-07-11,23.2
2013-07-12,24.9
2013-07-15,24.8
2013-07-16,24.0
2013-07-17,23.7
2013-07-18,24.0
2013-07-19,23.5
2013-07-22,22.55
2013-07-23,22.5
2013-07-24,22.9
2013-07-25,21.9
2013-07-26,21.65
2013-07-29,20.75
2013-07-30,20.1
2013-07-31,20.8
2013-08-01,21.35
2013-08-02,21.15
2013-08-05,21.5
2013-08-06,21.3
2013-08-07,20.8
2013-08-08,20.45
2013-08-09,20.625
2013-08-12,20.8
2013-08-13,21.3
2013-08-14,21.3
2013-08-15,21.4
2013-08-16,21.1
2013-08-19,20.575000000000003
2013-08-20,20.05
2013-08-21,19.525
2013-08-22,19.0
2013-08-23,18.06
2013-08-26,17.53
2013-08-27,17.0
2013-08-28,16.0
2013-08-29,18.0
2013-08-30,19.42
2013-09-02,19.92
2013-09-03,19.88
2013-09-04,19.64
2013-09-05,19.7
2013-09-06,19.4
2013-09-09,19.48
2013-09-10,19.84
2013-09-11,20.2
2013-09-12,20.2
2013-09-13,20.2
2013-09-16,20.5
2013-09-17,19.98
2013-09-18,19.88
2013-09-19,19.96
2013-09-20,19.08
2013-09-23,18.6
2013-09-24,18.14
2013-09-25,17.04
2013-09-26,17.42
2013-09-27,18.44
2013-09-30,18.0
2013-10-01,18.18
2013-10-02,19.5
2013-10-03,19.0
2013-10-04,19.26
2013-10-07,19.34
2013-10-08,19.22
2013-10-09,18.98
2013-10-10,18.92
2013-10-11,18.54
2013-10-14,18.1
2013-10-15,18.04
2013-10-16,17.98
2013-10-17,17.5
2013-10-18,16.88
2013-10-21,16.4
2013-10-22,16.3
2013-10-23,16.42
2013-10-24,16.5
2013-10-25,16.1
2013-10-28,16.200000000000003
2013-10-29,16.3
2013-10-30,16.6
2013-10-31,16.62
2013-11-01,16.509999999999998
2013-11-04,16.4
2013-11-05,16.1
2013-11-06,16.34
2013-11-07,16.0
2013-11-08,14.52
2013-11-11,13.8
2013-11-12,13.32
2013-11-13,14.62
2013-11-14,14.98
2013-11-15,14.82
2013-11-18,15.0
2013-11-19,15.6
2013-11-20,15.38
2013-11-21,15.32
2013-11-22,15.12
2013-11-25,15.18
2013-11-26,15.0
2013-11-27,15.5
2013-11-28,15.68
2013-11-29,15.68
2013-12-02,15.6
2013-12-03,15.5
2013-12-04,15.2
2013-12-05,15.2
2013-12-06,15.36
2013-12-09,15.5
2013-12-10,15.36
2013-12-11,15.02
2013-12-12,14.6
2013-12-13,14.04
2013-12-16,14.24
2013-12-17,14.58
2013-12-18,14.58
2013-12-19,15.2
2013-12-20,15.38
2013-12-23,15.44
2013-12-24,15.426666666666666
2013-12-25,15.413333333333334
2013-12-26,15.4
2013-12-27,15.44
2013-12-30,15.455
2013-12-31,15.47
2014-01-01,15.485
2014-01-02,15.5
2014-01-03,15.18
2014-01-06,15.18
2014-01-07,15.04
2014-01-08,15.02
2014-01-09,15.22
2014-01-10,15.02
2014-01-13,15.1
2014-01-14,15.32
2014-01-15,16.02
2014-01-16,16.78
2014-01-17,17.3
2014-01-20,17.16
2014-01-21,17.0
2014-01-22,17.1
2014-01-23,18.0
2014-01-24,17.94
2014-01-27,17.74
2014-01-28,17.94
2014-01-29,18.3
2014-01-30,18.4
2014-01-31,18.7
2014-02-03,19.0
2014-02-04,19.0
2014-02-05,18.94
2014-02-06,19.5
2014-02-07,19.52
2014-02-10,19.02
2014-02-11,18.48
2014-02-12,17.82
2014-02-13,17.8
2014-02-14,17.94
2014-02-17,17.76
2014-02-18,17.64
2014-02-19,17.3
2014-02-20,17.5
2014-02-21,17.5
2014-02-24,17.26
2014-02-25,17.18
2014-02-26,17.38
2014-02-27,17.7
2014-02-28,17.72
2014-03-03,17.62
2014-03-04,17.32
2014-03-05,17.24
2014-03-06,17.64
2014-03-07,18.22
2014-03-10,18.68
2014-03-11,19.38
2014-03-12,19.24
2014-03-13,18.46
2014-03-14,18.74
2014-03-17,18.7
2014-03-18,18.38
2014-03-19,18.5
2014-03-20,18.06
2014-03-21,18.4
2014-03-24,18.0
2014-03-25,17.3
2014-03-26,17.4
2014-03-27,16.92
2014-03-28,17.14
2014-03-31,17.44
2014-04-01,16.9
2014-04-02,17.2
2014-04-03,17.26
2014-04-04,17.02
2014-04-07,17.06
2014-04-08,16.8
2014-04-09,17.05
2014-04-10,17.3
2014-04-11,17.36
2014-04-14,17.4
2014-04-15,17.38
2014-04-16,17.56
2014-04-17,17.833333333333332
2014-04-18,18.106666666666666
2014-04-21,18.38
2014-04-22,18.76
2014-04-23,18.68
2014-04-24,18.6
2014-04-25,18.7
2014-04-28,18.6
2014-04-29,18.24
2014-04-30,18.3
2014-05-01,18.26
2014-05-02,18.22
2014-05-05,18.1
2014-05-06,18.16
2014-05-07,18.42
2014-05-08,18.64
2014-05-09,18.5
2014-05-12,18.5
2014-05-13,18.64
2014-05-14,18.6
2014-05-15,17.46
2014-05-16,16.92
2014-05-19,15.32
2014-05-20,14.68
2014-05-21,14.4
2014-05-22,14.6
2014-05-23,14.3
2014-05-26,14.06
2014-05-27,14.32
2014-05-28,14.86
2014-05-29,14.74
2014-05-30,14.82
2014-06-02,15.0
2014-06-03,14.98
2014-06-04,15.1
2014-06-05,15.1
2014-06-06,15.12
2014-06-09,14.6
2014-06-10,14.44
2014-06-11,14.42
2014-06-12,14.46
2014-06-13,14.5
2014-06-16,14.62
2014-06-17,14.98
2014-06-18,14.92
2014-06-19,14.92
2014-06-20,14.88
2014-06-23,14.64
2014-06-24,14.7
2014-06-25,14.7
2014-06-26,14.6
2014-06-27,14.68
2014-06-30,14.76
2014-07-01,14.7
2014-07-02,14.64
2014-07-03,14.58
2014-07-04,14.62
2014-07-07,14.7
2014-07-08,14.88
2014-07-09,14.84
2014-07-10,14.96
2014-07-11,15.22
2014-07-14,15.3
2014-07-15,15.88
2014-07-16,15.8
2014-07-17,15.72
2014-07-18,15.86
2014-07-21,16.7
2014-07-22,16.38
2014-07-23,16.22
2014-07-24,16.48
2014-07-25,16.38
2014-07-28,15.82
2014-07-29,15.87
2014-07-30,15.92
2014-07-31,16.0
2014-08-01,16.2
2014-08-04,16.2
2014-08-05,16.0
2014-08-06,16.04
2014-08-07,16.58
2014-08-08,16.58
2014-08-11,16.8
2014-08-12,16.88
2014-08-13,16.96
2014-08-14,17.2
2014-08-15,16.64
2014-08-18,15.96
2014-08-19,15.98
2014-08-20,15.62
2014-08-21,15.55
2014-08-22,15.48
2014-08-25,15.49
2014-08-26,15.5
2014-08-27,15.34
2014-08-28,15.2
2014-08-29,15.32
2014-09-01,15.72
2014-09-02,15.34
2014-09-03,15.28
2014-09-04,15.28
2014-09-05,15.66
2014-09-08,16.2
2014-09-09,16.0
2014-09-10,15.78
2014-09-11,15.78
2014-09-12,15.68
2014-09-15,15.58
2014-09-16,15.48
2014-09-17,15.48
2014-09-18,15.5
2014-09-19,15.54
2014-09-22,15.58
2014-09-23,15.42
2014-09-24,15.8
2014-09-25,15.62
2014-09-26,15.4
2014-09-29,15.5
2014-09-30,15.64
2014-10-01,15.8
2014-10-02,15.7
2014-10-03,15.56
2014-10-06,15.53
2014-10-07,15.5
2014-10-08,15.5
2014-10-09,15.46
2014-10-10,15.86
2014-10-13,15.5
2014-10-14,15.5
2014-10-15,15.48
2014-10-16,15.4
2014-10-17,15.5
2014-10-20,15.5
2014-10-21,15.02
2014-10-22,15.0
2014-10-23,15.02
2014-10-24,14.94
2014-10-27,14.68
2014-10-28,14.58
2014-10-29,14.2
2014-10-30,14.28
2014-10-31,14.24
2014-11-03,14.2
2014-11-04,14.04
2014-11-05,13.58
2014-11-06,13.92
2014-11-07,13.82
2014-11-10,14.08
2014-11-11,13.98
2014-11-12,13.62
2014-11-13,13.38
2014-11-14,13.58
2014-11-17,13.32
2014-11-18,13.26
2014-11-19,13.18
2014-11-20,12.98
2014-11-21,12.8
2014-11-24,12.94
2014-11-25,13.0
2014-11-26,13.2
2014-11-27,13.22
2014-11-28,13.24
2014-12-01,13.48
2014-12-02,13.36
2014-12-03,13.18
2014-12-04,13.22
2014-12-05,13.22
2014-12-08,13.09
2014-12-09,12.96
2014-12-10,12.8
2014-12-11,12.48
2014-12-12,12.9
2014-12-15,12.9
2014-12-16,13.0
2014-12-17,12.5
2014-12-18,12.46
2014-12-19,12.3
2014-12-22,12.38
2014-12-23,12.1
2014-12-24,12.11
2014-12-25,12.12
2014-12-26,12.13
2014-12-29,12.14
2014-12-30,12.184
2014-12-31,12.228
2015-01-01,12.272
2015-01-02,12.316
2015-01-05,12.36
2015-01-06,12.5
2015-01-07,12.9
2015-01-08,12.9
2015-01-09,13.0
2015-01-12,12.98
2015-01-13,13.4
2015-01-14,13.8
2015-01-15,13.786666666666669
2015-01-16,13.773333333333332
2015-01-19,13.76
2015-01-20,13.3
2015-01-21,13.42
2015-01-22,13.36
2015-01-23,14.0
2015-01-26,14.28
2015-01-27,13.96
2015-01-28,14.1
2015-01-29,13.62
2015-01-30,13.62
2015-02-02,13.94
2015-02-03,14.0
2015-02-04,15.36
2015-02-05,15.8
2015-02-06,15.4
2015-02-09,16.2
2015-02-10,15.86
2015-02-11,15.5
2015-02-12,15.12
2015-02-13,15.14
2015-02-16,15.2
2015-02-17,15.24
2015-02-18,15.5
2015-02-19,15.43
2015-02-20,15.36
2015-02-23,15.28
2015-02-24,15.18
2015-02-25,15.16
2015-02-26,15.18
2015-02-27,15.12
2015-03-02,15.1
2015-03-03,15.18
2015-03-04,15.92
2015-03-05,16.1
2015-03-06,16.1
2015-03-09,16.14
2015-03-10,16.0
2015-03-11,16.02
2015-03-12,16.1
2015-03-13,16.0
2015-03-16,15.88
2015-03-17,15.92
2015-03-18,15.92
2015-03-19,15.82
2015-03-20,16.0
2015-03-23,15.74
2015-03-24,15.72
2015-03-25,16.44
2015-03-26,16.38
2015-03-27,16.54
2015-03-30,16.3
2015-03-31,16.3
2015-04-01,16.32
2015-04-02,16.34
2015-04-03,16.36
2015-04-06,16.38
2015-04-07,16.84
2015-04-08,16.78
2015-04-09,16.73
2015-04-10,16.68
2015-04-13,16.54
2015-04-14,16.6
2015-04-15,16.18
2015-04-16,15.86
2015-04-17,16.08
2015-04-20,15.7
2015-04-21,14.98
2015-04-22,14.96
2015-04-23,15.28
2015-04-24,15.28
2015-04-27,15.32
2015-04-28,15.26
2015-04-29,15.18
2015-04-30,14.9
2015-05-01,14.77
2015-05-04,14.64
2015-05-05,15.0
2015-05-06,15.54
2015-05-07,15.54
2015-05-08,15.5
2015-05-11,15.04
2015-05-12,15.26
2015-05-13,15.18
2015-05-14,15.26
2015-05-15,15.5
2015-05-18,15.06
2015-05-19,14.74
2015-05-20,14.48
2015-05-21,14.44
2015-05-22,14.38
2015-05-25,14.2
2015-05-26,13.72
2015-05-27,13.68
2015-05-28,13.64
2015-05-29,13.96
2015-06-01,13.9
2015-06-02,13.84
2015-06-03,13.78
2015-06-04,13.64
2015-06-05,13.54
2015-06-08,13.54
2015-06-09,13.28
2015-06-10,13.3
2015-06-11,13.3
2015-06-12,13.44
2015-06-15,13.58
2015-06-16,13.46
2015-06-17,13.68
2015-06-18,13.86
2015-06-19,13.92
2015-06-22,14.34
2015-06-23,14.36
2015-06-24,14.36
2015-06-25,14.28
2015-06-26,13.5
2015-06-29,13.98
2015-06-30,13.92
2015-07-01,13.8
2015-07-02,13.64
2015-07-03,13.62
2015-07-06,13.16
2015-07-07,13.0
2015-07-08,12.64
2015-07-09,12.8
2015-07-10,12.64
2015-07-13,12.56
2015-07-14,12.74
2015-07-15,12.8
2015-07-16,13.34
2015-07-17,13.31
2015-07-20,13.28
2015-07-21,14.26
2015-07-22,14.68
2015-07-23,14.98
2015-07-24,14.98
2015-07-27,15.26
2015-07-28,15.0
2015-07-29,14.8
2015-07-30,14.82
2015-07-31,14.86
2015-08-03,15.0
2015-08-04,15.14
2015-08-05,15.6
2015-08-06,15.48
2015-08-07,15.16
2015-08-10,14.88
2015-08-11,15.0
2015-08-12,15.0
2015-08-13,15.12
2015-08-14,15.0
2015-08-17,14.6
2015-08-18,14.44
2015-08-19,14.16
2015-08-20,13.72
2015-08-21,13.21
2015-08-24,12.7
2015-08-25,12.4
2015-08-26,12.66
2015-08-27,13.0
2015-08-28,13.0
2015-08-31,12.83
2015-09-01,12.66
2015-09-02,12.8
2015-09-03,12.96
2015-09-04,12.72
2015-09-07,12.68
2015-09-08,12.28
2015-09-09,12.5
2015-09-10,12.5
2015-09-11,12.5
2015-09-14,12.46
2015-09-15,12.5
2015-09-16,12.62
2015-09-17,12.38
2015-09-18,12.36
2015-09-21,12.28
2015-09-22,11.86
2015-09-23,11.7
2015-09-24,11.6
2015-09-25,11.23
2015-09-28,10.86
2015-09-29,10.42
2015-09-30,10.08
2015-10-01,10.16
2015-10-02,9.89
2015-10-05,10.28
2015-10-06,11.0
2015-10-07,11.5
2015-10-08,11.78
2015-10-09,11.58
2015-10-12,11.46
2015-10-13,11.3
2015-10-14,11.14
2015-10-15,11.14
2015-10-16,11.32
2015-10-19,11.6
2015-10-20,11.98
2015-10-21,12.18
2015-10-22,12.28
2015-10-23,12.34
2015-10-26,12.1
2015-10-27,12.7
2015-10-28,12.5
2015-10-29,12.5
2015-10-30,12.5
2015-11-02,12.5
2015-11-03,12.48
2015-11-04,12.42
2015-11-05,12.18
2015-11-06,12.2
2015-11-09,12.4
