Date,Price_Merged
2012-05-02,70.42
2012-05-03,70.96
2012-05-04,70.77
2012-05-07,69.23
2012-05-08,69.23
2012-05-09,68.27
2012-05-10,67.69
2012-05-11,66.92
2012-05-14,65.38
2012-05-15,64.62
2012-05-16,63.69
2012-05-17,64.69
2012-05-18,63.08
2012-05-21,66.38
2012-05-22,65.5
2012-05-23,65.35
2012-05-24,65.0
2012-05-25,65.62
2012-05-28,64.62
2012-05-29,65.73
2012-05-30,66.92
2012-05-31,69.15
2012-06-01,68.04
2012-06-04,64.85
2012-06-05,66.08
2012-06-06,66.54
2012-06-07,66.92
2012-06-08,66.46
2012-06-11,67.73
2012-06-12,68.135
2012-06-13,68.54
2012-06-14,68.38
2012-06-15,68.04
2012-06-18,69.12
2012-06-19,69.12
2012-06-20,69.88
2012-06-21,69.23
2012-06-22,69.0
2012-06-25,69.35
2012-06-26,69.27
2012-06-27,70.92
2012-06-28,72.31
2012-06-29,71.15
2012-07-02,72.96
2012-07-03,74.96
2012-07-04,73.77
2012-07-05,74.62
2012-07-06,73.85
2012-07-09,71.58
2012-07-10,71.81
2012-07-11,72.65
2012-07-12,72.69
2012-07-13,73.08
2012-07-16,75.62
2012-07-17,75.65
2012-07-18,75.38
2012-07-19,74.19
2012-07-20,73.46
2012-07-23,71.54
2012-07-24,73.31
2012-07-25,73.12
2012-07-26,73.0
2012-07-27,73.04
2012-07-30,74.46
2012-07-31,77.0
2012-08-01,77.08
2012-08-02,76.88
2012-08-03,76.73
2012-08-06,76.62
2012-08-07,76.28999999999999
2012-08-08,75.96
2012-08-09,75.0
2012-08-10,72.96
2012-08-13,71.77
2012-08-14,72.31
2012-08-15,72.96
2012-08-16,71.0
2012-08-17,70.0
2012-08-20,69.79333333333334
2012-08-21,69.58666666666666
2012-08-22,69.38
2012-08-23,71.54
2012-08-24,71.38
2012-08-27,71.66999999999999
2012-08-28,71.96
2012-08-29,72.96
2012-08-30,71.92
2012-08-31,70.04
2012-09-03,71.35
2012-09-04,71.15
2012-09-05,70.85
2012-09-06,70.73
2012-09-07,71.27
2012-09-10,71.62
2012-09-11,71.92
2012-09-12,71.85
2012-09-13,72.12
2012-09-14,72.12
2012-09-17,71.54
2012-09-18,70.69
2012-09-19,70.92
2012-09-20,70.77
2012-09-21,70.0
2012-09-24,70.0
2012-09-25,71.15
2012-09-26,71.54
2012-09-27,71.23
2012-09-28,71.15
2012-10-01,70.96
2012-10-02,71.5
2012-10-03,71.54
2012-10-04,71.69
2012-10-05,71.46
2012-10-08,71.12
2012-10-09,69.46
2012-10-10,70.38
2012-10-11,70.27
2012-10-12,69.88
2012-10-15,70.62
2012-10-16,71.19
2012-10-17,71.54
