Date,Price_Merged
2011-12-08,244.0
2011-12-09,238.0
2011-12-12,236.0
2011-12-13,249.0
2011-12-14,243.8
2011-12-15,246.6
2011-12-16,243.0
2011-12-19,244.8
2011-12-20,246.0
2011-12-21,245.8
2011-12-22,246.0
2011-12-23,248.0
2011-12-26,247.0
2011-12-27,246.0
2011-12-28,245.0
2011-12-29,247.2
2011-12-30,251.1
2012-01-02,255.0
2012-01-03,256.4
2012-01-04,264.6
2012-01-05,262.2
2012-01-06,257.0
2012-01-09,260.0
2012-01-10,257.6
2012-01-11,262.0
2012-01-12,263.0
2012-01-13,263.0
2012-01-16,268.0
2012-01-17,269.4
2012-01-18,275.0
2012-01-19,274.6
2012-01-20,272.0
2012-01-23,269.5
2012-01-24,267.0
2012-01-25,267.8
2012-01-26,263.0
2012-01-27,274.0
2012-01-30,269.0
2012-01-31,279.8
2012-02-01,271.0
2012-02-02,279.8
2012-02-03,277.0
2012-02-06,278.0
2012-02-07,270.0
2012-02-08,274.0
2012-02-09,271.0
2012-02-10,273.0
2012-02-13,272.0
2012-02-14,270.0
2012-02-15,270.0
2012-02-16,266.2
2012-02-17,268.6
2012-02-20,268.0
2012-02-21,265.0
2012-02-22,265.0
2012-02-23,269.0
2012-02-24,269.0
2012-02-27,265.0
2012-02-28,255.6
2012-02-29,263.6
2012-03-01,265.0
2012-03-02,265.0
2012-03-05,266.4
2012-03-06,274.2
2012-03-07,268.0
2012-03-08,272.0
2012-03-09,272.8
2012-03-12,272.8
2012-03-13,269.8
2012-03-14,269.6
2012-03-15,260.0
2012-03-16,261.0
2012-03-19,273.4
2012-03-20,266.2
2012-03-21,260.4
2012-03-22,260.0
2012-03-23,260.0
2012-03-26,259.0
2012-03-27,261.0
2012-03-28,260.0
2012-03-29,257.0
2012-03-30,262.0
2012-04-02,261.0
2012-04-03,256.0
2012-04-04,260.0
2012-04-05,260.5
2012-04-06,261.0
2012-04-09,261.5
2012-04-10,262.0
2012-04-11,260.0
2012-04-12,260.2
2012-04-13,262.0
2012-04-16,259.2
2012-04-17,262.0
2012-04-18,263.0
2012-04-19,262.4
2012-04-20,260.0
2012-04-23,262.0
2012-04-24,258.0
2012-04-25,256.0
2012-04-26,261.8
2012-04-27,257.0
2012-04-30,263.8
2012-05-01,262.9
2012-05-02,262.0
2012-05-03,261.0
2012-05-04,263.0
2012-05-07,259.6
2012-05-08,259.8
2012-05-09,255.0
2012-05-10,256.0
2012-05-11,252.0
2012-05-14,251.0
2012-05-15,239.0
2012-05-16,220.2
2012-05-17,230.0
2012-05-18,223.0
2012-05-21,230.0
2012-05-22,235.0
2012-05-23,225.2
2012-05-24,229.0
2012-05-25,227.8
2012-05-28,224.0
2012-05-29,228.0
2012-05-30,228.0
2012-05-31,225.0
2012-06-01,240.0
2012-06-04,236.4
2012-06-05,236.6
2012-06-06,237.0
2012-06-07,244.0
2012-06-08,242.0
2012-06-11,246.6
2012-06-12,244.8
2012-06-13,243.0
2012-06-14,240.0
2012-06-15,238.0
2012-06-18,240.0
2012-06-19,236.0
2012-06-20,230.0
2012-06-21,235.0
2012-06-22,241.0
2012-06-25,241.8
2012-06-26,242.0
2012-06-27,245.8
2012-06-28,251.0
2012-06-29,253.4
2012-07-02,257.0
2012-07-03,263.0
2012-07-04,262.2
2012-07-05,267.0
2012-07-06,266.0
2012-07-09,252.0
2012-07-10,255.0
2012-07-11,258.0
2012-07-12,257.0
2012-07-13,251.4
2012-07-16,258.0
2012-07-17,256.0
2012-07-18,261.2
2012-07-19,261.0
2012-07-20,265.0
2012-07-23,258.0
2012-07-24,260.0
2012-07-25,261.8
2012-07-26,260.4
2012-07-27,268.0
2012-07-30,273.0
2012-07-31,265.2
2012-08-01,265.0
2012-08-02,265.0
2012-08-03,265.0
2012-08-06,273.0
2012-08-07,269.6
2012-08-08,266.2
2012-08-09,260.0
2012-08-10,264.0
2012-08-13,263.0
2012-08-14,259.8
2012-08-15,258.0
2012-08-16,251.8
2012-08-17,252.0
