Date,Price_Merged
2012-04-19,23.5
2012-04-20,23.0
2012-04-23,23.75
2012-04-24,23.6
2012-04-25,24.2
2012-04-26,24.0
2012-04-27,23.8
2012-04-30,24.2
2012-05-01,24.575
2012-05-02,24.95
2012-05-03,25.0
2012-05-04,24.75
2012-05-07,23.85
2012-05-08,24.9
2012-05-09,24.4
2012-05-10,24.15
2012-05-11,23.55
2012-05-14,22.9
2012-05-15,21.9
2012-05-16,21.6
2012-05-17,22.7
2012-05-18,21.95
2012-05-21,22.3
2012-05-22,22.0
2012-05-23,21.9
2012-05-24,21.85
2012-05-25,21.95
2012-05-28,22.75
2012-05-29,22.7
2012-05-30,22.6
2012-05-31,22.95
2012-06-01,24.5
2012-06-04,23.6
2012-06-05,23.25
2012-06-06,23.85
2012-06-07,24.9
2012-06-08,24.6
2012-06-11,25.0
2012-06-12,25.75
2012-06-13,26.5
2012-06-14,25.8
2012-06-15,24.95
2012-06-18,25.7
2012-06-19,25.45
2012-06-20,26.0
2012-06-21,26.8
2012-06-22,26.7
2012-06-25,26.8
2012-06-26,26.8
2012-06-27,27.6
2012-06-28,27.5
2012-06-29,27.15
2012-07-02,27.8
2012-07-03,29.1
2012-07-04,28.6
2012-07-05,28.7
2012-07-06,29.5
2012-07-09,28.7
2012-07-10,29.1
2012-07-11,28.4
2012-07-12,27.0
2012-07-13,26.7
2012-07-16,27.25
2012-07-17,27.0
2012-07-18,26.1
2012-07-19,26.55
2012-07-20,26.6
2012-07-23,26.05
2012-07-24,25.9
2012-07-25,25.4
2012-07-26,26.25
2012-07-27,26.45
2012-07-30,26.65
2012-07-31,26.55
2012-08-01,26.8
2012-08-02,27.15
2012-08-03,27.4
2012-08-06,28.1
2012-08-07,28.200000000000003
2012-08-08,28.3
2012-08-09,27.75
2012-08-10,27.75
2012-08-13,27.95
2012-08-14,28.35
2012-08-15,28.15
2012-08-16,27.1
2012-08-17,26.8
2012-08-20,26.866666666666667
2012-08-21,26.933333333333334
2012-08-22,27.0
2012-08-23,28.3
2012-08-24,28.25
2012-08-27,28.75
2012-08-28,29.25
2012-08-29,29.35
2012-08-30,28.25
2012-08-31,28.5
2012-09-03,29.0
2012-09-04,29.4
2012-09-05,29.05
2012-09-06,29.3
2012-09-07,29.6
2012-09-10,29.3
2012-09-11,29.5
2012-09-12,29.5
2012-09-13,29.9
2012-09-14,30.1
2012-09-17,29.5
2012-09-18,29.5
2012-09-19,29.55
2012-09-20,29.9
2012-09-21,30.0
2012-09-24,30.4
2012-09-25,30.0
2012-09-26,29.6
2012-09-27,29.75
2012-09-28,29.7
2012-10-01,29.7
2012-10-02,29.95
2012-10-03,30.5
2012-10-04,29.65
2012-10-05,29.0
2012-10-08,29.7
2012-10-09,30.0
2012-10-10,30.15
2012-10-11,29.95
2012-10-12,30.6
2012-10-15,30.5
2012-10-16,31.4
2012-10-17,31.3
2012-10-18,31.15
2012-10-19,30.65
2012-10-22,30.65
2012-10-23,30.9
2012-10-24,30.05
2012-10-25,30.05
2012-10-26,30.05
2012-10-29,30.05
2012-10-30,30.0
2012-10-31,29.95
2012-11-01,30.066666666666663
2012-11-02,30.183333333333334
2012-11-05,30.3
2012-11-06,29.95
2012-11-07,29.3
2012-11-08,29.35
2012-11-09,29.95
2012-11-12,29.7
2012-11-13,29.75
2012-11-14,30.15
2012-11-15,29.5
2012-11-16,29.4
2012-11-19,28.95
2012-11-20,28.85
2012-11-21,28.8
2012-11-22,29.0
2012-11-23,29.3
2012-11-26,30.9
2012-11-27,32.45
2012-11-28,31.85
2012-11-29,32.2
2012-11-30,32.75
2012-12-03,33.3
2012-12-04,32.95
2012-12-05,32.5
2012-12-06,32.1
2012-12-07,32.6
2012-12-10,32.5
2012-12-11,33.912
2012-12-12,33.862
2012-12-13,33.812
2012-12-14,33.712
2012-12-17,33.313
2012-12-18,32.466
2012-12-19,32.914
2012-12-20,32.216
2012-12-21,31.967
2012-12-24,32.13333333333333
2012-12-25,32.29966666666667
2012-12-26,32.466
2012-12-27,32.166
2012-12-28,32.914
2012-12-31,32.681333333333335
2013-01-01,32.44866666666667
2013-01-02,32.216
2013-01-03,32.166
2013-01-04,32.166
2013-01-07,33.114
2013-01-08,33.214
2013-01-09,33.014
2013-01-10,31.917
2013-01-11,31.967
2013-01-14,32.266
2013-01-15,32.416
2013-01-16,32.416
2013-01-17,31.917
2013-01-18,31.718
2013-01-21,31.867
2013-01-22,31.917
2013-01-23,31.867
2013-01-24,32.416
2013-01-25,32.914
2013-01-28,33.413
2013-01-29,34.011
2013-01-30,34.909
2013-01-31,34.859
2013-02-01,34.909
2013-02-04,36.106
2013-02-05,35.907
2013-02-06,35.857
2013-02-07,35.857
2013-02-08,35.907
2013-02-11,35.807
2013-02-12,35.358
2013-02-13,35.907
2013-02-14,37.004
2013-02-15,37.652
2013-02-18,37.901
2013-02-19,37.951
2013-02-20,38.251
2013-02-21,39.248
2013-02-22,39.697
2013-02-25,40.495
2013-02-26,41.492
2013-02-27,41.791
2013-02-28,41.293
2013-03-01,42.19
2013-03-04,40.245
2013-03-05,39.248
2013-03-06,40.495
2013-03-07,38.899
2013-03-08,39.597
2013-03-11,39.846
2013-03-12,39.547
2013-03-13,39.398
2013-03-14,39.298
2013-03-15,39.797
2013-03-18,38.899
2013-03-19,39.398
2013-03-20,39.098
2013-03-21,38.799
2013-03-22,38.55
2013-03-25,38.999
2013-03-26,39.896
2013-03-27,39.946
2013-03-28,40.095666666666666
2013-03-29,40.245333333333335
2013-04-01,40.395
2013-04-02,39.697
2013-04-03,39.298
2013-04-04,39.248
2013-04-05,39.248
2013-04-08,39.996
2013-04-09,40.295
2013-04-10,40.594
2013-04-11,41.343
2013-04-12,40.395
2013-04-15,39.896
2013-04-16,39.896
2013-04-17,40.594
2013-04-18,40.894
2013-04-19,40.495
2013-04-22,39.747
2013-04-23,38.749
2013-04-24,38.201
2013-04-25,37.901
2013-04-26,38.4
2013-04-29,38.699
2013-04-30,39.797
2013-05-01,39.8215
2013-05-02,39.846
2013-05-03,40.495
2013-05-06,41.193
2013-05-07,40.594
2013-05-08,40.794
2013-05-09,40.694
2013-05-10,40.694
2013-05-13,40.794
2013-05-14,40.894
2013-05-15,40.794
2013-05-16,40.146
2013-05-17,39.747
2013-05-20,40.146
2013-05-21,40.046
2013-05-22,39.896
2013-05-23,40.196
2013-05-24,39.747
2013-05-27,39.398
2013-05-28,38.6
2013-05-29,38.999
2013-05-30,36.7045
2013-05-31,34.41
2013-06-03,35.907
2013-06-04,35.508
2013-06-05,35.956
2013-06-06,36.904
2013-06-07,37.951
2013-06-10,38.35
2013-06-11,36.206
2013-06-12,35.009
2013-06-13,33.812
2013-06-14,34.809
2013-06-17,35.807
2013-06-18,37.403
2013-06-19,37.602
2013-06-20,36.106
2013-06-21,35.907
2013-06-24,34.51
2013-06-25,33.663
2013-06-26,35.408
2013-06-27,36.106
2013-06-28,36.206
2013-07-01,36.306
2013-07-02,36.306
2013-07-03,36.355
2013-07-04,36.405
2013-07-05,36.256
2013-07-08,35.308
2013-07-09,35.059
2013-07-10,35.408
2013-07-11,37.403
2013-07-12,37.502
2013-07-15,37.453
2013-07-16,38.3
2013-07-17,38.201
2013-07-18,38.849
2013-07-19,38.799
2013-07-22,38.4
2013-07-23,39.846
2013-07-24,40.894
2013-07-25,40.545
2013-07-26,39.996
2013-07-29,39.946
2013-07-30,40.844
2013-07-31,40.844
2013-08-01,41.193
2013-08-02,40.395
2013-08-05,40.295
2013-08-06,40.295
2013-08-07,39.846
2013-08-08,39.797
2013-08-09,40.096
2013-08-12,40.395
2013-08-13,40.495
2013-08-14,41.592
2013-08-15,40.096
2013-08-16,39.198
2013-08-19,38.91125
2013-08-20,38.6245
2013-08-21,38.33775
2013-08-22,38.051
2013-08-23,37.951
2013-08-26,37.677
2013-08-27,37.403
2013-08-28,36.206
2013-08-29,39.198
2013-08-30,38.5
2013-09-02,39.198
2013-09-03,39.248
2013-09-04,38.151
2013-09-05,38.899
2013-09-06,38.5
2013-09-09,39.148
2013-09-10,39.098
2013-09-11,38.999
2013-09-12,39.298
2013-09-13,38.949
2013-09-16,40.146
2013-09-17,40.495
2013-09-18,40.495
2013-09-19,41.991
2013-09-20,41.741
2013-09-23,40.844
2013-09-24,41.093
2013-09-25,40.744
2013-09-26,40.395
2013-09-27,41.841
2013-09-30,41.592
2013-10-01,41.592
2013-10-02,42.689
2013-10-03,43.636
2013-10-04,45.083
2013-10-07,45.881
2013-10-08,45.232
2013-10-09,44.385
2013-10-10,46.28
2013-10-11,46.33
2013-10-14,45.382
2013-10-15,45.6315
2013-10-16,45.881
2013-10-17,46.23
2013-10-18,46.379
2013-10-21,46.18
2013-10-22,46.28
2013-10-23,45.831
2013-10-24,45.731
2013-10-25,45.382
2013-10-28,45.2325
2013-10-29,45.083
2013-10-30,44.883
2013-10-31,44.983
2013-11-01,45.307
2013-11-04,45.631
2013-11-05,45.731
2013-11-06,45.731
2013-11-07,46.08
2013-11-08,44.883
2013-11-11,44.883
2013-11-12,44.883
2013-11-13,44.734
2013-11-14,44.385
2013-11-15,42.589
2013-11-18,41.741
2013-11-19,41.392
2013-11-20,41.741
2013-11-21,40.894
2013-11-22,40.694
2013-11-25,40.844
2013-11-26,40.694
2013-11-27,41.791
2013-11-28,43.337
2013-11-29,42.041
2013-12-02,41.343
2013-12-03,41.891
2013-12-04,40.644
2013-12-05,41.492
2013-12-06,40.395
2013-12-09,40.794
2013-12-10,39.398
2013-12-11,38.849
2013-12-12,37.453
2013-12-13,37.652
2013-12-16,37.602
2013-12-17,37.103
