Date,Price_Merged
2012-01-02,222.0
2012-01-03,220.4
2012-01-04,225.0
2012-01-05,228.0
2012-01-06,225.8
2012-01-09,229.8
2012-01-10,229.4
2012-01-11,226.0
2012-01-12,226.0
2012-01-13,224.0
2012-01-16,224.8
2012-01-17,226.0
2012-01-18,226.0
2012-01-19,225.0
2012-01-20,229.0
2012-01-23,228.5
2012-01-24,228.0
2012-01-25,227.6
2012-01-26,226.6
2012-01-27,226.0
2012-01-30,225.0
2012-01-31,225.4
2012-02-01,223.8
2012-02-02,228.4
2012-02-03,225.6
2012-02-06,226.2
2012-02-07,224.4
2012-02-08,225.8
2012-02-09,224.0
2012-02-10,224.2
2012-02-13,224.4
2012-02-14,221.0
2012-02-15,220.4
2012-02-16,211.0
2012-02-17,216.4
2012-02-20,216.2
2012-02-21,217.4
2012-02-22,221.0
2012-02-23,221.2
2012-02-24,220.0
2012-02-27,218.0
2012-02-28,220.0
2012-02-29,221.0
2012-03-01,218.0
2012-03-02,220.8
2012-03-05,221.0
2012-03-06,220.0
2012-03-07,224.0
2012-03-08,229.0
2012-03-09,234.0
2012-03-12,240.4
2012-03-13,239.4
2012-03-14,243.0
2012-03-15,243.6
2012-03-16,245.2
2012-03-19,248.0
2012-03-20,245.4
2012-03-21,247.0
2012-03-22,243.4
2012-03-23,244.0
2012-03-26,243.0
2012-03-27,248.0
2012-03-28,248.8
2012-03-29,245.6
2012-03-30,244.8
2012-04-02,248.0
2012-04-03,247.8
2012-04-04,248.0
2012-04-05,247.65
2012-04-06,247.3
2012-04-09,246.95
2012-04-10,246.6
2012-04-11,248.0
2012-04-12,247.4
2012-04-13,245.4
2012-04-16,244.8
2012-04-17,245.0
2012-04-18,246.4
2012-04-19,239.0
2012-04-20,244.4
2012-04-23,244.6
2012-04-24,245.2
2012-04-25,245.0
2012-04-26,244.8
2012-04-27,246.8
2012-04-30,252.0
2012-05-01,253.4
2012-05-02,254.8
2012-05-03,255.0
2012-05-04,253.0
2012-05-07,251.8
2012-05-08,256.0
2012-05-09,254.6
2012-05-10,253.0
2012-05-11,249.0
2012-05-14,250.0
2012-05-15,248.0
2012-05-16,245.0
2012-05-17,249.8
2012-05-18,250.0
2012-05-21,246.0
2012-05-22,241.0
2012-05-23,239.0
2012-05-24,221.0
2012-05-25,221.4
2012-05-28,222.0
2012-05-29,232.0
2012-05-30,223.0
2012-05-31,230.0
2012-06-01,226.0
2012-06-04,222.0
2012-06-05,223.2
2012-06-06,220.0
2012-06-07,220.0
2012-06-08,219.6
2012-06-11,218.0
2012-06-12,220.2
2012-06-13,222.4
2012-06-14,216.0
2012-06-15,200.0
2012-06-18,216.0
2012-06-19,216.4
2012-06-20,217.0
2012-06-21,216.2
2012-06-22,211.0
2012-06-25,215.0
2012-06-26,220.0
2012-06-27,219.0
2012-06-28,216.0
2012-06-29,218.2
2012-07-02,217.8
2012-07-03,219.0
2012-07-04,219.8
2012-07-05,220.6
2012-07-06,218.0
2012-07-09,220.2
2012-07-10,219.0
2012-07-11,218.2
2012-07-12,218.0
2012-07-13,221.2
2012-07-16,229.0
2012-07-17,231.0
2012-07-18,227.0
2012-07-19,226.0
2012-07-20,220.0
2012-07-23,221.0
2012-07-24,226.0
2012-07-25,226.8
2012-07-26,227.8
2012-07-27,227.0
2012-07-30,226.0
2012-07-31,224.8
2012-08-01,222.8
2012-08-02,227.0
2012-08-03,227.0
2012-08-06,226.0
2012-08-07,151.165
2012-08-08,76.33
2012-08-09,76.0
2012-08-10,76.0
2012-08-13,74.33
2012-08-14,74.4
2012-08-15,74.33
2012-08-16,74.33
2012-08-17,75.0
2012-08-20,74.77666666666667
2012-08-21,74.55333333333333
2012-08-22,74.33
2012-08-23,74.93
2012-08-24,75.0
2012-08-27,75.0
2012-08-28,75.0
2012-08-29,74.0
2012-08-30,73.0
2012-08-31,74.67
2012-09-03,73.07
2012-09-04,73.07
2012-09-05,73.07
2012-09-06,73.33
2012-09-07,73.0
2012-09-10,71.67
2012-09-11,71.67
2012-09-12,72.33
2012-09-13,73.6
2012-09-14,74.73
2012-09-17,74.93
2012-09-18,74.33
2012-09-19,74.6
2012-09-20,74.07
2012-09-21,73.33
2012-09-24,73.67
2012-09-25,73.33
2012-09-26,73.33
2012-09-27,74.33
2012-09-28,74.0
2012-10-01,74.13
2012-10-02,74.2
2012-10-03,74.2
2012-10-04,74.93
2012-10-05,74.93
2012-10-08,74.93
2012-10-09,74.67
2012-10-10,74.67
2012-10-11,75.27
2012-10-12,74.67
2012-10-15,74.67
2012-10-16,75.0
2012-10-17,74.53
2012-10-18,74.47
2012-10-19,74.0
2012-10-22,74.07
2012-10-23,74.0
2012-10-24,73.33
2012-10-25,73.33
2012-10-26,73.33
2012-10-29,73.33
2012-10-30,73.33
2012-10-31,73.0
2012-11-01,73.11
2012-11-02,73.22
2012-11-05,73.33
2012-11-06,73.33
2012-11-07,73.33
2012-11-08,73.33
2012-11-09,73.33
2012-11-12,73.33
2012-11-13,73.33
2012-11-14,73.33
2012-11-15,73.33
2012-11-16,73.27
2012-11-19,72.73
2012-11-20,74.0
2012-11-21,73.8
2012-11-22,73.0
2012-11-23,73.33
2012-11-26,73.33
2012-11-27,73.27
2012-11-28,73.33
2012-11-29,73.33
2012-11-30,73.66499999999999
2012-12-03,74.0
2012-12-04,73.33
2012-12-05,73.27
2012-12-06,74.0
2012-12-07,73.4
2012-12-10,73.4
2012-12-11,73.33
2012-12-12,73.27
2012-12-13,73.33
2012-12-14,74.0
2012-12-17,74.33
2012-12-18,74.4
2012-12-19,74.93
2012-12-20,76.67
2012-12-21,76.67
2012-12-24,76.87
2012-12-25,77.07
2012-12-26,77.27
2012-12-27,76.0
2012-12-28,77.8
2012-12-31,77.95666666666666
2013-01-01,78.11333333333333
2013-01-02,78.27
2013-01-03,79.33
2013-01-04,79.33
2013-01-07,80.13
2013-01-08,80.13
2013-01-09,81.33
2013-01-10,80.67
2013-01-11,80.8
2013-01-14,81.33
2013-01-15,80.93
2013-01-16,80.87
2013-01-17,81.07
2013-01-18,80.87
2013-01-21,80.67
2013-01-22,80.6
2013-01-23,80.13
2013-01-24,80.2
2013-01-25,83.0
2013-01-28,83.53
2013-01-29,83.33
2013-01-30,83.33
2013-01-31,82.0
2013-02-01,83.27
2013-02-04,83.33
2013-02-05,83.33
2013-02-06,83.33
2013-02-07,83.73
2013-02-08,84.07
2013-02-11,85.0
2013-02-12,85.0
2013-02-13,85.93
2013-02-14,79.07
2013-02-15,77.13
2013-02-18,79.53
2013-02-19,78.2
2013-02-20,77.67
2013-02-21,77.0
2013-02-22,76.93
2013-02-25,76.67
2013-02-26,76.27
2013-02-27,77.93
2013-02-28,79.4
2013-03-01,80.33
2013-03-04,80.6
2013-03-05,80.0
2013-03-06,82.33
2013-03-07,81.67
2013-03-08,81.73
2013-03-11,81.73
2013-03-12,81.33
2013-03-13,80.0
2013-03-14,80.33
2013-03-15,77.0
2013-03-18,77.67
2013-03-19,78.93
2013-03-20,79.0
2013-03-21,84.6
2013-03-22,87.0
2013-03-25,86.0
2013-03-26,86.6
2013-03-27,89.13
2013-03-28,89.91
2013-03-29,90.69
2013-04-01,91.47
2013-04-02,91.0
2013-04-03,91.0
2013-04-04,90.67
2013-04-05,90.93
2013-04-08,91.0
2013-04-09,92.835
2013-04-10,94.67
2013-04-11,96.33
2013-04-12,98.0
2013-04-15,96.4
2013-04-16,94.6
2013-04-17,95.0
2013-04-18,96.33
2013-04-19,96.67
2013-04-22,96.67
2013-04-23,94.67
2013-04-24,95.87
2013-04-25,96.67
2013-04-26,99.8
2013-04-29,100.0
2013-04-30,100.0
2013-05-01,100.5
2013-05-02,101.0
2013-05-03,100.67
2013-05-06,100.0
2013-05-07,99.67
