Date,Price_Merged
2012-05-09,560.0
2012-05-10,560.0
2012-05-11,566.4
2012-05-14,544.0
2012-05-15,532.8
2012-05-16,542.8
2012-05-17,556.8
2012-05-18,538.4
2012-05-21,540.0
2012-05-22,542.0
2012-05-23,535.6
2012-05-24,536.0
2012-05-25,534.8
2012-05-28,544.0
2012-05-29,554.4
2012-05-30,550.0
2012-05-31,563.2
2012-06-01,553.6
2012-06-04,528.0
2012-06-05,540.0
2012-06-06,544.8
2012-06-07,548.0
2012-06-08,548.0
2012-06-11,560.0
2012-06-12,560.4
2012-06-13,560.8
2012-06-14,560.0
2012-06-15,551.6
2012-06-18,557.2
2012-06-19,561.6
2012-06-20,568.0
2012-06-21,556.0
2012-06-22,561.6
2012-06-25,568.0
2012-06-26,568.0
2012-06-27,582.4
2012-06-28,577.6
2012-06-29,584.0
2012-07-02,581.6
2012-07-03,592.0
2012-07-04,593.2
2012-07-05,593.6
2012-07-06,596.0
2012-07-09,589.2
2012-07-10,592.0
2012-07-11,592.0
2012-07-12,581.6
2012-07-13,580.0
2012-07-16,591.6
2012-07-17,592.8
2012-07-18,580.0
2012-07-19,576.0
2012-07-20,574.4
2012-07-23,572.0
2012-07-24,592.0
2012-07-25,576.0
2012-07-26,577.6
2012-07-27,592.4
2012-07-30,600.0
2012-07-31,600.0
2012-08-01,602.4
2012-08-02,602.0
2012-08-03,600.8
2012-08-06,606.4
2012-08-07,595.5999999999999
2012-08-08,584.8
2012-08-09,584.4
2012-08-10,592.0
2012-08-13,594.4
2012-08-14,600.0
2012-08-15,600.0
2012-08-16,587.2
2012-08-17,589.6
2012-08-20,591.7333333333333
2012-08-21,593.8666666666667
2012-08-22,596.0
2012-08-23,596.0
2012-08-24,564.0
2012-08-27,565.0
2012-08-28,566.0
2012-08-29,567.2
2012-08-30,564.8
2012-08-31,567.2
2012-09-03,568.8
2012-09-04,574.8
2012-09-05,572.4
2012-09-06,575.2
2012-09-07,576.8
2012-09-10,577.2
2012-09-11,576.8
2012-09-12,577.6
2012-09-13,580.0
2012-09-14,588.8
2012-09-17,588.0
2012-09-18,591.2
2012-09-19,587.2
2012-09-20,581.6
2012-09-21,582.0
2012-09-24,579.2
2012-09-25,585.6
2012-09-26,584.4
2012-09-27,581.6
2012-09-28,584.0
2012-10-01,582.4
2012-10-02,592.0
2012-10-03,608.0
2012-10-04,644.4
2012-10-05,644.0
2012-10-08,655.6
2012-10-09,651.6
2012-10-10,634.8
2012-10-11,624.0
2012-10-12,616.0
2012-10-15,640.0
2012-10-16,631.6
2012-10-17,645.6
2012-10-18,653.6
2012-10-19,659.2
2012-10-22,656.0
2012-10-23,663.6
2012-10-24,653.2
2012-10-25,652.4
2012-10-26,647.2
2012-10-29,642.0
2012-10-30,641.6
2012-10-31,642.4
2012-11-01,642.4
2012-11-02,642.4
2012-11-05,642.4
2012-11-06,642.4
2012-11-07,639.2
2012-11-08,639.2
2012-11-09,652.0
2012-11-12,652.0
2012-11-13,654.4
2012-11-14,651.2
2012-11-15,651.6
2012-11-16,655.2
2012-11-19,653.6
2012-11-20,664.8
2012-11-21,667.2
2012-11-22,664.0
2012-11-23,668.8
2012-11-26,670.0
2012-11-27,673.2
2012-11-28,674.0
2012-11-29,701.6
2012-11-30,698.0
2012-12-03,694.4
2012-12-04,688.0
2012-12-05,676.0
2012-12-06,678.0
2012-12-07,694.4
2012-12-10,689.6
2012-12-11,719.2
2012-12-12,700.0
2012-12-13,688.4
2012-12-14,675.2
2012-12-17,652.8
2012-12-18,663.2
2012-12-19,680.0
2012-12-20,698.8
2012-12-21,711.6
2012-12-24,714.5333333333333
2012-12-25,717.4666666666667
2012-12-26,720.4
2012-12-27,704.0
2012-12-28,705.6
2012-12-31,710.4
2013-01-01,715.2
2013-01-02,720.0
2013-01-03,732.0
2013-01-04,729.6
2013-01-07,738.4
2013-01-08,751.2
2013-01-09,757.6
2013-01-10,736.0
2013-01-11,736.0
2013-01-14,743.6
2013-01-15,744.0
2013-01-16,742.4
2013-01-17,752.0
2013-01-18,773.6
2013-01-21,784.0
2013-01-22,772.0
2013-01-23,760.0
2013-01-24,755.6
2013-01-25,755.2
2013-01-28,756.0
2013-01-29,754.0
2013-01-30,760.0
2013-01-31,761.6
2013-02-01,761.6
2013-02-04,784.0
2013-02-05,796.0
2013-02-06,792.0
2013-02-07,795.2
2013-02-08,794.8
2013-02-11,800.0
2013-02-12,799.2
2013-02-13,802.4
2013-02-14,797.6
2013-02-15,789.6
2013-02-18,797.6
